dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Test accuracy;Test macro-f1;Test confusion;Budget used;Class distrubution
PubMed;own;random;0;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];0.29606550249981883;0.2751384095072939;ommited for csv readability;0.29242731575388775;0.26617465486516056;ommited for csv readability;0.0;[]
PubMed;own;random;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.42912016234236844;0.2958402148621327;ommited for csv readability;0.4296822177146721;0.2975801345250055;ommited for csv readability;3.0;[0 1 2]
PubMed;own;random;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.5222906850308082;0.38980254328974834;ommited for csv readability;0.5196078431372549;0.38772516007750585;ommited for csv readability;6.0;[0 3 3]
PubMed;own;random;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.5358903712296984;0.40128831211111865;ommited for csv readability;0.5356659905341447;0.4010154259755634;ommited for csv readability;9.0;[0 4 5]
PubMed;own;random;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.5599390818768584;0.41605998953627693;ommited for csv readability;0.5640635564570656;0.41912553774436495;ommited for csv readability;12.0;[0 6 6]
PubMed;own;random;0;64;0.5;1;0.005;20795212.0;0.9333333333333333;0.6444444444444445;ommited for csv readability;0.5764543740026113;0.5149078548961602;ommited for csv readability;0.5816430020283976;0.5179154743977105;ommited for csv readability;15.0;[1 7 7]
PubMed;own;random;0;64;0.5;1;0.005;20795212.0;0.8888888888888888;0.8694444444444445;ommited for csv readability;0.587390263367917;0.5459740207809577;ommited for csv readability;0.5941514536849223;0.5527784976442688;ommited for csv readability;18.0;[3 7 8]
PubMed;own;random;0;64;0.5;1;0.005;20795212.0;0.9047619047619048;0.8957360722066604;ommited for csv readability;0.5883164005805516;0.539919785412248;ommited for csv readability;0.5907707910750507;0.5390597394663833;ommited for csv readability;21.0;[4 8 9]
PubMed;own;random;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.6753284459606591;0.6663190131249561;ommited for csv readability;0.6795131845841785;0.6708784208584196;ommited for csv readability;24.0;[ 5  9 10]
PubMed;own;random;0;64;0.5;1;0.005;20795212.0;0.9629629629629629;0.9679633867276888;ommited for csv readability;0.6680702773341077;0.649139598554144;ommited for csv readability;0.6719066937119675;0.6548061405764253;ommited for csv readability;27.0;[ 6  9 12]
PubMed;own;random;0;64;0.5;1;0.005;20795212.0;0.9;0.9123809523809524;ommited for csv readability;0.6956648028465616;0.6949044785968018;ommited for csv readability;0.6991210277214334;0.6997906837056617;ommited for csv readability;30.0;[ 7 10 13]
PubMed;own;random;0;64;0.5;1;0.005;20795212.0;0.9090909090909091;0.9126143790849673;ommited for csv readability;0.7039511911679256;0.7021782489257765;ommited for csv readability;0.7075726842461122;0.7068626380177019;ommited for csv readability;33.0;[ 8 12 13]
