dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Test accuracy;Test macro-f1;Test confusion;Budget used;Class distrubution
PubMed;own;medoids;0;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];0.3363524382291138;0.3299609797154847;ommited for csv readability;0.33367139959432046;0.32474168358005556;ommited for csv readability;0.0;[]
PubMed;own;medoids;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.42549644876069;0.3992149868277604;ommited for csv readability;0.4315415821501014;0.4024504935891775;ommited for csv readability;3.0;[1 2]
PubMed;own;medoids;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.5051830373323668;0.48912616464816655;ommited for csv readability;0.5013522650439486;0.48402616446673136;ommited for csv readability;6.0;[1 4 1]
PubMed;own;medoids;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.5900522041763341;0.5566019349286853;ommited for csv readability;0.5806288032454361;0.5421862009474279;ommited for csv readability;9.0;[1 5 3]
PubMed;own;medoids;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.6014939444484734;0.5660665253397464;ommited for csv readability;0.5917849898580122;0.5513774849434837;ommited for csv readability;12.0;[2 7 3]
PubMed;own;medoids;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.5932830407659945;0.5513849833165415;ommited for csv readability;0.5882352941176471;0.5427455504935138;ommited for csv readability;15.0;[3 8 4]
PubMed;own;medoids;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.5923964303852572;0.5673913088940297;ommited for csv readability;0.5887423935091278;0.5615535651273048;ommited for csv readability;18.0;[5 8 5]
PubMed;own;medoids;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.5716981132075472;0.5444212425403988;ommited for csv readability;0.5689655172413793;0.5401100065486066;ommited for csv readability;21.0;[6 9 6]
PubMed;own;medoids;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.5859766277128547;0.5583447490017918;ommited for csv readability;0.585868830290737;0.5564597546935789;ommited for csv readability;24.0;[ 7 10  7]
PubMed;own;medoids;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.5914040946711195;0.5582424675547397;ommited for csv readability;0.59263015551048;0.5585025610822351;ommited for csv readability;27.0;[ 7 12  8]
PubMed;own;medoids;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.5914603151550359;0.5506593096493438;ommited for csv readability;0.598208248816768;0.5572818448651052;ommited for csv readability;30.0;[ 7 14  9]
PubMed;own;medoids;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.6041545613015689;0.5607109590338566;ommited for csv readability;0.6075050709939148;0.5628668314988579;ommited for csv readability;33.0;[ 8 15 10]
PubMed;own;medoids;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.6100254268071195;0.5662040393239095;ommited for csv readability;0.6086883029073699;0.5623005784859015;ommited for csv readability;36.0;[ 9 15 12]
PubMed;own;medoids;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.6051446010754251;0.5618981552090164;ommited for csv readability;0.6044624746450304;0.5590723268162362;ommited for csv readability;39.0;[ 9 17 13]
PubMed;own;medoids;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.606148702667345;0.5594619869033877;ommited for csv readability;0.6076741041244084;0.5598532233602554;ommited for csv readability;42.0;[ 9 19 14]
PubMed;own;medoids;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.6250363477755161;0.5917643382754454;ommited for csv readability;0.6281271129141311;0.5926453151240262;ommited for csv readability;45.0;[10 21 14]
