dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Test accuracy;Test macro-f1;Test confusion;Budget used;Class distrubution
PubMed;own;own;0.2;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];0.3363524382291138;0.3299609797154847;ommited for csv readability;0.33367139959432046;0.32474168358005556;ommited for csv readability;0.0;[]
PubMed;own;own;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.4148427308305552;0.30462939746364764;ommited for csv readability;0.4099053414469236;0.2991364448642951;ommited for csv readability;3.0;[0 0 3]
PubMed;own;own;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.42450163102573396;0.31232427788335343;ommited for csv readability;0.41446923597025015;0.3008493381071694;ommited for csv readability;6.0;[1 0 5]
PubMed;own;own;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.484338747099768;0.39927319219532276;ommited for csv readability;0.4743069641649763;0.3839223789368786;ommited for csv readability;9.0;[1 2 6]
PubMed;own;own;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.4862571615055479;0.4023828499405802;ommited for csv readability;0.46974306964164975;0.3809125406622274;ommited for csv readability;12.0;[2 2 8]
PubMed;own;own;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.5019585086319455;0.4150485481000641;ommited for csv readability;0.4942528735632184;0.409553942033183;ommited for csv readability;15.0;[2 4 9]
PubMed;own;own;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.6020459986940434;0.5296732927531336;ommited for csv readability;0.5993914807302231;0.5274787506386567;ommited for csv readability;18.0;[ 3  5 10]
PubMed;own;own;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.638534107402032;0.5960460569625541;ommited for csv readability;0.6370858688302907;0.59633061583871;ommited for csv readability;21.0;[ 5  6 10]
PubMed;own;own;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.6258256514480656;0.5783795559483808;ommited for csv readability;0.623394185260311;0.576964727775218;ommited for csv readability;24.0;[ 5  6 13]
PubMed;own;own;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.6346014229708146;0.5843521739621204;ommited for csv readability;0.6293103448275862;0.5816466574518103;ommited for csv readability;27.0;[ 5  9 13]
