dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Test accuracy;Test macro-f1;Test confusion;Budget used;Class distrubution
PubMed;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];0.3363524382291138;0.3299609797154847;ommited for csv readability;0.33367139959432046;0.32474168358005556;ommited for csv readability;0.0;[]
PubMed;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.42049572401797364;0.35541767327364554;ommited for csv readability;0.4249492900608519;0.3613409900718742;ommited for csv readability;3.0;[1 0 2]
PubMed;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.4300833635375136;0.358216782049037;ommited for csv readability;0.4332319134550372;0.36134064439456565;ommited for csv readability;6.0;[3 0 3]
PubMed;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.4702726218097448;0.41618652946464874;ommited for csv readability;0.4751521298174442;0.4195563158797592;ommited for csv readability;9.0;[4 1 4]
PubMed;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.5756762636884473;0.528129231114002;ommited for csv readability;0.5764029749830967;0.5285364634698317;ommited for csv readability;12.0;[4 3 5]
PubMed;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.5589728710285797;0.5071954400730321;ommited for csv readability;0.5601757944557133;0.511277810050772;ommited for csv readability;15.0;[4 3 8]
PubMed;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.5395777406950591;0.466708680076872;ommited for csv readability;0.5332995267072346;0.46631817312280416;ommited for csv readability;18.0;[4 5 9]
PubMed;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.5324383164005806;0.4621357772647173;ommited for csv readability;0.5224814063556457;0.4614349645285962;ommited for csv readability;21.0;[ 5  5 11]
PubMed;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.5440226464397183;0.4717658644718994;ommited for csv readability;0.5311020960108181;0.46667090891891894;ommited for csv readability;24.0;[ 5  7 12]
PubMed;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.63590823290257;0.5601534274670827;ommited for csv readability;0.6282961460446247;0.5625162030241692;ommited for csv readability;27.0;[ 5  9 13]
