dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Test accuracy;Test macro-f1;Test confusion;Budget used;Class distrubution
PubMed;own;pagerank;0;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];0.3363524382291138;0.3299609797154847;ommited for csv readability;0.33367139959432046;0.32474168358005556;ommited for csv readability;0.0;[]
PubMed;own;pagerank;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.4189012900420351;0.35394352218603764;ommited for csv readability;0.4249492900608519;0.3613409900718742;ommited for csv readability;3.0;[1 0 2]
PubMed;own;pagerank;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.42740123233055455;0.35552654223927543;ommited for csv readability;0.4332319134550372;0.36134064439456565;ommited for csv readability;6.0;[3 0 3]
PubMed;own;pagerank;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.4672273781902552;0.4130811452776008;ommited for csv readability;0.4751521298174442;0.4195563158797592;ommited for csv readability;9.0;[4 1 4]
PubMed;own;pagerank;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.5724127928058598;0.5243819800275339;ommited for csv readability;0.5764029749830967;0.5285364634698317;ommited for csv readability;12.0;[4 3 5]
PubMed;own;pagerank;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.5545480922675178;0.5025502498993328;ommited for csv readability;0.5601757944557133;0.511277810050772;ommited for csv readability;15.0;[4 3 8]
PubMed;own;pagerank;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.52760647174055;0.4564564704348529;ommited for csv readability;0.5332995267072346;0.46631817312280416;ommited for csv readability;18.0;[4 5 9]
PubMed;own;pagerank;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.5188679245283019;0.4510425143926877;ommited for csv readability;0.5224814063556457;0.4614349645285962;ommited for csv readability;21.0;[ 5  5 11]
PubMed;own;pagerank;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.5300863758437976;0.4604429893750693;ommited for csv readability;0.5311020960108181;0.46667090891891894;ommited for csv readability;24.0;[ 5  7 12]
PubMed;own;pagerank;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.6229127341367794;0.5484642432836039;ommited for csv readability;0.6282961460446247;0.5625162030241692;ommited for csv readability;27.0;[ 5  9 13]
PubMed;own;pagerank;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.6314719337738727;0.5740589822666147;ommited for csv readability;0.6367478025693036;0.5833798949017034;ommited for csv readability;30.0;[ 7  9 14]
PubMed;own;pagerank;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.6443201626961069;0.5824770332813644;ommited for csv readability;0.6501014198782962;0.5919587094542945;ommited for csv readability;33.0;[ 7 10 16]
PubMed;own;pagerank;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.6493280058118416;0.5923412668691642;ommited for csv readability;0.6473968897903989;0.5902574307222237;ommited for csv readability;36.0;[ 8 10 18]
PubMed;own;pagerank;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.6549920069757302;0.6053700822261368;ommited for csv readability;0.6533130493576741;0.6047915782677927;ommited for csv readability;39.0;[10 10 19]
PubMed;own;pagerank;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.6575332509630061;0.620744246734435;ommited for csv readability;0.6583840432724815;0.6223862687900701;ommited for csv readability;42.0;[12 10 20]
PubMed;own;pagerank;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.6631288165164292;0.6322555844445575;ommited for csv readability;0.6621027721433401;0.631851082497547;ommited for csv readability;45.0;[13 10 22]
PubMed;own;pagerank;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.6608739911292082;0.6310231685539395;ommited for csv readability;0.6637931034482759;0.6350184549291328;ommited for csv readability;48.0;[14 11 23]
PubMed;own;pagerank;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.6568727272727273;0.6260272546966165;ommited for csv readability;0.6578769438810007;0.6270198300785949;ommited for csv readability;51.0;[16 11 24]
PubMed;own;pagerank;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.6615261511602532;0.631456757965081;ommited for csv readability;0.6583840432724815;0.6285482920666942;ommited for csv readability;54.0;[18 11 25]
PubMed;own;pagerank;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.6607974388824214;0.6301429772720223;ommited for csv readability;0.6636240703177823;0.6337847456580101;ommited for csv readability;57.0;[19 12 26]
PubMed;own;pagerank;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.6603595080416272;0.6265759740898532;ommited for csv readability;0.65973630831643;0.6259226876450618;ommited for csv readability;60.0;[20 14 26]


PubMed;own;pagerank;0;64;0.5;1;0.005;649695571.0;0.0;0.0;[[]];0.3328744293891747;0.3261569363374555;ommited for csv readability;0.3385733603786342;0.3322409706285955;ommited for csv readability;0.0;[]
PubMed;own;pagerank;0;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.6384983330917524;0.608178086254615;ommited for csv readability;0.6446923597025017;0.617479162705849;ommited for csv readability;3.0;[1 1 1]
PubMed;own;pagerank;0;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.6233417905038058;0.5943871355625819;ommited for csv readability;0.6311697092630155;0.6031787952521941;ommited for csv readability;6.0;[2 2 2]
PubMed;own;pagerank;0;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.6351508120649652;0.6134720983226979;ommited for csv readability;0.6406355645706558;0.6197117394145205;ommited for csv readability;9.0;[3 3 3]
PubMed;own;pagerank;0;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.6378272536079483;0.6142386259138362;ommited for csv readability;0.6458755916159568;0.6246604050297723;ommited for csv readability;12.0;[3 4 5]
PubMed;own;pagerank;0;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.592630204555346;0.578503313651829;ommited for csv readability;0.5899256254225829;0.5762770899571431;ommited for csv readability;15.0;[5 5 5]
PubMed;own;pagerank;0;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.5923964303852572;0.5791342669061685;ommited for csv readability;0.5948275862068966;0.580444760505559;ommited for csv readability;18.0;[6 7 5]
PubMed;own;pagerank;0;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.5947750362844703;0.5803363983520141;ommited for csv readability;0.6041244083840432;0.5893772803942255;ommited for csv readability;21.0;[7 8 6]
PubMed;own;pagerank;0;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.5998403135660884;0.581622708698203;ommited for csv readability;0.6103786342123056;0.5926307244059063;ommited for csv readability;24.0;[ 8 10  6]
PubMed;own;pagerank;0;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.6100624364745172;0.5969290529542611;ommited for csv readability;0.6195064232589588;0.6067942453067591;ommited for csv readability;27.0;[10 11  6]
PubMed;own;pagerank;0;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.6296565245806405;0.6137621293908125;ommited for csv readability;0.6433400946585531;0.6287806702177029;ommited for csv readability;30.0;[12 12  6]
PubMed;own;pagerank;0;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.6320453224869262;0.6177729245395615;ommited for csv readability;0.6440162271805274;0.6298736011820457;ommited for csv readability;33.0;[13 12  8]
PubMed;own;pagerank;0;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.6398111151471122;0.6264274274626747;ommited for csv readability;0.6502704530087897;0.6364064985908892;ommited for csv readability;36.0;[15 12  9]
PubMed;own;pagerank;0;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.6564452841156808;0.642193639652458;ommited for csv readability;0.6668356997971603;0.6527343714843145;ommited for csv readability;39.0;[17 13  9]
PubMed;own;pagerank;0;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.6599316810814739;0.6452600035564261;ommited for csv readability;0.6702163624070318;0.6556414868363626;ommited for csv readability;42.0;[18 14 10]
PubMed;own;pagerank;0;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.6644373364350101;0.6509298510228302;ommited for csv readability;0.6710615280594997;0.656727658314336;ommited for csv readability;45.0;[19 15 11]
PubMed;own;pagerank;0;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.6671271722533265;0.6537774242356972;ommited for csv readability;0.671737660581474;0.6568851004004062;ommited for csv readability;48.0;[20 17 11]
PubMed;own;pagerank;0;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.6578909090909091;0.6449178910844034;ommited for csv readability;0.665314401622718;0.6517894911949909;ommited for csv readability;51.0;[22 18 11]
PubMed;own;pagerank;0;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.6568705899468975;0.6439696471658746;ommited for csv readability;0.6643002028397565;0.6508210852477161;ommited for csv readability;54.0;[22 20 12]
PubMed;own;pagerank;0;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.6570139697322468;0.6443087385220397;ommited for csv readability;0.6651453684922245;0.6518521848322314;ommited for csv readability;57.0;[23 20 14]
PubMed;own;pagerank;0;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.6605778327632632;0.6477893352767176;ommited for csv readability;0.6673427991886409;0.6542945081547575;ommited for csv readability;60.0;[24 21 15]


PubMed;own;pagerank;0;64;0.5;1;0.005;831763849.0;0.0;0.0;[[]];0.32628070429679007;0.3204536641118741;ommited for csv readability;0.3390804597701149;0.33119456201420455;ommited for csv readability;0.0;[]
PubMed;own;pagerank;0;64;0.5;1;0.005;831763849.0;1.0;1.0;ommited for csv readability;0.5445716770546456;0.46021798404981057;ommited for csv readability;0.5471602434077079;0.46183665699313314;ommited for csv readability;3.0;[0 2 1]
PubMed;own;pagerank;0;64;0.5;1;0.005;831763849.0;1.0;1.0;ommited for csv readability;0.5600579920260964;0.5075184920918823;ommited for csv readability;0.5725152129817445;0.5228900196548103;ommited for csv readability;6.0;[2 3 1]
PubMed;own;pagerank;0;64;0.5;1;0.005;831763849.0;1.0;1.0;ommited for csv readability;0.5545243619489559;0.5031487214003775;ommited for csv readability;0.5664300202839757;0.5195972091418629;ommited for csv readability;9.0;[4 4 1]
PubMed;own;pagerank;0;64;0.5;1;0.005;831763849.0;1.0;1.0;ommited for csv readability;0.5492784103270723;0.499273875060527;ommited for csv readability;0.5554428668018931;0.5068223357210128;ommited for csv readability;12.0;[5 5 2]
PubMed;own;pagerank;0;64;0.5;1;0.005;831763849.0;1.0;1.0;ommited for csv readability;0.5435949513999709;0.4915738819805712;ommited for csv readability;0.5480054090601758;0.4990752633988523;ommited for csv readability;15.0;[5 7 3]
PubMed;own;pagerank;0;64;0.5;1;0.005;831763849.0;1.0;1.0;ommited for csv readability;0.5668577232823043;0.5295119658003936;ommited for csv readability;0.5686274509803921;0.5297786745232743;ommited for csv readability;18.0;[7 7 4]
PubMed;own;pagerank;0;64;0.5;1;0.005;831763849.0;1.0;1.0;ommited for csv readability;0.5762699564586357;0.5406423233116927;ommited for csv readability;0.5735294117647058;0.5355468446690952;ommited for csv readability;21.0;[8 8 5]
PubMed;own;pagerank;0;64;0.5;1;0.005;831763849.0;1.0;1.0;ommited for csv readability;0.6615373448501125;0.6330697135987182;ommited for csv readability;0.6610885733603786;0.6308161530455805;ommited for csv readability;24.0;[8 9 7]
PubMed;own;pagerank;0;64;0.5;1;0.005;831763849.0;1.0;1.0;ommited for csv readability;0.6491941338754175;0.6200145027155104;ommited for csv readability;0.6468897903989181;0.6156285557197944;ommited for csv readability;27.0;[ 9 10  8]
PubMed;own;pagerank;0;64;0.5;1;0.005;831763849.0;1.0;1.0;ommited for csv readability;0.6490450947643599;0.6193430216309079;ommited for csv readability;0.6477349560513861;0.6159655685315477;ommited for csv readability;30.0;[ 9 11 10]
PubMed;own;pagerank;0;64;0.5;1;0.005;831763849.0;1.0;1.0;ommited for csv readability;0.6477338756536897;0.6154754492011502;ommited for csv readability;0.6448613928329953;0.6105023009630312;ommited for csv readability;33.0;[10 12 11]
