dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Test accuracy;Test macro-f1;Test confusion;Budget used;Class distrubution
PubMed;own;random;0.2;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];0.3363524382291138;0.3299609797154847;ommited for csv readability;0.33367139959432046;0.32474168358005556;ommited for csv readability;0.0;[]
PubMed;own;random;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.44564429627482244;0.351141285736668;ommited for csv readability;0.4420216362407032;0.34804434274316454;ommited for csv readability;3.0;[0 2 1]
PubMed;own;random;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.5339615802827111;0.4376318657397937;ommited for csv readability;0.5332995267072346;0.44273021367523446;ommited for csv readability;6.0;[0 4 2]
PubMed;own;random;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.5562645011600929;0.4621428659911109;ommited for csv readability;0.5530764029749831;0.45245509071717604;ommited for csv readability;9.0;[0 6 3]
PubMed;own;random;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.5812604249764305;0.49142479219760116;ommited for csv readability;0.5774171737660582;0.4841863857104123;ommited for csv readability;12.0;[1 6 5]
PubMed;own;random;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.5900913970694908;0.5011115274881085;ommited for csv readability;0.5885733603786342;0.499640871801801;ommited for csv readability;15.0;[2 6 7]
PubMed;own;random;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.5907277080461438;0.5062052969631651;ommited for csv readability;0.5867139959432048;0.5030685969188723;ommited for csv readability;18.0;[3 6 9]
PubMed;own;random;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.6000725689404934;0.5089788140694496;ommited for csv readability;0.5985463150777552;0.5094333167550592;ommited for csv readability;21.0;[ 3  7 11]
PubMed;own;random;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.6010016694490818;0.5297776053324199;ommited for csv readability;0.6029411764705882;0.5335697328866548;ommited for csv readability;24.0;[ 4  7 13]
PubMed;own;random;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.606214607231015;0.5380013905880947;ommited for csv readability;0.6054766734279919;0.5399693671305513;ommited for csv readability;27.0;[ 5  9 13]
PubMed;own;random;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.6119381308546946;0.5470569102544642;ommited for csv readability;0.6168018931710615;0.5535826854251749;ommited for csv readability;30.0;[ 7  9 14]
PubMed;own;random;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.6207147007553748;0.567437611478161;ommited for csv readability;0.6260987153482083;0.578179973174258;ommited for csv readability;33.0;[ 9 10 14]
PubMed;own;random;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.6363966581910643;0.6019355957175981;ommited for csv readability;0.6413116970926301;0.6127218072303745;ommited for csv readability;36.0;[11 10 15]
PubMed;own;random;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.6206220026158988;0.5959426753292264;ommited for csv readability;0.6271129141311698;0.6057066018004129;ommited for csv readability;39.0;[14 10 15]
PubMed;own;random;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.6154517043389781;0.5854954922781633;ommited for csv readability;0.6235632183908046;0.5980953060652023;ommited for csv readability;42.0;[14 12 16]
PubMed;own;random;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.6190753125908695;0.5873545550264185;ommited for csv readability;0.624577417173766;0.5971788934762888;ommited for csv readability;45.0;[14 13 18]
