dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Test accuracy;Test macro-f1;Test confusion;Budget used;Class distrubution
ogbn-arxiv;own;random;0.2;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];0.00463216868181473;0.0015290347413773743;ommited for csv readability;0.004899260192035259;0.002018422430529721;ommited for csv readability;0.0;[]
ogbn-arxiv;own;random;0.2;64;0.5;1;0.005;20795212.0;0.16326530612244897;0.008020050125313283;ommited for csv readability;0.1288528448195586;0.005707247202807691;ommited for csv readability;0.12635762631827482;0.0056091255284211996;ommited for csv readability;392.0;"[ 0  1 10  2 23  9  3  1 18  9 21  0  0  4  1  0 53  0  1  6  7  1  3  4
 43  2  4 15 64  2 27  6  2  3 25  1  4  5  7  5]"
ogbn-arxiv;own;random;0.2;64;0.5;1;0.005;20795212.0;0.17045454545454544;0.0076647930505876335;ommited for csv readability;0.13538950283282508;0.005962249188275252;ommited for csv readability;0.12635762631827482;0.0056091255284211996;ommited for csv readability;792.0;"[  1   2  20   7  36  28   6   1  40  14  37   3   0   8   4   0 105   1
   2  16  11   1   7   8  86   4  15  25 135   2  51  13   4   5  54   1
  15   8   9   7]"
ogbn-arxiv;own;random;0.2;64;0.5;1;0.005;20795212.0;0.1610738255033557;0.010221413507516515;ommited for csv readability;0.21586676553563972;0.011790394012523034;ommited for csv readability;0.17029356209664726;0.010307472289115016;ommited for csv readability;1192.0;"[  2   4  34  12  48  39   8   1  63  16  57   4   0  11   4   0 179   1
   2  23  13   1  10  14 137   6  29  37 194   3  76  17   4   9  76   2
  24  11   9  12]"
ogbn-arxiv;own;random;0.2;64;0.5;1;0.005;20795212.0;0.3023255813953488;0.026414222694437068;ommited for csv readability;0.3217877668308703;0.02764184023362598;ommited for csv readability;0.26884936250590274;0.02528061393378398;ommited for csv readability;1591.0;"[  3   4  42  20  53  47   9   2  78  28  73   4   1  20   5   1 239   1
   3  27  15   1  15  21 191   8  40  48 274   4 102  20   4  10  93   3
  38  17  10  17]"
ogbn-arxiv;own;random;0.2;64;0.5;1;0.005;20795212.0;0.3174284279256655;0.024831097458599075;ommited for csv readability;0.3325209391734176;0.025514252256150078;ommited for csv readability;0.2802809696206517;0.022912764846660334;ommited for csv readability;1991.0;"[  3   4  54  23  68  62   9   2  87  32  96   5   1  26   7   1 305   2
   4  33  19   1  22  32 244  10  49  56 345   6 119  27   5  13 118   3
  46  21  11  20]"


ogbn-arxiv;own;random;0.2;64;0.5;1;0.005;649695571.0;0.0;0.0;[[]];0.03251799289565386;0.0036065568673523144;ommited for csv readability;0.0328191405635133;0.0036260009224641414;ommited for csv readability;0.0;[]
ogbn-arxiv;own;random;0.2;64;0.5;1;0.005;649695571.0;0.15267175572519084;0.0075685903500473046;ommited for csv readability;0.2192827997223304;0.008992286275680593;ommited for csv readability;0.16128207146230128;0.0069441385269649785;ommited for csv readability;393.0;"[ 3  1  9  8 12  8  1  1 15  5 18  2  0  4  0  1 60  0  2 10  9  2  9  6
 49  2 11  6 41  0 32  8  2  6 21  0  6 11  3  9]"
