dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Test accuracy;Test macro-f1;Test confusion;Budget used;Class distrubution
ogbn-arxiv;own;random;0;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];0.00463216868181473;0.0015290347413773743;ommited for csv readability;0.004899260192035259;0.002018422430529721;ommited for csv readability;0.0;[]
ogbn-arxiv;own;random;0;64;0.5;1;0.005;20795212.0;0.16326530612244897;0.008020050125313283;ommited for csv readability;0.1263047398139291;0.005607041120806934;ommited for csv readability;0.12635762631827482;0.0056091255284211996;ommited for csv readability;392.0;"[ 0  1 10  2 23  9  3  1 18  9 21  0  0  4  1  0 53  0  1  6  7  1  3  4
 43  2  4 15 64  2 27  6  2  3 25  1  4  5  7  5]"
ogbn-arxiv;own;random;0;64;0.5;1;0.005;20795212.0;0.18181818181818182;0.008097165991902834;ommited for csv readability;0.12605434607184418;0.005597169733040651;ommited for csv readability;0.12635762631827482;0.0056091255284211996;ommited for csv readability;792.0;"[  1   2  21   5  36  24   7   4  29  22  38   1   0   9   2   0 126   3
   4   7  13   3   7  11  83   4  11  21 144   4  45   9   4   4  45   1
  12  11   9  10]"
ogbn-arxiv;own;random;0;64;0.5;1;0.005;20795212.0;0.17533557046979867;0.007650213217665038;ommited for csv readability;0.12593009281751003;0.0055922696098469355;ommited for csv readability;0.12635762631827482;0.0056091255284211996;ommited for csv readability;1192.0;"[  2   3  33   8  53  31   9   5  50  25  51   2   0  14   3   1 199   5
   8  10  18   3  12  19 130   7  18  30 209   5  73  14   6   8  63   2
  23  14  12  14]"
ogbn-arxiv;own;random;0;64;0.5;1;0.005;20795212.0;0.1771356783919598;0.00771693621213365;ommited for csv readability;0.12573657068085214;0.005584635604616003;ommited for csv readability;0.12635762631827482;0.0056091255284211996;ommited for csv readability;1592.0;"[  4   3  37  10  64  38  13   5  65  30  73   6   0  18   5   2 264   7
   8  15  19   5  18  26 183  11  29  39 282   7 106  20   6   8  85   2
  30  20  13  16]"
ogbn-arxiv;own;random;0;64;0.5;1;0.005;20795212.0;0.17821285140562249;0.007562846186621218;ommited for csv readability;0.12554171994473384;0.005576946536948368;ommited for csv readability;0.12635762631827482;0.0056091255284211996;ommited for csv readability;1992.0;"[  5   3  46  15  73  48  18   5  85  32  94   7   1  28   7   3 318   7
   9  23  19   5  20  31 242  14  40  51 355   7 133  29   7   9 100   2
  41  25  13  22]"


ogbn-arxiv;own;random;0;64;0.5;1;0.005;649695571.0;0.0;0.0;[[]];0.03251799289565386;0.0036065568673523144;ommited for csv readability;0.0328191405635133;0.0036260009224641414;ommited for csv readability;0.0;[]
ogbn-arxiv;own;random;0;64;0.5;1;0.005;649695571.0;0.15267175572519084;0.0075685903500473046;ommited for csv readability;0.16138699354926095;0.006948028281944749;ommited for csv readability;0.16128207146230128;0.0069441385269649785;ommited for csv readability;393.0;"[ 3  1  9  8 12  8  1  1 15  5 18  2  0  4  0  1 60  0  2 10  9  2  9  6
 49  2 11  6 41  0 32  8  2  6 21  0  6 11  3  9]"
ogbn-arxiv;own;random;0;64;0.5;1;0.005;649695571.0;0.14791403286978508;0.0067818223974032;ommited for csv readability;0.16144842348464256;0.006950305335137309;ommited for csv readability;0.16128207146230128;0.0069441385269649785;ommited for csv readability;791.0;"[  6   1  17  11  22  16   2   3  28  12  38   2   0  12   2   1 117   0
   3  19  15   2  13  14 108   5  22  14 108   2  67  11   2   7  37   2
  12  13   7  18]"
ogbn-arxiv;own;random;0;64;0.5;1;0.005;649695571.0;0.28319327731092436;0.023261468825203815;ommited for csv readability;0.2760783778946381;0.02217494351036263;ommited for csv readability;0.2765425783094601;0.02216805629511697;ommited for csv readability;1190.0;"[  7   3  28  14  33  26   4   5  39  16  62   5   0  19   2   2 200   1
   3  21  20   3  17  19 161   6  34  24 159   2  96  16   5  10  58   2
  20  17   9  22]"
ogbn-arxiv;own;random;0;64;0.5;1;0.005;649695571.0;0.30251572327044024;0.023648967629877417;ommited for csv readability;0.28268436401577024;0.021892887559843702;ommited for csv readability;0.28283881630725644;0.021905816475975982;ommited for csv readability;1590.0;"[  8   4  38  18  45  38   6   6  55  20  86   7   0  23   4   3 276   2
   6  26  23   3  19  30 225   6  45  30 213   3 119  19   7  14  79   2
  26  19  12  25]"
ogbn-arxiv;own;random;0;64;0.5;1;0.005;649695571.0;0.3050251256281407;0.02443086456464383;ommited for csv readability;0.2804194663989222;0.022143180940420372;ommited for csv readability;0.28085156618920193;0.02215073514466247;ommited for csv readability;1990.0;"[ 10   6  51  23  55  48   8   7  64  28 104   8   0  32   5   3 347   2
   7  29  26   3  24  39 297   8  51  37 274   3 144  23   9  18 101   3
  34  21  13  25]"


ogbn-arxiv;own;random;0;64;0.5;1;0.005;831763849.0;0.0;0.0;[[]];0.009686210649769236;0.001984299153648161;ommited for csv readability;0.009837871871556745;0.001997152036876092;ommited for csv readability;0.0;[]
ogbn-arxiv;own;random;0;64;0.5;1;0.005;831763849.0;0.17857142857142858;0.008658008658008658;ommited for csv readability;0.12625394702311918;0.005605039048112987;ommited for csv readability;0.12635762631827482;0.0056091255284211996;ommited for csv readability;392.0;"[ 0  1 11  2  9 10  2  1 20  8 14  1  0  5  2  1 49  1  5  9  4  0  9  6
 55  1 10  6 70  1 30  2  0  4 15  0 15  4  2  7]"
ogbn-arxiv;own;random;0;64;0.5;1;0.005;831763849.0;0.16287878787878787;0.007571089004313761;ommited for csv readability;0.12618175949442353;0.00560219335958124;ommited for csv readability;0.12635762631827482;0.0056091255284211996;ommited for csv readability;792.0;"[  3   1  22   4  25  26   7   1  37  17  28   1   0  11   4   2 126   3
   9  15   6   0  13  12 106   4  19  15 129   2  48  10   3   6  32   0
  25  10   2   8]"
ogbn-arxiv;own;random;0;64;0.5;1;0.005;831763849.0;0.16359060402684564;0.00739953705460479;ommited for csv readability;0.12604941744014592;0.005596975385267493;ommited for csv readability;0.12635762631827482;0.0056091255284211996;ommited for csv readability;1192.0;"[  4   3  34   7  34  37  10   2  59  24  43   1   0  20   8   2 186   3
  11  20   7   1  15  16 152   7  29  25 195   4  80  15   4  11  55   0
  34  14   7  13]"
ogbn-arxiv;own;random;0;64;0.5;1;0.005;831763849.0;0.16781898177247015;0.007369379812867434;ommited for csv readability;0.1261288998357964;0.005676031645122687;ommited for csv readability;0.12649535652447663;0.0056553528673729675;ommited for csv readability;1591.0;"[  6   8  42   9  51  50  10   2  72  27  62   3   0  26   9   5 254   6
  12  24  12   1  21  22 205   9  39  30 267   5 101  22   5  13  74   1
  38  20  10  18]"
