dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Test accuracy;Test macro-f1;Test confusion;Budget used;Class distrubution
ogbn-arxiv;own;entropy;0;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];0.011188079548426835;0.010315230222715504;ommited for csv readability;0.011254525421060917;0.009466614136749782;ommited for csv readability;0.0;[]
ogbn-arxiv;own;entropy;0;64;0.5;1;0.005;20795212.0;0.5875;0.5067218769261777;ommited for csv readability;0.50151118786986;0.217807622352204;ommited for csv readability;0.5037187155674484;0.22181505620762162;ommited for csv readability;400.0;"[ 3  3 13 12 21 16  1  1 20  4 14  0  0  2  1  1 31  0  1 10  7  2  3 13
 56  3 10 10 50  5 27 12  1  5 10  0  8 10 10  4]"
ogbn-arxiv;own;entropy;0;64;0.5;1;0.005;20795212.0;0.54;0.4776745567672896;ommited for csv readability;0.5011935201624207;0.2560062449420198;ommited for csv readability;0.5037580670549346;0.26191191652692336;ommited for csv readability;800.0;"[ 4  4 26 15 46 31  6  1 35 13 28  1  0  5  4  1 76  1  3 18 12  4  7 27
 92  7 18 24 99  8 45 21  2  9 30  0 24 25 18 10]"
ogbn-arxiv;own;entropy;0;64;0.5;1;0.005;20795212.0;0.5325;0.46231296113521636;ommited for csv readability;0.4893154561494728;0.27292169119061305;ommited for csv readability;0.49100818510939714;0.2770526664907617;ommited for csv readability;1200.0;"[  5   5  39  26  73  42   9   3  54  21  54   2   0  11   6   3 121   2
   5  32  19   5  11  36 134   8  28  37 131   9  60  30   3  16  51   2
  32  33  24  18]"
ogbn-arxiv;own;entropy;0;64;0.5;1;0.005;20795212.0;0.51875;0.4223203706544925;ommited for csv readability;0.5127994594548363;0.3050515151374685;ommited for csv readability;0.5145994018573902;0.30884812425695324;ommited for csv readability;1600.0;"[  8   6  51  29  93  57  19   3  68  34  76   5   0  17   6   3 153   7
   6  44  22   8  18  46 164  14  42  52 165  10  81  40   4  17  75   2
  42  49  33  31]"
ogbn-arxiv;own;entropy;0;64;0.5;1;0.005;20795212.0;0.517;0.4035069778593371;ommited for csv readability;0.5175550768544186;0.3011167638633336;ommited for csv readability;0.5187706595309303;0.3030152062878657;ommited for csv readability;2000.0;"[ 10   6  70  36 123  73  26   5  82  46  99   7   1  22   7   3 200   8
  10  53  27   9  22  57 220  17  48  67 194  10  97  44   4  20  96   2
  51  56  35  37]"


ogbn-arxiv;own;entropy;0;64;0.5;1;0.005;649695571.0;0.0;0.0;[[]];0.005965288266016419;0.005780470151761903;ommited for csv readability;0.006374940972768771;0.005764879873032824;ommited for csv readability;0.0;[]
ogbn-arxiv;own;entropy;0;64;0.5;1;0.005;649695571.0;0.505;0.4859472005262322;ommited for csv readability;0.43773651995021967;0.21277576274063809;ommited for csv readability;0.4390248701400913;0.2136111546695762;ommited for csv readability;400.0;"[ 1  1 16  7 14 14  7  0 18  9 17  3  0  5  1  0 50  3  1  6  4  2  4  9
 44  3 16 12 56  2 25  3  0  6 16  1  7  3  8  6]"
ogbn-arxiv;own;entropy;0;64;0.5;1;0.005;649695571.0;0.52625;0.44873423089783254;ommited for csv readability;0.4561455669857882;0.25575875982743346;ommited for csv readability;0.45704785140878323;0.25774704926951814;ommited for csv readability;800.0;"[  4   4  25  14  31  27  14   2  30  20  39   4   0   9   1   0 103   4
   3  16  11   3  10  23  88   5  30  34 100   3  45  11   0   8  38   1
  11   7   9  13]"
ogbn-arxiv;own;entropy;0;64;0.5;1;0.005;649695571.0;0.5233333333333333;0.4166450720524871;ommited for csv readability;0.4986660302252832;0.29715728443744877;ommited for csv readability;0.4975405320321108;0.29714032358458214;ommited for csv readability;1200.0;"[  5   9  41  18  53  37  19   3  46  24  64  10   0  15   3   1 148   4
   6  26  15   5  18  37 131   7  41  46 141   5  72  23   2  14  49   2
  21  12  10  17]"
