dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Test accuracy;Test macro-f1;Test confusion;Budget used;Class distrubution
ogbn-arxiv;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];0.011188079548426835;0.010315230222715504;ommited for csv readability;0.011254525421060917;0.009466614136749782;ommited for csv readability;0.0;[]
ogbn-arxiv;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;0.4025;0.3446092643313529;ommited for csv readability;0.29704789237971874;0.19607943547919687;ommited for csv readability;0.3440697308358256;0.19510674414742069;ommited for csv readability;400.0;"[ 1  0  6  7 21 18  5  2 28  5 23  1  0  3  0  1 36  0  0  6  6  2  5 15
 41  1 13 10 57  1 30  6  1  2 22  0 10  7  6  2]"
ogbn-arxiv;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;0.395;0.2878243792416387;ommited for csv readability;0.37665967261019884;0.22737640988690772;ommited for csv readability;0.3981189988981583;0.23427454895506283;ommited for csv readability;800.0;"[  1   1  22  13  45  36   8   3  40  16  41   3   0  10   0   2  64   0
   6  21  11   2  10  25 102   2  25  18  86   1  51  10   2   6  48   0
  23  18  11  17]"
ogbn-arxiv;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;0.41583333333333333;0.320172823454204;ommited for csv readability;0.4006341683785235;0.24804905806707866;ommited for csv readability;0.4164961435542264;0.26061111030435186;ommited for csv readability;1200.0;"[  2   1  41  17  63  51  12   6  55  30  64   3   0  13   2   2  89   2
   7  29  23   5  17  40 147   3  49  26 125   2  68  11   4  12  74   0
  34  28  17  26]"
ogbn-arxiv;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;0.46375;0.3720247446384464;ommited for csv readability;0.45224471642761227;0.2660323034137423;ommited for csv readability;0.4657248543994963;0.27982879868475186;ommited for csv readability;1600.0;"[  3   3  59  24  78  70  14   7  67  46  93   6   0  16   5   3 110   3
   7  38  32   6  24  47 182   3  66  37 170   4  87  18   6  18 108   0
  48  35  25  32]"
ogbn-arxiv;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;0.4655;0.36332268698162923;ommited for csv readability;0.47293574438503594;0.2793369950163006;ommited for csv readability;0.4895128285849205;0.29650753222666226;ommited for csv readability;2000.0;"[  3   4  79  29  99  83  18   7  78  56 119   9   0  24   8   4 135   3
   8  44  40   8  32  60 224   5  73  49 213   6 116  31   7  21 136   3
  60  40  32  34]"


ogbn-arxiv;own;pagerank;0.2;64;0.5;1;0.005;649695571.0;0.0;0.0;[[]];0.005965288266016419;0.005780470151761903;ommited for csv readability;0.006374940972768771;0.005764879873032824;ommited for csv readability;0.0;[]
ogbn-arxiv;own;pagerank;0.2;64;0.5;1;0.005;649695571.0;0.535;0.46990625610263553;ommited for csv readability;0.4716684022045564;0.25380636916941546;ommited for csv readability;0.45220761844797736;0.2437343878655085;ommited for csv readability;400.0;"[ 0  1 11  8 19 24  1  2 10  4 13  2  0  6  1  1 61  4  2  4  5  0  7 10
 41  7 16 11 50  1 20  7  1  5 15  0 11  4  9  6]"
ogbn-arxiv;own;pagerank;0.2;64;0.5;1;0.005;649695571.0;0.50875;0.43960873683998786;ommited for csv readability;0.4777308675744782;0.2725551880102584;ommited for csv readability;0.4839445931056194;0.27335490822304787;ommited for csv readability;800.0;"[ 0  1 25 13 33 49  3  3 24 16 35  5  0  8  4  2 87  4  2 15 15  1 18 22
 93  8 31 23 91  1 46 13  4 11 40  0 18 11 14 11]"
ogbn-arxiv;own;pagerank;0.2;64;0.5;1;0.005;649695571.0;0.49333333333333335;0.3910148578906886;ommited for csv readability;0.49143787451307974;0.2763481285100813;ommited for csv readability;0.4923461356839289;0.28050893721392545;ommited for csv readability;1200.0;"[  3   1  46  20  46  63   5   3  40  28  61   5   0  15   8   3 107   5
   4  25  20   1  26  28 156  11  53  38 126   2  66  21   4  12  70   0
  32  14  19  13]"
ogbn-arxiv;own;pagerank;0.2;64;0.5;1;0.005;649695571.0;0.474375;0.37654381325029007;ommited for csv readability;0.498370666871937;0.2799934289076053;ommited for csv readability;0.5050566661419802;0.2901631524957661;ommited for csv readability;1600.0;"[  3   2  63  22  60  76   8   5  53  35  81  10   0  22   8   4 133   6
   5  35  30   1  38  41 220  16  67  44 164   3  87  30   6  16  95   1
  47  22  22  19]"
ogbn-arxiv;own;pagerank;0.2;64;0.5;1;0.005;649695571.0;0.4915;0.3706198433379059;ommited for csv readability;0.5173748487371158;0.29469500425790196;ommited for csv readability;0.5239650558791122;0.30656603222129386;ommited for csv readability;2000.0;"[  5   2  83  26  76  94   9   7  61  44 106  10   0  25  13   7 152   8
  10  43  38   2  43  52 268  18  77  55 192   4 109  36   7  22 144   1
  62  29  31  29]"


ogbn-arxiv;own;pagerank;0.2;64;0.5;1;0.005;831763849.0;0.0;0.0;[[]];0.027227701887461084;0.012207209878311257;ommited for csv readability;0.02734928380292775;0.011519866061390842;ommited for csv readability;0.0;[]
ogbn-arxiv;own;pagerank;0.2;64;0.5;1;0.005;831763849.0;0.405;0.3399968948396433;ommited for csv readability;0.3170277432081206;0.20140838341958145;ommited for csv readability;0.3677396505587911;0.20056541344086024;ommited for csv readability;400.0;"[ 2  0 25  5 11 12  3  1 16 11 31  3  0  2  1  1 34  2  1  3  7  1  6 12
 36  3 10  8 79  0 15  3  0  1 21  0 15  9  6  4]"
ogbn-arxiv;own;pagerank;0.2;64;0.5;1;0.005;831763849.0;0.4125;0.333708754760584;ommited for csv readability;0.3743236011179164;0.22887010980252526;ommited for csv readability;0.41346607901778687;0.23538651007148542;ommited for csv readability;800.0;"[  3   1  47  12  29  21   6   1  34  22  53   6   0   6   3   1  57   5
   3  14  15   5   9  16  83   5  28  16 140   0  27   5   2   7  52   0
  26  12  10  18]"
ogbn-arxiv;own;pagerank;0.2;64;0.5;1;0.005;831763849.0;0.38666666666666666;0.2913800242698211;ommited for csv readability;0.3862119520282307;0.2347749150688337;ommited for csv readability;0.41208877695576895;0.2433120484354315;ommited for csv readability;1200.0;"[  6   2  68  17  44  33  10   2  46  38  79  10   2   9   5   2  97   6
   7  26  19   5  14  25 114   5  39  27 198   3  40   9   3  12  83   1
  36  18  15  25]"
ogbn-arxiv;own;pagerank;0.2;64;0.5;1;0.005;831763849.0;0.435625;0.31205459187198514;ommited for csv readability;0.45810347334479423;0.2665351140761808;ommited for csv readability;0.4834133480245553;0.27891431939505884;ommited for csv readability;1600.0;"[  8   6  83  20  59  48  16   4  65  49 103  12   2  13   7   3 114   6
   9  40  22   7  16  38 145   6  55  38 261   5  59  17   4  15 118   1
  49  28  19  30]"
ogbn-arxiv;own;pagerank;0.2;64;0.5;1;0.005;831763849.0;0.4745;0.32889030840552724;ommited for csv readability;0.4908040748719093;0.2808641807480425;ommited for csv readability;0.5049976389107508;0.2916246876452082;ommited for csv readability;2000.0;"[  9   7 102  25  77  65  20   5  77  58 122  15   2  16   9   3 145   6
  15  47  29   7  23  49 197   6  66  54 316   6  71  21   4  22 132   1
  67  41  24  39]"


ogbn-arxiv;own;pagerank;0.2;64;0.5;1;0.005;615395017.0;0.0;0.0;[[]];0.028974257292079753;0.009489274511255585;ommited for csv readability;0.029966157720761846;0.010217701195510782;ommited for csv readability;0.0;[]
ogbn-arxiv;own;pagerank;0.2;64;0.5;1;0.005;615395017.0;0.41;0.4018612428169581;ommited for csv readability;0.34425452298106146;0.21793943518898984;ommited for csv readability;0.36089249173618765;0.22425232125667716;ommited for csv readability;400.0;"[ 1  1 14  4 12 11  6  2 20  8 21  1  0  9  4  1 35  0  3  6 12  1 10  8
 40  0 12  8 56  3 15  6  1  4 30  0 13  6  8  8]"
ogbn-arxiv;own;pagerank;0.2;64;0.5;1;0.005;615395017.0;0.47875;0.44215642669266797;ommited for csv readability;0.44533167967787696;0.2576433481242416;ommited for csv readability;0.45714623012749883;0.26157792288401255;ommited for csv readability;800.0;"[  1   3  26  12  28  30   8   3  29  18  50   1   0  13   5   4  73   0
   5  11  17   2  14  18 112   1  20  24 106   3  44  10   1   5  51   0
  22  11   9  10]"
ogbn-arxiv;own;pagerank;0.2;64;0.5;1;0.005;615395017.0;0.4841666666666667;0.3981961992882675;ommited for csv readability;0.46337762851712;0.27733187089193123;ommited for csv readability;0.4737132063592004;0.2874555977233987;ommited for csv readability;1200.0;"[  5   4  48  16  43  45  11   4  37  33  74   3   1  20   9   5 102   2
   7  18  22   3  25  25 161   3  34  38 163   3  60  14   3   5  75   1
  32  22  10  14]"
ogbn-arxiv;own;pagerank;0.2;64;0.5;1;0.005;615395017.0;0.475;0.36384140508705837;ommited for csv readability;0.481358889487594;0.27527029723558016;ommited for csv readability;0.488037147804187;0.2820693712491321;ommited for csv readability;1600.0;"[  5   4  64  22  67  59  13   6  58  42  95   6   1  27  12   5 126   4
  10  29  30   6  34  30 197   4  44  46 202   6  80  26   3  11 110   1
  42  36  17  20]"
ogbn-arxiv;own;pagerank;0.2;64;0.5;1;0.005;615395017.0;0.469;0.33869906651522996;ommited for csv readability;0.4969232485689029;0.27507805866194485;ommited for csv readability;0.4988588068628994;0.29159520748770884;ommited for csv readability;2000.0;"[  6   6  80  28  85  77  16   7  74  56 112   9   1  33  15   5 147   4
  13  38  38   8  39  47 238   9  61  51 246   8 104  37   6  13 134   1
  52  45  24  27]"

