dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Test accuracy;Test macro-f1;Test confusion;Budget used;Class distrubution
ogbn-arxiv;own;random;0;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];0.011188079548426835;0.010315230222715504;ommited for csv readability;0.011254525421060917;0.009466614136749782;ommited for csv readability;0.0;[]
ogbn-arxiv;own;random;0;64;0.5;1;0.005;20795212.0;0.595;0.5750383110034128;ommited for csv readability;0.48631464878639336;0.23397216315380254;ommited for csv readability;0.4867582244608846;0.23230485567315448;ommited for csv readability;400.0;"[ 3  3 13 12 21 16  1  1 20  4 15  0  0  2  1  1 30  0  1 10  7  2  3 13
 55  3 10 10 50  5 28 12  1  5 10  0  8 10 10  4]"
ogbn-arxiv;own;random;0;64;0.5;1;0.005;20795212.0;0.58375;0.5253285898258185;ommited for csv readability;0.5369226717862028;0.2824912601494339;ommited for csv readability;0.5420077128915473;0.28647211874078893;ommited for csv readability;800.0;"[  4   6  27  18  34  35   5   7  37  13  42   2   0   5   1   1  63   1
   5  20  11   2   8  16  94   3  31  23 110   5  49  20   2   8  30   0
  19  20  14   9]"
ogbn-arxiv;own;random;0;64;0.5;1;0.005;20795212.0;0.54;0.4580887192344039;ommited for csv readability;0.5232485786615979;0.2846224108411018;ommited for csv readability;0.527211553596726;0.2846481329241648;ommited for csv readability;1200.0;"[  5   6  41  28  53  49  15   8  60  21  63   4   0  11   6   2  96   2
  12  24  21   3  15  21 135   6  41  34 147   7  71  29   2  10  54   0
  29  32  19  18]"
ogbn-arxiv;own;random;0;64;0.5;1;0.005;20795212.0;0.530625;0.44069349685613063;ommited for csv readability;0.5339337490057219;0.299099807128718;ommited for csv readability;0.5349637966315127;0.30190519883796096;ommited for csv readability;1600.0;"[  6   8  56  36  64  68  19   9  74  29  83   8   0  17   9   2 144   2
  16  32  29   3  18  32 169   9  51  42 201  10  93  38   4  14  79   0
  41  37  21  27]"
ogbn-arxiv;own;random;0;64;0.5;1;0.005;20795212.0;0.5425;0.43904959897106993;ommited for csv readability;0.544838180897536;0.3234237807872331;ommited for csv readability;0.5453722650716197;0.3234454320179885;ommited for csv readability;2000.0;"[  7   9  67  40  75  83  24  12  93  39 100  11   0  22  12   4 201   3
  16  44  36   3  21  43 208   9  62  52 245  12 117  48   5  18 104   0
  50  44  28  33]"


ogbn-arxiv;own;random;0;64;0.5;1;0.005;649695571.0;0.0;0.0;[[]];0.005965288266016419;0.005780470151761903;ommited for csv readability;0.006374940972768771;0.005764879873032824;ommited for csv readability;0.0;[]
ogbn-arxiv;own;random;0;64;0.5;1;0.005;649695571.0;0.5075;0.4511115298210838;ommited for csv readability;0.426392028378161;0.20353385459329165;ommited for csv readability;0.42550763418857235;0.2051295970580503;ommited for csv readability;400.0;"[ 1  1 16  7 14 14  7  0 18  9 18  3  0  5  1  0 50  3  1  6  3  2  4  9
 43  3 16 14 56  2 24  3  0  6 16  1  7  3  8  6]"
ogbn-arxiv;own;random;0;64;0.5;1;0.005;649695571.0;0.55;0.5036922540672609;ommited for csv readability;0.4848410197164434;0.2581289926240534;ommited for csv readability;0.4879584448292145;0.26033251577931416;ommited for csv readability;800.0;"[  3   1  30  17  30  29   9   0  28  18  34   6   0  11   3   0 100   3
   1  17   7   2   7  24  84   9  27  21 115   3  44  14   2  10  37   1
  16   7  18  12]"
ogbn-arxiv;own;random;0;64;0.5;1;0.005;649695571.0;0.5525;0.48122664258465603;ommited for csv readability;0.5067977054015121;0.29734258386418944;ommited for csv readability;0.5064929954352274;0.3024179503356886;ommited for csv readability;1200.0;"[  5   2  47  23  50  51  13   1  38  29  49   9   0  17   6   1 134   3
   3  27  17   3  13  31 139  12  40  29 158   4  65  27   3  16  54   1
  25  11  26  18]"
ogbn-arxiv;own;random;0;64;0.5;1;0.005;649695571.0;0.5375;0.47166562056401024;ommited for csv readability;0.5110461088445847;0.3114403139498395;ommited for csv readability;0.5123760428144184;0.3154894372365892;ommited for csv readability;1600.0;"[  5   3  65  32  70  61  16   2  48  34  76  12   0  24  10   3 175   5
   5  37  25   3  18  37 183  17  57  41 200   4  88  32   5  20  81   1
  34  18  32  21]"
ogbn-arxiv;own;random;0;64;0.5;1;0.005;649695571.0;0.5255;0.41787829601092413;ommited for csv readability;0.5190226486667411;0.3140418678258553;ommited for csv readability;0.5205414764678105;0.31973187899664773;ommited for csv readability;2000.0;"[  6   4  78  39  87  69  20   4  65  47 103  15   0  34  11   3 208   8
   7  46  31   4  25  48 234  19  81  50 229   5 115  42   5  22 104   1
  40  25  36  30]"


ogbn-arxiv;own;random;0;64;0.5;1;0.005;831763849.0;0.0;0.0;[[]];0.027227701887461084;0.012207209878311257;ommited for csv readability;0.02734928380292775;0.011519866061390842;ommited for csv readability;0.0;[]
ogbn-arxiv;own;random;0;64;0.5;1;0.005;831763849.0;0.62;0.5498286443840414;ommited for csv readability;0.503907076761571;0.24451887363961236;ommited for csv readability;0.5048992601920352;0.24316543293005027;ommited for csv readability;400.0;"[ 0  1 22  7 11 14  3  3 24 14 24  0  0  6  0  0 32  3  0  6 11  0  7  4
 39  3  7 14 66  1 17  6  0  4 18  1 11  9  7  5]"
ogbn-arxiv;own;random;0;64;0.5;1;0.005;831763849.0;0.55875;0.5031735465588393;ommited for csv readability;0.5192194972774149;0.27259341209181115;ommited for csv readability;0.5179049268062332;0.2713364988773212;ommited for csv readability;800.0;"[  1   3  32  15  37  27   9   3  44  21  43   5   0  11   1   5  72   5
   3  13  19   1  11  15  82   5  17  23 112   2  38  10   1  12  43   2
  17  16  12  12]"
ogbn-arxiv;own;random;0;64;0.5;1;0.005;831763849.0;0.5716666666666667;0.47041578959542635;ommited for csv readability;0.5481635540705256;0.30474190021926356;ommited for csv readability;0.5479497875019675;0.3049153233320208;ommited for csv readability;1200.0;"[  2   7  42  22  55  39  12   5  60  29  59   5   0  15   2   6 118   5
   5  26  26   3  19  25 116  10  28  35 160   2  63  17   3  17  76   3
  26  20  17  20]"
ogbn-arxiv;own;random;0;64;0.5;1;0.005;831763849.0;0.551875;0.4358618120489909;ommited for csv readability;0.5382016609789684;0.3172876287878859;ommited for csv readability;0.5377184007555486;0.31813812269736674;ommited for csv readability;1600.0;"[  4  10  58  31  78  58  16   7  70  37  80   7   0  18   2   8 153   6
   9  35  39   3  24  33 166  18  38  50 202   2  84  23   4  22  92   4
  36  24  24  25]"
ogbn-arxiv;own;random;0;64;0.5;1;0.005;831763849.0;0.5735;0.4826508230299646;ommited for csv readability;0.5488461109346974;0.3246225433765789;ommited for csv readability;0.5485794113017473;0.32570993762488926;ommited for csv readability;2000.0;"[  6  11  72  34  99  77  20   8  81  45 106   9   0  29   4   8 185   9
  13  43  44   3  27  38 201  22  52  63 246   5 107  32   6  29 123   4
  46  32  28  33]"


ogbn-arxiv;own;random;0;64;0.5;1;0.005;615395017.0;0.0;0.0;[[]];0.028974257292079753;0.009489274511255585;ommited for csv readability;0.029966157720761846;0.010217701195510782;ommited for csv readability;0.0;[]
ogbn-arxiv;own;random;0;64;0.5;1;0.005;615395017.0;0.525;0.42085313289978865;ommited for csv readability;0.4492503322920106;0.21172618681800587;ommited for csv readability;0.4531323784039037;0.2172988206421182;ommited for csv readability;400.0;"[ 3  1 26  5 14  8  2  4 25  8 17  4  0  6  4  2 30  4  3  5 11  1  6  9
 44  1 11 12 60  3 20  5  1  4 21  0  6  5  5  4]"
ogbn-arxiv;own;random;0;64;0.5;1;0.005;615395017.0;0.55875;0.44382928686423995;ommited for csv readability;0.5229487168596403;0.27912956414110424;ommited for csv readability;0.523748622697938;0.2836467387401672;ommited for csv readability;800.0;"[  4   3  44  13  35  16   8   6  44  10  34   6   0  10   6   3  61   4
   4  12  18   1  14  21  96   4  28  22 114   3  39  13   3   7  42   0
  16  14  11  11]"
ogbn-arxiv;own;random;0;64;0.5;1;0.005;615395017.0;0.5158333333333334;0.45713828237118986;ommited for csv readability;0.5145031921513139;0.30343289023611975;ommited for csv readability;0.5151699984259405;0.30501591677525663;ommited for csv readability;1200.0;"[  6   4  63  17  50  33  12   9  63  21  57  10   1  21   7   6 103   6
   7  22  27   3  17  33 137   6  48  30 150   6  53  20   3  12  62   0
  21  18  16  20]"
ogbn-arxiv;own;random;0;64;0.5;1;0.005;615395017.0;0.53875;0.4423004218751976;ommited for csv readability;0.5340705958826196;0.3123926094782381;ommited for csv readability;0.5353179600188888;0.3168652072791173;ommited for csv readability;1600.0;"[  6   7  83  23  71  52  14  11  73  26  72  11   2  29   9   7 142   9
   9  30  33   5  23  42 170  11  61  46 195   6  87  26   4  18  81   0
  32  26  22  26]"
ogbn-arxiv;own;random;0;64;0.5;1;0.005;615395017.0;0.538;0.43829882708482915;ommited for csv readability;0.5287721315836902;0.3115273947433904;ommited for csv readability;0.5265622540532032;0.3110572945890352;ommited for csv readability;2000.0;"[  7   7 102  30  87  61  23  12  91  38  92  14   2  40  16   8 180  10
  14  33  39   5  25  50 205  12  77  59 233   7 110  34   6  22 110   0
  42  30  29  38]"

