dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Test accuracy;Test macro-f1;Test confusion;Budget used;Class distrubution
ogbn-arxiv;own;pagerank;0;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];0.024873648950801137;0.017719754223785227;ommited for csv readability;0.02475208562883677;0.01766327903281944;ommited for csv readability;0.0;[]
ogbn-arxiv;own;pagerank;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.4922154776115612;0.23004275266885124;ommited for csv readability;0.4924051629151582;0.2333144676013204;ommited for csv readability;400.0;"[ 2  2 12  3 16 10  8  1 12  6 21  4  0  6  1  1 67  2  1  8  5  0  4  3
 51  6 10 12 52  1 27  6  2  1 19  1  8  6  0  3]"
ogbn-arxiv;own;pagerank;0;64;0.5;1;0.005;20795212.0;0.9910141206675225;0.9905480112916473;ommited for csv readability;0.5151690164769832;0.27299511287269584;ommited for csv readability;0.5146387533448764;0.27736890430427796;ommited for csv readability;779.0;"[ 2  4 36  8 45 26 21  6 28 16 44  7  0 11  3  4 85  3  4 24 11  1 14 13
 66 16 16 28 93  2 33  7  3 13 38  2 19 11  2 14]"
ogbn-arxiv;own;pagerank;0;64;0.5;1;0.005;20795212.0;0.9596136962247586;0.9489345835188896;ommited for csv readability;0.5235218947009712;0.28326024446764747;ommited for csv readability;0.5244963009601763;0.28854346946624176;ommited for csv readability;1139.0;"[  3   5  62   9  72  43  32  19  43  22  63  10   0  12   4  11 105   5
   6  43  21   3  32  26  72  16  19  39 130   2  40   7   3  25  51   3
  34  22   3  22]"
ogbn-arxiv;own;pagerank;0;64;0.5;1;0.005;20795212.0;0.9469200524246396;0.9200607663266936;ommited for csv readability;0.532433564401289;0.28735625203249276;ommited for csv readability;0.5341964426255312;0.29522004201286123;ommited for csv readability;1526.0;"[  4   6  95  11  89  64  41  25  60  38  86  11   0  15   5  16 111   5
  12  65  34   5  45  41  77  16  21  59 163   4  49   8   6  44  71   3
  47  32   3  39]"
ogbn-arxiv;own;pagerank;0;64;0.5;1;0.005;20795212.0;0.9325666492420283;0.9013731890992508;ommited for csv readability;0.5394576608407801;0.2974371064949528;ommited for csv readability;0.5408468440107036;0.3070898219543897;ommited for csv readability;1913.0;"[  5   8 131  14 103  78  47  38  90  50 107  14   0  16   6  18 115   7
  13  85  41   8  59  53  82  17  25  80 202   4  62  11   7  62  92   3
  55  45   3  57]"


ogbn-arxiv;own;pagerank;0;64;0.5;1;0.005;649695571.0;0.0;0.0;[[]];0.025143647853930595;0.017865298274213785;ommited for csv readability;0.0243585707539745;0.017660646235977087;ommited for csv readability;0.0;[]
ogbn-arxiv;own;pagerank;0;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.5140155267145844;0.24448700990417987;ommited for csv readability;0.5165079490004723;0.25059608596230476;ommited for csv readability;400.0;"[ 1  2 11  4 10 13  3  0 12  6 13  2  0  5  2  0 72  1  1  1  4  0  6  6
 62  4 12 12 51  0 32  5  1  6 18  1  7  4  4  6]"
