dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Test accuracy;Test macro-f1;Test confusion;Budget used
ogbn-arxiv;own;entropy;0.2;64;0.5;1;0.005;20795212;0;0;[[]];0.00463216868181473;0.00152903474137737;ommited for csv readability;0.00489926019203526;0.00201842243052972;ommited for csv readability;0
ogbn-arxiv;own;entropy;0.2;64;0.5;1;0.005;20795212;0.163265306122449;0.00802005012531328;ommited for csv readability;0.128903637610369;0.00570924006778949;ommited for csv readability;0.126357626318275;0.0056091255284212;ommited for csv readability;392
ogbn-arxiv;own;entropy;0.2;64;0.5;1;0.005;20795212;0.171717171717172;0.00792171481826654;ommited for csv readability;0.130853584989;0.00578561127302226;ommited for csv readability;0.126357626318275;0.0056091255284212;ommited for csv readability;792
ogbn-arxiv;own;entropy;0.2;64;0.5;1;0.005;20795212;0.164429530201342;0.00749371401545315;ommited for csv readability;0.206124762416153;0.00864951870645377;ommited for csv readability;0.16171493782465;0.00711825111101706;ommited for csv readability;1192
ogbn-arxiv;own;entropy;0.2;64;0.5;1;0.005;20795212;0.337311557788945;0.0271647506364951;ommited for csv readability;0.325801568500004;0.0260120176637798;ommited for csv readability;0.276621281284432;0.0237547239475254;ommited for csv readability;1592
ogbn-arxiv;own;entropy;0.2;64;0.5;1;0.005;20795212;0.313755020080321;0.0247994509775716;ommited for csv readability;0.328747843847349;0.0248777096824641;ommited for csv readability;0.281186053832835;0.0224806989999141;ommited for csv readability;1992


ogbn-arxiv;own;entropy;0.2;64;0.5;1;0.005;649695571;0;0;[[]];0.0325179928956539;0.00360655686735231;ommited for csv readability;0.0328191405635133;0.00362600092246414;ommited for csv readability;0
ogbn-arxiv;own;entropy;0.2;64;0.5;1;0.005;649695571;0.150127226463104;0.00725172074729597;ommited for csv readability;0.208607757817923;0.00863008517314804;ommited for csv readability;0.161282071462301;0.00694413852696498;ommited for csv readability;393
ogbn-arxiv;own;entropy;0.2;64;0.5;1;0.005;649695571;0.167305236270753;0.00796255774373936;ommited for csv readability;0.210139634436366;0.00868245401012093;ommited for csv readability;0.161282071462301;0.00694413852696498;ommited for csv readability;783
ogbn-arxiv;own;entropy;0.2;64;0.5;1;0.005;649695571;0.155932203389831;0.0072917492272331;ommited for csv readability;0.195518966413554;0.0081771587028892;ommited for csv readability;0.161282071462301;0.00694413852696498;ommited for csv readability;1180
ogbn-arxiv;own;entropy;0.2;64;0.5;1;0.005;649695571;0.152091254752852;0.00694806322737537;ommited for csv readability;0.194226148228594;0.00813188308247526;ommited for csv readability;0.161282071462301;0.00694413852696498;ommited for csv readability;1578
ogbn-arxiv;own;entropy;0.2;64;0.5;1;0.005;649695571;0.296258847320526;0.0264989802209724;ommited for csv readability;0.308801194429428;0.0257952612177612;ommited for csv readability;0.268928065480875;0.0237536826203008;ommited for csv readability;1978


ogbn-arxiv;own;entropy;0.2;64;0.5;1;0.005;831763849;0;0;[[]];0.00968621064976924;0.00198429915364816;ommited for csv readability;0.00983787187155675;0.00199715203687609;ommited for csv readability;0
ogbn-arxiv;own;entropy;0.2;64;0.5;1;0.005;831763849;0.173469387755102;0.0084472049689441;ommited for csv readability;0.131121589475734;0.00579617405361714;ommited for csv readability;0.126377302062018;0.00561561430462106;ommited for csv readability;392
ogbn-arxiv;own;entropy;0.2;64;0.5;1;0.005;831763849;0.147727272727273;0.00749924195231381;ommited for csv readability;0.208074613300262;0.00954378115446804;ommited for csv readability;0.163957972611365;0.00799609655199254;ommited for csv readability;792
ogbn-arxiv;own;entropy;0.2;64;0.5;1;0.005;831763849;0.311241610738255;0.0274331749564501;ommited for csv readability;0.305539219446504;0.0267949110066916;ommited for csv readability;0.267668817881316;0.0251913346542941;ommited for csv readability;1192
ogbn-arxiv;own;entropy;0.2;64;0.5;1;0.005;831763849;0.304020100502513;0.0245471052718293;ommited for csv readability;0.323535197174305;0.0247845642815829;ommited for csv readability;0.280772863214229;0.0226236536869166;ommited for csv readability;1592
ogbn-arxiv;own;entropy;0.2;64;0.5;1;0.005;831763849;0.284638554216867;0.0230263278113053;ommited for csv readability;0.31956542260592;0.0240901873809967;ommited for csv readability;0.282386274201165;0.022083014771301;ommited for csv readability;1992


ogbn-arxiv;own;entropy;0.2;64;0.5;1;0.005;615395017;0;0;[[]];0.00577966402011492;0.00139291760487793;ommited for csv readability;0.00594207461042027;0.00149458254855533;ommited for csv readability;0
ogbn-arxiv;own;entropy;0.2;64;0.5;1;0.005;615395017;0.0739795918367347;0.00405197708537097;ommited for csv readability;0.0992152513819872;0.00451300376597072;ommited for csv readability;0.0697505115693373;0.00326012985340911;ommited for csv readability;392
ogbn-arxiv;own;entropy;0.2;64;0.5;1;0.005;615395017;0.169191919191919;0.00826905276149337;ommited for csv readability;0.192079981652467;0.00805650562918626;ommited for csv readability;0.161282071462301;0.00694413852696498;ommited for csv readability;792
ogbn-arxiv;own;entropy;0.2;64;0.5;1;0.005;615395017;0.165407220822838;0.00767193706674975;ommited for csv readability;0.20099209054957;0.00836787123513214;ommited for csv readability;0.161301747206044;0.00695204070870985;ommited for csv readability;1191
ogbn-arxiv;own;entropy;0.2;64;0.5;1;0.005;615395017;0.32683846637335;0.0283766914226587;ommited for csv readability;0.313192733990148;0.0256462175304402;ommited for csv readability;0.270816936880214;0.0237362299686983;ommited for csv readability;1591
ogbn-arxiv;own;entropy;0.2;64;0.5;1;0.005;615395017;0.312405826217981;0.0253464467086758;ommited for csv readability;0.317279967046547;0.0243639852151304;ommited for csv readability;0.280654808751771;0.0224483066040775;ommited for csv readability;1991
