dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Test accuracy;Test macro-f1;Test confusion;Budget used
ogbn-arxiv;own;medoids;0;64;0.5;1;0.005;20795212;0;0;[[]];0.00463216868181473;0.00152903474137737;ommited for csv readability;0.00489926019203526;0.00201842243052972;ommited for csv readability;0
ogbn-arxiv;own;medoids;0;64;0.5;1;0.005;20795212;0.214285714285714;0.0117647058823529;ommited for csv readability;0.126135430511229;0.00560036684282138;ommited for csv readability;0.126357626318275;0.0056091255284212;ommited for csv readability;392
ogbn-arxiv;own;medoids;0;64;0.5;1;0.005;20795212;0.223484848484848;0.0114164086687307;ommited for csv readability;0.12577403654217;0.0055861137519429;ommited for csv readability;0.126357626318275;0.0056091255284212;ommited for csv readability;792
ogbn-arxiv;own;medoids;0;64;0.5;1;0.005;20795212;0.218120805369127;0.00942438741481804;ommited for csv readability;0.125495410263622;0.00557511870413704;ommited for csv readability;0.126357626318275;0.0056091255284212;ommited for csv readability;1192
ogbn-arxiv;own;medoids;0;64;0.5;1;0.005;20795212;0.211428571428571;0.00895016932752782;ommited for csv readability;0.125282186345601;0.00556670086249478;ommited for csv readability;0.126357626318275;0.0056091255284212;ommited for csv readability;1575
ogbn-arxiv;own;medoids;0;64;0.5;1;0.005;20795212;0.204972095383054;0.00872334682860999;ommited for csv readability;0.125132992415142;0.00557380306388264;ommited for csv readability;0.126396977805761;0.0056254878800404;ommited for csv readability;1971


ogbn-arxiv;own;medoids;0;64;0.5;1;0.005;649695571;0;0;[[]];0.0325179928956539;0.00360655686735231;ommited for csv readability;0.0328191405635133;0.00362600092246414;ommited for csv readability;0
ogbn-arxiv;own;medoids;0;64;0.5;1;0.005;649695571;0.282442748091603;0.0288378686668089;ommited for csv readability;0.273792391175524;0.0223604091937155;ommited for csv readability;0.27445694947269;0.022359525939123;ommited for csv readability;393
