dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Test accuracy;Test macro-f1;Test confusion;Budget used
ogbn-arxiv;own;own;0.2;64;0.5;1;0.005;20795212;0;0;[[]];0.00463216868181473;0.00152903474137737;ommited for csv readability;0.00489926019203526;0.00201842243052972;ommited for csv readability;0
ogbn-arxiv;own;own;0.2;64;0.5;1;0.005;20795212;0.153061224489796;0.00737463126843658;ommited for csv readability;0.130562868776825;0.0057742418569824;ommited for csv readability;0.126357626318275;0.0056091255284212;ommited for csv readability;392
ogbn-arxiv;own;own;0.2;64;0.5;1;0.005;20795212;0.183080808080808;0.00793585638836439;ommited for csv readability;0.135245100953902;0.00595664763672007;ommited for csv readability;0.126357626318275;0.0056091255284212;ommited for csv readability;792
ogbn-arxiv;own;own;0.2;64;0.5;1;0.005;20795212;0.178902953586498;0.0141111129989605;ommited for csv readability;0.215666388259158;0.0138287814967408;ommited for csv readability;0.178203211081379;0.0128719551348464;ommited for csv readability;1185
ogbn-arxiv;own;own;0.2;64;0.5;1;0.005;20795212;0.314556962025316;0.0279273402090402;ommited for csv readability;0.312530464601202;0.027316495562434;ommited for csv readability;0.268869038249646;0.0252106853401103;ommited for csv readability;1580
ogbn-arxiv;own;own;0.2;64;0.5;1;0.005;20795212;0.322548028311426;0.0256548708497858;ommited for csv readability;0.324074789130006;0.0250869808665634;ommited for csv readability;0.280280969620652;0.0227859638598467;ommited for csv readability;1978


ogbn-arxiv;own;own;0.2;64;0.5;1;0.005;649695571;0;0;[[]];0.0325179928956539;0.00360655686735231;ommited for csv readability;0.0328191405635133;0.00362600092246414;ommited for csv readability;0
ogbn-arxiv;own;own;0.2;64;0.5;1;0.005;649695571;0.145038167938931;0.00723809523809524;ommited for csv readability;0.215693412119262;0.00887120921973469;ommited for csv readability;0.161282071462301;0.00694413852696498;ommited for csv readability;393
ogbn-arxiv;own;own;0.2;64;0.5;1;0.005;649695571;0.174904942965779;0.00850670365233472;ommited for csv readability;0.20758515246751;0.00859505236725306;ommited for csv readability;0.161282071462301;0.00694413852696498;ommited for csv readability;789
