dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Test accuracy;Test macro-f1;Test confusion;Budget used
ogbn-arxiv;own;random;0;64;0.5;1;0.005;20795212;0;0;[[]];0.00463216868181473;0.00152903474137737;ommited for csv readability;0.00489926019203526;0.00201842243052972;ommited for csv readability;0
ogbn-arxiv;own;random;0;64;0.5;1;0.005;20795212;0.163265306122449;0.00802005012531328;ommited for csv readability;0.126304739813929;0.00560704112080693;ommited for csv readability;0.126357626318275;0.0056091255284212;ommited for csv readability;392
ogbn-arxiv;own;random;0;64;0.5;1;0.005;20795212;0.181818181818182;0.00809716599190283;ommited for csv readability;0.126054346071844;0.00559716973304065;ommited for csv readability;0.126357626318275;0.0056091255284212;ommited for csv readability;792
ogbn-arxiv;own;random;0;64;0.5;1;0.005;20795212;0.175335570469799;0.00765021321766504;ommited for csv readability;0.12593009281751;0.00559226960984694;ommited for csv readability;0.126357626318275;0.0056091255284212;ommited for csv readability;1192
ogbn-arxiv;own;random;0;64;0.5;1;0.005;20795212;0.17713567839196;0.00771693621213365;ommited for csv readability;0.125736570680852;0.005584635604616;ommited for csv readability;0.126357626318275;0.0056091255284212;ommited for csv readability;1592
ogbn-arxiv;own;random;0;64;0.5;1;0.005;20795212;0.178212851405622;0.00756284618662122;ommited for csv readability;0.125541719944734;0.00557694653694837;ommited for csv readability;0.126357626318275;0.0056091255284212;ommited for csv readability;1992


ogbn-arxiv;own;random;0;64;0.5;1;0.005;649695571;0;0;[[]];0.0325179928956539;0.00360655686735231;ommited for csv readability;0.0328191405635133;0.00362600092246414;ommited for csv readability;0
ogbn-arxiv;own;random;0;64;0.5;1;0.005;649695571;0.152671755725191;0.0075685903500473;ommited for csv readability;0.161386993549261;0.00694802828194475;ommited for csv readability;0.161282071462301;0.00694413852696498;ommited for csv readability;393
ogbn-arxiv;own;random;0;64;0.5;1;0.005;649695571;0.147914032869785;0.0067818223974032;ommited for csv readability;0.161448423484643;0.00695030533513731;ommited for csv readability;0.161282071462301;0.00694413852696498;ommited for csv readability;791
ogbn-arxiv;own;random;0;64;0.5;1;0.005;649695571;0.283193277310924;0.0232614688252038;ommited for csv readability;0.276078377894638;0.0221749435103626;ommited for csv readability;0.27654257830946;0.022168056295117;ommited for csv readability;1190
ogbn-arxiv;own;random;0;64;0.5;1;0.005;649695571;0.30251572327044;0.0236489676298774;ommited for csv readability;0.28268436401577;0.0218928875598437;ommited for csv readability;0.282838816307256;0.021905816475976;ommited for csv readability;1590
ogbn-arxiv;own;random;0;64;0.5;1;0.005;649695571;0.305025125628141;0.0244308645646438;ommited for csv readability;0.280419466398922;0.0221431809404204;ommited for csv readability;0.280851566189202;0.0221507351446625;ommited for csv readability;1990


ogbn-arxiv;own;random;0;64;0.5;1;0.005;831763849;0;0;[[]];0.00968621064976924;0.00198429915364816;ommited for csv readability;0.00983787187155675;0.00199715203687609;ommited for csv readability;0
ogbn-arxiv;own;random;0;64;0.5;1;0.005;831763849;0.178571428571429;0.00865800865800866;ommited for csv readability;0.126253947023119;0.00560503904811299;ommited for csv readability;0.126357626318275;0.0056091255284212;ommited for csv readability;392
ogbn-arxiv;own;random;0;64;0.5;1;0.005;831763849;0.162878787878788;0.00757108900431376;ommited for csv readability;0.126181759494424;0.00560219335958124;ommited for csv readability;0.126357626318275;0.0056091255284212;ommited for csv readability;792
ogbn-arxiv;own;random;0;64;0.5;1;0.005;831763849;0.163590604026846;0.00739953705460479;ommited for csv readability;0.126049417440146;0.00559697538526749;ommited for csv readability;0.126357626318275;0.0056091255284212;ommited for csv readability;1192
ogbn-arxiv;own;random;0;64;0.5;1;0.005;831763849;0.16781898177247;0.00736937981286743;ommited for csv readability;0.126128899835796;0.00567603164512269;ommited for csv readability;0.126495356524477;0.00565535286737297;ommited for csv readability;1591
ogbn-arxiv;own;random;0;64;0.5;1;0.005;831763849;0.323455549974887;0.0252387497603567;ommited for csv readability;0.281554647809968;0.0221074496269783;ommited for csv readability;0.282051786557532;0.0221159558941164;ommited for csv readability;1991


ogbn-arxiv;own;random;0;64;0.5;1;0.005;615395017;0;0;[[]];0.00577966402011492;0.00139291760487793;ommited for csv readability;0.00594207461042027;0.00149458254855533;ommited for csv readability;0
ogbn-arxiv;own;random;0;64;0.5;1;0.005;615395017;0.0714285714285714;0.00392156862745098;ommited for csv readability;0.0697638981773854;0.00326071473790833;ommited for csv readability;0.0697505115693373;0.00326012985340911;ommited for csv readability;392
ogbn-arxiv;own;random;0;64;0.5;1;0.005;615395017;0.200757575757576;0.0127331280969461;ommited for csv readability;0.133563243775854;0.00796010585051152;ommited for csv readability;0.134995277821502;0.00827362164341744;ommited for csv readability;792
ogbn-arxiv;own;random;0;64;0.5;1;0.005;615395017;0.299831081081081;0.0226723366197382;ommited for csv readability;0.225439979545745;0.0178866080566984;ommited for csv readability;0.225464347552337;0.0178747387843002;ommited for csv readability;1184
ogbn-arxiv;own;random;0;64;0.5;1;0.005;615395017;0.336489898989899;0.0257139645440536;ommited for csv readability;0.280403643049557;0.021754246158541;ommited for csv readability;0.280753187470486;0.0217719025463415;ommited for csv readability;1584
ogbn-arxiv;own;random;0;64;0.5;1;0.005;615395017;0.337197580645161;0.0260798326440784;ommited for csv readability;0.28111726090874;0.0221711659445085;ommited for csv readability;0.282307571226192;0.022216428312119;ommited for csv readability;1984
