dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Test accuracy;Test macro-f1;Test confusion;Budget used
ogbn-arxiv;own;entropy;0.2;64;0.5;1;0.005;20795212;0;0;[[]];0.0111880795484268;0.0103152302227155;ommited for csv readability;0.0112545254210609;0.00946661413674978;ommited for csv readability;0
ogbn-arxiv;own;entropy;0.2;64;0.5;1;0.005;20795212;0.4025;0.360854442475129;ommited for csv readability;0.335458308993473;0.189247475760412;ommited for csv readability;0.346804659216118;0.184108740277246;ommited for csv readability;400
ogbn-arxiv;own;entropy;0.2;64;0.5;1;0.005;20795212;0.4275;0.360170965692836;ommited for csv readability;0.412422803455687;0.232821468728661;ommited for csv readability;0.424386116795215;0.238160930620831;ommited for csv readability;800
ogbn-arxiv;own;entropy;0.2;64;0.5;1;0.005;20795212;0.400833333333333;0.287240456835813;ommited for csv readability;0.432896632259054;0.230334024890978;ommited for csv readability;0.450790964898473;0.241139817678041;ommited for csv readability;1200
ogbn-arxiv;own;entropy;0.2;64;0.5;1;0.005;20795212;0.39875;0.28100768192831;ommited for csv readability;0.439304133630975;0.240078452626814;ommited for csv readability;0.457638123721077;0.253063829661004;ommited for csv readability;1600
ogbn-arxiv;own;entropy;0.2;64;0.5;1;0.005;20795212;0.443;0.321081604430174;ommited for csv readability;0.478299676447618;0.273345480145361;ommited for csv readability;0.498111128600661;0.290514127654128;ommited for csv readability;2000


ogbn-arxiv;own;entropy;0.2;64;0.5;1;0.005;649695571;0;0;[[]];0.00596528826601642;0.0057804701517619;ommited for csv readability;0.00637494097276877;0.00576487987303282;ommited for csv readability;0
ogbn-arxiv;own;entropy;0.2;64;0.5;1;0.005;649695571;0.4875;0.396937733797744;ommited for csv readability;0.428449275730408;0.229044518780757;ommited for csv readability;0.438906815677633;0.231501136219492;ommited for csv readability;400
ogbn-arxiv;own;entropy;0.2;64;0.5;1;0.005;649695571;0.40375;0.327118491330534;ommited for csv readability;0.41456349442316;0.249304151046991;ommited for csv readability;0.445675271525264;0.258454740064145;ommited for csv readability;800
ogbn-arxiv;own;entropy;0.2;64;0.5;1;0.005;649695571;0.443333333333333;0.350970477552179;ommited for csv readability;0.442707489835406;0.277184686727038;ommited for csv readability;0.473614827640485;0.28424495988247;ommited for csv readability;1200
ogbn-arxiv;own;entropy;0.2;64;0.5;1;0.005;649695571;0.465;0.356178755848157;ommited for csv readability;0.462550996843969;0.291077794366073;ommited for csv readability;0.490417912797104;0.300105237727355;ommited for csv readability;1600
ogbn-arxiv;own;entropy;0.2;64;0.5;1;0.005;649695571;0.451;0.346291440024801;ommited for csv readability;0.466773659231542;0.290658408691167;ommited for csv readability;0.494333385801983;0.304872773929439;ommited for csv readability;2000


ogbn-arxiv;own;entropy;0.2;64;0.5;1;0.005;831763849;0;0;[[]];0.0272277018874611;0.0122072098783113;ommited for csv readability;0.0273492838029277;0.0115198660613908;ommited for csv readability;0
ogbn-arxiv;own;entropy;0.2;64;0.5;1;0.005;831763849;0.395;0.343248315230054;ommited for csv readability;0.349791312151305;0.190193400110536;ommited for csv readability;0.361876278923343;0.189554940349704;ommited for csv readability;400
ogbn-arxiv;own;entropy;0.2;64;0.5;1;0.005;831763849;0.40375;0.303742162239726;ommited for csv readability;0.404964364291236;0.212259978706889;ommited for csv readability;0.431095545411617;0.222977256883731;ommited for csv readability;800
ogbn-arxiv;own;entropy;0.2;64;0.5;1;0.005;831763849;0.439166666666667;0.316030982054;ommited for csv readability;0.427211278650517;0.23110882493469;ommited for csv readability;0.457815205414765;0.245728012307628;ommited for csv readability;1200
ogbn-arxiv;own;entropy;0.2;64;0.5;1;0.005;831763849;0.459375;0.351964356059941;ommited for csv readability;0.466245862520206;0.26450885347596;ommited for csv readability;0.489729261766095;0.280787720910848;ommited for csv readability;1600
ogbn-arxiv;own;entropy;0.2;64;0.5;1;0.005;831763849;0.4785;0.347134224472255;ommited for csv readability;0.499240467219938;0.279180923557702;ommited for csv readability;0.528195340783882;0.307952192107775;ommited for csv readability;2000


ogbn-arxiv;own;entropy;0.2;64;0.5;1;0.005;615395017;0;0;[[]];0.0289742572920797;0.00948927451125559;ommited for csv readability;0.0299661577207618;0.0102177011955108;ommited for csv readability;0
ogbn-arxiv;own;entropy;0.2;64;0.5;1;0.005;615395017;0.3225;0.289218300500332;ommited for csv readability;0.20017101397743;0.156358126325457;ommited for csv readability;0.196422949787502;0.151235409046797;ommited for csv readability;400
ogbn-arxiv;own;entropy;0.2;64;0.5;1;0.005;615395017;0.4625;0.357452591925138;ommited for csv readability;0.42941241430865;0.25387348660432;ommited for csv readability;0.45759877223359;0.266931133039354;ommited for csv readability;800
ogbn-arxiv;own;entropy;0.2;64;0.5;1;0.005;615395017;0.485;0.35690030549546;ommited for csv readability;0.462661631960722;0.268506964314723;ommited for csv readability;0.48059971666929;0.282063373283571;ommited for csv readability;1200
ogbn-arxiv;own;entropy;0.2;64;0.5;1;0.005;615395017;0.44375;0.333555962995235;ommited for csv readability;0.444675373549209;0.256495581448544;ommited for csv readability;0.464504958287423;0.272722975531157;ommited for csv readability;1600
ogbn-arxiv;own;entropy;0.2;64;0.5;1;0.005;615395017;0.4385;0.322140815303864;ommited for csv readability;0.470635690316601;0.273947853495741;ommited for csv readability;0.489611207303636;0.285521531489387;ommited for csv readability;2000
