dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Test accuracy;Test macro-f1;Test confusion;Budget used
ogbn-arxiv;own;medoids;0.2;64;0.5;1;0.005;20795212;0;0;[[]];0.0111880795484268;0.0103152302227155;ommited for csv readability;0.0112545254210609;0.00946661413674978;ommited for csv readability;0
ogbn-arxiv;own;medoids;0.2;64;0.5;1;0.005;20795212;0.505;0.434425973898054;ommited for csv readability;0.426392028378161;0.222391349059236;ommited for csv readability;0.437017944278294;0.219099892754747;ommited for csv readability;400
ogbn-arxiv;own;medoids;0.2;64;0.5;1;0.005;20795212;0.485;0.393254032412127;ommited for csv readability;0.460282537228485;0.249347288439787;ommited for csv readability;0.46777113174878;0.252287469085057;ommited for csv readability;800
ogbn-arxiv;own;medoids;0.2;64;0.5;1;0.005;20795212;0.485;0.398723409120139;ommited for csv readability;0.476350804217561;0.275723775846625;ommited for csv readability;0.485577679836298;0.277941307651896;ommited for csv readability;1200
ogbn-arxiv;own;medoids;0.2;64;0.5;1;0.005;20795212;0.46875;0.355796828540841;ommited for csv readability;0.481418759996237;0.27803151942824;ommited for csv readability;0.498701400912954;0.290209128564039;ommited for csv readability;1600
ogbn-arxiv;own;medoids;0.2;64;0.5;1;0.005;20795212;0.469;0.352765280040779;ommited for csv readability;0.487963336451566;0.280537245940603;ommited for csv readability;0.50480088147332;0.293557530736896;ommited for csv readability;2000


ogbn-arxiv;own;medoids;0.2;64;0.5;1;0.005;649695571;0;0;[[]];0.00596528826601642;0.0057804701517619;ommited for csv readability;0.00637494097276877;0.00576487987303282;ommited for csv readability;0
ogbn-arxiv;own;medoids;0.2;64;0.5;1;0.005;649695571;0.5175;0.42027079415171;ommited for csv readability;0.452365834455083;0.237239844066118;ommited for csv readability;0.437608216590587;0.234666692821874;ommited for csv readability;400
ogbn-arxiv;own;medoids;0.2;64;0.5;1;0.005;649695571;0.56375;0.482580499959546;ommited for csv readability;0.516934394617691;0.301503801682154;ommited for csv readability;0.512159609633244;0.294581201977202;ommited for csv readability;800
ogbn-arxiv;own;medoids;0.2;64;0.5;1;0.005;649695571;0.56;0.428868880833792;ommited for csv readability;0.534380620359874;0.303055187568238;ommited for csv readability;0.525362033684873;0.299039595564613;ommited for csv readability;1200
ogbn-arxiv;own;medoids;0.2;64;0.5;1;0.005;649695571;0.534375;0.45244446360712;ommited for csv readability;0.541143868832268;0.320116071579448;ommited for csv readability;0.535868880843696;0.312699951773152;ommited for csv readability;1600
ogbn-arxiv;own;medoids;0.2;64;0.5;1;0.005;649695571;0.529;0.427200846886327;ommited for csv readability;0.543894128854522;0.317520275602619;ommited for csv readability;0.544565559578152;0.31762165463016;ommited for csv readability;2000


ogbn-arxiv;own;medoids;0.2;64;0.5;1;0.005;831763849;0;0;[[]];0.0272277018874611;0.0122072098783113;ommited for csv readability;0.0273492838029277;0.0115198660613908;ommited for csv readability;0
ogbn-arxiv;own;medoids;0.2;64;0.5;1;0.005;831763849;0.5725;0.498960932456139;ommited for csv readability;0.463524073180437;0.274340982460819;ommited for csv readability;0.468203998111129;0.259260920278954;ommited for csv readability;400
ogbn-arxiv;own;medoids;0.2;64;0.5;1;0.005;831763849;0.5075;0.388209336635094;ommited for csv readability;0.470824590762749;0.273911787431833;ommited for csv readability;0.494608846214387;0.277433054419107;ommited for csv readability;800
ogbn-arxiv;own;medoids;0.2;64;0.5;1;0.005;831763849;0.515833333333333;0.409018099935652;ommited for csv readability;0.48325505672568;0.292430488016333;ommited for csv readability;0.504013851723595;0.292359707889259;ommited for csv readability;1200
ogbn-arxiv;own;medoids;0.2;64;0.5;1;0.005;831763849;0.51875;0.407168718032617;ommited for csv readability;0.507317031449123;0.306198959138144;ommited for csv readability;0.525362033684873;0.307544048504228;ommited for csv readability;1600
ogbn-arxiv;own;medoids;0.2;64;0.5;1;0.005;831763849;0.5175;0.386862270636557;ommited for csv readability;0.524541061972725;0.310533344013267;ommited for csv readability;0.537324885880686;0.307805341983839;ommited for csv readability;2000


ogbn-arxiv;own;medoids;0.2;64;0.5;1;0.005;615395017;0;0;[[]];0.0289742572920797;0.00948927451125559;ommited for csv readability;0.0299661577207618;0.0102177011955108;ommited for csv readability;0
ogbn-arxiv;own;medoids;0.2;64;0.5;1;0.005;615395017;0.38;0.301767783454066;ommited for csv readability;0.299748558656948;0.174614350985617;ommited for csv readability;0.286951046749567;0.165087621645923;ommited for csv readability;400
ogbn-arxiv;own;medoids;0.2;64;0.5;1;0.005;615395017;0.4025;0.312091256058566;ommited for csv readability;0.359559629286691;0.225377304736607;ommited for csv readability;0.35231386746419;0.220300193270564;ommited for csv readability;800
ogbn-arxiv;own;medoids;0.2;64;0.5;1;0.005;615395017;0.475;0.347639771310723;ommited for csv readability;0.464349338129374;0.270121726263739;ommited for csv readability;0.471529198803715;0.274141204842954;ommited for csv readability;1200
ogbn-arxiv;own;medoids;0.2;64;0.5;1;0.005;615395017;0.508125;0.374631150712307;ommited for csv readability;0.502510284898092;0.295279672977785;ommited for csv readability;0.513123721076657;0.301142967486637;ommited for csv readability;1600
ogbn-arxiv;own;medoids;0.2;64;0.5;1;0.005;615395017;0.5305;0.39866696465986;ommited for csv readability;0.535337584428291;0.309858358386841;ommited for csv readability;0.543935935778372;0.316812540259355;ommited for csv readability;2000
