dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Test accuracy;Test macro-f1;Test confusion;Budget used
ogbn-arxiv;own;own;0.2;64;0.5;1;0.005;20795212;0;0;[[]];0.0111880795484268;0.0103152302227155;ommited for csv readability;0.0112545254210609;0.00946661413674978;ommited for csv readability;0
ogbn-arxiv;own;own;0.2;64;0.5;1;0.005;20795212;0.3725;0.302518759753683;ommited for csv readability;0.372209382063851;0.199920047900656;ommited for csv readability;0.378994175979852;0.203286673981575;ommited for csv readability;400
ogbn-arxiv;own;own;0.2;64;0.5;1;0.005;20795212;0.47;0.352691019306607;ommited for csv readability;0.442095158810387;0.253349343890182;ommited for csv readability;0.449630096017629;0.259221562270158;ommited for csv readability;800
ogbn-arxiv;own;own;0.2;64;0.5;1;0.005;20795212;0.4575;0.31931715982883;ommited for csv readability;0.447190992081419;0.248129811616607;ommited for csv readability;0.458070990083425;0.256743638660205;ommited for csv readability;1200
ogbn-arxiv;own;own;0.2;64;0.5;1;0.005;20795212;0.46625;0.313329314665056;ommited for csv readability;0.474191534310078;0.257290085108382;ommited for csv readability;0.482980481662207;0.266866229007257;ommited for csv readability;1600
ogbn-arxiv;own;own;0.2;64;0.5;1;0.005;20795212;0.475;0.322023189338572;ommited for csv readability;0.502990928518096;0.281643567042944;ommited for csv readability;0.51194317645207;0.297376097245699;ommited for csv readability;2000


ogbn-arxiv;own;own;0.2;64;0.5;1;0.005;649695571;0;0;[[]];0.00596528826601642;0.0057804701517619;ommited for csv readability;0.00637494097276877;0.00576487987303282;ommited for csv readability;0
ogbn-arxiv;own;own;0.2;64;0.5;1;0.005;649695571;0.4425;0.363171677360968;ommited for csv readability;0.351239004732515;0.204613559422185;ommited for csv readability;0.382889973240988;0.21081127306077;ommited for csv readability;400
ogbn-arxiv;own;own;0.2;64;0.5;1;0.005;649695571;0.46125;0.389079570474276;ommited for csv readability;0.387804857329743;0.242636410295419;ommited for csv readability;0.433122147017157;0.256179507052732;ommited for csv readability;800
ogbn-arxiv;own;own;0.2;64;0.5;1;0.005;649695571;0.459166666666667;0.351831087463292;ommited for csv readability;0.443022869270962;0.269682690355182;ommited for csv readability;0.456634660790178;0.27799276177875;ommited for csv readability;1200
ogbn-arxiv;own;own;0.2;64;0.5;1;0.005;649695571;0.52375;0.405164170571712;ommited for csv readability;0.511448096545472;0.305540432136466;ommited for csv readability;0.525952305997167;0.316851088531228;ommited for csv readability;1600
ogbn-arxiv;own;own;0.2;64;0.5;1;0.005;649695571;0.5205;0.369215380483538;ommited for csv readability;0.53008522215261;0.300513692570088;ommited for csv readability;0.539095702817567;0.314102396350416;ommited for csv readability;2000


ogbn-arxiv;own;own;0.2;64;0.5;1;0.005;831763849;0;0;[[]];0.0272277018874611;0.0122072098783113;ommited for csv readability;0.0273492838029277;0.0115198660613908;ommited for csv readability;0
ogbn-arxiv;own;own;0.2;64;0.5;1;0.005;831763849;0.3525;0.300771426251852;ommited for csv readability;0.241730796908203;0.162572529796464;ommited for csv readability;0.338698252793956;0.178699356437826;ommited for csv readability;400
ogbn-arxiv;own;own;0.2;64;0.5;1;0.005;831763849;0.415;0.387169051402602;ommited for csv readability;0.403452288925322;0.250019307305979;ommited for csv readability;0.430210136943176;0.266493542235004;ommited for csv readability;800
ogbn-arxiv;own;own;0.2;64;0.5;1;0.005;831763849;0.425833333333333;0.358605650591046;ommited for csv readability;0.418781271575789;0.250823336929617;ommited for csv readability;0.450830316385959;0.266402919188993;ommited for csv readability;1200
ogbn-arxiv;own;own;0.2;64;0.5;1;0.005;831763849;0.47875;0.386076690345037;ommited for csv readability;0.463825383385079;0.282814149288683;ommited for csv readability;0.498780103887927;0.297934268645123;ommited for csv readability;1600
ogbn-arxiv;own;own;0.2;64;0.5;1;0.005;831763849;0.4655;0.367174196942044;ommited for csv readability;0.459349977256928;0.283071876494981;ommited for csv readability;0.488961907760113;0.302804088443966;ommited for csv readability;2000


ogbn-arxiv;own;own;0.2;64;0.5;1;0.005;615395017;0;0;[[]];0.0289742572920797;0.00948927451125559;ommited for csv readability;0.0299661577207618;0.0102177011955108;ommited for csv readability;0
ogbn-arxiv;own;own;0.2;64;0.5;1;0.005;615395017;0.31;0.301722833286758;ommited for csv readability;0.206605203227254;0.162360326583689;ommited for csv readability;0.205414764678105;0.158250156622579;ommited for csv readability;400
ogbn-arxiv;own;own;0.2;64;0.5;1;0.005;615395017;0.445;0.359104168449014;ommited for csv readability;0.356509994138584;0.23500585095626;ommited for csv readability;0.372855343932001;0.24428940512816;ommited for csv readability;800
ogbn-arxiv;own;own;0.2;64;0.5;1;0.005;615395017;0.458333333333333;0.337345860367064;ommited for csv readability;0.419377935372787;0.250628965225917;ommited for csv readability;0.445124350700456;0.269731597993188;ommited for csv readability;1200
ogbn-arxiv;own;own;0.2;64;0.5;1;0.005;615395017;0.45875;0.338668323230086;ommited for csv readability;0.457042910048837;0.262803753273425;ommited for csv readability;0.472473634503384;0.277396306130353;ommited for csv readability;1600
ogbn-arxiv;own;own;0.2;64;0.5;1;0.005;615395017;0.496;0.370294372980182;ommited for csv readability;0.488667084338177;0.281767014727766;ommited for csv readability;0.512356367070675;0.301118436365445;ommited for csv readability;2000
