dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Test accuracy;Test macro-f1;Test confusion;Budget used
ogbn-arxiv;own;pagerank;0.2;64;0.5;1;0.005;20795212;0;0;[[]];0.0111880795484268;0.0103152302227155;ommited for csv readability;0.0112545254210609;0.00946661413674978;ommited for csv readability;0
ogbn-arxiv;own;pagerank;0.2;64;0.5;1;0.005;20795212;0.4025;0.344609264331353;ommited for csv readability;0.297047892379719;0.196079435479197;ommited for csv readability;0.344069730835826;0.195106744147421;ommited for csv readability;400
ogbn-arxiv;own;pagerank;0.2;64;0.5;1;0.005;20795212;0.395;0.287824379241639;ommited for csv readability;0.376659672610199;0.227376409886908;ommited for csv readability;0.398118998898158;0.234274548955063;ommited for csv readability;800
ogbn-arxiv;own;pagerank;0.2;64;0.5;1;0.005;20795212;0.415833333333333;0.320172823454204;ommited for csv readability;0.400634168378523;0.248049058067079;ommited for csv readability;0.416496143554226;0.260611110304352;ommited for csv readability;1200
ogbn-arxiv;own;pagerank;0.2;64;0.5;1;0.005;20795212;0.46375;0.372024744638446;ommited for csv readability;0.452244716427612;0.266032303413742;ommited for csv readability;0.465724854399496;0.279828798684752;ommited for csv readability;1600
ogbn-arxiv;own;pagerank;0.2;64;0.5;1;0.005;20795212;0.4655;0.363322686981629;ommited for csv readability;0.472935744385036;0.279336995016301;ommited for csv readability;0.48951282858492;0.296507532226662;ommited for csv readability;2000


ogbn-arxiv;own;pagerank;0.2;64;0.5;1;0.005;649695571;0;0;[[]];0.00596528826601642;0.0057804701517619;ommited for csv readability;0.00637494097276877;0.00576487987303282;ommited for csv readability;0
ogbn-arxiv;own;pagerank;0.2;64;0.5;1;0.005;649695571;0.535;0.469906256102636;ommited for csv readability;0.471668402204556;0.253806369169415;ommited for csv readability;0.452207618447977;0.243734387865508;ommited for csv readability;400
ogbn-arxiv;own;pagerank;0.2;64;0.5;1;0.005;649695571;0.50875;0.439608736839988;ommited for csv readability;0.477730867574478;0.272555188010258;ommited for csv readability;0.483944593105619;0.273354908223048;ommited for csv readability;800
ogbn-arxiv;own;pagerank;0.2;64;0.5;1;0.005;649695571;0.493333333333333;0.391014857890689;ommited for csv readability;0.49143787451308;0.276348128510081;ommited for csv readability;0.492346135683929;0.280508937213925;ommited for csv readability;1200
ogbn-arxiv;own;pagerank;0.2;64;0.5;1;0.005;649695571;0.474375;0.37654381325029;ommited for csv readability;0.498370666871937;0.279993428907605;ommited for csv readability;0.50505666614198;0.290163152495766;ommited for csv readability;1600
ogbn-arxiv;own;pagerank;0.2;64;0.5;1;0.005;649695571;0.4915;0.370619843337906;ommited for csv readability;0.517374848737116;0.294695004257902;ommited for csv readability;0.523965055879112;0.306566032221294;ommited for csv readability;2000


ogbn-arxiv;own;pagerank;0.2;64;0.5;1;0.005;831763849;0;0;[[]];0.0272277018874611;0.0122072098783113;ommited for csv readability;0.0273492838029277;0.0115198660613908;ommited for csv readability;0
ogbn-arxiv;own;pagerank;0.2;64;0.5;1;0.005;831763849;0.405;0.339996894839643;ommited for csv readability;0.317027743208121;0.201408383419581;ommited for csv readability;0.367739650558791;0.20056541344086;ommited for csv readability;400
ogbn-arxiv;own;pagerank;0.2;64;0.5;1;0.005;831763849;0.4125;0.333708754760584;ommited for csv readability;0.374323601117916;0.228870109802525;ommited for csv readability;0.413466079017787;0.235386510071485;ommited for csv readability;800
ogbn-arxiv;own;pagerank;0.2;64;0.5;1;0.005;831763849;0.386666666666667;0.291380024269821;ommited for csv readability;0.386211952028231;0.234774915068834;ommited for csv readability;0.412088776955769;0.243312048435431;ommited for csv readability;1200
ogbn-arxiv;own;pagerank;0.2;64;0.5;1;0.005;831763849;0.435625;0.312054591871985;ommited for csv readability;0.458103473344794;0.266535114076181;ommited for csv readability;0.483413348024555;0.278914319395059;ommited for csv readability;1600
ogbn-arxiv;own;pagerank;0.2;64;0.5;1;0.005;831763849;0.4745;0.328890308405527;ommited for csv readability;0.490804074871909;0.280864180748042;ommited for csv readability;0.504997638910751;0.291624687645208;ommited for csv readability;2000


ogbn-arxiv;own;pagerank;0.2;64;0.5;1;0.005;615395017;0;0;[[]];0.0289742572920797;0.00948927451125559;ommited for csv readability;0.0299661577207618;0.0102177011955108;ommited for csv readability;0
ogbn-arxiv;own;pagerank;0.2;64;0.5;1;0.005;615395017;0.41;0.401861242816958;ommited for csv readability;0.344254522981061;0.21793943518899;ommited for csv readability;0.360892491736188;0.224252321256677;ommited for csv readability;400
ogbn-arxiv;own;pagerank;0.2;64;0.5;1;0.005;615395017;0.47875;0.442156426692668;ommited for csv readability;0.445331679677877;0.257643348124242;ommited for csv readability;0.457146230127499;0.261577922884013;ommited for csv readability;800
ogbn-arxiv;own;pagerank;0.2;64;0.5;1;0.005;615395017;0.484166666666667;0.398196199288267;ommited for csv readability;0.46337762851712;0.277331870891931;ommited for csv readability;0.4737132063592;0.287455597723399;ommited for csv readability;1200
ogbn-arxiv;own;pagerank;0.2;64;0.5;1;0.005;615395017;0.475;0.363841405087058;ommited for csv readability;0.481358889487594;0.27527029723558;ommited for csv readability;0.488037147804187;0.282069371249132;ommited for csv readability;1600
ogbn-arxiv;own;pagerank;0.2;64;0.5;1;0.005;615395017;0.469;0.33869906651523;ommited for csv readability;0.496923248568903;0.275078058661945;ommited for csv readability;0.498858806862899;0.291595207487709;ommited for csv readability;2000
