dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Test accuracy;Test macro-f1;Test confusion;Budget used
ogbn-arxiv;own;random;0.2;64;0.5;1;0.005;20795212;0;0;[[]];0.0111880795484268;0.0103152302227155;ommited for csv readability;0.0112545254210609;0.00946661413674978;ommited for csv readability;0
ogbn-arxiv;own;random;0.2;64;0.5;1;0.005;20795212;0.435;0.401565814102238;ommited for csv readability;0.388641962766363;0.21355305595603;ommited for csv readability;0.401699984259405;0.213906530234474;ommited for csv readability;400
ogbn-arxiv;own;random;0.2;64;0.5;1;0.005;20795212;0.39375;0.28994917604581;ommited for csv readability;0.380728684409484;0.211823320037485;ommited for csv readability;0.407504328663624;0.221574986994468;ommited for csv readability;800
ogbn-arxiv;own;random;0.2;64;0.5;1;0.005;20795212;0.436666666666667;0.315707382311786;ommited for csv readability;0.436365806050171;0.243180435628472;ommited for csv readability;0.460786242719975;0.25070584140792;ommited for csv readability;1200
ogbn-arxiv;own;random;0.2;64;0.5;1;0.005;20795212;0.42875;0.318639198125621;ommited for csv readability;0.463671430648569;0.267624301601095;ommited for csv readability;0.49399889815835;0.284316475993036;ommited for csv readability;1600
ogbn-arxiv;own;random;0.2;64;0.5;1;0.005;20795212;0.419;0.318777499918444;ommited for csv readability;0.458860786652821;0.267506559863712;ommited for csv readability;0.485046434755234;0.282250527274743;ommited for csv readability;2000


ogbn-arxiv;own;random;0.2;64;0.5;1;0.005;649695571;0;0;[[]];0.00596528826601642;0.0057804701517619;ommited for csv readability;0.00637494097276877;0.00576487987303282;ommited for csv readability;0
ogbn-arxiv;own;random;0.2;64;0.5;1;0.005;649695571;0.4925;0.386748474053172;ommited for csv readability;0.422573845020699;0.236267505647032;ommited for csv readability;0.440874390051944;0.242430825343536;ommited for csv readability;400
ogbn-arxiv;own;random;0.2;64;0.5;1;0.005;649695571;0.45125;0.395340986630901;ommited for csv readability;0.455703837103611;0.27007504230659;ommited for csv readability;0.479438847788446;0.273531974993393;ommited for csv readability;800
ogbn-arxiv;own;random;0.2;64;0.5;1;0.005;649695571;0.47;0.378637220740294;ommited for csv readability;0.477646417033899;0.288664305043528;ommited for csv readability;0.500511569337321;0.295885645044758;ommited for csv readability;1200
ogbn-arxiv;own;random;0.2;64;0.5;1;0.005;649695571;0.474375;0.353374677802884;ommited for csv readability;0.47207896064797;0.283940436467607;ommited for csv readability;0.520797261136471;0.303296719273159;ommited for csv readability;1600
ogbn-arxiv;own;random;0.2;64;0.5;1;0.005;649695571;0.479;0.352273747670644;ommited for csv readability;0.491610810254122;0.293108281098822;ommited for csv readability;0.535888556587439;0.3095431691581;ommited for csv readability;2000


ogbn-arxiv;own;random;0.2;64;0.5;1;0.005;831763849;0;0;[[]];0.0272277018874611;0.0122072098783113;ommited for csv readability;0.0273492838029277;0.0115198660613908;ommited for csv readability;0
ogbn-arxiv;own;random;0.2;64;0.5;1;0.005;831763849;0.39;0.295294790068867;ommited for csv readability;0.358392807253702;0.185740564358832;ommited for csv readability;0.367660947583819;0.185178018149066;ommited for csv readability;400
ogbn-arxiv;own;random;0.2;64;0.5;1;0.005;831763849;0.42875;0.306485011897999;ommited for csv readability;0.382724963684707;0.233528601869603;ommited for csv readability;0.397961592948213;0.23954379429955;ommited for csv readability;800
ogbn-arxiv;own;random;0.2;64;0.5;1;0.005;831763849;0.464166666666667;0.381368375760325;ommited for csv readability;0.434831527715033;0.277017337927475;ommited for csv readability;0.441877852982843;0.282170688840008;ommited for csv readability;1200
ogbn-arxiv;own;random;0.2;64;0.5;1;0.005;831763849;0.4675;0.366790217676675;ommited for csv readability;0.463577348420702;0.278686723851624;ommited for csv readability;0.467023453486542;0.285421388131131;ommited for csv readability;1600
ogbn-arxiv;own;random;0.2;64;0.5;1;0.005;831763849;0.4665;0.345775275826365;ommited for csv readability;0.483440468936397;0.288802442271574;ommited for csv readability;0.492070675271525;0.298927516448692;ommited for csv readability;2000


ogbn-arxiv;own;random;0.2;64;0.5;1;0.005;615395017;0;0;[[]];0.0289742572920797;0.00948927451125559;ommited for csv readability;0.0299661577207618;0.0102177011955108;ommited for csv readability;0
ogbn-arxiv;own;random;0.2;64;0.5;1;0.005;615395017;0.3225;0.289218300500332;ommited for csv readability;0.20017101397743;0.156358126325457;ommited for csv readability;0.196422949787502;0.151235409046797;ommited for csv readability;400
ogbn-arxiv;own;random;0.2;64;0.5;1;0.005;615395017;0.46875;0.364376140552723;ommited for csv readability;0.44351379131661;0.261140893435563;ommited for csv readability;0.474323154415237;0.272633163956028;ommited for csv readability;800
ogbn-arxiv;own;random;0.2;64;0.5;1;0.005;615395017;0.438333333333333;0.330192552087267;ommited for csv readability;0.443218915947119;0.250623467529381;ommited for csv readability;0.458936722808122;0.260745103273852;ommited for csv readability;1200
ogbn-arxiv;own;random;0.2;64;0.5;1;0.005;615395017;0.465625;0.345031955119982;ommited for csv readability;0.471830925683593;0.268000488855807;ommited for csv readability;0.490162128128443;0.279470493962671;ommited for csv readability;1600
ogbn-arxiv;own;random;0.2;64;0.5;1;0.005;615395017;0.4735;0.361826608809344;ommited for csv readability;0.484847964709618;0.283122744687336;ommited for csv readability;0.50182984416811;0.297098142872764;ommited for csv readability;2000
