dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Test accuracy;Test macro-f1;Test confusion;Budget used;Class distrubution
ogbn-arxiv;own;pagerank;0;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];0.00463216868181473;0.0015290347413773743;ommited for csv readability;0.004899260192035259;0.002018422430529721;ommited for csv readability;0.0;[]
ogbn-arxiv;own;pagerank;0;64;0.5;1;0.005;20795212.0;0.18112244897959184;0.009293801950389423;ommited for csv readability;0.1262454815579842;0.005604705351773903;ommited for csv readability;0.12635762631827482;0.0056091255284211996;ommited for csv readability;392.0;"[ 0  1 13  4 18 14  3  1 18 13 10  1  0  2  0  0 53  0  1  7  1  1  4  6
 45  3 16 11 71  1 18  5  0  5 19  0 12  8  2  5]"
ogbn-arxiv;own;pagerank;0;64;0.5;1;0.005;20795212.0;0.20707070707070707;0.009802749551703524;ommited for csv readability;0.12588446150840504;0.005590469795619668;ommited for csv readability;0.12635762631827482;0.0056091255284211996;ommited for csv readability;792.0;"[  1   2  26   8  30  22   5   2  40  19  21   1   0   7   1   0 124   0
   2  10   3   1   6  11  91   4  20  18 164   1  53   8   0  10  36   0
  18  11   8   8]"
ogbn-arxiv;own;pagerank;0;64;0.5;1;0.005;20795212.0;0.18887015177065766;0.008825847123719463;ommited for csv readability;0.12579581191992023;0.00558697281460789;ommited for csv readability;0.12635762631827482;0.0056091255284211996;ommited for csv readability;1186.0;"[  2   3  35  11  44  35   7   3  61  30  37   1   0  17   2   0 192   1
   2  17   5   1  13  15 145   6  29  28 224   2  77  14   0  10  55   0
  23  14  12  13]"
ogbn-arxiv;own;pagerank;0;64;0.5;1;0.005;20795212.0;0.18726355611601514;0.00852578547745834;ommited for csv readability;0.12560184037012648;0.005579319252393253;ommited for csv readability;0.12635762631827482;0.0056091255284211996;ommited for csv readability;1586.0;"[  3   6  45  17  58  41   8   3  81  32  48   4   0  22   2   0 259   1
   5  26   7   3  18  17 201  12  39  36 297   4 102  16   1  13  76   0
  35  18  14  16]"
ogbn-arxiv;own;pagerank;0;64;0.5;1;0.005;20795212.0;0.18177240684793555;0.008314236690887735;ommited for csv readability;0.12564681249088241;0.005641275822480009;ommited for csv readability;0.1266330867306784;0.005719058526042908;ommited for csv readability;1986.0;"[  5   7  57  21  62  58   8   5  96  43  57   5   0  30   4   0 336   2
   5  36  13   4  23  19 254  14  54  49 361   4 125  22   1  17  91   0
  38  23  17  20]"


ogbn-arxiv;own;pagerank;0;64;0.5;1;0.005;649695571.0;0.0;0.0;[[]];0.03251799289565386;0.0036065568673523144;ommited for csv readability;0.0328191405635133;0.0036260009224641414;ommited for csv readability;0.0;[]
ogbn-arxiv;own;pagerank;0;64;0.5;1;0.005;649695571.0;0.15521628498727735;0.007677784770295783;ommited for csv readability;0.16137852801246128;0.006947714466903324;ommited for csv readability;0.16128207146230128;0.0069441385269649785;ommited for csv readability;393.0;"[ 1  1 15  9 21 13  1  1 13  4 22  0  0  7  3  1 61  0  1  3  4  1  3 11
 41  0  4 13 51  1 32  9  2  2 19  0  9  4  3  7]"
ogbn-arxiv;own;pagerank;0;64;0.5;1;0.005;649695571.0;0.15842839036755388;0.007197973050788899;ommited for csv readability;0.1613777287012656;0.006947684836428263;ommited for csv readability;0.16128207146230128;0.0069441385269649785;ommited for csv readability;789.0;"[  3   4  27  15  36  24   3   3  28   8  42   1   0  11   6   1 125   1
   2   8  10   1   7  17  90   1  14  18 122   2  59  12   4   4  40   0
  17   8   4  11]"
ogbn-arxiv;own;pagerank;0;64;0.5;1;0.005;649695571.0;0.312026913372582;0.025680902122504137;ommited for csv readability;0.27801926191084975;0.022367013118651743;ommited for csv readability;0.2787069101212026;0.022368650715693734;ommited for csv readability;1189.0;"[  3   5  38  22  50  30   6   3  39  14  61   2   0  17   6   3 211   2
   5  14  17   1   9  21 144   3  23  29 180   2  86  19   4   6  56   0
  21  15   7  15]"
ogbn-arxiv;own;pagerank;0;64;0.5;1;0.005;649695571.0;0.31651954602774274;0.02517171862625099;ommited for csv readability;0.2813833562809472;0.02182686551739508;ommited for csv readability;0.2818156776326145;0.021855933697416265;ommited for csv readability;1586.0;"[  5   5  48  24  64  37  10   5  48  24  77   5   0  25   8   4 280   2
   7  18  20   1  15  29 201   6  31  46 229   2 118  25   8   8  75   0
  32  20   7  17]"
ogbn-arxiv;own;pagerank;0;64;0.5;1;0.005;649695571.0;0.31067472306143;0.02494371860016815;ommited for csv readability;0.28201453665485315;0.021885071364177024;ommited for csv readability;0.28244530143239416;0.0219073472145639;ommited for csv readability;1986.0;"[  5   6  60  27  76  50  12   5  68  29  99   6   0  33  10   4 339   3
   8  24  21   2  20  37 251   8  47  53 287   2 150  34   8   8  93   0
  40  28  13  20]"


ogbn-arxiv;own;pagerank;0;64;0.5;1;0.005;831763849.0;0.0;0.0;[[]];0.009686210649769236;0.001984299153648161;ommited for csv readability;0.009837871871556745;0.001997152036876092;ommited for csv readability;0.0;[]
ogbn-arxiv;own;pagerank;0;64;0.5;1;0.005;831763849.0;0.14285714285714285;0.007352941176470588;ommited for csv readability;0.12637246353500894;0.00560971027018902;ommited for csv readability;0.12635762631827482;0.0056091255284211996;ommited for csv readability;392.0;"[ 1  0 14  4 13  9  2  1 17  7 14  1  0  7  1  1 68  1  1  5  5  0  7  2
 42  0 11 11 56  4 30  6  0  1 28  0 10  2  5  5]"
ogbn-arxiv;own;pagerank;0;64;0.5;1;0.005;831763849.0;0.16540404040404041;0.007884916335620561;ommited for csv readability;0.12616477103807963;0.00560152360838739;ommited for csv readability;0.12635762631827482;0.0056091255284211996;ommited for csv readability;792.0;"[  1   0  23  10  25  20   5   1  37  12  27   3   0  13   2   2 131   1
   2   9   7   1  13   6  95   3  21  19 131   6  59   9   0   6  52   0
  20   2   8  10]"
ogbn-arxiv;own;pagerank;0;64;0.5;1;0.005;831763849.0;0.16540722082283796;0.0074700439860458075;ommited for csv readability;0.12603129687713077;0.0055962608333648715;ommited for csv readability;0.12635762631827482;0.005609223512970565;ommited for csv readability;1191.0;"[  2   2  34  14  45  37   7   1  45  21  49   5   0  23   4   2 203   1
   3  17   8   1  21   9 149   4  32  25 197   7  84  11   0   6  65   1
  27   5   9  15]"
ogbn-arxiv;own;pagerank;0;64;0.5;1;0.005;831763849.0;0.3339622641509434;0.027651820960347934;ommited for csv readability;0.2783655038527654;0.023146169828031693;ommited for csv readability;0.2790413977648355;0.02315060225363147;ommited for csv readability;1590.0;"[  2   4  43  18  55  45   8   2  68  27  66   8   0  29   4   2 264   4
   4  17  10   1  24  14 204   6  41  34 275   7 113  18   0  11  89   1
  32  14  10  16]"
ogbn-arxiv;own;pagerank;0;64;0.5;1;0.005;831763849.0;0.32964824120603015;0.02537076496303414;ommited for csv readability;0.2801963459739636;0.021727972192812525;ommited for csv readability;0.28081221470171575;0.02177270193641651;ommited for csv readability;1990.0;"[  4   5  57  24  66  53   9   4  82  36  86  10   0  36   5   2 320   4
   4  24  15   2  27  19 255   7  55  47 343   7 140  21   1  12 112   3
  41  17  13  22]"


ogbn-arxiv;own;pagerank;0;64;0.5;1;0.005;615395017.0;0.0;0.0;[[]];0.005779664020114918;0.0013929176048779256;ommited for csv readability;0.005942074610420274;0.0014945825485553315;ommited for csv readability;0.0;[]
ogbn-arxiv;own;pagerank;0;64;0.5;1;0.005;615395017.0;0.058673469387755105;0.003358890105878058;ommited for csv readability;0.07028029155061925;0.0034479964650484694;ommited for csv readability;0.07014402644419959;0.0034151686484677687;ommited for csv readability;392.0;"[ 0  0  8  3 13 15  3  1 20  9 20  0  1  6  2  1 56  0  3  9  6  2  4  7
 56  3 12  9 55  0 23  4  0  1 21  0  6  5  5  3]"
ogbn-arxiv;own;pagerank;0;64;0.5;1;0.005;615395017.0;0.29924242424242425;0.025550068367888736;ommited for csv readability;0.2469102245024506;0.020720295942069266;ommited for csv readability;0.24689123248858807;0.020671650148425223;ommited for csv readability;792.0;"[  2   2  19   8  23  28   5   2  38  13  38   1   1  13   3   2 126   0
   4  14   7   2   5  16 100   4  19  13 144   0  51  10   1   4  39   0
  13  11   7   4]"
