dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Test accuracy;Test macro-f1;Test confusion;Budget used;Class distrubution
ogbn-arxiv;own;medoids;0;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];0.011188079548426835;0.010315230222715504;ommited for csv readability;0.011254525421060917;0.009466614136749782;ommited for csv readability;0.0;[]
ogbn-arxiv;own;medoids;0;64;0.5;1;0.005;20795212.0;0.6025;0.5903111335549227;ommited for csv readability;0.5093084093160287;0.23385721020802216;ommited for csv readability;0.5112151739335747;0.2385569751442847;ommited for csv readability;400.0;"[ 0  1 10 11 21 17  3  1 12 12 16  3  1  5  2  1 32  0  2  5  5  0  4 11
 52  0 17  9 58  3 31  8  0  1 18  0 13  4  9  2]"
ogbn-arxiv;own;medoids;0;64;0.5;1;0.005;20795212.0;0.59;0.4838115353641465;ommited for csv readability;0.5232375402441407;0.27364396900331533;ommited for csv readability;0.524279867779002;0.27444874552210236;ommited for csv readability;800.0;"[  2   3  33  15  44  28   5   3  27  22  32   6   1   8   4   2  72   1
   5  12  10   0  11  21 106   1  28  19 108   3  45  15   0   4  46   0
  28  11  12   7]"
ogbn-arxiv;own;medoids;0;64;0.5;1;0.005;20795212.0;0.5908333333333333;0.460619756206573;ommited for csv readability;0.5517435368525132;0.29181707979326477;ommited for csv readability;0.5537934833936723;0.29438374213757135;ommited for csv readability;1200.0;"[  3   5  50  21  66  40  10   4  45  30  51   8   1  14   4   3 101   4
   7  24  15   2  22  33 149   3  44  28 153   5  64  21   1   4  72   0
  38  21  17  17]"
ogbn-arxiv;own;medoids;0;64;0.5;1;0.005;20795212.0;0.5525;0.44806947251295526;ommited for csv readability;0.5502783978651887;0.2942620737087301;ommited for csv readability;0.5517275303006454;0.29791921115347997;ommited for csv readability;1600.0;"[  4   5  66  25  79  55  11   5  59  42  64  10   1  21   8   4 133   5
  10  34  22   4  32  45 201   8  63  45 190   6  84  30   1  11  93   0
  50  26  23  25]"
ogbn-arxiv;own;medoids;0;64;0.5;1;0.005;20795212.0;0.58;0.46142930591186354;ommited for csv readability;0.571700752666947;0.31997661851396775;ommited for csv readability;0.5728592790807493;0.32425230806329036;ommited for csv readability;2000.0;"[  5   6  85  32  94  66  18   5  78  53  79  13   1  25   8   4 190   6
  12  43  37   5  38  57 253  12  77  54 222   7 101  35   2  14 117   1
  55  34  27  29]"


ogbn-arxiv;own;medoids;0;64;0.5;1;0.005;649695571.0;0.0;0.0;[[]];0.005965288266016419;0.005780470151761903;ommited for csv readability;0.006374940972768771;0.005764879873032824;ommited for csv readability;0.0;[]
ogbn-arxiv;own;medoids;0;64;0.5;1;0.005;649695571.0;0.67;0.5147171827002893;ommited for csv readability;0.5106121792429669;0.2558748510691091;ommited for csv readability;0.5076538643160712;0.2544274995685237;ommited for csv readability;400.0;"[ 2  0 13 16 19 13  3  1  9  9 15  6  0  4  3  1 56  1  3  7  5  0  2 14
 34  2 16 20 61  2 18  5  1  4 12  0 13  3  6  1]"
