dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Test accuracy;Test macro-f1;Test confusion;Budget used;Class distrubution
ogbn-arxiv;own;pagerank;0;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];0.011188079548426835;0.010315230222715504;ommited for csv readability;0.011254525421060917;0.009466614136749782;ommited for csv readability;0.0;[]
ogbn-arxiv;own;pagerank;0;64;0.5;1;0.005;20795212.0;0.5075;0.4542053791839478;ommited for csv readability;0.41988164478195716;0.20746694512140787;ommited for csv readability;0.42045096804659216;0.20876252709657211;ommited for csv readability;400.0;"[ 1  0  6  7 21 18  5  2 28  5 23  1  0  3  0  1 36  0  0  6  6  2  5 15
 41  1 13 10 57  1 30  6  1  2 22  0 10  7  6  2]"
ogbn-arxiv;own;pagerank;0;64;0.5;1;0.005;20795212.0;0.43375;0.414915926659093;ommited for csv readability;0.3177906710046806;0.2254235729699535;ommited for csv readability;0.317782937195026;0.22902223432890906;ommited for csv readability;800.0;"[ 1  0 22 12 33 32 11  3 45 14 53  3  0 11  1  1 83  1  3 12 11  3 11 29
 83  3 30 22 98  1 54 12  1  4 42  0 22 12 12  9]"
ogbn-arxiv;own;pagerank;0;64;0.5;1;0.005;20795212.0;0.43;0.40077190131795465;ommited for csv readability;0.3449910074242024;0.24092613185751746;ommited for csv readability;0.3450731937667244;0.24261851483918956;ommited for csv readability;1200.0;"[  1   3  38  18  47  44  14   5  54  19  80   5   0  19   4   2 123   2
   4  21  20   3  17  40 129   4  46  36 140   2  77  17   2   8  79   0
  30  21  14  12]"
ogbn-arxiv;own;pagerank;0;64;0.5;1;0.005;20795212.0;0.47;0.37753933209496465;ommited for csv readability;0.44332401063984467;0.26943574550370997;ommited for csv readability;0.4413662836455218;0.2709075075214643;ommited for csv readability;1600.0;"[  3   3  62  27  63  54  19   6  67  26 100   7   0  26   7   3 158   4
   7  33  23   5  24  56 173   6  54  44 186   3 100  21   4  11 104   0
  40  32  20  19]"
ogbn-arxiv;own;pagerank;0;64;0.5;1;0.005;20795212.0;0.446;0.3708003710363898;ommited for csv readability;0.41035367622447844;0.2819382570428606;ommited for csv readability;0.410888556587439;0.28587620293876065;ommited for csv readability;2000.0;"[  6   5  83  33  88  73  22   8  86  34 121   9   0  37   8   4 191   6
   8  40  28   6  28  63 226   6  69  51 224   4 118  24   4  16 126   0
  57  41  21  26]"


ogbn-arxiv;own;pagerank;0;64;0.5;1;0.005;649695571.0;0.0;0.0;[[]];0.005965288266016419;0.005780470151761903;ommited for csv readability;0.006374940972768771;0.005764879873032824;ommited for csv readability;0.0;[]
ogbn-arxiv;own;pagerank;0;64;0.5;1;0.005;649695571.0;0.55;0.46991043325991644;ommited for csv readability;0.4060735360102947;0.2055802539141048;ommited for csv readability;0.40602864788288995;0.20212162175255471;ommited for csv readability;400.0;"[ 0  1 11  8 19 24  1  2 10  4 13  2  0  6  1  1 61  4  2  4  5  0  7 10
 41  7 16 11 50  1 20  7  1  5 15  0 11  4  9  6]"
ogbn-arxiv;own;pagerank;0;64;0.5;1;0.005;649695571.0;0.54875;0.488848646331933;ommited for csv readability;0.4814006235187183;0.26595688910296583;ommited for csv readability;0.4825082638123721;0.2668116267564201;ommited for csv readability;800.0;"[  2   2  25  12  36  35   4   2  18  10  47   3   0  14   1   1 100   4
   4  12   8   0  15  25  96   9  26  23  92   1  41  17   2   9  37   0
  27  15  13  12]"
