dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Labeled class accuracies;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Unlabeled class accuracies;Test accuracy;Test macro-f1;Test confusion;Test class accuracies;Budget used;Class distrubution
CiteSeer;own;entropy;0.2;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];[];0.10404127257093723;0.04486716496683902;[[0, 32, 5, 46, 11, 24, 2, 17, 12, 5, 14, 2, 14], [5, 83, 24, 90, 8, 53, 13, 19, 33, 1, 57, 0, 27], [0, 56, 14, 100, 33, 101, 1, 14, 33, 1, 64, 6, 44], [7, 101, 32, 98, 15, 60, 12, 30, 20, 11, 17, 1, 86], [1, 77, 12, 148, 9, 47, 0, 10, 68, 0, 25, 0, 20], [8, 47, 19, 100, 32, 38, 11, 18, 25, 6, 29, 0, 22], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]];[0.0, 0.20959595959595959, 0.1320754716981132, 0.16838487972508592, 0.08333333333333333, 0.11764705882352941, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];0.1008991008991009;0.048156632200351164;[[3, 8, 9, 21, 0, 18, 1, 7, 6, 0, 2, 1, 4], [1, 37, 11, 24, 5, 33, 5, 15, 15, 4, 16, 1, 10], [0, 34, 6, 49, 13, 36, 0, 5, 16, 0, 24, 1, 17], [7, 51, 13, 37, 6, 12, 8, 17, 12, 5, 8, 0, 35], [2, 25, 2, 64, 4, 27, 1, 4, 30, 1, 11, 0, 8], [1, 19, 4, 28, 12, 14, 5, 8, 17, 4, 26, 0, 15], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]];[0.21428571428571427, 0.21264367816091953, 0.13333333333333333, 0.16591928251121077, 0.1, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];0.0;[]
CiteSeer;own;entropy;0.2;64;0.5;1;0.005;20795212.0;0.9230769230769231;0.9314285714285713;[[3, 0, 0, 0, 0], [0, 2, 1, 0, 0], [0, 0, 3, 0, 0], [0, 0, 0, 2, 0], [0, 0, 0, 0, 2]];[1.0, 1.0, 0.75, 1.0, 1.0];0.41115434500648507;0.2628618174229924;[[0, 6, 2, 85, 87, 3], [0, 40, 41, 205, 118, 2], [0, 5, 62, 358, 44, 0], [0, 2, 2, 446, 38, 0], [0, 0, 2, 24, 388, 0], [0, 0, 2, 101, 235, 15]];[nan, 0.7547169811320755, 0.5585585585585585, 0.36587366694011486, 0.42637362637362636, 0.75];0.4085914085914086;0.2617704222038643;[[0, 1, 1, 28, 49, 1], [0, 10, 15, 91, 60, 1], [0, 0, 41, 138, 22, 0], [0, 2, 0, 190, 19, 0], [0, 0, 0, 17, 162, 0], [0, 0, 2, 42, 103, 6]];[nan, 0.7692307692307693, 0.6949152542372882, 0.37549407114624506, 0.39036144578313253, 0.75];13.0;[0, 3, 3, 3, 2, 2]
CiteSeer;own;entropy;0.2;64;0.5;1;0.005;20795212.0;0.9615384615384616;0.8181818181818182;[[0, 1, 0, 0, 0, 0], [0, 5, 0, 0, 0, 0], [0, 0, 6, 0, 0, 0], [0, 0, 0, 5, 0, 0], [0, 0, 0, 0, 5, 0], [0, 0, 0, 0, 0, 4]];[nan, 0.8333333333333334, 1.0, 1.0, 1.0, 1.0];0.5895652173913043;0.4898861722570227;[[0, 43, 40, 32, 50, 6], [0, 168, 143, 39, 34, 8], [0, 11, 282, 135, 11, 1], [0, 12, 79, 417, 22, 2], [0, 5, 15, 18, 377, 3], [0, 13, 40, 69, 113, 112]];[nan, 0.6666666666666666, 0.4707846410684474, 0.5873239436619718, 0.6210873146622735, 0.8484848484848485];0.5434565434565435;0.4599637146076774;[[0, 17, 16, 12, 31, 4], [0, 70, 73, 14, 14, 6], [0, 4, 116, 70, 9, 2], [0, 7, 42, 149, 11, 2], [0, 11, 1, 11, 155, 1], [0, 10, 19, 27, 43, 54]];[nan, 0.5882352941176471, 0.4344569288389513, 0.5265017667844523, 0.5893536121673004, 0.782608695652174];26.0;[1, 5, 6, 5, 5, 4]
CiteSeer;own;entropy;0.2;64;0.5;1;0.005;20795212.0;0.9666666666666667;0.8181818181818182;[[0, 1, 0, 0, 0, 0], [0, 5, 0, 0, 0, 0], [0, 0, 7, 0, 0, 0], [0, 0, 0, 6, 0, 0], [0, 0, 0, 0, 6, 0], [0, 0, 0, 0, 0, 5]];[nan, 0.8333333333333334, 1.0, 1.0, 1.0, 1.0];0.5426829268292683;0.43915964912755506;[[0, 17, 76, 11, 63, 3], [0, 93, 232, 4, 57, 6], [0, 5, 425, 31, 16, 1], [0, 9, 178, 239, 62, 5], [0, 2, 22, 1, 391, 2], [0, 1, 88, 7, 151, 98]];[nan, 0.7322834645669292, 0.41625857002938293, 0.8156996587030717, 0.5283783783783784, 0.8521739130434782];0.5174825174825175;0.4230648446983863;[[0, 11, 25, 3, 37, 4], [0, 37, 110, 1, 28, 1], [0, 3, 174, 13, 10, 1], [0, 6, 87, 94, 23, 1], [0, 5, 5, 3, 166, 0], [0, 2, 45, 1, 58, 47]];[nan, 0.578125, 0.3901345291479821, 0.8173913043478261, 0.515527950310559, 0.8703703703703703];30.0;[1, 5, 7, 6, 6, 5]


CiteSeer;own;entropy;0.2;64;0.5;1;0.005;649695571.0;0.0;0.0;[[]];[];0.09587274290627687;0.05557802578223715;[[10, 13, 17, 17, 26, 5, 9, 2, 20, 8, 40, 16, 1], [20, 43, 34, 19, 39, 2, 48, 5, 62, 18, 75, 47, 1], [18, 21, 105, 20, 16, 4, 12, 4, 43, 15, 66, 140, 3], [17, 32, 81, 22, 24, 7, 24, 0, 69, 20, 102, 92, 0], [20, 27, 59, 7, 34, 12, 22, 5, 76, 9, 86, 59, 1], [14, 14, 45, 13, 17, 9, 12, 2, 78, 12, 103, 36, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]];[0.10101010101010101, 0.2866666666666667, 0.30791788856304986, 0.22448979591836735, 0.21794871794871795, 0.23076923076923078, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];0.08691308691308691;0.05046905890943258;[[2, 11, 16, 3, 9, 0, 6, 1, 8, 4, 17, 3, 0], [8, 23, 16, 8, 10, 1, 21, 2, 23, 18, 32, 15, 0], [8, 10, 33, 8, 6, 2, 10, 1, 26, 9, 25, 61, 2], [7, 10, 26, 15, 14, 4, 11, 1, 37, 4, 45, 37, 0], [8, 4, 29, 4, 14, 8, 14, 3, 36, 2, 38, 18, 1], [4, 5, 20, 3, 6, 0, 4, 2, 40, 5, 44, 20, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]];[0.05405405405405406, 0.36507936507936506, 0.2357142857142857, 0.36585365853658536, 0.23728813559322035, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];0.0;[]
CiteSeer;own;entropy;0.2;64;0.5;1;0.005;649695571.0;0.8461538461538461;0.7037037037037037;[[2, 0, 0, 0, 0, 0], [0, 1, 0, 0, 1, 0], [0, 0, 3, 0, 0, 0], [0, 0, 0, 4, 0, 0], [0, 0, 0, 0, 1, 0], [0, 0, 0, 1, 0, 0]];[1.0, 1.0, 1.0, 0.8, 0.5, nan];0.3679204496325119;0.26631789021042857;[[92, 0, 44, 33, 23, 0], [178, 0, 90, 85, 53, 0], [25, 0, 378, 44, 22, 0], [27, 0, 111, 343, 7, 0], [317, 0, 41, 16, 38, 0], [114, 0, 62, 28, 142, 0]];[0.12217795484727756, nan, 0.5206611570247934, 0.6247723132969034, 0.13333333333333333, nan];0.35764235764235763;0.25657701945419914;[[32, 0, 18, 18, 12, 0], [75, 1, 47, 36, 18, 0], [11, 0, 170, 10, 10, 0], [10, 0, 43, 151, 7, 0], [152, 0, 17, 6, 4, 0], [44, 0, 21, 8, 80, 0]];[0.09876543209876543, 1.0, 0.5379746835443038, 0.6593886462882096, 0.030534351145038167, nan];13.0;[2, 2, 3, 4, 1, 1]
CiteSeer;own;entropy;0.2;64;0.5;1;0.005;649695571.0;0.7692307692307693;0.6998015873015874;[[3, 0, 0, 0, 0, 0], [0, 1, 1, 0, 1, 0], [0, 0, 6, 0, 0, 0], [0, 0, 1, 7, 0, 0], [1, 0, 0, 0, 2, 0], [0, 0, 1, 1, 0, 1]];[0.75, 1.0, 0.6666666666666666, 0.875, 0.6666666666666666, 1.0];0.32869565217391306;0.21891538504904415;[[19, 0, 133, 23, 7, 0], [10, 0, 346, 37, 10, 0], [1, 0, 455, 12, 3, 0], [0, 0, 258, 229, 1, 0], [28, 0, 314, 22, 52, 0], [2, 0, 274, 21, 42, 1]];[0.31666666666666665, nan, 0.2556179775280899, 0.6656976744186046, 0.45217391304347826, 1.0];0.3126873126873127;0.20083418213531012;[[9, 0, 56, 12, 3, 0], [6, 1, 154, 13, 3, 0], [0, 0, 196, 5, 0, 0], [0, 0, 113, 98, 0, 0], [18, 0, 145, 7, 9, 0], [3, 0, 119, 5, 26, 0]];[0.25, 1.0, 0.2503192848020434, 0.7, 0.21951219512195122, nan];26.0;[3, 3, 6, 8, 3, 3]
CiteSeer;own;entropy;0.2;64;0.5;1;0.005;649695571.0;0.9333333333333333;0.9111111111111111;[[3, 0, 0, 0, 0, 0], [0, 3, 0, 0, 0, 0], [0, 0, 7, 0, 0, 0], [0, 0, 0, 9, 0, 0], [0, 0, 0, 0, 4, 0], [0, 0, 0, 0, 2, 2]];[1.0, 1.0, 1.0, 1.0, 0.6666666666666666, 1.0];0.509581881533101;0.35279132560438997;[[10, 1, 19, 38, 111, 0], [0, 7, 101, 61, 233, 0], [0, 0, 380, 47, 46, 0], [0, 0, 56, 372, 59, 0], [0, 0, 6, 15, 395, 0], [0, 0, 26, 21, 286, 6]];[1.0, 0.875, 0.6462585034013606, 0.6714801444043321, 0.3495575221238938, 1.0];0.48951048951048953;0.3346391815061751;[[4, 0, 8, 22, 46, 0], [0, 2, 36, 34, 105, 0], [0, 0, 160, 18, 23, 0], [0, 0, 27, 155, 29, 0], [0, 0, 2, 8, 169, 0], [0, 0, 17, 4, 132, 0]];[1.0, 1.0, 0.64, 0.6431535269709544, 0.3353174603174603, nan];30.0;[3, 3, 7, 9, 4, 4]
