dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Labeled class accuracies;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Unlabeled class accuracies;Test accuracy;Test macro-f1;Test confusion;Test class accuracies;Budget used;Class distrubution
CiteSeer;own;own;0;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];[];0.043422184006878764;0.022651102737766746;[[1, 11, 10, 57, 0, 11, 7, 9, 3, 23, 31, 18, 3], [4, 15, 21, 96, 0, 20, 12, 41, 10, 42, 114, 33, 5], [3, 3, 11, 49, 3, 10, 18, 10, 10, 16, 303, 27, 4], [2, 18, 18, 61, 4, 20, 24, 27, 35, 30, 124, 113, 14], [3, 30, 6, 134, 2, 9, 16, 30, 5, 36, 120, 21, 5], [5, 4, 27, 91, 2, 11, 8, 17, 9, 37, 103, 29, 12], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]];[0.05555555555555555, 0.18518518518518517, 0.11827956989247312, 0.125, 0.18181818181818182, 0.13580246913580246, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];0.05194805194805195;0.028500027313586637;[[0, 2, 5, 16, 1, 4, 4, 3, 0, 13, 22, 9, 1], [1, 11, 4, 51, 0, 5, 2, 11, 3, 19, 49, 17, 4], [0, 3, 7, 18, 0, 5, 8, 7, 5, 10, 129, 7, 2], [1, 9, 3, 27, 3, 5, 8, 13, 21, 11, 50, 54, 6], [1, 12, 2, 58, 0, 6, 14, 10, 0, 12, 50, 9, 5], [2, 2, 3, 32, 1, 7, 5, 7, 5, 21, 51, 12, 5], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]];[0.0, 0.28205128205128205, 0.2916666666666667, 0.13366336633663367, 0.0, 0.21875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];0.0;[]
CiteSeer;own;own;0;64;0.5;1;0.005;20795212.0;0.7692307692307693;0.7814285714285715;[[3, 1, 0, 0, 0], [0, 3, 1, 0, 0], [0, 0, 1, 0, 0], [0, 0, 0, 1, 0], [0, 0, 1, 0, 2]];[1.0, 0.75, 0.3333333333333333, 1.0, 1.0];0.3571119757890186;0.2740366514810936;[[28, 130, 12, 0, 10, 0], [24, 314, 61, 0, 10, 0], [11, 133, 308, 0, 14, 0], [96, 271, 84, 5, 33, 0], [30, 204, 9, 0, 171, 0], [11, 242, 47, 0, 55, 0]];[0.14, 0.2426584234930448, 0.5911708253358925, 1.0, 0.5836177474402731, nan];0.37662337662337664;0.2990074724975394;[[23, 42, 7, 0, 8, 0], [9, 141, 26, 0, 1, 0], [1, 56, 130, 0, 14, 0], [46, 115, 32, 2, 16, 0], [15, 81, 2, 0, 81, 0], [3, 105, 21, 0, 24, 0]];[0.23711340206185566, 0.2611111111111111, 0.5963302752293578, 1.0, 0.5625, nan];13.0;[4, 4, 1, 1, 3]
CiteSeer;own;own;0;64;0.5;1;0.005;20795212.0;0.9230769230769231;0.9243386243386243;[[4, 0, 0, 0, 1, 0], [0, 6, 0, 0, 0, 0], [0, 0, 5, 0, 0, 0], [0, 0, 0, 2, 1, 0], [0, 0, 0, 0, 6, 0], [0, 0, 0, 0, 0, 1]];[1.0, 1.0, 1.0, 1.0, 0.75, 1.0];0.42043478260869566;0.3362166730735365;[[33, 27, 68, 0, 42, 9], [41, 97, 214, 1, 30, 24], [8, 8, 423, 0, 19, 4], [107, 16, 283, 11, 68, 2], [27, 18, 27, 0, 331, 8], [12, 6, 148, 0, 116, 72]];[0.14473684210526316, 0.563953488372093, 0.36371453138435084, 0.9166666666666666, 0.5462046204620462, 0.6050420168067226];0.43456543456543456;0.36699050333638733;[[26, 9, 25, 0, 16, 4], [25, 33, 101, 0, 10, 8], [2, 3, 180, 0, 16, 0], [44, 9, 111, 8, 35, 4], [10, 11, 13, 0, 142, 3], [2, 1, 55, 0, 49, 46]];[0.23853211009174313, 0.5, 0.3711340206185567, 1.0, 0.5298507462686567, 0.7076923076923077];26.0;[5, 6, 5, 3, 6, 1]
CiteSeer;own;own;0;64;0.5;1;0.005;20795212.0;1.0;1.0;[[6, 0, 0, 0, 0, 0], [0, 6, 0, 0, 0, 0], [0, 0, 6, 0, 0, 0], [0, 0, 0, 3, 0, 0], [0, 0, 0, 0, 6, 0], [0, 0, 0, 0, 0, 3]];[1.0, 1.0, 1.0, 1.0, 1.0, 1.0];0.44468641114982577;0.36813047800429816;[[35, 22, 58, 0, 31, 32], [35, 91, 216, 3, 31, 31], [5, 6, 431, 0, 14, 5], [101, 14, 274, 16, 75, 7], [19, 10, 31, 0, 330, 21], [5, 4, 150, 1, 74, 118]];[0.175, 0.6190476190476191, 0.371551724137931, 0.8, 0.5945945945945946, 0.5514018691588785];0.46153846153846156;0.39556148673118435;[[27, 6, 21, 0, 12, 14], [21, 27, 103, 0, 9, 17], [1, 2, 186, 0, 12, 0], [38, 6, 114, 10, 36, 7], [10, 9, 11, 0, 142, 7], [0, 1, 54, 0, 28, 70]];[0.27835051546391754, 0.5294117647058824, 0.3803680981595092, 1.0, 0.5941422594142259, 0.6086956521739131];30.0;[6, 6, 6, 3, 6, 3]


CiteSeer;own;own;0;64;0.5;1;0.005;649695571.0;0.0;0.0;[[]];[];0.0997420464316423;0.04845310505888393;[[7, 22, 28, 29, 24, 2, 15, 6, 1, 10, 11, 24, 5], [11, 32, 47, 78, 61, 29, 16, 8, 5, 15, 28, 69, 14], [4, 20, 20, 54, 220, 10, 20, 22, 4, 5, 9, 78, 1], [24, 26, 69, 89, 113, 33, 19, 22, 5, 15, 34, 37, 4], [6, 14, 68, 87, 71, 7, 92, 6, 1, 7, 8, 40, 10], [7, 10, 61, 79, 66, 13, 19, 14, 9, 7, 32, 38, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]];[0.11864406779661017, 0.25806451612903225, 0.06825938566552901, 0.21394230769230768, 0.12792792792792793, 0.13829787234042554, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];0.10589410589410589;0.05067449651354129;[[3, 5, 15, 12, 15, 0, 8, 3, 3, 4, 3, 7, 2], [6, 12, 26, 34, 29, 11, 6, 4, 4, 7, 9, 27, 2], [1, 10, 16, 24, 83, 4, 7, 9, 2, 2, 3, 39, 1], [14, 11, 26, 45, 55, 7, 6, 8, 2, 5, 18, 13, 1], [5, 12, 32, 35, 24, 1, 40, 0, 0, 2, 2, 19, 7], [7, 3, 21, 30, 45, 6, 7, 1, 1, 4, 15, 12, 1], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]];[0.08333333333333333, 0.22641509433962265, 0.11764705882352941, 0.25, 0.09561752988047809, 0.20689655172413793, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];0.0;[]
CiteSeer;own;own;0;64;0.5;1;0.005;649695571.0;0.6153846153846154;0.6464646464646463;[[1, 1, 0, 0, 0, 0], [0, 3, 0, 0, 0, 0], [0, 1, 1, 0, 0, 0], [0, 1, 0, 1, 0, 0], [0, 1, 0, 0, 1, 0], [0, 1, 0, 0, 0, 1]];[1.0, 0.375, 1.0, 1.0, 1.0, 1.0];0.3056636402939905;0.2636306491865079;[[36, 126, 3, 11, 4, 2], [67, 286, 8, 44, 2, 3], [19, 311, 52, 77, 0, 6], [15, 193, 14, 260, 4, 2], [13, 382, 1, 5, 4, 10], [54, 209, 7, 13, 1, 69]];[0.17647058823529413, 0.1897810218978102, 0.611764705882353, 0.6341463414634146, 0.26666666666666666, 0.75];0.3146853146853147;0.2636101104638831;[[13, 60, 2, 4, 1, 0], [18, 138, 9, 9, 2, 1], [5, 135, 20, 35, 0, 6], [4, 86, 6, 113, 1, 1], [6, 166, 0, 0, 2, 5], [22, 92, 3, 6, 1, 29]];[0.19117647058823528, 0.2038404726735598, 0.5, 0.6766467065868264, 0.2857142857142857, 0.6904761904761905];13.0;[2, 3, 2, 2, 2, 2]
CiteSeer;own;own;0;64;0.5;1;0.005;649695571.0;0.8461538461538461;0.8043752543752544;[[2, 0, 1, 0, 0, 0], [0, 3, 0, 0, 1, 0], [0, 0, 6, 0, 0, 0], [0, 0, 1, 6, 0, 0], [0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 0, 4]];[1.0, 1.0, 0.75, 1.0, 0.5, 0.8];0.3917391304347826;0.2584239639413349;[[13, 13, 121, 10, 10, 14, 0], [22, 19, 330, 19, 4, 15, 0], [0, 2, 419, 21, 0, 19, 0], [1, 5, 202, 248, 9, 18, 0], [2, 64, 114, 18, 17, 199, 1], [1, 18, 135, 11, 1, 185, 0], [0, 0, 0, 0, 0, 0, 0]];[0.3333333333333333, 0.15702479338842976, 0.31718395155185464, 0.7584097859327217, 0.4146341463414634, 0.4111111111111111, 0.0];0.3986013986013986;0.3130287851970048;[[7, 4, 51, 5, 3, 10], [6, 7, 150, 5, 2, 7], [0, 0, 174, 12, 0, 15], [0, 0, 86, 117, 2, 6], [3, 24, 48, 12, 10, 82], [0, 10, 56, 2, 1, 84]];[0.4375, 0.15555555555555556, 0.30796460176991153, 0.7647058823529411, 0.5555555555555556, 0.4117647058823529];26.0;[3, 4, 6, 7, 2, 4]
CiteSeer;own;own;0;64;0.5;1;0.005;649695571.0;0.9333333333333333;0.9107744107744108;[[4, 0, 0, 0, 0, 0], [0, 4, 0, 0, 1, 0], [0, 0, 6, 0, 0, 0], [0, 0, 0, 7, 0, 0], [0, 0, 0, 0, 2, 1], [0, 0, 0, 0, 0, 5]];[1.0, 1.0, 1.0, 1.0, 0.6666666666666666, 0.8333333333333334];0.4760452961672474;0.3888991770478978;[[35, 11, 48, 49, 10, 27], [49, 21, 217, 73, 9, 39], [1, 1, 328, 80, 2, 49], [1, 2, 62, 387, 4, 27], [11, 45, 25, 45, 58, 230], [1, 8, 53, 22, 2, 264]];[0.35714285714285715, 0.23863636363636365, 0.44747612551159616, 0.5899390243902439, 0.6823529411764706, 0.41509433962264153];0.4985014985014985;0.40684585680008906;[[16, 2, 23, 18, 5, 16], [17, 6, 101, 29, 4, 20], [1, 0, 147, 27, 0, 26], [0, 0, 19, 180, 0, 12], [9, 15, 5, 25, 33, 92], [0, 3, 22, 8, 3, 117]];[0.37209302325581395, 0.23076923076923078, 0.4637223974763407, 0.627177700348432, 0.7333333333333333, 0.4134275618374558];30.0;[4, 5, 6, 7, 3, 5]
