dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Labeled class accuracies;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Unlabeled class accuracies;Test accuracy;Test macro-f1;Test confusion;Test class accuracies;Budget used;Class distrubution
CiteSeer;own;medoids;0.2;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];[];0.10404127257093723;0.04486716496683902;[[0, 32, 5, 46, 11, 24, 2, 17, 12, 5, 14, 2, 14], [5, 83, 24, 90, 8, 53, 13, 19, 33, 1, 57, 0, 27], [0, 56, 14, 100, 33, 101, 1, 14, 33, 1, 64, 6, 44], [7, 101, 32, 98, 15, 60, 12, 30, 20, 11, 17, 1, 86], [1, 77, 12, 148, 9, 47, 0, 10, 68, 0, 25, 0, 20], [8, 47, 19, 100, 32, 38, 11, 18, 25, 6, 29, 0, 22], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]];[0.0, 0.20959595959595959, 0.1320754716981132, 0.16838487972508592, 0.08333333333333333, 0.11764705882352941, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];0.1008991008991009;0.048156632200351164;[[3, 8, 9, 21, 0, 18, 1, 7, 6, 0, 2, 1, 4], [1, 37, 11, 24, 5, 33, 5, 15, 15, 4, 16, 1, 10], [0, 34, 6, 49, 13, 36, 0, 5, 16, 0, 24, 1, 17], [7, 51, 13, 37, 6, 12, 8, 17, 12, 5, 8, 0, 35], [2, 25, 2, 64, 4, 27, 1, 4, 30, 1, 11, 0, 8], [1, 19, 4, 28, 12, 14, 5, 8, 17, 4, 26, 0, 15], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]];[0.21428571428571427, 0.21264367816091953, 0.13333333333333333, 0.16591928251121077, 0.1, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];0.0;[]
CiteSeer;own;medoids;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;[[1, 0, 0, 0, 0], [0, 5, 0, 0, 0], [0, 0, 2, 0, 0], [0, 0, 0, 3, 0], [0, 0, 0, 0, 2]];[1.0, 1.0, 1.0, 1.0, 1.0];0.4072632944228275;0.27411563978380415;[[3, 23, 27, 0, 128, 0], [0, 137, 85, 0, 184, 0], [0, 7, 377, 0, 81, 0], [0, 11, 251, 0, 224, 0], [0, 5, 6, 0, 409, 0], [0, 4, 87, 0, 248, 16]];[1.0, 0.732620320855615, 0.4525810324129652, nan, 0.32103610675039246, 1.0];0.38461538461538464;0.24492419468273388;[[0, 6, 14, 0, 59, 1], [0, 46, 40, 0, 91, 0], [0, 2, 158, 0, 41, 0], [0, 5, 111, 0, 95, 0], [0, 2, 0, 0, 177, 0], [0, 2, 33, 0, 114, 4]];[nan, 0.7301587301587301, 0.4438202247191011, nan, 0.30675909878682844, 0.8];13.0;[1, 5, 2, 0, 3, 2]
CiteSeer;own;medoids;0.2;64;0.5;1;0.005;20795212.0;0.7692307692307693;0.6683501683501684;[[1, 0, 0, 0, 1, 0], [0, 8, 1, 0, 1, 0], [0, 0, 4, 0, 0, 0], [0, 0, 2, 0, 1, 0], [0, 0, 0, 0, 4, 0], [0, 0, 0, 0, 0, 3]];[1.0, 1.0, 0.5714285714285714, nan, 0.5714285714285714, 1.0];0.48043478260869565;0.3688316212338906;[[3, 38, 43, 0, 104, 2], [0, 210, 119, 0, 83, 4], [0, 12, 391, 0, 50, 0], [0, 12, 323, 0, 134, 2], [0, 4, 10, 0, 401, 2], [0, 1, 128, 0, 124, 100]];[1.0, 0.7581227436823105, 0.38560157790927024, nan, 0.44754464285714285, 0.9090909090909091];0.44955044955044954;0.3431046700218006;[[0, 8, 18, 0, 51, 3], [0, 74, 51, 0, 49, 3], [0, 10, 163, 0, 28, 0], [0, 5, 150, 0, 56, 0], [0, 8, 5, 0, 166, 0], [0, 2, 54, 0, 50, 47]];[nan, 0.6915887850467289, 0.36961451247165533, nan, 0.415, 0.8867924528301887];26.0;[2, 10, 4, 3, 4, 3]
CiteSeer;own;medoids;0.2;64;0.5;1;0.005;20795212.0;0.7666666666666667;0.6178571428571429;[[1, 0, 0, 0, 1, 2], [0, 9, 1, 0, 0, 0], [0, 0, 4, 0, 0, 0], [0, 1, 1, 0, 1, 0], [0, 0, 0, 0, 6, 0], [0, 0, 0, 0, 0, 3]];[1.0, 0.9, 0.6666666666666666, nan, 0.75, 0.6];0.5283101045296167;0.4185149289782477;[[3, 87, 7, 0, 72, 24], [0, 294, 56, 0, 34, 32], [0, 61, 337, 0, 51, 4], [0, 71, 270, 0, 107, 23], [0, 30, 3, 0, 364, 16], [0, 10, 56, 0, 69, 215]];[1.0, 0.5316455696202531, 0.46227709190672156, nan, 0.5222381635581061, 0.6847133757961783];0.5134865134865135;0.4072474826213272;[[0, 24, 3, 0, 41, 12], [0, 122, 19, 0, 22, 14], [0, 35, 135, 0, 29, 2], [0, 27, 125, 0, 52, 7], [0, 17, 3, 0, 155, 4], [0, 3, 25, 0, 23, 102]];[nan, 0.5350877192982456, 0.43548387096774194, nan, 0.4813664596273292, 0.723404255319149];30.0;[4, 10, 4, 3, 6, 3]


CiteSeer;own;medoids;0.2;64;0.5;1;0.005;649695571.0;0.0;0.0;[[]];[];0.09587274290627687;0.05557802578223715;[[10, 13, 17, 17, 26, 5, 9, 2, 20, 8, 40, 16, 1], [20, 43, 34, 19, 39, 2, 48, 5, 62, 18, 75, 47, 1], [18, 21, 105, 20, 16, 4, 12, 4, 43, 15, 66, 140, 3], [17, 32, 81, 22, 24, 7, 24, 0, 69, 20, 102, 92, 0], [20, 27, 59, 7, 34, 12, 22, 5, 76, 9, 86, 59, 1], [14, 14, 45, 13, 17, 9, 12, 2, 78, 12, 103, 36, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]];[0.10101010101010101, 0.2866666666666667, 0.30791788856304986, 0.22448979591836735, 0.21794871794871795, 0.23076923076923078, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];0.08691308691308691;0.05046905890943258;[[2, 11, 16, 3, 9, 0, 6, 1, 8, 4, 17, 3, 0], [8, 23, 16, 8, 10, 1, 21, 2, 23, 18, 32, 15, 0], [8, 10, 33, 8, 6, 2, 10, 1, 26, 9, 25, 61, 2], [7, 10, 26, 15, 14, 4, 11, 1, 37, 4, 45, 37, 0], [8, 4, 29, 4, 14, 8, 14, 3, 36, 2, 38, 18, 1], [4, 5, 20, 3, 6, 0, 4, 2, 40, 5, 44, 20, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]];[0.05405405405405406, 0.36507936507936506, 0.2357142857142857, 0.36585365853658536, 0.23728813559322035, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];0.0;[]
CiteSeer;own;medoids;0.2;64;0.5;1;0.005;649695571.0;0.38461538461538464;0.2;[[0, 2, 0, 0, 0], [0, 4, 0, 0, 0], [0, 2, 0, 0, 0], [0, 2, 0, 0, 0], [0, 2, 0, 0, 1]];[nan, 0.3333333333333333, nan, nan, 1.0];0.21054907047124946;0.06377058688889582;[[0, 0, 181, 0, 0, 0], [0, 0, 400, 0, 0, 0], [0, 0, 480, 0, 0, 0], [0, 0, 489, 0, 0, 0], [0, 0, 402, 0, 0, 0], [0, 0, 354, 0, 0, 7]];[nan, nan, 0.20815264527320035, nan, nan, 1.0];0.2017982017982018;0.057951346460921815;[[0, 0, 80, 0, 0, 0], [0, 0, 177, 0, 0, 0], [0, 0, 201, 0, 0, 0], [0, 0, 211, 0, 0, 0], [0, 0, 179, 0, 0, 0], [0, 0, 152, 0, 0, 1]];[nan, nan, 0.201, nan, nan, 1.0];13.0;[0, 2, 4, 2, 2, 3]
CiteSeer;own;medoids;0.2;64;0.5;1;0.005;649695571.0;0.9615384615384616;0.8181818181818182;[[0, 0, 0, 0, 0, 1], [0, 5, 0, 0, 0, 0], [0, 0, 8, 0, 0, 0], [0, 0, 0, 3, 0, 0], [0, 0, 0, 0, 4, 0], [0, 0, 0, 0, 0, 5]];[nan, 1.0, 1.0, 1.0, 1.0, 0.8333333333333334];0.5534782608695652;0.4718163038860685;[[0, 68, 65, 1, 30, 11], [0, 241, 151, 1, 19, 5], [0, 33, 414, 3, 5, 11], [0, 54, 288, 89, 41, 9], [0, 30, 25, 0, 315, 34], [0, 22, 87, 0, 34, 214]];[nan, 0.5379464285714286, 0.40194174757281553, 0.9468085106382979, 0.7094594594594594, 0.7535211267605634];0.5434565434565435;0.4709501056160317;[[0, 32, 26, 1, 20, 1], [0, 99, 70, 0, 6, 2], [0, 21, 165, 0, 8, 7], [0, 17, 130, 44, 20, 0], [0, 17, 10, 0, 138, 14], [0, 8, 32, 0, 15, 98]];[nan, 0.5103092783505154, 0.3810623556581986, 0.9777777777777777, 0.6666666666666666, 0.8032786885245902];26.0;[1, 5, 8, 3, 4, 5]
CiteSeer;own;medoids;0.2;64;0.5;1;0.005;649695571.0;0.9333333333333333;0.7965893755367439;[[0, 0, 0, 0, 0, 1], [0, 5, 0, 0, 0, 0], [0, 1, 9, 0, 0, 0], [0, 0, 0, 4, 0, 0], [0, 0, 0, 0, 4, 0], [0, 0, 0, 0, 0, 6]];[nan, 0.8333333333333334, 1.0, 1.0, 1.0, 0.8571428571428571];0.6411149825783972;0.5576361318775997;[[0, 62, 36, 23, 39, 15], [0, 270, 98, 13, 26, 9], [0, 55, 360, 18, 4, 26], [0, 32, 130, 267, 44, 8], [0, 18, 10, 1, 340, 33], [0, 28, 47, 8, 41, 235]];[nan, 0.5806451612903226, 0.5286343612334802, 0.8090909090909091, 0.6882591093117408, 0.7208588957055214];0.6183816183816184;0.542568822939673;[[0, 26, 16, 11, 24, 3], [0, 106, 48, 7, 13, 3], [0, 31, 144, 6, 8, 12], [0, 4, 67, 117, 22, 1], [0, 16, 3, 0, 145, 15], [0, 11, 20, 1, 14, 107]];[nan, 0.5463917525773195, 0.48322147651006714, 0.823943661971831, 0.6415929203539823, 0.7588652482269503];30.0;[1, 5, 10, 4, 4, 6]
