dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Labeled class accuracies;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Unlabeled class accuracies;Test accuracy;Test macro-f1;Test confusion;Test class accuracies;Budget used;Class distrubution
CiteSeer;own;own;0;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];[];0.10404127257093723;0.04486716496683902;[[0, 32, 5, 46, 11, 24, 2, 17, 12, 5, 14, 2, 14], [5, 83, 24, 90, 8, 53, 13, 19, 33, 1, 57, 0, 27], [0, 56, 14, 100, 33, 101, 1, 14, 33, 1, 64, 6, 44], [7, 101, 32, 98, 15, 60, 12, 30, 20, 11, 17, 1, 86], [1, 77, 12, 148, 9, 47, 0, 10, 68, 0, 25, 0, 20], [8, 47, 19, 100, 32, 38, 11, 18, 25, 6, 29, 0, 22], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]];[0.0, 0.20959595959595959, 0.1320754716981132, 0.16838487972508592, 0.08333333333333333, 0.11764705882352941, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];0.1008991008991009;0.048156632200351164;[[3, 8, 9, 21, 0, 18, 1, 7, 6, 0, 2, 1, 4], [1, 37, 11, 24, 5, 33, 5, 15, 15, 4, 16, 1, 10], [0, 34, 6, 49, 13, 36, 0, 5, 16, 0, 24, 1, 17], [7, 51, 13, 37, 6, 12, 8, 17, 12, 5, 8, 0, 35], [2, 25, 2, 64, 4, 27, 1, 4, 30, 1, 11, 0, 8], [1, 19, 4, 28, 12, 14, 5, 8, 17, 4, 26, 0, 15], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]];[0.21428571428571427, 0.21264367816091953, 0.13333333333333333, 0.16591928251121077, 0.1, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];0.0;[]
CiteSeer;own;own;0;64;0.5;1;0.005;20795212.0;0.8461538461538461;0.8044444444444444;[[2, 0, 0, 0, 0], [0, 4, 0, 0, 0], [0, 1, 1, 0, 0], [0, 0, 0, 3, 0], [1, 0, 0, 0, 1]];[0.6666666666666666, 0.8, 1.0, 1.0, 1.0];0.2710765239948119;0.19024994712661059;[[67, 51, 0, 64, 0, 0], [83, 225, 1, 100, 0, 0], [71, 64, 0, 330, 0, 0], [112, 45, 0, 330, 0, 0], [337, 14, 0, 59, 5, 0], [224, 9, 0, 122, 0, 0]];[0.07494407158836688, 0.5514705882352942, 0.0, 0.3283582089552239, 1.0, nan];0.27972027972027974;0.19323854434843515;[[43, 14, 0, 23, 0, 0], [39, 96, 0, 42, 0, 0], [22, 39, 0, 140, 0, 0], [46, 26, 0, 139, 0, 0], [135, 14, 0, 28, 2, 0], [87, 8, 0, 58, 0, 0]];[0.11559139784946236, 0.4873096446700508, nan, 0.32325581395348835, 1.0, nan];13.0;[2, 4, 2, 3, 2]
CiteSeer;own;own;0;64;0.5;1;0.005;20795212.0;0.8076923076923077;0.655982905982906;[[1, 1, 0, 0, 0, 0], [0, 5, 1, 0, 0, 0], [0, 0, 5, 0, 1, 0], [0, 0, 0, 5, 0, 0], [1, 0, 0, 0, 5, 0], [0, 0, 1, 0, 0, 0]];[0.5, 0.8333333333333334, 0.7142857142857143, 1.0, 0.8333333333333334, nan];0.3656521739130435;0.26959038981672784;[[18, 84, 6, 43, 31, 0], [11, 312, 21, 23, 40, 0], [13, 231, 26, 171, 20, 0], [29, 112, 2, 321, 21, 0], [135, 31, 2, 79, 164, 0], [62, 78, 6, 127, 81, 0]];[0.06716417910447761, 0.36792452830188677, 0.4126984126984127, 0.4201570680628272, 0.45938375350140054, nan];0.3886113886113886;0.2978866599636598;[[17, 21, 4, 23, 15, 0], [3, 145, 8, 7, 14, 0], [4, 87, 18, 79, 13, 0], [11, 48, 0, 145, 7, 0], [65, 20, 0, 30, 64, 0], [26, 36, 3, 68, 20, 0]];[0.1349206349206349, 0.4061624649859944, 0.5454545454545454, 0.4119318181818182, 0.48120300751879697, nan];26.0;[2, 6, 6, 5, 6, 1]
CiteSeer;own;own;0;64;0.5;1;0.005;20795212.0;0.9;0.8427350427350428;[[1, 0, 1, 0, 0, 0], [0, 6, 1, 0, 0, 0], [0, 0, 6, 0, 0, 0], [0, 0, 0, 5, 0, 0], [0, 0, 0, 0, 8, 0], [0, 0, 1, 0, 0, 1]];[1.0, 1.0, 0.6666666666666666, 1.0, 1.0, 1.0];0.38414634146341464;0.23287431115017318;[[0, 12, 69, 0, 101, 0], [0, 52, 237, 2, 115, 0], [0, 1, 407, 5, 48, 0], [0, 14, 177, 35, 259, 0], [2, 0, 20, 0, 387, 0], [0, 1, 147, 4, 200, 1]];[0.0, 0.65, 0.38505203405865657, 0.7608695652173914, 0.34864864864864864, 1.0];0.37162837162837165;0.2221255598093668;[[0, 3, 29, 0, 48, 0], [0, 16, 116, 0, 45, 0], [0, 1, 167, 3, 30, 0], [0, 4, 70, 19, 118, 0], [1, 1, 7, 0, 170, 0], [0, 0, 71, 0, 82, 0]];[0.0, 0.64, 0.3630434782608696, 0.8636363636363636, 0.3448275862068966, nan];30.0;[2, 7, 6, 5, 8, 2]


CiteSeer;own;own;0;64;0.5;1;0.005;649695571.0;0.0;0.0;[[]];[];0.09587274290627687;0.05557802578223715;[[10, 13, 17, 17, 26, 5, 9, 2, 20, 8, 40, 16, 1], [20, 43, 34, 19, 39, 2, 48, 5, 62, 18, 75, 47, 1], [18, 21, 105, 20, 16, 4, 12, 4, 43, 15, 66, 140, 3], [17, 32, 81, 22, 24, 7, 24, 0, 69, 20, 102, 92, 0], [20, 27, 59, 7, 34, 12, 22, 5, 76, 9, 86, 59, 1], [14, 14, 45, 13, 17, 9, 12, 2, 78, 12, 103, 36, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]];[0.10101010101010101, 0.2866666666666667, 0.30791788856304986, 0.22448979591836735, 0.21794871794871795, 0.23076923076923078, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];0.08691308691308691;0.05046905890943258;[[2, 11, 16, 3, 9, 0, 6, 1, 8, 4, 17, 3, 0], [8, 23, 16, 8, 10, 1, 21, 2, 23, 18, 32, 15, 0], [8, 10, 33, 8, 6, 2, 10, 1, 26, 9, 25, 61, 2], [7, 10, 26, 15, 14, 4, 11, 1, 37, 4, 45, 37, 0], [8, 4, 29, 4, 14, 8, 14, 3, 36, 2, 38, 18, 1], [4, 5, 20, 3, 6, 0, 4, 2, 40, 5, 44, 20, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]];[0.05405405405405406, 0.36507936507936506, 0.2357142857142857, 0.36585365853658536, 0.23728813559322035, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];0.0;[]
CiteSeer;own;own;0;64;0.5;1;0.005;649695571.0;0.6923076923076923;0.6833333333333333;[[1, 1, 0, 0, 0], [0, 3, 0, 0, 0], [0, 0, 1, 1, 0], [0, 1, 0, 3, 0], [0, 1, 0, 0, 1]];[1.0, 0.5, 1.0, 0.75, 1.0];0.29874621703415477;0.21322761827124845;[[6, 126, 26, 21, 3, 0], [7, 294, 70, 39, 0, 0], [0, 310, 83, 71, 1, 0], [0, 174, 26, 286, 0, 0], [14, 320, 19, 40, 22, 0], [2, 279, 37, 29, 8, 0]];[0.20689655172413793, 0.19560878243512975, 0.31800766283524906, 0.588477366255144, 0.6470588235294118, nan];0.3016983016983017;0.20290088672594833;[[3, 61, 7, 9, 0, 0], [4, 138, 22, 13, 0, 0], [0, 150, 26, 25, 0, 0], [0, 68, 11, 132, 0, 0], [8, 137, 12, 19, 3, 0], [2, 111, 19, 16, 5, 0]];[0.17647058823529413, 0.2075187969924812, 0.26804123711340205, 0.616822429906542, 0.375, nan];13.0;[2, 3, 2, 4, 2]
CiteSeer;own;own;0;64;0.5;1;0.005;649695571.0;0.8076923076923077;0.722943722943723;[[2, 0, 0, 0, 0, 0], [0, 5, 1, 0, 0, 0], [0, 0, 6, 0, 0, 0], [0, 1, 0, 5, 0, 0], [0, 1, 0, 0, 3, 0], [0, 1, 1, 0, 0, 0]];[1.0, 0.625, 0.75, 1.0, 1.0, nan];0.3273913043478261;0.2384124625764181;[[5, 44, 115, 11, 7, 0], [2, 107, 283, 9, 6, 0], [0, 51, 379, 30, 1, 0], [0, 74, 188, 222, 0, 0], [3, 159, 205, 6, 40, 0], [0, 92, 237, 5, 19, 0]];[0.5, 0.2030360531309298, 0.26936744847192606, 0.784452296819788, 0.547945205479452, nan];0.3356643356643357;0.24461580158024607;[[3, 26, 48, 1, 2, 0], [0, 60, 112, 3, 2, 0], [1, 30, 159, 11, 0, 0], [0, 23, 83, 105, 0, 0], [1, 62, 105, 2, 9, 0], [0, 30, 107, 3, 13, 0]];[0.6, 0.2597402597402597, 0.25895765472312704, 0.84, 0.34615384615384615, nan];26.0;[2, 6, 6, 6, 4, 2]
CiteSeer;own;own;0;64;0.5;1;0.005;649695571.0;0.9666666666666667;0.9333333333333335;[[2, 0, 0, 0, 0, 0], [0, 7, 0, 0, 0, 0], [0, 0, 7, 0, 0, 0], [0, 0, 0, 7, 0, 0], [0, 0, 0, 0, 5, 0], [0, 1, 0, 0, 0, 1]];[1.0, 0.875, 1.0, 1.0, 1.0, 1.0];0.4952090592334495;0.3802878845129916;[[1, 79, 28, 20, 54, 0], [0, 234, 113, 11, 48, 0], [0, 146, 245, 61, 8, 0], [0, 97, 37, 325, 24, 0], [0, 65, 8, 9, 330, 0], [0, 97, 38, 18, 198, 2]];[1.0, 0.32590529247910865, 0.5223880597014925, 0.7319819819819819, 0.4984894259818731, 1.0];0.5304695304695305;0.41161344953334594;[[2, 39, 11, 6, 22, 0], [1, 108, 44, 8, 16, 0], [1, 55, 118, 18, 9, 0], [0, 37, 16, 149, 9, 0], [0, 22, 1, 3, 153, 0], [0, 25, 20, 7, 100, 1]];[0.5, 0.3776223776223776, 0.5619047619047619, 0.7801047120418848, 0.49514563106796117, 1.0];30.0;[2, 7, 7, 7, 5, 2]
