dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Labeled class accuracies;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Unlabeled class accuracies;Test accuracy;Test macro-f1;Test confusion;Test class accuracies;Budget used;Class distrubution
CiteSeer;own;pagerank;0;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];[];0.10404127257093723;0.04486716496683902;[[0, 32, 5, 46, 11, 24, 2, 17, 12, 5, 14, 2, 14], [5, 83, 24, 90, 8, 53, 13, 19, 33, 1, 57, 0, 27], [0, 56, 14, 100, 33, 101, 1, 14, 33, 1, 64, 6, 44], [7, 101, 32, 98, 15, 60, 12, 30, 20, 11, 17, 1, 86], [1, 77, 12, 148, 9, 47, 0, 10, 68, 0, 25, 0, 20], [8, 47, 19, 100, 32, 38, 11, 18, 25, 6, 29, 0, 22], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]];[0.0, 0.20959595959595959, 0.1320754716981132, 0.16838487972508592, 0.08333333333333333, 0.11764705882352941, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];0.1008991008991009;0.048156632200351164;[[3, 8, 9, 21, 0, 18, 1, 7, 6, 0, 2, 1, 4], [1, 37, 11, 24, 5, 33, 5, 15, 15, 4, 16, 1, 10], [0, 34, 6, 49, 13, 36, 0, 5, 16, 0, 24, 1, 17], [7, 51, 13, 37, 6, 12, 8, 17, 12, 5, 8, 0, 35], [2, 25, 2, 64, 4, 27, 1, 4, 30, 1, 11, 0, 8], [1, 19, 4, 28, 12, 14, 5, 8, 17, 4, 26, 0, 15], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]];[0.21428571428571427, 0.21264367816091953, 0.13333333333333333, 0.16591928251121077, 0.1, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];0.0;[]
CiteSeer;own;pagerank;0;64;0.5;1;0.005;20795212.0;0.8461538461538461;0.8650793650793651;[[1, 0, 0, 0, 0, 0], [0, 1, 0, 1, 0, 0], [0, 0, 1, 0, 0, 0], [0, 0, 0, 6, 0, 0], [0, 0, 0, 0, 1, 0], [0, 0, 0, 1, 0, 1]];[1.0, 1.0, 1.0, 0.75, 1.0, 1.0];0.28102031993082577;0.15035364844279356;[[0, 0, 0, 159, 24, 0], [2, 1, 5, 368, 35, 0], [1, 0, 7, 453, 5, 0], [0, 0, 0, 477, 7, 0], [12, 0, 0, 235, 163, 6], [2, 0, 0, 310, 39, 2]];[0.0, 1.0, 0.5833333333333334, 0.23826173826173827, 0.5970695970695971, 0.25];0.3006993006993007;0.17532810578426702;[[3, 0, 0, 65, 12, 0], [0, 0, 0, 160, 17, 0], [0, 0, 5, 190, 6, 0], [0, 0, 0, 211, 0, 0], [6, 0, 0, 90, 81, 2], [0, 0, 0, 140, 12, 1]];[0.3333333333333333, nan, 1.0, 0.24649532710280375, 0.6328125, 0.3333333333333333];13.0;[1, 2, 1, 6, 1, 2]
CiteSeer;own;pagerank;0;64;0.5;1;0.005;20795212.0;0.7692307692307693;0.7175485008818342;[[2, 0, 0, 0, 1, 0], [0, 1, 0, 2, 0, 0], [0, 0, 1, 1, 0, 0], [0, 0, 0, 11, 0, 0], [0, 0, 0, 1, 2, 0], [0, 0, 0, 1, 0, 3]];[1.0, 1.0, 1.0, 0.6875, 0.6666666666666666, 1.0];0.24739130434782608;0.12991774785063936;[[5, 0, 0, 166, 10, 0], [5, 3, 2, 384, 16, 0], [2, 0, 5, 456, 2, 0], [6, 0, 0, 471, 2, 0], [86, 0, 0, 242, 74, 12], [4, 0, 2, 315, 19, 11]];[0.046296296296296294, 1.0, 0.5555555555555556, 0.23156342182890854, 0.6016260162601627, 0.4782608695652174];0.26573426573426573;0.1572113369843746;[[4, 0, 0, 69, 7, 0], [3, 0, 0, 169, 5, 0], [1, 0, 3, 196, 1, 0], [3, 0, 0, 208, 0, 0], [40, 0, 0, 97, 40, 2], [0, 0, 0, 137, 5, 11]];[0.0784313725490196, nan, 1.0, 0.2374429223744292, 0.6896551724137931, 0.8461538461538461];26.0;[3, 3, 2, 11, 3, 4]
CiteSeer;own;pagerank;0;64;0.5;1;0.005;20795212.0;0.9;0.852012882447665;[[2, 0, 0, 0, 1, 0], [0, 4, 0, 0, 1, 0], [0, 0, 1, 1, 0, 0], [0, 0, 0, 11, 0, 0], [0, 0, 0, 0, 4, 0], [0, 0, 0, 0, 0, 5]];[1.0, 1.0, 1.0, 0.9166666666666666, 0.6666666666666666, 1.0];0.3932926829268293;0.31535668548000184;[[4, 14, 0, 113, 21, 29], [4, 78, 2, 262, 38, 24], [2, 6, 7, 436, 2, 12], [11, 2, 1, 440, 8, 17], [95, 2, 0, 47, 203, 66], [5, 2, 2, 128, 42, 171]];[0.03305785123966942, 0.75, 0.5833333333333334, 0.3085553997194951, 0.6464968152866242, 0.5360501567398119];0.3966033966033966;0.3261202743607224;[[9, 6, 0, 43, 12, 10], [4, 28, 1, 111, 15, 18], [2, 1, 5, 177, 5, 11], [4, 1, 0, 197, 2, 7], [46, 0, 0, 31, 78, 24], [1, 0, 0, 64, 8, 80]];[0.13636363636363635, 0.7777777777777778, 0.8333333333333334, 0.3162118780096308, 0.65, 0.5333333333333333];30.0;[3, 5, 2, 11, 4, 5]


CiteSeer;own;pagerank;0;64;0.5;1;0.005;649695571.0;0.0;0.0;[[]];[];0.09587274290627687;0.05557802578223715;[[10, 13, 17, 17, 26, 5, 9, 2, 20, 8, 40, 16, 1], [20, 43, 34, 19, 39, 2, 48, 5, 62, 18, 75, 47, 1], [18, 21, 105, 20, 16, 4, 12, 4, 43, 15, 66, 140, 3], [17, 32, 81, 22, 24, 7, 24, 0, 69, 20, 102, 92, 0], [20, 27, 59, 7, 34, 12, 22, 5, 76, 9, 86, 59, 1], [14, 14, 45, 13, 17, 9, 12, 2, 78, 12, 103, 36, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]];[0.10101010101010101, 0.2866666666666667, 0.30791788856304986, 0.22448979591836735, 0.21794871794871795, 0.23076923076923078, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];0.08691308691308691;0.05046905890943258;[[2, 11, 16, 3, 9, 0, 6, 1, 8, 4, 17, 3, 0], [8, 23, 16, 8, 10, 1, 21, 2, 23, 18, 32, 15, 0], [8, 10, 33, 8, 6, 2, 10, 1, 26, 9, 25, 61, 2], [7, 10, 26, 15, 14, 4, 11, 1, 37, 4, 45, 37, 0], [8, 4, 29, 4, 14, 8, 14, 3, 36, 2, 38, 18, 1], [4, 5, 20, 3, 6, 0, 4, 2, 40, 5, 44, 20, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]];[0.05405405405405406, 0.36507936507936506, 0.2357142857142857, 0.36585365853658536, 0.23728813559322035, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];0.0;[]
CiteSeer;own;pagerank;0;64;0.5;1;0.005;649695571.0;0.8461538461538461;0.8555555555555555;[[4, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0], [1, 0, 1, 0, 0, 0], [1, 0, 0, 1, 0, 0], [0, 0, 0, 0, 3, 0], [0, 0, 0, 0, 0, 1]];[0.6666666666666666, 1.0, 1.0, 1.0, 1.0, 1.0];0.233895373973195;0.16591629478005407;[[119, 4, 5, 0, 52, 0], [274, 4, 38, 0, 96, 0], [183, 7, 114, 1, 160, 0], [224, 58, 14, 2, 190, 0], [110, 2, 0, 0, 302, 0], [105, 5, 3, 0, 241, 0]];[0.11724137931034483, 0.05, 0.6551724137931034, 0.6666666666666666, 0.29010566762728146, nan];0.24575424575424576;0.17942947628690342;[[49, 1, 2, 0, 28, 0], [123, 0, 12, 0, 42, 0], [56, 2, 68, 2, 73, 0], [101, 30, 4, 0, 76, 0], [50, 0, 0, 0, 129, 0], [50, 1, 0, 0, 102, 0]];[0.11421911421911422, 0.0, 0.7906976744186046, 0.0, 0.2866666666666667, nan];13.0;[4, 1, 2, 2, 3, 1]
CiteSeer;own;pagerank;0;64;0.5;1;0.005;649695571.0;0.8076923076923077;0.8027777777777777;[[5, 0, 0, 0, 1, 0], [0, 4, 0, 0, 0, 0], [0, 0, 2, 0, 1, 0], [1, 1, 0, 3, 0, 0], [0, 0, 0, 0, 5, 0], [0, 1, 0, 0, 0, 2]];[0.8333333333333334, 0.6666666666666666, 1.0, 1.0, 0.7142857142857143, 1.0];0.22478260869565217;0.15817288718546754;[[54, 19, 3, 0, 102, 0], [106, 53, 20, 1, 229, 0], [17, 49, 58, 4, 336, 0], [59, 141, 11, 7, 267, 0], [63, 3, 1, 0, 345, 0], [28, 13, 1, 0, 310, 0]];[0.1651376146788991, 0.1906474820143885, 0.6170212765957447, 0.5833333333333334, 0.2171176840780365, nan];0.23476523476523475;0.17150103789125978;[[25, 5, 1, 0, 49, 0], [43, 24, 5, 0, 105, 0], [11, 26, 31, 1, 132, 0], [22, 67, 2, 4, 116, 0], [28, 0, 0, 0, 151, 0], [9, 8, 0, 0, 136, 0]];[0.18115942028985507, 0.18461538461538463, 0.7948717948717948, 0.8, 0.21915820029027577, nan];26.0;[6, 4, 3, 5, 5, 3]
CiteSeer;own;pagerank;0;64;0.5;1;0.005;649695571.0;0.9;0.897027972027972;[[6, 0, 0, 0, 0, 0], [0, 4, 1, 0, 0, 0], [0, 0, 5, 0, 0, 0], [1, 1, 0, 3, 0, 0], [0, 0, 0, 0, 6, 0], [0, 0, 0, 0, 0, 3]];[0.8571428571428571, 0.8, 0.8333333333333334, 1.0, 1.0, 1.0];0.3719512195121951;0.2849325830927747;[[58, 31, 59, 0, 28, 2], [72, 67, 224, 2, 37, 6], [3, 9, 423, 3, 23, 1], [54, 64, 315, 7, 45, 0], [92, 12, 35, 0, 270, 2], [38, 28, 114, 0, 143, 29]];[0.1829652996845426, 0.3175355450236967, 0.36153846153846153, 0.5833333333333334, 0.4945054945054945, 0.725];0.35864135864135865;0.27090089487922814;[[27, 9, 19, 0, 24, 1], [39, 24, 93, 0, 19, 2], [1, 3, 180, 1, 16, 0], [15, 35, 139, 1, 21, 0], [45, 7, 13, 0, 114, 0], [17, 9, 49, 0, 65, 13]];[0.1875, 0.27586206896551724, 0.36511156186612576, 0.5, 0.44015444015444016, 0.8125];30.0;[6, 5, 5, 5, 6, 3]


CiteSeer;own;pagerank;0;64;0.5;1;0.005;831763849.0;0.0;0.0;[[]];[];0.15004299226139295;0.03469167928329076;[[1, 0, 0, 115, 0, 10, 0, 16, 14, 6, 16, 6], [3, 0, 0, 253, 0, 23, 2, 51, 40, 13, 23, 5], [0, 0, 0, 290, 1, 41, 3, 55, 27, 18, 28, 4], [0, 0, 0, 330, 0, 31, 2, 35, 25, 15, 45, 7], [1, 0, 3, 238, 0, 40, 1, 63, 12, 28, 25, 6], [0, 0, 0, 247, 1, 18, 2, 39, 14, 12, 18, 4], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]];[0.2, nan, 0.0, 0.2240325865580448, 0.0, 0.11042944785276074, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];0.13286713286713286;0.02860375609190775;[[1, 0, 0, 53, 1, 5, 0, 9, 4, 1, 4, 2], [1, 0, 0, 110, 0, 13, 0, 23, 12, 8, 8, 2], [0, 0, 0, 123, 0, 19, 0, 23, 19, 7, 10, 0], [0, 0, 0, 131, 0, 19, 0, 16, 15, 4, 18, 8], [1, 0, 2, 115, 0, 12, 1, 18, 6, 6, 13, 5], [1, 0, 0, 101, 0, 1, 1, 26, 7, 7, 9, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]];[0.25, nan, 0.0, 0.20695102685624012, 0.0, 0.014492753623188406, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];0.0;[]
CiteSeer;own;pagerank;0;64;0.5;1;0.005;831763849.0;0.7692307692307693;0.7766666666666666;[[4, 0, 1, 0, 0], [0, 1, 1, 0, 0], [0, 0, 3, 0, 0], [1, 0, 0, 1, 0], [0, 0, 0, 0, 1]];[0.8, 1.0, 0.6, 1.0, 1.0];0.3056636402939905;0.15471555120375324;[[0, 140, 1, 43, 0, 0], [0, 316, 3, 89, 0, 0], [0, 240, 2, 222, 1, 0], [0, 99, 0, 388, 0, 0], [0, 367, 0, 47, 1, 0], [0, 274, 0, 80, 0, 0]];[nan, 0.2200557103064067, 0.3333333333333333, 0.44649021864211735, 0.5, nan];0.3106893106893107;0.16096010564896662;[[0, 56, 0, 24, 0, 0], [0, 138, 1, 38, 0, 0], [0, 111, 2, 88, 0, 0], [0, 42, 0, 169, 0, 0], [0, 158, 0, 20, 1, 0], [0, 110, 3, 39, 0, 1]];[nan, 0.22439024390243903, 0.3333333333333333, 0.4470899470899471, 1.0, 1.0];13.0;[0, 5, 2, 3, 2, 1]
