dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Labeled class accuracies;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Unlabeled class accuracies;Test accuracy;Test macro-f1;Test confusion;Test class accuracies;Budget used;Class distrubution
CiteSeer;own;random;0.2;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];[];0.10404127257093723;0.04486716496683902;[[0, 32, 5, 46, 11, 24, 2, 17, 12, 5, 14, 2, 14], [5, 83, 24, 90, 8, 53, 13, 19, 33, 1, 57, 0, 27], [0, 56, 14, 100, 33, 101, 1, 14, 33, 1, 64, 6, 44], [7, 101, 32, 98, 15, 60, 12, 30, 20, 11, 17, 1, 86], [1, 77, 12, 148, 9, 47, 0, 10, 68, 0, 25, 0, 20], [8, 47, 19, 100, 32, 38, 11, 18, 25, 6, 29, 0, 22], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]];[0.0, 0.20959595959595959, 0.1320754716981132, 0.16838487972508592, 0.08333333333333333, 0.11764705882352941, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];0.1008991008991009;0.048156632200351164;[[3, 8, 9, 21, 0, 18, 1, 7, 6, 0, 2, 1, 4], [1, 37, 11, 24, 5, 33, 5, 15, 15, 4, 16, 1, 10], [0, 34, 6, 49, 13, 36, 0, 5, 16, 0, 24, 1, 17], [7, 51, 13, 37, 6, 12, 8, 17, 12, 5, 8, 0, 35], [2, 25, 2, 64, 4, 27, 1, 4, 30, 1, 11, 0, 8], [1, 19, 4, 28, 12, 14, 5, 8, 17, 4, 26, 0, 15], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]];[0.21428571428571427, 0.21264367816091953, 0.13333333333333333, 0.16591928251121077, 0.1, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];0.0;[]
CiteSeer;own;random;0.2;64;0.5;1;0.005;20795212.0;0.9230769230769231;0.9314285714285713;[[3, 0, 0, 0, 0], [0, 2, 1, 0, 0], [0, 0, 3, 0, 0], [0, 0, 0, 2, 0], [0, 0, 0, 0, 2]];[1.0, 1.0, 0.75, 1.0, 1.0];0.41115434500648507;0.2628618174229924;[[0, 6, 2, 85, 87, 3], [0, 40, 41, 205, 118, 2], [0, 5, 62, 358, 44, 0], [0, 2, 2, 446, 38, 0], [0, 0, 2, 24, 388, 0], [0, 0, 2, 101, 235, 15]];[nan, 0.7547169811320755, 0.5585585585585585, 0.36587366694011486, 0.42637362637362636, 0.75];0.4085914085914086;0.2617704222038643;[[0, 1, 1, 28, 49, 1], [0, 10, 15, 91, 60, 1], [0, 0, 41, 138, 22, 0], [0, 2, 0, 190, 19, 0], [0, 0, 0, 17, 162, 0], [0, 0, 2, 42, 103, 6]];[nan, 0.7692307692307693, 0.6949152542372882, 0.37549407114624506, 0.39036144578313253, 0.75];13.0;[0, 3, 3, 3, 2, 2]
CiteSeer;own;random;0.2;64;0.5;1;0.005;20795212.0;0.9615384615384616;0.8222222222222223;[[0, 1, 0, 0, 0, 0], [0, 7, 0, 0, 0, 0], [0, 0, 5, 0, 0, 0], [0, 0, 0, 5, 0, 0], [0, 0, 0, 0, 4, 0], [0, 0, 0, 0, 0, 4]];[nan, 0.875, 1.0, 1.0, 1.0, 1.0];0.5960869565217392;0.49831340569481286;[[0, 83, 40, 18, 29, 4], [0, 264, 107, 4, 18, 5], [0, 26, 426, 28, 8, 1], [0, 68, 118, 278, 14, 2], [0, 54, 31, 11, 312, 3], [0, 66, 109, 12, 70, 91]];[nan, 0.47058823529411764, 0.5126353790613718, 0.792022792022792, 0.6917960088691796, 0.8584905660377359];0.5794205794205795;0.48845279327172036;[[0, 31, 19, 8, 20, 2], [0, 115, 51, 1, 9, 1], [0, 9, 174, 12, 6, 0], [0, 26, 53, 127, 5, 0], [0, 34, 14, 7, 124, 0], [0, 39, 50, 1, 23, 40]];[nan, 0.452755905511811, 0.481994459833795, 0.8141025641025641, 0.6631016042780749, 0.9302325581395349];26.0;[1, 7, 5, 5, 4, 4]
CiteSeer;own;random;0.2;64;0.5;1;0.005;20795212.0;0.9666666666666667;0.823529411764706;[[0, 1, 0, 0, 0, 0], [0, 8, 0, 0, 0, 0], [0, 0, 7, 0, 0, 0], [0, 0, 0, 6, 0, 0], [0, 0, 0, 0, 4, 0], [0, 0, 0, 0, 0, 4]];[nan, 0.8888888888888888, 1.0, 1.0, 1.0, 1.0];0.546602787456446;0.4595478359181336;[[0, 122, 29, 5, 6, 4], [0, 325, 76, 3, 5, 3], [0, 34, 441, 13, 3, 1], [0, 100, 168, 200, 4, 3], [0, 175, 26, 5, 195, 3], [0, 155, 69, 4, 25, 94]];[nan, 0.3567508232711306, 0.5451174289245982, 0.8695652173913043, 0.819327731092437, 0.8703703703703703];0.5354645354645354;0.45607395537468814;[[0, 60, 12, 0, 6, 2], [0, 136, 40, 0, 0, 1], [0, 15, 179, 3, 3, 1], [0, 46, 66, 97, 1, 1], [0, 81, 8, 4, 86, 0], [0, 75, 30, 2, 8, 38]];[nan, 0.32929782082324455, 0.5343283582089552, 0.9150943396226415, 0.8269230769230769, 0.8837209302325582];30.0;[1, 8, 7, 6, 4, 4]


CiteSeer;own;random;0.2;64;0.5;1;0.005;649695571.0;0.0;0.0;[[]];[];0.09587274290627687;0.05557802578223715;[[10, 13, 17, 17, 26, 5, 9, 2, 20, 8, 40, 16, 1], [20, 43, 34, 19, 39, 2, 48, 5, 62, 18, 75, 47, 1], [18, 21, 105, 20, 16, 4, 12, 4, 43, 15, 66, 140, 3], [17, 32, 81, 22, 24, 7, 24, 0, 69, 20, 102, 92, 0], [20, 27, 59, 7, 34, 12, 22, 5, 76, 9, 86, 59, 1], [14, 14, 45, 13, 17, 9, 12, 2, 78, 12, 103, 36, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]];[0.10101010101010101, 0.2866666666666667, 0.30791788856304986, 0.22448979591836735, 0.21794871794871795, 0.23076923076923078, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];0.08691308691308691;0.05046905890943258;[[2, 11, 16, 3, 9, 0, 6, 1, 8, 4, 17, 3, 0], [8, 23, 16, 8, 10, 1, 21, 2, 23, 18, 32, 15, 0], [8, 10, 33, 8, 6, 2, 10, 1, 26, 9, 25, 61, 2], [7, 10, 26, 15, 14, 4, 11, 1, 37, 4, 45, 37, 0], [8, 4, 29, 4, 14, 8, 14, 3, 36, 2, 38, 18, 1], [4, 5, 20, 3, 6, 0, 4, 2, 40, 5, 44, 20, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]];[0.05405405405405406, 0.36507936507936506, 0.2357142857142857, 0.36585365853658536, 0.23728813559322035, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];0.0;[]
CiteSeer;own;random;0.2;64;0.5;1;0.005;649695571.0;0.8461538461538461;0.7037037037037037;[[2, 0, 0, 0, 0, 0], [0, 1, 0, 0, 1, 0], [0, 0, 3, 0, 0, 0], [0, 0, 0, 4, 0, 0], [0, 0, 0, 0, 1, 0], [0, 0, 0, 1, 0, 0]];[1.0, 1.0, 1.0, 0.8, 0.5, nan];0.3679204496325119;0.26631789021042857;[[92, 0, 44, 33, 23, 0], [178, 0, 90, 85, 53, 0], [25, 0, 378, 44, 22, 0], [27, 0, 111, 343, 7, 0], [317, 0, 41, 16, 38, 0], [114, 0, 62, 28, 142, 0]];[0.12217795484727756, nan, 0.5206611570247934, 0.6247723132969034, 0.13333333333333333, nan];0.35764235764235763;0.25657701945419914;[[32, 0, 18, 18, 12, 0], [75, 1, 47, 36, 18, 0], [11, 0, 170, 10, 10, 0], [10, 0, 43, 151, 7, 0], [152, 0, 17, 6, 4, 0], [44, 0, 21, 8, 80, 0]];[0.09876543209876543, 1.0, 0.5379746835443038, 0.6593886462882096, 0.030534351145038167, nan];13.0;[2, 2, 3, 4, 1, 1]
CiteSeer;own;random;0.2;64;0.5;1;0.005;649695571.0;0.8076923076923077;0.7509259259259259;[[2, 0, 0, 0, 0, 0], [0, 2, 0, 1, 1, 0], [0, 0, 5, 0, 0, 0], [0, 0, 0, 8, 0, 0], [0, 0, 0, 0, 3, 0], [1, 0, 0, 1, 1, 1]];[0.6666666666666666, 1.0, 1.0, 0.8, 0.6, 1.0];0.4860869565217391;0.32549294525310807;[[11, 0, 26, 82, 60, 0], [5, 2, 88, 205, 105, 0], [0, 0, 368, 77, 23, 0], [0, 0, 53, 418, 18, 0], [9, 0, 28, 55, 318, 0], [10, 0, 31, 52, 255, 1]];[0.3142857142857143, 1.0, 0.6195286195286195, 0.4701912260967379, 0.40821566110397944, 1.0];0.4835164835164835;0.32461545850932266;[[5, 0, 13, 38, 24, 0], [5, 1, 40, 87, 44, 0], [0, 0, 156, 32, 13, 0], [0, 0, 19, 184, 8, 0], [12, 0, 8, 21, 138, 0], [2, 0, 14, 16, 121, 0]];[0.20833333333333334, 1.0, 0.624, 0.48677248677248675, 0.39655172413793105, nan];26.0;[2, 4, 5, 8, 3, 4]
CiteSeer;own;random;0.2;64;0.5;1;0.005;649695571.0;0.9666666666666667;0.9629629629629631;[[2, 0, 0, 0, 0, 0], [0, 6, 0, 0, 0, 0], [0, 0, 5, 0, 0, 0], [0, 0, 0, 8, 0, 0], [0, 0, 0, 0, 4, 0], [0, 0, 0, 0, 1, 4]];[1.0, 1.0, 1.0, 1.0, 0.8, 1.0];0.3240418118466899;0.25091550048804034;[[9, 161, 0, 4, 5, 0], [0, 455, 0, 0, 2, 0], [0, 393, 32, 0, 2, 0], [0, 371, 8, 101, 0, 0], [2, 278, 2, 3, 129, 0], [1, 304, 0, 0, 16, 18]];[0.75, 0.23190621814475026, 0.7619047619047619, 0.9351851851851852, 0.8376623376623377, 1.0];0.2757242757242757;0.2029376527086347;[[3, 73, 0, 2, 2, 0], [0, 175, 0, 0, 2, 0], [0, 193, 4, 1, 3, 0], [0, 172, 3, 35, 1, 0], [0, 123, 0, 2, 54, 0], [0, 139, 0, 0, 9, 5]];[1.0, 0.2, 0.5714285714285714, 0.875, 0.7605633802816901, 1.0];30.0;[2, 6, 5, 8, 4, 5]
