dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Labeled class accuracies;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Unlabeled class accuracies;Test accuracy;Test macro-f1;Test confusion;Test class accuracies;Budget used;Class distrubution
CiteSeer;own;medoids;0.2;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];[];0.043422184006878764;0.022651102737766746;[[1, 11, 10, 57, 0, 11, 7, 9, 3, 23, 31, 18, 3], [4, 15, 21, 96, 0, 20, 12, 41, 10, 42, 114, 33, 5], [3, 3, 11, 49, 3, 10, 18, 10, 10, 16, 303, 27, 4], [2, 18, 18, 61, 4, 20, 24, 27, 35, 30, 124, 113, 14], [3, 30, 6, 134, 2, 9, 16, 30, 5, 36, 120, 21, 5], [5, 4, 27, 91, 2, 11, 8, 17, 9, 37, 103, 29, 12], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]];[0.05555555555555555, 0.18518518518518517, 0.11827956989247312, 0.125, 0.18181818181818182, 0.13580246913580246, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];0.05194805194805195;0.028500027313586637;[[0, 2, 5, 16, 1, 4, 4, 3, 0, 13, 22, 9, 1], [1, 11, 4, 51, 0, 5, 2, 11, 3, 19, 49, 17, 4], [0, 3, 7, 18, 0, 5, 8, 7, 5, 10, 129, 7, 2], [1, 9, 3, 27, 3, 5, 8, 13, 21, 11, 50, 54, 6], [1, 12, 2, 58, 0, 6, 14, 10, 0, 12, 50, 9, 5], [2, 2, 3, 32, 1, 7, 5, 7, 5, 21, 51, 12, 5], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]];[0.0, 0.28205128205128205, 0.2916666666666667, 0.13366336633663367, 0.0, 0.21875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];0.0;[]
CiteSeer;own;medoids;0.2;64;0.5;1;0.005;20795212.0;0.9230769230769231;0.8939393939393939;[[1, 0, 1, 0], [0, 3, 0, 0], [0, 0, 5, 0], [0, 0, 0, 3]];[1.0, 1.0, 0.8333333333333334, 1.0];0.25075659316904453;0.16439412962099179;[[0, 1, 0, 0, 174, 7], [0, 50, 0, 0, 337, 24], [0, 2, 0, 0, 442, 19], [0, 0, 0, 8, 472, 5], [0, 0, 0, 0, 418, 2], [0, 0, 0, 0, 248, 104]];[nan, 0.9433962264150944, nan, 1.0, 0.1999043519846963, 0.6459627329192547];0.2547452547452547;0.17059254141522376;[[0, 1, 0, 0, 77, 2], [0, 21, 0, 0, 146, 10], [0, 0, 0, 0, 188, 13], [0, 0, 0, 3, 206, 2], [0, 0, 0, 0, 178, 1], [0, 0, 0, 0, 100, 53]];[nan, 0.9545454545454546, nan, 1.0, 0.19888268156424582, 0.654320987654321];13.0;[0, 2, 0, 3, 5, 3]
CiteSeer;own;medoids;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;[[2, 0, 0, 0, 0, 0], [0, 4, 0, 0, 0, 0], [0, 0, 3, 0, 0, 0], [0, 0, 0, 5, 0, 0], [0, 0, 0, 0, 5, 0], [0, 0, 0, 0, 0, 7]];[1.0, 1.0, 1.0, 1.0, 1.0, 1.0];0.5760869565217391;0.5137939524810706;[[16, 24, 25, 12, 37, 71], [7, 122, 50, 15, 36, 163], [2, 5, 308, 48, 12, 98], [17, 20, 45, 259, 67, 70], [6, 2, 8, 5, 347, 47], [1, 0, 31, 14, 37, 273]];[0.32653061224489793, 0.7052023121387283, 0.6595289079229122, 0.7337110481586402, 0.6473880597014925, 0.3781163434903047];0.5704295704295704;0.5005822185027659;[[4, 17, 12, 1, 21, 25], [6, 52, 18, 3, 24, 74], [0, 3, 111, 20, 12, 55], [7, 7, 16, 126, 25, 30], [3, 2, 2, 2, 157, 13], [0, 0, 9, 5, 18, 121]];[0.2, 0.6419753086419753, 0.6607142857142857, 0.802547770700637, 0.6108949416342413, 0.3805031446540881];26.0;[2, 4, 3, 5, 5, 7]
CiteSeer;own;medoids;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;[[3, 0, 0, 0, 0, 0], [0, 5, 0, 0, 0, 0], [0, 0, 4, 0, 0, 0], [0, 0, 0, 6, 0, 0], [0, 0, 0, 0, 5, 0], [0, 0, 0, 0, 0, 7]];[1.0, 1.0, 1.0, 1.0, 1.0, 1.0];0.5862369337979094;0.5291123382198984;[[21, 23, 25, 10, 31, 73], [10, 131, 65, 11, 29, 147], [5, 5, 325, 44, 6, 90], [27, 21, 51, 256, 56, 63], [8, 4, 16, 8, 331, 48], [1, 0, 30, 15, 28, 282]];[0.2916666666666667, 0.7119565217391305, 0.634765625, 0.7441860465116279, 0.6881496881496881, 0.4011379800853485];0.5874125874125874;0.5213668559308225;[[5, 18, 12, 2, 17, 26], [6, 56, 23, 2, 19, 71], [0, 3, 126, 17, 8, 47], [15, 7, 18, 129, 16, 26], [5, 3, 3, 2, 150, 16], [1, 0, 12, 4, 14, 122]];[0.15625, 0.6436781609195402, 0.6494845360824743, 0.8269230769230769, 0.6696428571428571, 0.3961038961038961];30.0;[3, 5, 4, 6, 5, 7]


CiteSeer;own;medoids;0.2;64;0.5;1;0.005;649695571.0;0.0;0.0;[[]];[];0.0997420464316423;0.04845310505888393;[[7, 22, 28, 29, 24, 2, 15, 6, 1, 10, 11, 24, 5], [11, 32, 47, 78, 61, 29, 16, 8, 5, 15, 28, 69, 14], [4, 20, 20, 54, 220, 10, 20, 22, 4, 5, 9, 78, 1], [24, 26, 69, 89, 113, 33, 19, 22, 5, 15, 34, 37, 4], [6, 14, 68, 87, 71, 7, 92, 6, 1, 7, 8, 40, 10], [7, 10, 61, 79, 66, 13, 19, 14, 9, 7, 32, 38, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]];[0.11864406779661017, 0.25806451612903225, 0.06825938566552901, 0.21394230769230768, 0.12792792792792793, 0.13829787234042554, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];0.10589410589410589;0.05067449651354129;[[3, 5, 15, 12, 15, 0, 8, 3, 3, 4, 3, 7, 2], [6, 12, 26, 34, 29, 11, 6, 4, 4, 7, 9, 27, 2], [1, 10, 16, 24, 83, 4, 7, 9, 2, 2, 3, 39, 1], [14, 11, 26, 45, 55, 7, 6, 8, 2, 5, 18, 13, 1], [5, 12, 32, 35, 24, 1, 40, 0, 0, 2, 2, 19, 7], [7, 3, 21, 30, 45, 6, 7, 1, 1, 4, 15, 12, 1], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]];[0.08333333333333333, 0.22641509433962265, 0.11764705882352941, 0.25, 0.09561752988047809, 0.20689655172413793, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];0.0;[]
CiteSeer;own;medoids;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;[[1, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0], [0, 0, 2, 0, 0, 0], [0, 0, 0, 3, 0, 0], [0, 0, 0, 0, 5, 0], [0, 0, 0, 0, 0, 1]];[1.0, 1.0, 1.0, 1.0, 1.0, 1.0];0.4409857328145266;0.24456437165975933;[[2, 0, 86, 13, 73, 2, 1], [0, 6, 283, 16, 103, 0, 0], [1, 0, 436, 16, 25, 0, 0], [0, 0, 201, 179, 105, 0, 0], [0, 0, 21, 1, 391, 10, 0], [5, 0, 130, 6, 195, 6, 0], [0, 0, 0, 0, 0, 0, 0]];[0.25, 1.0, 0.37683664649956783, 0.7748917748917749, 0.4383408071748879, 0.3333333333333333, 0.0];0.44255744255744256;0.29012646713407003;[[0, 0, 40, 6, 34, 0], [0, 4, 118, 1, 54, 0], [0, 0, 188, 1, 12, 0], [0, 0, 95, 80, 36, 0], [0, 0, 7, 3, 167, 2], [2, 0, 64, 3, 80, 4]];[0.0, 1.0, 0.3671875, 0.851063829787234, 0.4360313315926893, 0.6666666666666666];13.0;[1, 1, 2, 3, 5, 1]
CiteSeer;own;medoids;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;[[1, 0, 0, 0, 0, 0], [0, 4, 0, 0, 0, 0], [0, 0, 4, 0, 0, 0], [0, 0, 0, 6, 0, 0], [0, 0, 0, 0, 8, 0], [0, 0, 0, 0, 0, 3]];[1.0, 1.0, 1.0, 1.0, 1.0, 1.0];0.5804347826086956;0.41643593080447205;[[2, 23, 35, 30, 66, 20, 0], [0, 117, 141, 26, 91, 28, 0], [1, 6, 422, 20, 18, 11, 0], [0, 11, 147, 231, 73, 14, 1], [0, 3, 12, 3, 391, 16, 0], [5, 2, 54, 8, 100, 172, 0], [0, 0, 0, 0, 0, 0, 0]];[0.25, 0.7222222222222222, 0.5203452527743526, 0.7264150943396226, 0.5290933694181326, 0.6590038314176245, 0.0];0.5864135864135864;0.49439466664853876;[[0, 7, 18, 15, 32, 8], [0, 53, 58, 7, 44, 15], [0, 1, 177, 7, 12, 4], [0, 6, 69, 105, 25, 6], [0, 1, 3, 5, 164, 6], [2, 1, 22, 1, 39, 88]];[0.0, 0.7681159420289855, 0.5100864553314121, 0.75, 0.5189873417721519, 0.6929133858267716];26.0;[1, 4, 4, 6, 8, 3]
CiteSeer;own;medoids;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;[[2, 0, 0, 0, 0, 0], [0, 4, 0, 0, 0, 0], [0, 0, 6, 0, 0, 0], [0, 0, 0, 6, 0, 0], [0, 0, 0, 0, 8, 0], [0, 0, 0, 0, 0, 4]];[1.0, 1.0, 1.0, 1.0, 1.0, 1.0];0.5675087108013938;0.4748375029383554;[[4, 14, 61, 22, 61, 13], [0, 92, 177, 18, 87, 22], [1, 4, 440, 20, 15, 3], [0, 6, 203, 182, 75, 11], [0, 2, 13, 2, 397, 10], [6, 0, 53, 3, 91, 188]];[0.36363636363636365, 0.7796610169491526, 0.46462513199577615, 0.7368421052631579, 0.546831955922865, 0.7611336032388664];0.5594405594405595;0.471654435462542;[[1, 2, 31, 12, 28, 6], [0, 40, 75, 5, 44, 13], [0, 0, 183, 1, 14, 3], [0, 1, 95, 84, 28, 3], [3, 1, 4, 4, 162, 5], [2, 1, 25, 1, 34, 90]];[0.16666666666666666, 0.8888888888888888, 0.4430992736077482, 0.7850467289719626, 0.5225806451612903, 0.75];30.0;[2, 4, 6, 6, 8, 4]


CiteSeer;own;medoids;0.2;64;0.5;1;0.005;831763849.0;0.0;0.0;[[]];[];0.046431642304385214;0.02971654983026981;[[21, 2, 10, 10, 9, 0, 5, 13, 27, 57, 13, 8, 9], [48, 5, 14, 27, 6, 4, 33, 16, 38, 150, 40, 7, 25], [125, 5, 10, 51, 12, 4, 16, 35, 16, 140, 20, 8, 25], [62, 39, 13, 53, 28, 3, 17, 30, 58, 76, 59, 20, 32], [24, 1, 13, 24, 12, 3, 15, 19, 105, 71, 104, 2, 24], [35, 21, 24, 11, 7, 7, 13, 29, 91, 52, 43, 4, 18], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]];[0.06666666666666667, 0.0684931506849315, 0.11904761904761904, 0.30113636363636365, 0.16216216216216217, 0.3333333333333333, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];0.03296703296703297;0.0211738896483244;[[4, 1, 3, 3, 1, 0, 1, 8, 21, 22, 11, 1, 4], [13, 3, 6, 10, 3, 3, 16, 8, 17, 64, 19, 6, 9], [53, 7, 1, 16, 4, 2, 14, 14, 7, 55, 15, 4, 9], [35, 18, 6, 21, 9, 4, 4, 9, 20, 34, 20, 7, 24], [10, 0, 6, 5, 3, 0, 5, 8, 50, 31, 38, 5, 18], [10, 6, 8, 1, 3, 1, 8, 11, 50, 21, 17, 6, 11], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]];[0.032, 0.08571428571428572, 0.03333333333333333, 0.375, 0.13043478260869565, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];0.0;[]
CiteSeer;own;medoids;0.2;64;0.5;1;0.005;831763849.0;1.0;1.0;[[2, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0], [0, 0, 5, 0, 0, 0], [0, 0, 0, 2, 0, 0], [0, 0, 0, 0, 2, 0], [0, 0, 0, 0, 0, 1]];[1.0, 1.0, 1.0, 1.0, 1.0, 1.0];0.3895373973194985;0.25659062138373323;[[15, 0, 132, 0, 41, 0], [9, 0, 329, 2, 49, 0], [0, 0, 490, 0, 5, 0], [2, 0, 390, 21, 62, 1], [2, 0, 56, 0, 341, 18], [1, 0, 235, 0, 78, 34]];[0.5172413793103449, nan, 0.3002450980392157, 0.9130434782608695, 0.5920138888888888, 0.6415094339622641];0.36663336663336665;0.24293653520621242;[[7, 0, 46, 0, 27, 0], [4, 1, 155, 0, 17, 0], [0, 0, 191, 2, 6, 2], [0, 0, 179, 5, 27, 0], [1, 0, 22, 0, 150, 6], [0, 0, 99, 0, 41, 13]];[0.5833333333333334, 1.0, 0.27601156069364163, 0.7142857142857143, 0.5597014925373134, 0.6190476190476191];13.0;[2, 1, 5, 2, 2, 1]
CiteSeer;own;medoids;0.2;64;0.5;1;0.005;831763849.0;0.9615384615384616;0.9633699633699635;[[3, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0], [0, 0, 6, 0, 0, 0], [0, 0, 0, 4, 0, 0], [0, 0, 0, 0, 5, 0], [1, 0, 0, 0, 0, 6]];[0.75, 1.0, 1.0, 1.0, 1.0, 1.0];0.5378260869565218;0.4493355330961837;[[38, 0, 52, 35, 37, 22], [29, 0, 225, 56, 47, 31], [0, 0, 452, 28, 5, 8], [13, 0, 178, 226, 42, 20], [3, 0, 15, 23, 332, 40], [3, 0, 60, 22, 69, 189]];[0.4418604651162791, nan, 0.46028513238289204, 0.5794871794871795, 0.6240601503759399, 0.6096774193548387];0.5144855144855145;0.37029502652789414;[[14, 0, 18, 14, 28, 5, 1], [12, 1, 97, 28, 21, 18, 0], [0, 0, 175, 11, 6, 9, 0], [4, 0, 74, 101, 24, 8, 0], [3, 0, 4, 14, 136, 22, 0], [0, 0, 29, 10, 26, 88, 0], [0, 0, 0, 0, 0, 0, 0]];[0.42424242424242425, 1.0, 0.44080604534005036, 0.5674157303370787, 0.5643153526970954, 0.5866666666666667, 0.0];26.0;[3, 1, 6, 4, 5, 7]
CiteSeer;own;medoids;0.2;64;0.5;1;0.005;831763849.0;0.9666666666666667;0.9633699633699635;[[3, 0, 0, 0, 0, 0], [0, 2, 0, 0, 0, 0], [0, 0, 8, 0, 0, 0], [0, 0, 0, 4, 0, 0], [0, 0, 0, 0, 6, 0], [1, 0, 0, 0, 0, 6]];[0.75, 1.0, 1.0, 1.0, 1.0, 1.0];0.5422473867595818;0.45320124354926755;[[42, 1, 59, 23, 37, 22], [38, 1, 239, 21, 50, 33], [2, 0, 468, 11, 5, 11], [33, 0, 183, 193, 39, 30], [4, 0, 17, 17, 336, 39], [3, 0, 57, 14, 63, 205]];[0.3442622950819672, 0.5, 0.4574780058651026, 0.6917562724014337, 0.6339622641509434, 0.6029411764705882];0.5144855144855145;0.4420875537378545;[[18, 0, 26, 4, 26, 6], [15, 2, 114, 7, 23, 16], [0, 0, 175, 9, 6, 11], [10, 0, 87, 82, 20, 12], [5, 0, 5, 14, 137, 18], [0, 1, 25, 4, 22, 101]];[0.375, 0.6666666666666666, 0.4050925925925926, 0.6833333333333333, 0.5854700854700855, 0.6158536585365854];30.0;[3, 2, 8, 4, 6, 7]


CiteSeer;own;medoids;0.2;64;0.5;1;0.005;615395017.0;0.0;0.0;[[]];[];0.0644883920894239;0.03398425004176072;[[57, 9, 12, 3, 8, 10, 7, 9, 5, 3, 2, 4, 55], [91, 65, 7, 9, 9, 11, 4, 41, 18, 15, 15, 10, 118], [77, 89, 6, 24, 7, 12, 5, 175, 14, 10, 4, 6, 38], [175, 49, 24, 10, 3, 55, 20, 55, 22, 13, 7, 9, 48], [187, 3, 17, 3, 7, 2, 4, 14, 36, 9, 6, 6, 123], [91, 28, 9, 2, 15, 5, 7, 20, 20, 12, 22, 5, 119], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]];[0.084070796460177, 0.2674897119341564, 0.08, 0.19607843137254902, 0.14285714285714285, 0.05263157894736842, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];0.06593406593406594;0.03666087266300429;[[17, 9, 4, 0, 3, 0, 2, 6, 6, 2, 0, 2, 29], [43, 28, 4, 4, 5, 6, 4, 5, 10, 6, 11, 5, 46], [34, 43, 4, 1, 1, 10, 0, 64, 6, 8, 2, 4, 24], [67, 25, 8, 8, 1, 21, 6, 22, 13, 6, 4, 3, 27], [83, 3, 10, 3, 5, 0, 1, 3, 16, 4, 0, 1, 50], [37, 16, 3, 1, 3, 4, 3, 3, 6, 7, 16, 1, 53], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]];[0.060498220640569395, 0.22580645161290322, 0.12121212121212122, 0.47058823529411764, 0.2777777777777778, 0.0975609756097561, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];0.0;[]
CiteSeer;own;medoids;0.2;64;0.5;1;0.005;615395017.0;1.0;1.0;[[1, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0], [0, 0, 0, 6, 0, 0], [0, 0, 0, 0, 2, 0], [0, 0, 0, 0, 0, 2]];[1.0, 1.0, 1.0, 1.0, 1.0, 1.0];0.42153047989623865;0.3361451821289108;[[6, 1, 33, 87, 21, 32], [1, 5, 49, 248, 24, 84], [1, 3, 107, 332, 3, 17], [0, 0, 22, 443, 19, 7], [2, 0, 37, 140, 217, 20], [12, 0, 47, 85, 11, 197]];[0.2727272727272727, 0.5555555555555556, 0.36271186440677966, 0.3318352059925094, 0.735593220338983, 0.5518207282913166];0.44155844155844154;0.3463810024442721;[[2, 1, 19, 29, 11, 18], [1, 0, 20, 112, 11, 33], [0, 0, 57, 134, 1, 9], [0, 0, 3, 196, 9, 3], [0, 0, 7, 62, 94, 16], [4, 0, 19, 31, 6, 93]];[0.2857142857142857, 0.0, 0.456, 0.3475177304964539, 0.7121212121212122, 0.5406976744186046];13.0;[1, 1, 1, 6, 2, 2]
CiteSeer;own;medoids;0.2;64;0.5;1;0.005;615395017.0;1.0;1.0;[[2, 0, 0, 0, 0, 0], [0, 3, 0, 0, 0, 0], [0, 0, 3, 0, 0, 0], [0, 0, 0, 7, 0, 0], [0, 0, 0, 0, 5, 0], [0, 0, 0, 0, 0, 6]];[1.0, 1.0, 1.0, 1.0, 1.0, 1.0];0.54;0.33196123586056875;[[3, 14, 8, 26, 72, 49, 0, 0], [2, 50, 21, 107, 143, 79, 0, 1], [4, 6, 231, 129, 47, 39, 0, 0], [0, 2, 32, 321, 119, 22, 1, 0], [0, 1, 3, 3, 399, 16, 0, 0], [6, 0, 13, 7, 86, 238, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]];[0.2, 0.684931506849315, 0.75, 0.5413153456998314, 0.4607390300230947, 0.5372460496613995, 0.0, 0.0];0.5484515484515484;0.3873487971736475;[[1, 6, 5, 10, 41, 17, 0], [0, 24, 5, 43, 69, 35, 1], [0, 7, 102, 61, 16, 15, 0], [0, 5, 9, 148, 40, 9, 0], [0, 1, 1, 1, 168, 8, 0], [2, 1, 8, 4, 32, 106, 0], [0, 0, 0, 0, 0, 0, 0]];[0.3333333333333333, 0.5454545454545454, 0.7846153846153846, 0.5543071161048689, 0.45901639344262296, 0.5578947368421052, 0.0];26.0;[2, 3, 3, 7, 5, 6]
CiteSeer;own;medoids;0.2;64;0.5;1;0.005;615395017.0;1.0;1.0;[[2, 0, 0, 0, 0, 0], [0, 3, 0, 0, 0, 0], [0, 0, 4, 0, 0, 0], [0, 0, 0, 9, 0, 0], [0, 0, 0, 0, 6, 0], [0, 0, 0, 0, 0, 6]];[1.0, 1.0, 1.0, 1.0, 1.0, 1.0];0.5422473867595818;0.3810521113359169;[[3, 13, 7, 31, 72, 43, 1], [0, 52, 17, 128, 126, 77, 2], [1, 7, 225, 144, 40, 38, 1], [0, 1, 35, 327, 106, 28, 0], [0, 1, 2, 5, 397, 16, 0], [5, 1, 13, 10, 80, 241, 0], [0, 0, 0, 0, 0, 0, 0]];[0.3333333333333333, 0.6933333333333334, 0.7525083612040134, 0.5069767441860465, 0.4835566382460414, 0.5440180586907449, 0.0];0.5434565434565435;0.3829154205883364;[[1, 5, 5, 16, 36, 17, 0], [0, 24, 1, 55, 61, 35, 1], [0, 7, 95, 68, 17, 14, 0], [0, 3, 12, 148, 37, 11, 0], [0, 1, 1, 1, 169, 7, 0], [2, 2, 9, 4, 29, 107, 0], [0, 0, 0, 0, 0, 0, 0]];[0.3333333333333333, 0.5714285714285714, 0.7723577235772358, 0.5068493150684932, 0.48424068767908307, 0.5602094240837696, 0.0];30.0;[2, 3, 4, 9, 6, 6]


