dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Labeled class accuracies;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Unlabeled class accuracies;Test accuracy;Test macro-f1;Test confusion;Test class accuracies;Budget used;Class distrubution
CiteSeer;own;medoids;0;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];[];0.043422184006878764;0.022651102737766746;[[1, 11, 10, 57, 0, 11, 7, 9, 3, 23, 31, 18, 3], [4, 15, 21, 96, 0, 20, 12, 41, 10, 42, 114, 33, 5], [3, 3, 11, 49, 3, 10, 18, 10, 10, 16, 303, 27, 4], [2, 18, 18, 61, 4, 20, 24, 27, 35, 30, 124, 113, 14], [3, 30, 6, 134, 2, 9, 16, 30, 5, 36, 120, 21, 5], [5, 4, 27, 91, 2, 11, 8, 17, 9, 37, 103, 29, 12], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]];[0.05555555555555555, 0.18518518518518517, 0.11827956989247312, 0.125, 0.18181818181818182, 0.13580246913580246, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];0.05194805194805195;0.028500027313586637;[[0, 2, 5, 16, 1, 4, 4, 3, 0, 13, 22, 9, 1], [1, 11, 4, 51, 0, 5, 2, 11, 3, 19, 49, 17, 4], [0, 3, 7, 18, 0, 5, 8, 7, 5, 10, 129, 7, 2], [1, 9, 3, 27, 3, 5, 8, 13, 21, 11, 50, 54, 6], [1, 12, 2, 58, 0, 6, 14, 10, 0, 12, 50, 9, 5], [2, 2, 3, 32, 1, 7, 5, 7, 5, 21, 51, 12, 5], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]];[0.0, 0.28205128205128205, 0.2916666666666667, 0.13366336633663367, 0.0, 0.21875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];0.0;[]
CiteSeer;own;medoids;0;64;0.5;1;0.005;20795212.0;0.7692307692307693;0.7589743589743589;[[1, 0, 1, 0], [0, 2, 1, 0], [0, 0, 5, 0], [0, 0, 1, 2]];[1.0, 1.0, 0.625, 1.0];0.21314310419368784;0.10959712288129375;[[0, 1, 0, 0, 175, 8], [0, 2, 0, 1, 386, 22], [0, 0, 0, 2, 448, 17], [0, 0, 0, 14, 461, 12], [0, 0, 0, 0, 412, 0], [0, 0, 0, 0, 287, 65]];[nan, 0.6666666666666666, nan, 0.8235294117647058, 0.18994928538497002, 0.5241935483870968];0.2217782217782218;0.12351425303596826;[[0, 0, 0, 0, 78, 2], [0, 2, 0, 0, 166, 9], [0, 0, 0, 1, 190, 10], [0, 0, 0, 10, 195, 6], [0, 1, 0, 0, 177, 1], [0, 0, 0, 0, 120, 33]];[nan, 0.6666666666666666, nan, 0.9090909090909091, 0.19114470842332612, 0.5409836065573771];13.0;[0, 2, 0, 3, 5, 3]
CiteSeer;own;medoids;0;64;0.5;1;0.005;20795212.0;0.9230769230769231;0.8444444444444444;[[1, 0, 0, 0, 0, 0], [1, 1, 0, 0, 0, 0], [0, 0, 2, 1, 0, 0], [0, 0, 0, 7, 0, 0], [0, 0, 0, 0, 7, 0], [0, 0, 0, 0, 0, 6]];[0.5, 1.0, 1.0, 0.875, 1.0, 1.0];0.5034782608695653;0.40468579468201976;[[4, 7, 34, 23, 65, 50], [4, 31, 61, 57, 87, 171], [0, 2, 262, 81, 36, 83], [0, 7, 99, 226, 94, 57], [1, 0, 7, 1, 384, 17], [0, 0, 13, 17, 68, 251]];[0.4444444444444444, 0.6595744680851063, 0.5504201680672269, 0.5580246913580247, 0.5231607629427792, 0.3990461049284579];0.5114885114885115;0.416884508554638;[[2, 4, 8, 4, 39, 23], [5, 18, 19, 27, 38, 70], [0, 0, 100, 35, 15, 51], [0, 2, 39, 112, 30, 28], [1, 0, 1, 3, 169, 5], [0, 0, 8, 9, 25, 111]];[0.25, 0.75, 0.5714285714285714, 0.5894736842105263, 0.5348101265822784, 0.3854166666666667];26.0;[1, 2, 3, 7, 7, 6]
CiteSeer;own;medoids;0;64;0.5;1;0.005;20795212.0;0.9;0.7343604108309991;[[1, 0, 0, 0, 0, 0], [1, 0, 0, 0, 1, 0], [0, 0, 3, 1, 0, 0], [0, 0, 0, 8, 0, 0], [0, 0, 0, 0, 8, 0], [0, 0, 0, 0, 0, 7]];[0.5, nan, 1.0, 0.8888888888888888, 0.8888888888888888, 1.0];0.5256968641114983;0.3105039584765656;[[6, 1, 49, 29, 79, 19, 0, 0], [11, 5, 127, 53, 122, 84, 3, 6], [1, 0, 327, 65, 33, 37, 0, 0], [3, 0, 70, 284, 109, 16, 0, 0], [1, 0, 21, 1, 383, 3, 0, 0], [0, 0, 52, 18, 76, 202, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]];[0.2727272727272727, 0.8333333333333334, 0.5061919504643962, 0.6311111111111111, 0.4775561097256858, 0.5595567867036011, 0.0, 0.0];0.5454545454545454;0.32897916102123936;[[6, 0, 13, 4, 45, 12, 0, 0], [9, 2, 44, 24, 59, 36, 1, 2], [1, 0, 143, 29, 13, 15, 0, 0], [0, 0, 28, 132, 40, 11, 0, 0], [1, 0, 3, 2, 169, 4, 0, 0], [0, 0, 18, 9, 32, 94, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]];[0.35294117647058826, 1.0, 0.5742971887550201, 0.66, 0.4720670391061452, 0.5465116279069767, 0.0, 0.0];30.0;[1, 2, 4, 8, 8, 7]


CiteSeer;own;medoids;0;64;0.5;1;0.005;649695571.0;0.0;0.0;[[]];[];0.0997420464316423;0.04845310505888393;[[7, 22, 28, 29, 24, 2, 15, 6, 1, 10, 11, 24, 5], [11, 32, 47, 78, 61, 29, 16, 8, 5, 15, 28, 69, 14], [4, 20, 20, 54, 220, 10, 20, 22, 4, 5, 9, 78, 1], [24, 26, 69, 89, 113, 33, 19, 22, 5, 15, 34, 37, 4], [6, 14, 68, 87, 71, 7, 92, 6, 1, 7, 8, 40, 10], [7, 10, 61, 79, 66, 13, 19, 14, 9, 7, 32, 38, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]];[0.11864406779661017, 0.25806451612903225, 0.06825938566552901, 0.21394230769230768, 0.12792792792792793, 0.13829787234042554, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];0.10589410589410589;0.05067449651354129;[[3, 5, 15, 12, 15, 0, 8, 3, 3, 4, 3, 7, 2], [6, 12, 26, 34, 29, 11, 6, 4, 4, 7, 9, 27, 2], [1, 10, 16, 24, 83, 4, 7, 9, 2, 2, 3, 39, 1], [14, 11, 26, 45, 55, 7, 6, 8, 2, 5, 18, 13, 1], [5, 12, 32, 35, 24, 1, 40, 0, 0, 2, 2, 19, 7], [7, 3, 21, 30, 45, 6, 7, 1, 1, 4, 15, 12, 1], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]];[0.08333333333333333, 0.22641509433962265, 0.11764705882352941, 0.25, 0.09561752988047809, 0.20689655172413793, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];0.0;[]
CiteSeer;own;medoids;0;64;0.5;1;0.005;649695571.0;0.9230769230769231;0.9515151515151515;[[1, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0], [0, 0, 2, 0, 0, 0], [0, 0, 0, 2, 1, 0], [0, 0, 0, 0, 5, 0], [0, 0, 0, 0, 0, 1]];[1.0, 1.0, 1.0, 1.0, 0.8333333333333334, 1.0];0.4003458711629918;0.2453338708956481;[[0, 2, 56, 7, 118, 0], [0, 7, 205, 3, 197, 0], [0, 0, 397, 5, 63, 0], [0, 1, 208, 116, 162, 0], [0, 2, 5, 0, 405, 0], [1, 0, 62, 6, 284, 1]];[0.0, 0.5833333333333334, 0.4255091103965702, 0.8467153284671532, 0.3295362082994304, 1.0];0.3906093906093906;0.23978611435917885;[[0, 1, 19, 3, 57, 0], [0, 4, 74, 1, 98, 0], [0, 0, 166, 3, 32, 0], [0, 0, 95, 45, 71, 0], [0, 0, 4, 0, 175, 0], [1, 0, 27, 4, 120, 1]];[0.0, 0.8, 0.43116883116883115, 0.8035714285714286, 0.31645569620253167, 1.0];13.0;[1, 1, 2, 3, 5, 1]
CiteSeer;own;medoids;0;64;0.5;1;0.005;649695571.0;0.8461538461538461;0.8338624338624339;[[2, 0, 0, 1, 0, 0], [0, 2, 1, 0, 0, 0], [0, 0, 4, 0, 0, 0], [0, 0, 0, 6, 1, 0], [0, 0, 0, 0, 6, 0], [0, 0, 0, 0, 1, 2]];[1.0, 1.0, 0.8, 0.8571428571428571, 0.75, 1.0];0.4547826086956522;0.273731934285699;[[1, 9, 32, 23, 110, 6, 0], [13, 19, 142, 32, 200, 4, 0], [0, 4, 354, 32, 68, 4, 1], [5, 1, 114, 252, 109, 2, 0], [3, 2, 3, 0, 402, 1, 0], [6, 0, 51, 14, 263, 18, 0], [0, 0, 0, 0, 0, 0, 0]];[0.03571428571428571, 0.5428571428571428, 0.5086206896551724, 0.7138810198300283, 0.3489583333333333, 0.5142857142857142, 0.0];0.46553446553446554;0.33149699612813976;[[1, 0, 16, 10, 51, 2], [3, 8, 50, 15, 99, 2], [0, 0, 154, 13, 33, 1], [0, 0, 49, 118, 44, 0], [1, 0, 3, 0, 175, 0], [2, 0, 18, 7, 116, 10]];[0.14285714285714285, 1.0, 0.5310344827586206, 0.7239263803680982, 0.33783783783783783, 0.6666666666666666];26.0;[3, 3, 4, 7, 6, 3]
CiteSeer;own;medoids;0;64;0.5;1;0.005;649695571.0;0.9666666666666667;0.9760683760683762;[[3, 0, 0, 0, 0, 0], [0, 6, 0, 0, 0, 0], [0, 0, 4, 0, 0, 0], [0, 0, 0, 7, 1, 0], [0, 0, 0, 0, 6, 0], [0, 0, 0, 0, 0, 3]];[1.0, 1.0, 1.0, 1.0, 0.8571428571428571, 1.0];0.43423344947735193;0.25346136864202073;[[15, 50, 4, 27, 81, 3, 1, 0], [26, 208, 15, 52, 98, 7, 1, 0], [4, 281, 73, 63, 34, 4, 3, 1], [10, 88, 10, 308, 64, 0, 2, 0], [7, 13, 1, 6, 382, 2, 0, 0], [6, 55, 10, 39, 230, 11, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]];[0.22058823529411764, 0.2992805755395683, 0.6460176991150443, 0.6222222222222222, 0.4296962879640045, 0.4074074074074074, 0.0, 0.0];0.45254745254745254;0.2763706866513974;[[12, 18, 0, 10, 36, 3, 1, 0], [12, 86, 3, 24, 48, 2, 1, 1], [2, 112, 35, 24, 21, 4, 2, 1], [3, 41, 6, 142, 19, 0, 0, 0], [2, 0, 2, 5, 170, 0, 0, 0], [4, 20, 4, 19, 96, 8, 2, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]];[0.34285714285714286, 0.3104693140794224, 0.7, 0.6339285714285714, 0.4358974358974359, 0.47058823529411764, 0.0, 0.0];30.0;[3, 6, 4, 8, 6, 3]
