dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Labeled class accuracies;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Unlabeled class accuracies;Test accuracy;Test macro-f1;Test confusion;Test class accuracies;Budget used;Class distrubution
CiteSeer;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];[];0.043422184006878764;0.022651102737766746;[[1, 11, 10, 57, 0, 11, 7, 9, 3, 23, 31, 18, 3], [4, 15, 21, 96, 0, 20, 12, 41, 10, 42, 114, 33, 5], [3, 3, 11, 49, 3, 10, 18, 10, 10, 16, 303, 27, 4], [2, 18, 18, 61, 4, 20, 24, 27, 35, 30, 124, 113, 14], [3, 30, 6, 134, 2, 9, 16, 30, 5, 36, 120, 21, 5], [5, 4, 27, 91, 2, 11, 8, 17, 9, 37, 103, 29, 12], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]];[0.05555555555555555, 0.18518518518518517, 0.11827956989247312, 0.125, 0.18181818181818182, 0.13580246913580246, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];0.05194805194805195;0.028500027313586637;[[0, 2, 5, 16, 1, 4, 4, 3, 0, 13, 22, 9, 1], [1, 11, 4, 51, 0, 5, 2, 11, 3, 19, 49, 17, 4], [0, 3, 7, 18, 0, 5, 8, 7, 5, 10, 129, 7, 2], [1, 9, 3, 27, 3, 5, 8, 13, 21, 11, 50, 54, 6], [1, 12, 2, 58, 0, 6, 14, 10, 0, 12, 50, 9, 5], [2, 2, 3, 32, 1, 7, 5, 7, 5, 21, 51, 12, 5], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]];[0.0, 0.28205128205128205, 0.2916666666666667, 0.13366336633663367, 0.0, 0.21875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];0.0;[]
CiteSeer;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;0.9230769230769231;0.9259259259259259;[[4, 0, 0, 0, 0, 0], [1, 1, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0], [0, 0, 0, 2, 0, 0], [0, 0, 0, 0, 3, 0], [0, 0, 0, 0, 0, 1]];[0.8, 1.0, 1.0, 1.0, 1.0, 1.0];0.38002594033722437;0.2505751500369235;[[86, 0, 47, 0, 59, 0], [123, 3, 184, 0, 101, 0], [25, 0, 394, 0, 48, 0], [157, 2, 156, 19, 145, 0], [20, 0, 15, 0, 375, 0], [19, 0, 129, 0, 204, 2]];[0.2, 0.6, 0.4259459459459459, 1.0, 0.40236051502145925, 1.0];0.3676323676323676;0.23840884833620365;[[31, 0, 19, 0, 30, 0], [59, 0, 72, 0, 46, 0], [7, 0, 166, 0, 28, 0], [62, 4, 67, 8, 70, 0], [12, 0, 5, 0, 162, 0], [5, 0, 47, 0, 100, 1]];[0.17613636363636365, 0.0, 0.44148936170212766, 1.0, 0.37155963302752293, 1.0];13.0;[4, 2, 1, 2, 3, 1]
CiteSeer;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;[[6, 0, 0, 0, 0, 0], [0, 2, 0, 0, 0, 0], [0, 0, 3, 0, 0, 0], [0, 0, 0, 9, 0, 0], [0, 0, 0, 0, 4, 0], [0, 0, 0, 0, 0, 2]];[1.0, 1.0, 1.0, 1.0, 1.0, 1.0];0.5195652173913043;0.43560770030771473;[[66, 0, 27, 85, 14, 5], [51, 1, 187, 124, 15, 17], [3, 0, 396, 64, 7, 0], [46, 0, 46, 377, 15, 3], [13, 0, 11, 108, 271, 2], [8, 0, 100, 105, 49, 84]];[0.35294117647058826, 1.0, 0.516297262059974, 0.43684820393974505, 0.7304582210242587, 0.7567567567567568];0.5054945054945055;0.4148494263605826;[[20, 1, 12, 32, 11, 4], [36, 0, 71, 53, 9, 8], [1, 0, 166, 24, 9, 1], [21, 0, 20, 162, 7, 1], [14, 0, 5, 41, 117, 2], [3, 0, 47, 37, 25, 41]];[0.21052631578947367, 0.0, 0.5171339563862928, 0.46418338108882523, 0.6573033707865169, 0.7192982456140351];26.0;[6, 2, 3, 9, 4, 2]
CiteSeer;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;0.9666666666666667;0.961038961038961;[[6, 0, 0, 0, 0, 0], [0, 4, 0, 0, 0, 0], [0, 0, 3, 0, 0, 0], [0, 0, 0, 9, 0, 0], [0, 0, 1, 0, 5, 0], [0, 0, 0, 0, 0, 2]];[1.0, 1.0, 0.75, 1.0, 1.0, 1.0];0.5714285714285714;0.43296615821732337;[[61, 15, 21, 53, 38, 7, 0], [38, 53, 133, 87, 58, 19, 3], [3, 0, 383, 69, 15, 0, 0], [45, 2, 41, 362, 34, 3, 0], [13, 0, 12, 46, 334, 4, 0], [3, 2, 56, 56, 108, 119, 0], [0, 0, 0, 0, 0, 0, 0]];[0.37423312883435583, 0.7361111111111112, 0.5928792569659442, 0.537890044576523, 0.5689948892674617, 0.7828947368421053, 0.0];0.5534465534465535;0.40604010680231767;[[17, 8, 8, 23, 21, 3, 0], [27, 16, 54, 43, 30, 6, 1], [1, 0, 157, 25, 16, 2, 0], [18, 3, 15, 160, 12, 3, 0], [9, 1, 1, 17, 149, 2, 0], [0, 2, 25, 19, 52, 55, 0], [0, 0, 0, 0, 0, 0, 0]];[0.2361111111111111, 0.5333333333333333, 0.6038461538461538, 0.5574912891986062, 0.5321428571428571, 0.7746478873239436, 0.0];30.0;[6, 4, 3, 9, 6, 2]


CiteSeer;own;pagerank;0.2;64;0.5;1;0.005;649695571.0;0.0;0.0;[[]];[];0.0997420464316423;0.04845310505888393;[[7, 22, 28, 29, 24, 2, 15, 6, 1, 10, 11, 24, 5], [11, 32, 47, 78, 61, 29, 16, 8, 5, 15, 28, 69, 14], [4, 20, 20, 54, 220, 10, 20, 22, 4, 5, 9, 78, 1], [24, 26, 69, 89, 113, 33, 19, 22, 5, 15, 34, 37, 4], [6, 14, 68, 87, 71, 7, 92, 6, 1, 7, 8, 40, 10], [7, 10, 61, 79, 66, 13, 19, 14, 9, 7, 32, 38, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]];[0.11864406779661017, 0.25806451612903225, 0.06825938566552901, 0.21394230769230768, 0.12792792792792793, 0.13829787234042554, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];0.10589410589410589;0.05067449651354129;[[3, 5, 15, 12, 15, 0, 8, 3, 3, 4, 3, 7, 2], [6, 12, 26, 34, 29, 11, 6, 4, 4, 7, 9, 27, 2], [1, 10, 16, 24, 83, 4, 7, 9, 2, 2, 3, 39, 1], [14, 11, 26, 45, 55, 7, 6, 8, 2, 5, 18, 13, 1], [5, 12, 32, 35, 24, 1, 40, 0, 0, 2, 2, 19, 7], [7, 3, 21, 30, 45, 6, 7, 1, 1, 4, 15, 12, 1], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]];[0.08333333333333333, 0.22641509433962265, 0.11764705882352941, 0.25, 0.09561752988047809, 0.20689655172413793, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];0.0;[]
CiteSeer;own;pagerank;0.2;64;0.5;1;0.005;649695571.0;0.9230769230769231;0.9428571428571427;[[3, 0, 0, 0, 0, 0], [0, 2, 1, 0, 0, 0], [0, 0, 3, 0, 0, 0], [0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 2, 0], [0, 0, 0, 0, 0, 1]];[1.0, 1.0, 0.75, 1.0, 1.0, 1.0];0.4042369217466494;0.27535419277689166;[[19, 3, 80, 2, 83, 0], [14, 12, 244, 0, 141, 0], [0, 2, 439, 3, 27, 0], [0, 11, 263, 70, 133, 1], [5, 0, 30, 0, 378, 0], [2, 1, 193, 0, 140, 17]];[0.475, 0.41379310344827586, 0.3514811849479584, 0.9333333333333333, 0.4190687361419069, 0.9444444444444444];0.3916083916083916;0.2623053751557287;[[7, 1, 26, 0, 46, 0], [7, 1, 101, 0, 68, 0], [0, 7, 182, 0, 12, 0], [0, 1, 125, 34, 51, 0], [2, 0, 16, 0, 161, 0], [0, 0, 87, 0, 59, 7]];[0.4375, 0.1, 0.33891992551210426, 1.0, 0.40554156171284633, 1.0];13.0;[3, 3, 3, 1, 2, 1]
CiteSeer;own;pagerank;0.2;64;0.5;1;0.005;649695571.0;0.9615384615384616;0.9663299663299663;[[4, 0, 0, 0, 0, 0], [0, 4, 1, 0, 0, 0], [0, 0, 5, 0, 0, 0], [0, 0, 0, 6, 0, 0], [0, 0, 0, 0, 4, 0], [0, 0, 0, 0, 0, 2]];[1.0, 1.0, 0.8333333333333334, 1.0, 1.0, 1.0];0.5495652173913044;0.4725789908284576;[[34, 21, 20, 18, 91, 2], [36, 107, 82, 24, 143, 1], [1, 18, 351, 70, 26, 0], [0, 31, 46, 322, 96, 0], [7, 1, 8, 5, 392, 0], [5, 4, 88, 15, 177, 58]];[0.40963855421686746, 0.5879120879120879, 0.5899159663865546, 0.7092511013215859, 0.4237837837837838, 0.9508196721311475];0.5144855144855145;0.4412296448830468;[[10, 5, 12, 3, 50, 0], [16, 42, 37, 14, 68, 0], [0, 9, 132, 40, 19, 1], [0, 15, 22, 135, 39, 0], [4, 0, 5, 5, 165, 0], [6, 4, 40, 1, 71, 31]];[0.2777777777777778, 0.56, 0.532258064516129, 0.6818181818181818, 0.40048543689320387, 0.96875];26.0;[4, 5, 5, 6, 4, 2]
CiteSeer;own;pagerank;0.2;64;0.5;1;0.005;649695571.0;0.9666666666666667;0.9515151515151515;[[5, 0, 0, 0, 0, 0], [0, 5, 0, 0, 0, 0], [0, 0, 5, 0, 0, 0], [0, 0, 0, 7, 0, 0], [0, 0, 0, 0, 5, 0], [1, 0, 0, 0, 0, 2]];[0.8333333333333334, 1.0, 1.0, 1.0, 1.0, 1.0];0.5866724738675958;0.5262756002334379;[[44, 25, 12, 35, 68, 4], [55, 134, 57, 54, 91, 1], [2, 15, 322, 105, 19, 3], [4, 22, 30, 372, 64, 2], [8, 2, 4, 15, 374, 7], [16, 5, 66, 33, 125, 101]];[0.34108527131782945, 0.6600985221674877, 0.6558044806517311, 0.6058631921824105, 0.50472334682861, 0.8559322033898306];0.5554445554445554;0.4991048710080938;[[14, 4, 8, 14, 40, 0], [24, 57, 30, 30, 36, 0], [1, 8, 122, 56, 10, 4], [1, 13, 13, 152, 32, 0], [6, 0, 3, 5, 158, 7], [10, 5, 28, 5, 52, 53]];[0.25, 0.6551724137931034, 0.5980392156862745, 0.5801526717557252, 0.4817073170731707, 0.828125];30.0;[5, 5, 5, 7, 5, 3]


CiteSeer;own;pagerank;0.2;64;0.5;1;0.005;831763849.0;0.0;0.0;[[]];[];0.046431642304385214;0.02971654983026981;[[21, 2, 10, 10, 9, 0, 5, 13, 27, 57, 13, 8, 9], [48, 5, 14, 27, 6, 4, 33, 16, 38, 150, 40, 7, 25], [125, 5, 10, 51, 12, 4, 16, 35, 16, 140, 20, 8, 25], [62, 39, 13, 53, 28, 3, 17, 30, 58, 76, 59, 20, 32], [24, 1, 13, 24, 12, 3, 15, 19, 105, 71, 104, 2, 24], [35, 21, 24, 11, 7, 7, 13, 29, 91, 52, 43, 4, 18], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]];[0.06666666666666667, 0.0684931506849315, 0.11904761904761904, 0.30113636363636365, 0.16216216216216217, 0.3333333333333333, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];0.03296703296703297;0.0211738896483244;[[4, 1, 3, 3, 1, 0, 1, 8, 21, 22, 11, 1, 4], [13, 3, 6, 10, 3, 3, 16, 8, 17, 64, 19, 6, 9], [53, 7, 1, 16, 4, 2, 14, 14, 7, 55, 15, 4, 9], [35, 18, 6, 21, 9, 4, 4, 9, 20, 34, 20, 7, 24], [10, 0, 6, 5, 3, 0, 5, 8, 50, 31, 38, 5, 18], [10, 6, 8, 1, 3, 1, 8, 11, 50, 21, 17, 6, 11], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]];[0.032, 0.08571428571428572, 0.03333333333333333, 0.375, 0.13043478260869565, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];0.0;[]
CiteSeer;own;pagerank;0.2;64;0.5;1;0.005;831763849.0;1.0;1.0;[[3, 0, 0, 0, 0, 0], [0, 2, 0, 0, 0, 0], [0, 0, 3, 0, 0, 0], [0, 0, 0, 2, 0, 0], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 2]];[1.0, 1.0, 1.0, 1.0, 1.0, 1.0];0.24816255944660615;0.153656901388136;[[16, 0, 162, 0, 3, 0], [3, 4, 395, 0, 3, 4], [0, 0, 467, 1, 0, 1], [10, 0, 458, 13, 4, 2], [4, 0, 380, 1, 24, 8], [2, 0, 291, 5, 2, 50]];[0.45714285714285713, 1.0, 0.2169066418950302, 0.65, 0.6666666666666666, 0.7692307692307693];0.23976023976023977;0.13829799924308092;[[3, 0, 76, 1, 0, 0], [1, 3, 168, 0, 4, 1], [0, 0, 198, 1, 1, 1], [5, 0, 203, 3, 0, 0], [0, 0, 160, 1, 15, 3], [1, 0, 130, 2, 2, 18]];[0.3, 1.0, 0.21176470588235294, 0.375, 0.6818181818181818, 0.782608695652174];13.0;[3, 2, 3, 2, 1, 2]
