dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Labeled class accuracies;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Unlabeled class accuracies;Test accuracy;Test macro-f1;Test confusion;Test class accuracies;Budget used;Class distrubution
Cora;own;medoids;0.2;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];[];0.14383923849814914;0.0517347404408896;[[40, 2, 4, 97, 84, 0, 1, 1, 0, 16, 0], [31, 3, 0, 37, 73, 0, 0, 1, 0, 6, 0], [65, 7, 1, 170, 25, 0, 3, 0, 0, 17, 4], [156, 8, 4, 147, 227, 0, 2, 11, 0, 17, 0], [79, 0, 5, 111, 81, 0, 1, 13, 2, 6, 0], [20, 0, 0, 73, 108, 0, 0, 1, 1, 5, 0], [19, 0, 0, 33, 67, 0, 0, 1, 0, 5, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]];[0.0975609756097561, 0.15, 0.07142857142857142, 0.22005988023952097, 0.12180451127819548, nan, 0.0, 0.0, 0.0, 0.0, 0.0];0.1481028151774786;0.05891348978362863;[[15, 0, 0, 41, 39, 0, 1, 4, 6, 0], [12, 1, 0, 16, 32, 0, 0, 0, 4, 1], [18, 0, 1, 82, 15, 0, 1, 1, 8, 0], [75, 3, 2, 52, 105, 0, 0, 3, 6, 0], [26, 0, 2, 33, 52, 1, 0, 8, 6, 0], [17, 0, 0, 27, 44, 0, 0, 1, 1, 0], [10, 0, 0, 18, 26, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0]];[0.08670520231213873, 0.25, 0.2, 0.19330855018587362, 0.16613418530351437, 0.0, 0.0, 0.0, 0.0, 0.0];0.0;[]
Cora;own;medoids;0.2;64;0.5;1;0.005;20795212.0;0.9090909090909091;0.7818181818181819;[[1, 0, 0, 0, 0], [0, 2, 0, 0, 0], [0, 0, 5, 0, 0], [0, 0, 1, 0, 0], [0, 0, 0, 0, 2]];[1.0, 1.0, 0.8333333333333334, nan, 1.0];0.576063829787234;0.39680540843444706;[[0, 20, 8, 108, 0, 0, 73], [0, 115, 15, 15, 0, 0, 5], [0, 0, 275, 11, 0, 0, 5], [0, 7, 10, 568, 0, 0, 16], [0, 12, 1, 250, 0, 0, 19], [0, 14, 12, 22, 0, 0, 141], [0, 5, 3, 25, 0, 0, 125]];[nan, 0.6647398843930635, 0.8487654320987654, 0.5685685685685685, nan, nan, 0.3255208333333333];0.5299877600979193;0.36265074310789686;[[0, 12, 4, 49, 0, 0, 41], [0, 50, 6, 6, 0, 0, 4], [0, 0, 113, 9, 0, 0, 4], [0, 3, 7, 228, 0, 0, 8], [0, 13, 3, 107, 0, 0, 5], [0, 7, 9, 10, 0, 0, 64], [0, 5, 5, 3, 0, 0, 42]];[nan, 0.5555555555555556, 0.7687074829931972, 0.5533980582524272, nan, nan, 0.25];11.0;[0, 1, 2, 5, 1, 0, 2]
Cora;own;medoids;0.2;64;0.5;1;0.005;20795212.0;0.7272727272727273;0.49863945578231295;[[0, 0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 0, 0, 0], [0, 0, 5, 0, 0, 0, 0], [0, 0, 0, 6, 0, 0, 0], [0, 0, 1, 3, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 3]];[nan, 1.0, 0.7142857142857143, 0.6666666666666666, nan, nan, 0.75];0.5687533440342429;0.39291113091273233;[[0, 35, 66, 67, 0, 0, 36], [0, 104, 17, 8, 0, 0, 1], [0, 1, 331, 7, 0, 0, 0], [0, 3, 62, 513, 0, 0, 12], [0, 18, 50, 201, 0, 0, 4], [0, 3, 138, 19, 0, 0, 23], [0, 0, 31, 4, 0, 0, 115]];[nan, 0.6341463414634146, 0.4762589928057554, 0.6263736263736264, nan, nan, 0.6020942408376964];0.5018359853121175;0.34301960784313723;[[0, 21, 33, 31, 0, 0, 21], [0, 44, 16, 6, 0, 0, 0], [0, 0, 124, 2, 0, 0, 0], [0, 3, 30, 209, 0, 0, 4], [0, 8, 27, 92, 0, 0, 1], [0, 1, 65, 13, 0, 0, 11], [0, 0, 21, 1, 0, 0, 33]];[nan, 0.5714285714285714, 0.3924050632911392, 0.5903954802259888, nan, nan, 0.4714285714285714];22.0;[1, 2, 5, 6, 4, 1, 3]
Cora;own;medoids;0.2;64;0.5;1;0.005;20795212.0;0.6666666666666666;0.4515988213467205;[[0, 1, 1, 0, 0, 0, 0], [0, 2, 0, 0, 0, 0, 0], [0, 0, 7, 0, 0, 0, 0], [0, 0, 0, 8, 0, 0, 0], [0, 1, 1, 5, 0, 0, 0], [0, 0, 1, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 5]];[nan, 0.5, 0.7, 0.6153846153846154, nan, nan, 0.8333333333333334];0.5947255113024758;0.40681230259602474;[[0, 33, 21, 90, 0, 0, 74], [0, 97, 10, 9, 0, 0, 2], [0, 0, 327, 9, 0, 0, 0], [0, 3, 35, 536, 0, 0, 14], [0, 22, 27, 204, 0, 0, 15], [0, 3, 111, 26, 0, 0, 42], [0, 0, 1, 2, 0, 0, 145]];[nan, 0.6139240506329114, 0.6146616541353384, 0.6118721461187214, nan, nan, 0.4965753424657534];0.5287637698898409;0.36489666136724963;[[0, 13, 16, 40, 0, 0, 37], [0, 44, 12, 8, 0, 0, 2], [0, 0, 121, 5, 0, 0, 0], [0, 2, 21, 218, 0, 0, 5], [0, 10, 20, 95, 0, 0, 3], [0, 1, 49, 16, 0, 0, 24], [0, 0, 5, 1, 0, 0, 49]];[nan, 0.6285714285714286, 0.4959016393442623, 0.5691906005221932, nan, nan, 0.4083333333333333];33.0;[2, 2, 7, 8, 7, 2, 5]
Cora;own;medoids;0.2;64;0.5;1;0.005;20795212.0;0.6857142857142857;0.45567765567765567;[[0, 1, 1, 0, 0, 0, 0], [0, 2, 0, 0, 0, 0, 0], [0, 0, 8, 0, 0, 0, 0], [0, 0, 0, 8, 0, 0, 0], [0, 1, 2, 4, 0, 0, 0], [0, 0, 1, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 6]];[nan, 0.5, 0.6666666666666666, 0.6666666666666666, nan, nan, 0.8571428571428571];0.5867456896551724;0.39889333881896627;[[0, 30, 34, 62, 0, 0, 87], [0, 97, 10, 7, 0, 0, 4], [0, 1, 326, 8, 0, 0, 0], [0, 3, 51, 510, 0, 0, 18], [0, 21, 48, 175, 0, 0, 23], [0, 3, 116, 13, 0, 0, 42], [0, 0, 2, 9, 0, 0, 156]];[nan, 0.6258064516129033, 0.555366269165247, 0.6505102040816326, nan, nan, 0.4727272727272727];0.5140758873929009;0.3517242425712919;[[0, 15, 21, 28, 0, 0, 42], [0, 45, 12, 6, 0, 0, 3], [0, 0, 121, 4, 0, 0, 1], [0, 2, 29, 205, 0, 0, 10], [0, 12, 26, 84, 0, 0, 6], [0, 1, 50, 9, 0, 0, 30], [0, 0, 5, 1, 0, 0, 49]];[nan, 0.6, 0.4583333333333333, 0.6083086053412463, nan, nan, 0.3475177304964539];35.0;[2, 2, 8, 8, 7, 2, 6]


Cora;own;medoids;0.2;64;0.5;1;0.005;649695571.0;0.0;0.0;[[]];[];0.08725542041248018;0.032662617857538684;[[136, 0, 3, 1, 22, 1, 2, 2, 6, 70, 2], [70, 0, 0, 0, 8, 8, 0, 4, 29, 30, 2], [150, 0, 0, 0, 57, 8, 0, 9, 42, 26, 0], [396, 0, 2, 3, 42, 15, 5, 3, 38, 67, 1], [165, 0, 3, 1, 18, 0, 14, 12, 16, 69, 0], [152, 0, 4, 0, 4, 6, 0, 1, 10, 31, 0], [76, 0, 2, 0, 6, 9, 2, 0, 8, 21, 1], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]];[0.11877729257641921, nan, 0.0, 0.6, 0.11464968152866242, 0.1276595744680851, 0.08695652173913043, 0.0, 0.0, 0.0, 0.0];0.09791921664626684;0.037829093860937094;[[63, 0, 0, 1, 5, 0, 2, 0, 2, 32, 1], [37, 0, 0, 0, 4, 5, 0, 1, 8, 11, 0], [72, 0, 0, 0, 25, 1, 0, 0, 19, 9, 0], [166, 0, 0, 3, 14, 4, 7, 1, 17, 34, 0], [58, 0, 1, 0, 11, 6, 5, 3, 9, 34, 1], [59, 0, 1, 1, 0, 2, 1, 2, 8, 16, 0], [37, 0, 1, 1, 2, 0, 1, 0, 4, 8, 1], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]];[0.12804878048780488, nan, 0.0, 0.5, 0.18032786885245902, 0.1111111111111111, 0.0625, 0.0, 0.0, 0.0, 0.0];0.0;[]
Cora;own;medoids;0.2;64;0.5;1;0.005;649695571.0;0.18181818181818182;0.1414141414141414;[[1, 0, 1, 0, 0, 0], [0, 0, 4, 0, 0, 0], [0, 0, 1, 0, 0, 0], [0, 0, 1, 0, 0, 0], [0, 0, 2, 0, 0, 0], [0, 0, 1, 0, 0, 0]];[1.0, nan, 0.1, nan, nan, nan];0.19414893617021275;0.09971348103902414;[[24, 0, 214, 0, 0, 0, 0], [0, 8, 201, 0, 0, 0, 0], [0, 0, 321, 0, 0, 0, 0], [0, 3, 474, 0, 0, 0, 0], [0, 0, 288, 0, 0, 0, 2], [0, 0, 205, 0, 0, 5, 0], [0, 0, 128, 0, 0, 0, 7]];[1.0, 0.7272727272727273, 0.17531403604587656, nan, nan, 1.0, 0.7777777777777778];0.17747858017135862;0.09886798286685002;[[11, 0, 95, 0, 0, 0, 0], [0, 3, 63, 0, 0, 0, 0], [0, 0, 126, 0, 0, 0, 0], [2, 0, 244, 0, 0, 0, 0], [0, 0, 128, 0, 0, 0, 0], [0, 0, 88, 0, 0, 2, 0], [0, 0, 52, 0, 0, 0, 3]];[0.8461538461538461, 1.0, 0.15829145728643215, nan, nan, 1.0, 1.0];11.0;[2, 4, 1, 0, 1, 2, 1]
Cora;own;medoids;0.2;64;0.5;1;0.005;649695571.0;0.8636363636363636;0.8095238095238094;[[3, 0, 0, 0, 0, 0, 0], [0, 4, 0, 0, 0, 0, 0], [0, 0, 4, 0, 0, 0, 0], [0, 0, 0, 0, 3, 0, 0], [0, 0, 0, 0, 3, 0, 0], [0, 0, 0, 0, 0, 3, 0], [0, 0, 0, 0, 0, 0, 2]];[1.0, 1.0, 1.0, nan, 0.5, 1.0, 1.0];0.5960406634563938;0.596112206258885;[[141, 8, 7, 0, 31, 1, 36], [3, 133, 15, 0, 3, 2, 8], [0, 3, 293, 0, 5, 0, 2], [10, 16, 86, 0, 339, 4, 20], [13, 5, 3, 0, 305, 3, 14], [7, 20, 15, 0, 4, 128, 26], [5, 7, 18, 0, 12, 4, 114]];[0.7877094972067039, 0.6927083333333334, 0.6704805491990846, nan, 0.4363376251788269, 0.9014084507042254, 0.5181818181818182];0.5385556915544676;0.5508934273402205;[[48, 3, 5, 0, 25, 0, 25], [0, 57, 6, 0, 1, 0, 2], [0, 1, 124, 0, 0, 0, 1], [8, 12, 45, 0, 167, 1, 13], [2, 3, 1, 0, 119, 1, 2], [5, 6, 5, 0, 2, 54, 18], [0, 2, 7, 0, 5, 3, 38]];[0.7619047619047619, 0.6785714285714286, 0.6424870466321243, nan, 0.3730407523510972, 0.9152542372881356, 0.3838383838383838];22.0;[3, 4, 4, 3, 3, 3, 2]
