dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Labeled class accuracies;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Unlabeled class accuracies;Test accuracy;Test macro-f1;Test confusion;Test class accuracies;Budget used;Class distrubution
Cora;own;medoids;0.2;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];[];0.13749338974087785;0.1255938931472691;[[32, 36, 38, 33, 37, 37, 32], [20, 13, 20, 24, 22, 21, 31], [46, 40, 39, 47, 46, 29, 45], [88, 75, 81, 94, 80, 79, 75], [43, 35, 49, 41, 40, 50, 40], [22, 33, 34, 29, 34, 23, 33], [13, 27, 17, 19, 20, 10, 19]];[0.12121212121212122, 0.05019305019305019, 0.14028776978417265, 0.32752613240418116, 0.14336917562724014, 0.09236947791164658, 0.06909090909090909];0.1456548347613219;0.1392095304479121;[[21, 15, 14, 12, 15, 16, 13], [11, 11, 6, 9, 8, 11, 10], [12, 13, 17, 26, 15, 23, 20], [28, 36, 30, 33, 42, 50, 27], [22, 19, 15, 19, 17, 22, 14], [13, 13, 16, 7, 17, 14, 10], [9, 3, 10, 11, 6, 10, 6]];[0.1810344827586207, 0.1, 0.1574074074074074, 0.28205128205128205, 0.14166666666666666, 0.0958904109589041, 0.06];0.0;[]
Cora;own;medoids;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;[[1, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0], [0, 0, 4, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 2]];[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0];0.425531914893617;0.40059701426316535;[[143, 6, 19, 21, 5, 40, 27], [4, 92, 34, 1, 0, 9, 1], [8, 1, 301, 5, 1, 5, 5], [94, 22, 211, 123, 22, 30, 35], [59, 33, 55, 64, 38, 19, 15], [58, 14, 64, 5, 10, 35, 23], [15, 6, 6, 7, 3, 18, 68]];[0.3753280839895013, 0.5287356321839081, 0.43623188405797103, 0.5442477876106194, 0.4810126582278481, 0.22435897435897437, 0.39080459770114945];0.390452876376989;0.3688668085061587;[[44, 5, 12, 10, 1, 19, 15], [2, 43, 15, 1, 0, 3, 2], [2, 2, 114, 2, 2, 2, 2], [40, 10, 103, 64, 9, 11, 9], [20, 19, 24, 36, 16, 11, 2], [29, 5, 30, 2, 6, 8, 10], [8, 2, 4, 3, 3, 5, 30]];[0.30344827586206896, 0.5, 0.37748344370860926, 0.5423728813559322, 0.43243243243243246, 0.13559322033898305, 0.42857142857142855];11.0;[1, 1, 4, 1, 1, 1, 2]
Cora;own;medoids;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;[[2, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0], [0, 0, 4, 0, 0, 0, 0], [0, 0, 0, 7, 0, 0, 0], [0, 0, 0, 0, 3, 0, 0], [0, 0, 0, 0, 0, 2, 0], [0, 0, 0, 0, 0, 0, 3]];[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0];0.5617977528089888;0.5412178630422267;[[137, 4, 15, 34, 6, 36, 26], [2, 84, 31, 12, 0, 8, 0], [8, 1, 289, 14, 1, 1, 4], [64, 15, 108, 285, 22, 26, 23], [46, 19, 24, 66, 104, 15, 9], [41, 7, 44, 11, 5, 85, 15], [13, 7, 7, 8, 8, 13, 66]];[0.4405144694533762, 0.6131386861313869, 0.5579150579150579, 0.6627906976744186, 0.7123287671232876, 0.46195652173913043, 0.46153846153846156];0.5336597307221542;0.5110168638348103;[[40, 6, 9, 16, 3, 19, 13], [1, 40, 15, 4, 2, 1, 3], [2, 2, 115, 2, 1, 2, 2], [28, 12, 59, 125, 3, 11, 8], [12, 8, 11, 33, 54, 4, 6], [22, 4, 20, 3, 1, 33, 7], [9, 3, 4, 2, 3, 5, 29]];[0.3508771929824561, 0.5333333333333333, 0.49356223175965663, 0.6756756756756757, 0.8059701492537313, 0.44, 0.4264705882352941];22.0;[2, 1, 4, 7, 3, 2, 3]
Cora;own;medoids;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;[[3, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0], [0, 0, 4, 0, 0, 0, 0], [0, 0, 0, 12, 0, 0, 0], [0, 0, 0, 0, 6, 0, 0], [0, 0, 0, 0, 0, 3, 0], [0, 0, 0, 0, 0, 0, 4]];[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0];0.592572658772874;0.5671821510392496;[[131, 1, 11, 45, 5, 36, 26], [2, 81, 27, 20, 0, 7, 0], [8, 2, 281, 17, 2, 4, 3], [52, 20, 79, 332, 19, 21, 19], [38, 18, 23, 70, 109, 9, 12], [38, 7, 31, 13, 2, 101, 15], [16, 4, 7, 8, 6, 14, 66]];[0.45964912280701753, 0.6090225563909775, 0.6122004357298475, 0.6574257425742575, 0.7622377622377622, 0.5260416666666666, 0.46808510638297873];0.5789473684210527;0.5604039465248465;[[47, 4, 7, 16, 2, 17, 13], [2, 39, 14, 7, 1, 2, 1], [1, 3, 116, 2, 1, 2, 1], [22, 7, 53, 141, 8, 5, 10], [8, 7, 10, 42, 54, 2, 5], [21, 3, 10, 3, 2, 44, 7], [10, 1, 5, 2, 2, 3, 32]];[0.42342342342342343, 0.609375, 0.5395348837209303, 0.6619718309859155, 0.7714285714285715, 0.5866666666666667, 0.463768115942029];33.0;[3, 1, 4, 12, 6, 3, 4]
Cora;own;medoids;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;[[4, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0], [0, 0, 4, 0, 0, 0, 0], [0, 0, 0, 12, 0, 0, 0], [0, 0, 0, 0, 6, 0, 0], [0, 0, 0, 0, 0, 3, 0], [0, 0, 0, 0, 0, 0, 5]];[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0];0.5883620689655172;0.5662369772736844;[[137, 4, 11, 38, 4, 36, 25], [2, 83, 27, 18, 0, 7, 0], [8, 1, 281, 16, 4, 5, 2], [58, 18, 83, 320, 18, 29, 15], [33, 17, 29, 72, 113, 6, 9], [38, 6, 34, 17, 3, 97, 12], [17, 3, 10, 14, 4, 11, 61]];[0.46757679180887374, 0.6287878787878788, 0.5915789473684211, 0.6464646464646465, 0.773972602739726, 0.5078534031413613, 0.49193548387096775];0.5789473684210527;0.5658021310711212;[[47, 3, 7, 17, 3, 17, 12], [1, 41, 15, 7, 1, 1, 0], [2, 4, 115, 0, 2, 2, 1], [27, 10, 47, 138, 5, 11, 8], [10, 7, 17, 39, 53, 0, 2], [21, 3, 10, 5, 1, 47, 3], [9, 4, 4, 2, 1, 3, 32]];[0.4017094017094017, 0.5694444444444444, 0.5348837209302325, 0.6634615384615384, 0.803030303030303, 0.5802469135802469, 0.5517241379310345];35.0;[4, 1, 4, 12, 6, 3, 5]


Cora;own;medoids;0.2;64;0.5;1;0.005;649695571.0;0.0;0.0;[[]];[];0.12903225806451613;0.12054821777511784;[[38, 35, 37, 29, 31, 32, 43], [26, 22, 25, 23, 20, 15, 20], [55, 32, 30, 48, 45, 39, 43], [93, 89, 73, 83, 74, 78, 82], [33, 41, 43, 37, 33, 68, 43], [38, 31, 30, 25, 26, 22, 36], [18, 16, 17, 13, 20, 25, 16]];[0.12624584717607973, 0.08270676691729323, 0.11764705882352941, 0.32170542635658916, 0.13253012048192772, 0.07885304659498207, 0.05653710247349823];0.15055079559363524;0.1472635442755649;[[16, 21, 10, 17, 10, 15, 17], [7, 8, 15, 6, 11, 7, 12], [18, 22, 18, 17, 17, 19, 15], [40, 41, 38, 27, 37, 34, 29], [17, 20, 14, 13, 27, 25, 12], [14, 11, 15, 9, 9, 16, 16], [8, 7, 2, 10, 5, 12, 11]];[0.13333333333333333, 0.06153846153846154, 0.16071428571428573, 0.2727272727272727, 0.23275862068965517, 0.125, 0.09821428571428571];0.0;[]
Cora;own;medoids;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;[[1, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0], [0, 0, 5, 0, 0, 0], [0, 0, 0, 2, 0, 0], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1]];[1.0, 1.0, 1.0, 1.0, 1.0, 1.0];0.4856382978723404;0.39433464671189117;[[3, 13, 10, 163, 35, 8, 7], [0, 109, 17, 19, 5, 0, 0], [1, 5, 233, 43, 1, 6, 1], [18, 40, 29, 403, 48, 20, 21], [15, 30, 25, 93, 99, 15, 19], [4, 48, 26, 69, 7, 43, 5], [3, 9, 4, 52, 18, 15, 23]];[0.06818181818181818, 0.42913385826771655, 0.6773255813953488, 0.47862232779097386, 0.4647887323943662, 0.40186915887850466, 0.3026315789473684];0.49326805385556916;0.3772704290571168;[[3, 8, 3, 71, 16, 5, 0], [2, 49, 5, 7, 3, 0, 0], [0, 3, 103, 16, 0, 2, 2], [5, 14, 13, 185, 14, 4, 11], [12, 13, 8, 37, 46, 6, 6], [1, 21, 14, 34, 2, 14, 4], [2, 7, 10, 22, 5, 6, 3]];[0.12, 0.4260869565217391, 0.6602564102564102, 0.49731182795698925, 0.5348837209302325, 0.3783783783783784, 0.11538461538461539];11.0;[0, 1, 1, 5, 2, 1, 1]
Cora;own;medoids;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;[[1, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0], [0, 0, 0, 9, 0, 0, 0], [0, 0, 0, 0, 4, 0, 0], [0, 0, 0, 0, 0, 2, 0], [0, 0, 0, 0, 0, 0, 4]];[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0];0.550561797752809;0.4960788945341476;[[12, 11, 4, 115, 31, 3, 57], [1, 105, 17, 19, 5, 1, 2], [2, 4, 230, 39, 1, 4, 7], [25, 31, 22, 401, 30, 23, 39], [20, 29, 8, 75, 103, 20, 38], [5, 12, 11, 19, 5, 84, 54], [2, 7, 2, 19, 9, 12, 94]];[0.1791044776119403, 0.5276381909547738, 0.782312925170068, 0.5836972343522562, 0.5597826086956522, 0.5714285714285714, 0.3230240549828179];0.5373317013463892;0.4716860422714901;[[7, 4, 3, 49, 10, 2, 31], [0, 48, 6, 8, 3, 0, 1], [1, 3, 101, 15, 0, 1, 5], [8, 18, 6, 179, 11, 12, 12], [9, 9, 9, 37, 47, 4, 13], [0, 9, 6, 12, 1, 29, 33], [2, 3, 5, 7, 4, 6, 28]];[0.25925925925925924, 0.5106382978723404, 0.7426470588235294, 0.5830618892508144, 0.618421052631579, 0.5370370370370371, 0.22764227642276422];22.0;[1, 1, 1, 9, 4, 2, 4]
