dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Labeled class accuracies;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Unlabeled class accuracies;Test accuracy;Test macro-f1;Test confusion;Test class accuracies;Budget used;Class distrubution
Cora;own;pagerank;0;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];[];0.13749338974087785;0.1255938931472691;[[32, 36, 38, 33, 37, 37, 32], [20, 13, 20, 24, 22, 21, 31], [46, 40, 39, 47, 46, 29, 45], [88, 75, 81, 94, 80, 79, 75], [43, 35, 49, 41, 40, 50, 40], [22, 33, 34, 29, 34, 23, 33], [13, 27, 17, 19, 20, 10, 19]];[0.12121212121212122, 0.05019305019305019, 0.14028776978417265, 0.32752613240418116, 0.14336917562724014, 0.09236947791164658, 0.06909090909090909];0.1456548347613219;0.1392095304479121;[[21, 15, 14, 12, 15, 16, 13], [11, 11, 6, 9, 8, 11, 10], [12, 13, 17, 26, 15, 23, 20], [28, 36, 30, 33, 42, 50, 27], [22, 19, 15, 19, 17, 22, 14], [13, 13, 16, 7, 17, 14, 10], [9, 3, 10, 11, 6, 10, 6]];[0.1810344827586207, 0.1, 0.1574074074074074, 0.28205128205128205, 0.14166666666666666, 0.0958904109589041, 0.06];0.0;[]
Cora;own;pagerank;0;64;0.5;1;0.005;20795212.0;1.0;1.0;[[1, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0], [0, 0, 2, 0, 0, 0], [0, 0, 0, 4, 0, 0], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 2]];[1.0, 1.0, 1.0, 1.0, 1.0, 1.0];0.45478723404255317;0.40360449152369043;[[112, 5, 2, 1, 46, 7, 71], [9, 1, 22, 1, 95, 1, 22], [3, 0, 265, 0, 8, 7, 8], [52, 13, 45, 120, 234, 26, 80], [27, 12, 8, 7, 213, 11, 16], [33, 6, 12, 3, 15, 82, 56], [30, 6, 2, 9, 4, 10, 62]];[0.42105263157894735, 0.023255813953488372, 0.7443820224719101, 0.851063829787234, 0.3463414634146341, 0.5694444444444444, 0.19682539682539682];0.42105263157894735;0.3694286739935818;[[47, 1, 4, 1, 15, 2, 36], [1, 0, 8, 1, 40, 4, 12], [4, 0, 114, 1, 3, 1, 3], [27, 5, 23, 35, 118, 9, 29], [7, 4, 5, 5, 92, 6, 9], [17, 0, 4, 0, 6, 37, 26], [23, 2, 1, 3, 4, 3, 19]];[0.373015873015873, 0.0, 0.7169811320754716, 0.7608695652173914, 0.33093525179856115, 0.5967741935483871, 0.1417910447761194];11.0;[1, 0, 1, 2, 4, 1, 2]
Cora;own;pagerank;0;64;0.5;1;0.005;20795212.0;1.0;1.0;[[2, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0], [0, 0, 7, 0, 0, 0], [0, 0, 0, 5, 0, 0], [0, 0, 0, 0, 3, 0], [0, 0, 0, 0, 0, 4]];[1.0, 1.0, 1.0, 1.0, 1.0, 1.0];0.5050829320492242;0.45759852476975477;[[117, 0, 4, 5, 46, 6, 65], [9, 1, 22, 5, 84, 10, 20], [4, 0, 265, 3, 7, 4, 8], [53, 13, 39, 141, 228, 20, 71], [21, 11, 6, 9, 222, 8, 16], [32, 0, 4, 3, 10, 118, 38], [25, 3, 4, 1, 4, 4, 80]];[0.4482758620689655, 0.03571428571428571, 0.7703488372093024, 0.844311377245509, 0.36938435940099834, 0.6941176470588235, 0.2684563758389262];0.47613219094247244;0.423173623490845;[[51, 1, 2, 0, 14, 3, 35], [0, 0, 8, 4, 38, 3, 13], [4, 0, 114, 1, 3, 1, 3], [26, 8, 19, 49, 103, 11, 30], [7, 3, 4, 3, 104, 1, 6], [16, 2, 2, 1, 1, 50, 18], [23, 2, 2, 2, 3, 2, 21]];[0.4015748031496063, 0.0, 0.7549668874172185, 0.8166666666666667, 0.39097744360902253, 0.704225352112676, 0.16666666666666666];22.0;[2, 0, 1, 7, 5, 3, 4]
Cora;own;pagerank;0;64;0.5;1;0.005;20795212.0;1.0;1.0;[[2, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0], [0, 0, 11, 0, 0, 0], [0, 0, 0, 8, 0, 0], [0, 0, 0, 0, 5, 0], [0, 0, 0, 0, 0, 6]];[1.0, 1.0, 1.0, 1.0, 1.0, 1.0];0.5161463939720129;0.4642716308519093;[[106, 1, 4, 6, 42, 8, 76], [9, 0, 21, 6, 78, 10, 27], [4, 1, 260, 2, 9, 6, 9], [45, 14, 47, 157, 216, 10, 72], [17, 5, 5, 8, 236, 2, 17], [28, 1, 1, 2, 9, 118, 44], [19, 6, 1, 1, 4, 6, 82]];[0.4649122807017544, 0.0, 0.7669616519174042, 0.8626373626373627, 0.39730639730639733, 0.7375, 0.25076452599388377];0.4810281517747858;0.4321198210536118;[[48, 1, 2, 0, 13, 4, 38], [1, 1, 8, 3, 33, 3, 17], [2, 1, 116, 1, 2, 1, 3], [21, 5, 24, 48, 108, 5, 35], [4, 2, 5, 6, 104, 1, 6], [16, 0, 2, 0, 2, 49, 21], [19, 1, 3, 2, 1, 2, 27]];[0.43243243243243246, 0.09090909090909091, 0.725, 0.8, 0.39543726235741444, 0.7538461538461538, 0.1836734693877551];33.0;[2, 0, 1, 11, 8, 5, 6]
Cora;own;pagerank;0;64;0.5;1;0.005;20795212.0;1.0;1.0;[[2, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0], [0, 0, 12, 0, 0, 0], [0, 0, 0, 9, 0, 0], [0, 0, 0, 0, 5, 0], [0, 0, 0, 0, 0, 6]];[1.0, 1.0, 1.0, 1.0, 1.0, 1.0];0.5167025862068966;0.4638535023080718;[[106, 3, 1, 6, 41, 11, 75], [9, 1, 21, 5, 77, 11, 27], [4, 1, 260, 2, 8, 8, 8], [50, 10, 40, 155, 217, 19, 69], [10, 5, 6, 12, 237, 3, 16], [27, 0, 4, 3, 9, 117, 43], [21, 3, 3, 2, 3, 4, 83]];[0.4669603524229075, 0.043478260869565216, 0.7761194029850746, 0.8378378378378378, 0.40033783783783783, 0.6763005780346821, 0.2585669781931464];0.4834761321909425;0.43842686888268656;[[47, 0, 2, 2, 13, 3, 39], [1, 2, 9, 3, 33, 2, 16], [3, 2, 115, 0, 2, 1, 3], [24, 10, 17, 49, 103, 7, 36], [5, 1, 10, 3, 104, 0, 5], [16, 0, 2, 1, 1, 51, 19], [19, 2, 1, 1, 2, 3, 27]];[0.40869565217391307, 0.11764705882352941, 0.7371794871794872, 0.8305084745762712, 0.40310077519379844, 0.7611940298507462, 0.18620689655172415];35.0;[2, 0, 1, 12, 9, 5, 6]


Cora;own;pagerank;0;64;0.5;1;0.005;649695571.0;0.0;0.0;[[]];[];0.12903225806451613;0.12054821777511784;[[38, 35, 37, 29, 31, 32, 43], [26, 22, 25, 23, 20, 15, 20], [55, 32, 30, 48, 45, 39, 43], [93, 89, 73, 83, 74, 78, 82], [33, 41, 43, 37, 33, 68, 43], [38, 31, 30, 25, 26, 22, 36], [18, 16, 17, 13, 20, 25, 16]];[0.12624584717607973, 0.08270676691729323, 0.11764705882352941, 0.32170542635658916, 0.13253012048192772, 0.07885304659498207, 0.05653710247349823];0.15055079559363524;0.1472635442755649;[[16, 21, 10, 17, 10, 15, 17], [7, 8, 15, 6, 11, 7, 12], [18, 22, 18, 17, 17, 19, 15], [40, 41, 38, 27, 37, 34, 29], [17, 20, 14, 13, 27, 25, 12], [14, 11, 15, 9, 9, 16, 16], [8, 7, 2, 10, 5, 12, 11]];[0.13333333333333333, 0.06153846153846154, 0.16071428571428573, 0.2727272727272727, 0.23275862068965517, 0.125, 0.09821428571428571];0.0;[]
Cora;own;pagerank;0;64;0.5;1;0.005;649695571.0;1.0;1.0;[[3, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0], [0, 0, 0, 3, 0, 0], [0, 0, 0, 0, 2, 0], [0, 0, 0, 0, 0, 1]];[1.0, 1.0, 1.0, 1.0, 1.0, 1.0];0.48138297872340424;0.41938931924050715;[[163, 14, 4, 32, 13, 2, 14], [6, 99, 14, 29, 1, 0, 1], [25, 9, 232, 17, 1, 5, 2], [99, 73, 24, 267, 47, 22, 37], [38, 26, 16, 73, 109, 12, 22], [77, 63, 15, 23, 6, 9, 15], [62, 13, 5, 5, 9, 4, 26]];[0.3468085106382979, 0.3333333333333333, 0.7483870967741936, 0.5986547085201793, 0.5860215053763441, 0.16666666666666666, 0.2222222222222222];0.5140758873929009;0.44588010670136674;[[69, 8, 1, 14, 10, 1, 3], [4, 43, 5, 13, 1, 0, 0], [13, 4, 100, 6, 0, 1, 2], [42, 28, 12, 135, 13, 3, 13], [16, 9, 8, 29, 56, 6, 4], [40, 23, 9, 4, 2, 4, 8], [30, 6, 5, 0, 0, 1, 13]];[0.32242990654205606, 0.35537190082644626, 0.7142857142857143, 0.6716417910447762, 0.6829268292682927, 0.25, 0.3023255813953488];11.0;[3, 1, 1, 3, 2, 0, 1]
Cora;own;pagerank;0;64;0.5;1;0.005;649695571.0;1.0;1.0;[[3, 0, 0, 0, 0, 0, 0], [0, 2, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0], [0, 0, 0, 7, 0, 0, 0], [0, 0, 0, 0, 6, 0, 0], [0, 0, 0, 0, 0, 2, 0], [0, 0, 0, 0, 0, 0, 1]];[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0];0.4681647940074906;0.4519054460144544;[[147, 42, 1, 23, 12, 7, 10], [3, 122, 9, 13, 1, 0, 1], [20, 68, 182, 14, 2, 4, 1], [87, 172, 20, 199, 31, 20, 36], [30, 39, 4, 56, 133, 13, 17], [56, 54, 5, 9, 2, 68, 12], [56, 16, 10, 7, 5, 6, 24]];[0.3684210526315789, 0.2378167641325536, 0.7878787878787878, 0.6199376947040498, 0.7150537634408602, 0.576271186440678, 0.2376237623762376];0.4969400244798042;0.48119658894210166;[[64, 18, 2, 10, 6, 2, 4], [1, 56, 2, 6, 1, 0, 0], [10, 29, 77, 5, 0, 4, 1], [38, 73, 5, 100, 9, 9, 12], [7, 21, 4, 27, 63, 3, 3], [26, 21, 0, 3, 0, 35, 5], [27, 5, 3, 2, 2, 5, 11]];[0.3699421965317919, 0.25112107623318386, 0.8279569892473119, 0.6535947712418301, 0.7777777777777778, 0.603448275862069, 0.3055555555555556];22.0;[3, 2, 1, 7, 6, 2, 1]
