dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Labeled class accuracies;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Unlabeled class accuracies;Test accuracy;Test macro-f1;Test confusion;Test class accuracies;Budget used;Class distrubution
Cora;own;entropy;0;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];[];0.14383923849814914;0.0517347404408896;[[40, 2, 4, 97, 84, 0, 1, 1, 0, 16, 0], [31, 3, 0, 37, 73, 0, 0, 1, 0, 6, 0], [65, 7, 1, 170, 25, 0, 3, 0, 0, 17, 4], [156, 8, 4, 147, 227, 0, 2, 11, 0, 17, 0], [79, 0, 5, 111, 81, 0, 1, 13, 2, 6, 0], [20, 0, 0, 73, 108, 0, 0, 1, 1, 5, 0], [19, 0, 0, 33, 67, 0, 0, 1, 0, 5, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]];[0.0975609756097561, 0.15, 0.07142857142857142, 0.22005988023952097, 0.12180451127819548, nan, 0.0, 0.0, 0.0, 0.0, 0.0];0.1481028151774786;0.05891348978362863;[[15, 0, 0, 41, 39, 0, 1, 4, 6, 0], [12, 1, 0, 16, 32, 0, 0, 0, 4, 1], [18, 0, 1, 82, 15, 0, 1, 1, 8, 0], [75, 3, 2, 52, 105, 0, 0, 3, 6, 0], [26, 0, 2, 33, 52, 1, 0, 8, 6, 0], [17, 0, 0, 27, 44, 0, 0, 1, 1, 0], [10, 0, 0, 18, 26, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0]];[0.08670520231213873, 0.25, 0.2, 0.19330855018587362, 0.16613418530351437, 0.0, 0.0, 0.0, 0.0, 0.0];0.0;[]
Cora;own;entropy;0;64;0.5;1;0.005;20795212.0;0.8181818181818182;0.825;[[2, 0, 1, 0], [0, 1, 0, 0], [0, 0, 5, 0], [0, 0, 1, 1]];[1.0, 1.0, 0.7142857142857143, 1.0];0.3069148936170213;0.07924459541065886;[[8, 0, 0, 234, 0, 0, 0], [0, 0, 0, 151, 0, 0, 0], [0, 0, 1, 290, 0, 0, 0], [1, 0, 0, 566, 0, 0, 0], [0, 0, 0, 298, 0, 0, 0], [0, 0, 0, 204, 0, 2, 0], [0, 0, 0, 125, 0, 0, 0]];[0.8888888888888888, nan, 1.0, 0.3029978586723769, nan, 1.0, nan];0.3072215422276622;0.07996195001325977;[[4, 0, 0, 102, 0, 0, 0], [0, 0, 0, 66, 0, 0, 0], [0, 0, 0, 126, 0, 0, 0], [0, 0, 0, 246, 0, 0, 0], [0, 0, 0, 128, 0, 0, 0], [0, 0, 0, 89, 0, 1, 0], [0, 0, 0, 55, 0, 0, 0]];[1.0, nan, nan, 0.30295566502463056, nan, 1.0, nan];11.0;[3, 0, 1, 5, 0, 2]
Cora;own;entropy;0;64;0.5;1;0.005;20795212.0;0.7272727272727273;0.49740259740259746;[[3, 0, 1, 0, 0, 0], [0, 1, 3, 0, 0, 0], [0, 0, 8, 0, 0, 0], [0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 4, 0], [0, 0, 1, 0, 0, 0]];[1.0, 1.0, 0.5714285714285714, nan, 1.0, nan];0.33600856072766183;0.13996774406415063;[[14, 0, 0, 227, 0, 0, 0], [0, 0, 0, 151, 0, 0, 0], [0, 0, 1, 287, 0, 0, 0], [0, 0, 0, 564, 0, 0, 0], [0, 0, 0, 297, 0, 0, 0], [0, 0, 0, 155, 0, 49, 0], [2, 0, 0, 122, 0, 0, 0]];[0.875, nan, 1.0, 0.31281198003327787, nan, 1.0, nan];0.33414932680538556;0.1371336267834921;[[6, 0, 0, 100, 0, 0, 0], [0, 0, 0, 66, 0, 0, 0], [0, 0, 0, 126, 0, 0, 0], [0, 0, 0, 246, 0, 0, 0], [0, 0, 0, 128, 0, 0, 0], [0, 0, 0, 69, 0, 21, 0], [1, 0, 0, 54, 0, 0, 0]];[0.8571428571428571, nan, nan, 0.311787072243346, nan, 1.0, nan];22.0;[4, 0, 4, 8, 1, 4, 1]
Cora;own;entropy;0;64;0.5;1;0.005;20795212.0;0.7272727272727273;0.5047364400305576;[[6, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [1, 0, 4, 0, 0, 1, 0], [0, 0, 0, 9, 0, 0, 0], [2, 0, 0, 0, 1, 1, 0], [1, 0, 0, 0, 0, 4, 0], [1, 0, 0, 1, 0, 0, 0]];[0.5454545454545454, nan, 1.0, 0.8181818181818182, 1.0, 0.6666666666666666, nan];0.4655543595263724;0.2790649550214729;[[217, 0, 0, 20, 0, 2, 0], [92, 0, 0, 50, 0, 8, 0], [94, 0, 38, 71, 0, 83, 0], [85, 0, 0, 465, 0, 13, 0], [115, 0, 0, 145, 2, 32, 0], [57, 0, 0, 3, 0, 143, 0], [95, 0, 0, 7, 0, 21, 0]];[0.28741721854304636, nan, 1.0, 0.6110381077529566, 1.0, 0.4735099337748344, nan];0.45777233782129745;0.2733860355880149;[[99, 0, 0, 7, 0, 0, 0], [40, 0, 1, 22, 0, 3, 0], [48, 0, 15, 28, 0, 35, 0], [41, 0, 0, 200, 0, 5, 0], [46, 0, 0, 67, 1, 14, 0], [31, 0, 0, 0, 0, 59, 0], [42, 0, 0, 7, 0, 6, 0]];[0.28530259365994237, nan, 0.9375, 0.6042296072507553, 1.0, 0.48360655737704916, nan];33.0;[6, 1, 6, 9, 4, 5, 2]
Cora;own;entropy;0;64;0.5;1;0.005;20795212.0;0.8;0.5503647835945972;[[6, 0, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0], [0, 0, 6, 0, 0, 0, 0], [0, 0, 0, 11, 0, 0, 0], [1, 0, 2, 0, 1, 0, 0], [1, 0, 0, 0, 0, 4, 0], [0, 0, 1, 1, 0, 0, 0]];[0.75, nan, 0.6, 0.9166666666666666, 1.0, 1.0, nan];0.5727370689655172;0.38154212556607797;[[191, 0, 22, 23, 0, 3, 0], [16, 0, 121, 12, 0, 1, 0], [3, 0, 275, 4, 0, 4, 0], [50, 0, 50, 455, 0, 6, 0], [42, 0, 96, 123, 3, 30, 0], [52, 0, 9, 3, 0, 139, 0], [81, 0, 21, 5, 0, 16, 0]];[0.43908045977011495, nan, 0.46296296296296297, 0.728, 1.0, 0.6984924623115578, nan];0.5581395348837209;0.3765024529359939;[[83, 0, 12, 11, 0, 0, 0], [5, 0, 51, 9, 0, 1, 0], [2, 0, 123, 1, 0, 0, 0], [31, 0, 24, 190, 0, 1, 0], [16, 0, 45, 56, 1, 10, 0], [26, 0, 3, 2, 0, 59, 0], [36, 0, 13, 4, 0, 2, 0]];[0.41708542713567837, nan, 0.45387453874538747, 0.6959706959706959, 1.0, 0.8082191780821918, nan];35.0;[6, 1, 6, 11, 4, 5, 2]


Cora;own;entropy;0;64;0.5;1;0.005;649695571.0;0.0;0.0;[[]];[];0.08725542041248018;0.032662617857538684;[[136, 0, 3, 1, 22, 1, 2, 2, 6, 70, 2], [70, 0, 0, 0, 8, 8, 0, 4, 29, 30, 2], [150, 0, 0, 0, 57, 8, 0, 9, 42, 26, 0], [396, 0, 2, 3, 42, 15, 5, 3, 38, 67, 1], [165, 0, 3, 1, 18, 0, 14, 12, 16, 69, 0], [152, 0, 4, 0, 4, 6, 0, 1, 10, 31, 0], [76, 0, 2, 0, 6, 9, 2, 0, 8, 21, 1], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]];[0.11877729257641921, nan, 0.0, 0.6, 0.11464968152866242, 0.1276595744680851, 0.08695652173913043, 0.0, 0.0, 0.0, 0.0];0.09791921664626684;0.037829093860937094;[[63, 0, 0, 1, 5, 0, 2, 0, 2, 32, 1], [37, 0, 0, 0, 4, 5, 0, 1, 8, 11, 0], [72, 0, 0, 0, 25, 1, 0, 0, 19, 9, 0], [166, 0, 0, 3, 14, 4, 7, 1, 17, 34, 0], [58, 0, 1, 0, 11, 6, 5, 3, 9, 34, 1], [59, 0, 1, 1, 0, 2, 1, 2, 8, 16, 0], [37, 0, 1, 1, 2, 0, 1, 0, 4, 8, 1], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]];[0.12804878048780488, nan, 0.0, 0.5, 0.18032786885245902, 0.1111111111111111, 0.0625, 0.0, 0.0, 0.0, 0.0];0.0;[]
Cora;own;entropy;0;64;0.5;1;0.005;649695571.0;0.9090909090909091;0.9292929292929294;[[1, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 0], [0, 0, 5, 0, 0, 0], [0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1]];[1.0, 1.0, 0.8333333333333334, 1.0, 1.0, 1.0];0.33191489361702126;0.13367530176330486;[[8, 0, 0, 231, 0, 0, 5], [0, 0, 0, 150, 0, 0, 1], [0, 0, 1, 287, 2, 0, 0], [0, 0, 0, 563, 1, 0, 3], [0, 0, 0, 255, 39, 0, 3], [47, 0, 0, 146, 1, 1, 12], [0, 0, 0, 110, 2, 0, 12]];[0.14545454545454545, nan, 1.0, 0.3231917336394948, 0.8666666666666667, 1.0, 0.3333333333333333];0.3390452876376989;0.14908368019245938;[[6, 0, 0, 97, 0, 0, 3], [0, 0, 0, 65, 0, 0, 1], [0, 0, 1, 125, 0, 0, 0], [0, 0, 0, 244, 1, 0, 1], [0, 0, 0, 109, 19, 0, 0], [20, 0, 0, 64, 1, 1, 4], [0, 0, 0, 49, 0, 0, 6]];[0.23076923076923078, nan, 1.0, 0.3240371845949535, 0.9047619047619048, 1.0, 0.4];11.0;[1, 0, 2, 5, 1, 1, 1]
Cora;own;entropy;0;64;0.5;1;0.005;649695571.0;0.8636363636363636;0.8095238095238094;[[1, 0, 1, 0, 0, 0], [0, 1, 1, 0, 0, 0], [0, 0, 9, 0, 0, 0], [0, 0, 0, 4, 0, 0], [0, 0, 1, 0, 1, 0], [0, 0, 0, 0, 0, 3]];[1.0, 1.0, 0.75, 1.0, 1.0, 1.0];0.36543606206527557;0.1918334821788483;[[4, 0, 0, 221, 1, 0, 17], [0, 0, 0, 150, 0, 0, 1], [0, 0, 1, 285, 2, 0, 2], [0, 0, 0, 560, 0, 0, 3], [0, 0, 0, 219, 71, 0, 4], [17, 0, 0, 155, 8, 1, 25], [0, 0, 0, 73, 3, 0, 46]];[0.19047619047619047, nan, 1.0, 0.3367408298256164, 0.8352941176470589, 1.0, 0.46938775510204084];0.3843329253365973;0.22391786990536863;[[5, 0, 0, 93, 0, 0, 8], [0, 0, 0, 65, 0, 0, 1], [0, 0, 1, 124, 1, 0, 0], [0, 0, 0, 245, 0, 0, 1], [0, 0, 0, 89, 39, 0, 0], [10, 0, 0, 69, 3, 1, 7], [0, 0, 0, 31, 1, 0, 23]];[0.3333333333333333, nan, 1.0, 0.34217877094972066, 0.8863636363636364, 1.0, 0.575];22.0;[2, 0, 2, 9, 4, 2, 3]
