dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Labeled class accuracies;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Unlabeled class accuracies;Test accuracy;Test macro-f1;Test confusion;Test class accuracies;Budget used;Class distrubution
Cora;own;pagerank;0;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];[];0.14383923849814914;0.0517347404408896;[[40, 2, 4, 97, 84, 0, 1, 1, 0, 16, 0], [31, 3, 0, 37, 73, 0, 0, 1, 0, 6, 0], [65, 7, 1, 170, 25, 0, 3, 0, 0, 17, 4], [156, 8, 4, 147, 227, 0, 2, 11, 0, 17, 0], [79, 0, 5, 111, 81, 0, 1, 13, 2, 6, 0], [20, 0, 0, 73, 108, 0, 0, 1, 1, 5, 0], [19, 0, 0, 33, 67, 0, 0, 1, 0, 5, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]];[0.0975609756097561, 0.15, 0.07142857142857142, 0.22005988023952097, 0.12180451127819548, nan, 0.0, 0.0, 0.0, 0.0, 0.0];0.1481028151774786;0.05891348978362863;[[15, 0, 0, 41, 39, 0, 1, 4, 6, 0], [12, 1, 0, 16, 32, 0, 0, 0, 4, 1], [18, 0, 1, 82, 15, 0, 1, 1, 8, 0], [75, 3, 2, 52, 105, 0, 0, 3, 6, 0], [26, 0, 2, 33, 52, 1, 0, 8, 6, 0], [17, 0, 0, 27, 44, 0, 0, 1, 1, 0], [10, 0, 0, 18, 26, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0]];[0.08670520231213873, 0.25, 0.2, 0.19330855018587362, 0.16613418530351437, 0.0, 0.0, 0.0, 0.0, 0.0];0.0;[]
Cora;own;pagerank;0;64;0.5;1;0.005;20795212.0;0.9090909090909091;0.9481481481481482;[[1, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0], [0, 0, 0, 4, 0, 0], [0, 0, 0, 1, 2, 0], [0, 0, 0, 0, 0, 1]];[1.0, 1.0, 1.0, 0.8, 1.0, 1.0];0.33297872340425533;0.1552618606303198;[[2, 0, 0, 241, 0, 0, 1], [0, 8, 0, 139, 0, 3, 0], [0, 0, 26, 264, 0, 1, 0], [0, 1, 3, 563, 0, 1, 0], [0, 1, 0, 297, 0, 0, 0], [0, 0, 0, 196, 0, 9, 0], [1, 0, 1, 104, 0, 0, 18]];[0.6666666666666666, 0.8, 0.8666666666666667, 0.3120842572062084, nan, 0.6428571428571429, 0.9473684210526315];0.33047735618115054;0.15778015372184323;[[0, 0, 0, 103, 0, 2, 1], [0, 3, 0, 62, 0, 1, 0], [0, 0, 9, 116, 0, 1, 0], [0, 1, 1, 243, 0, 1, 0], [0, 0, 1, 127, 0, 0, 0], [0, 0, 0, 87, 0, 3, 0], [1, 0, 1, 41, 0, 0, 12]];[0.0, 0.75, 0.75, 0.3119383825417201, nan, 0.375, 0.9230769230769231];11.0;[1, 1, 1, 4, 0, 3, 1]
Cora;own;pagerank;0;64;0.5;1;0.005;20795212.0;0.7272727272727273;0.7040816326530612;[[2, 0, 0, 3, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0], [0, 0, 2, 1, 0, 0, 0], [0, 0, 0, 7, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 1, 0, 3, 0], [0, 0, 0, 0, 0, 0, 1]];[1.0, 1.0, 1.0, 0.5384615384615384, nan, 1.0, 1.0];0.33868378812199035;0.14043370960988907;[[5, 0, 0, 227, 0, 8, 0], [0, 0, 0, 148, 0, 2, 0], [0, 0, 24, 264, 0, 1, 0], [0, 0, 0, 565, 0, 0, 0], [0, 0, 0, 296, 0, 1, 0], [2, 0, 0, 164, 0, 38, 0], [3, 0, 0, 113, 0, 7, 1]];[0.5, nan, 1.0, 0.31795160382667415, nan, 0.6666666666666666, 1.0];0.33414932680538556;0.1374276925818583;[[1, 0, 0, 101, 0, 4, 0], [0, 1, 0, 65, 0, 0, 0], [0, 0, 10, 115, 0, 1, 0], [0, 0, 0, 246, 0, 0, 0], [0, 0, 0, 128, 0, 0, 0], [0, 0, 0, 76, 0, 14, 0], [1, 0, 0, 51, 0, 2, 1]];[0.5, 1.0, 1.0, 0.3145780051150895, nan, 0.6666666666666666, 1.0];22.0;[5, 1, 3, 7, 1, 4, 1]
Cora;own;pagerank;0;64;0.5;1;0.005;20795212.0;0.8787878787878788;0.8075917546505782;[[6, 0, 0, 0, 0, 1, 0], [0, 1, 0, 0, 0, 0, 0], [0, 0, 4, 0, 0, 0, 0], [0, 0, 0, 8, 0, 0, 0], [0, 0, 1, 1, 0, 1, 0], [0, 0, 0, 0, 0, 9, 0], [0, 0, 0, 0, 0, 0, 1]];[1.0, 1.0, 0.8, 0.8888888888888888, nan, 0.8181818181818182, 1.0];0.5290635091496233;0.37617966068920444;[[104, 0, 2, 19, 0, 113, 0], [4, 11, 11, 10, 0, 114, 0], [0, 0, 252, 10, 0, 26, 0], [24, 0, 9, 425, 0, 106, 0], [9, 0, 41, 113, 1, 131, 0], [6, 0, 1, 3, 0, 189, 0], [4, 0, 18, 1, 0, 100, 1]];[0.6887417218543046, 1.0, 0.7544910179640718, 0.7314974182444062, 1.0, 0.24261874197689345, 1.0];0.5275397796817626;0.3696499772921194;[[44, 0, 3, 6, 0, 53, 0], [3, 3, 7, 7, 0, 46, 0], [0, 0, 109, 6, 0, 11, 0], [11, 0, 4, 184, 0, 47, 0], [6, 0, 15, 44, 1, 62, 0], [0, 0, 1, 0, 0, 89, 0], [4, 0, 11, 0, 0, 39, 1]];[0.6470588235294118, 1.0, 0.7266666666666667, 0.7449392712550608, 1.0, 0.2564841498559078, 1.0];33.0;[7, 1, 4, 8, 3, 9, 1]
Cora;own;pagerank;0;64;0.5;1;0.005;20795212.0;0.9428571428571428;0.9126984126984128;[[8, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0], [0, 0, 4, 0, 0, 0, 0], [0, 0, 0, 8, 0, 0, 0], [2, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 10, 0], [0, 0, 0, 0, 0, 0, 1]];[0.8, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0];0.5511853448275862;0.4276862829177439;[[215, 0, 1, 4, 0, 17, 0], [85, 22, 9, 3, 0, 31, 0], [18, 0, 251, 3, 0, 16, 0], [153, 0, 17, 354, 0, 40, 0], [186, 1, 6, 50, 21, 31, 0], [33, 0, 4, 2, 0, 159, 0], [53, 0, 19, 0, 0, 51, 1]];[0.28936742934051146, 0.9565217391304348, 0.8175895765472313, 0.8509615384615384, 1.0, 0.4608695652173913, 1.0];0.5458996328029376;0.42412811638375547;[[97, 0, 0, 2, 0, 7, 0], [35, 9, 4, 3, 0, 15, 0], [12, 0, 108, 1, 0, 5, 0], [66, 0, 11, 151, 0, 18, 0], [86, 2, 3, 15, 7, 15, 0], [16, 0, 1, 0, 0, 73, 0], [32, 0, 11, 0, 0, 11, 1]];[0.2819767441860465, 0.8181818181818182, 0.782608695652174, 0.877906976744186, 1.0, 0.5069444444444444, 1.0];35.0;[8, 1, 4, 8, 3, 10, 1]


Cora;own;pagerank;0;64;0.5;1;0.005;649695571.0;0.0;0.0;[[]];[];0.08725542041248018;0.032662617857538684;[[136, 0, 3, 1, 22, 1, 2, 2, 6, 70, 2], [70, 0, 0, 0, 8, 8, 0, 4, 29, 30, 2], [150, 0, 0, 0, 57, 8, 0, 9, 42, 26, 0], [396, 0, 2, 3, 42, 15, 5, 3, 38, 67, 1], [165, 0, 3, 1, 18, 0, 14, 12, 16, 69, 0], [152, 0, 4, 0, 4, 6, 0, 1, 10, 31, 0], [76, 0, 2, 0, 6, 9, 2, 0, 8, 21, 1], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]];[0.11877729257641921, nan, 0.0, 0.6, 0.11464968152866242, 0.1276595744680851, 0.08695652173913043, 0.0, 0.0, 0.0, 0.0];0.09791921664626684;0.037829093860937094;[[63, 0, 0, 1, 5, 0, 2, 0, 2, 32, 1], [37, 0, 0, 0, 4, 5, 0, 1, 8, 11, 0], [72, 0, 0, 0, 25, 1, 0, 0, 19, 9, 0], [166, 0, 0, 3, 14, 4, 7, 1, 17, 34, 0], [58, 0, 1, 0, 11, 6, 5, 3, 9, 34, 1], [59, 0, 1, 1, 0, 2, 1, 2, 8, 16, 0], [37, 0, 1, 1, 2, 0, 1, 0, 4, 8, 1], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]];[0.12804878048780488, nan, 0.0, 0.5, 0.18032786885245902, 0.1111111111111111, 0.0625, 0.0, 0.0, 0.0, 0.0];0.0;[]
Cora;own;pagerank;0;64;0.5;1;0.005;649695571.0;0.8181818181818182;0.7952380952380953;[[3, 0, 0, 0], [1, 3, 0, 0], [0, 0, 1, 1], [0, 0, 0, 2]];[0.75, 1.0, 1.0, 0.6666666666666666];0.274468085106383;0.17055542479166766;[[0, 0, 63, 11, 3, 0, 168], [0, 0, 118, 14, 0, 0, 19], [0, 0, 284, 3, 0, 0, 2], [0, 0, 386, 90, 6, 0, 86], [0, 0, 116, 15, 46, 0, 119], [0, 0, 44, 2, 0, 0, 162], [0, 0, 26, 1, 0, 0, 96]];[nan, nan, 0.2738669238187078, 0.6617647058823529, 0.8363636363636363, nan, 0.147239263803681];0.2802937576499388;0.17500132574234462;[[0, 0, 28, 3, 2, 0, 73], [0, 0, 48, 9, 0, 0, 9], [0, 0, 118, 1, 0, 0, 7], [0, 0, 146, 51, 3, 0, 46], [0, 0, 51, 13, 18, 0, 46], [0, 0, 15, 0, 0, 0, 75], [0, 0, 12, 1, 0, 0, 42]];[nan, nan, 0.2822966507177033, 0.6538461538461539, 0.782608695652174, nan, 0.14093959731543623];11.0;[0, 0, 3, 4, 2, 0, 2]
Cora;own;pagerank;0;64;0.5;1;0.005;649695571.0;0.8636363636363636;0.7242063492063492;[[0, 0, 1, 0, 1], [0, 5, 0, 0, 0], [0, 0, 7, 0, 0], [0, 0, 1, 3, 0], [0, 0, 0, 0, 4]];[nan, 1.0, 0.7777777777777778, 1.0, 0.8];0.5521669341894061;0.359911139117506;[[0, 0, 16, 92, 13, 0, 122], [0, 0, 48, 96, 2, 0, 5], [0, 0, 274, 11, 0, 0, 2], [0, 0, 30, 490, 24, 0, 21], [0, 0, 5, 62, 181, 0, 46], [0, 0, 28, 25, 1, 0, 154], [0, 0, 6, 27, 1, 0, 87]];[nan, nan, 0.6732186732186732, 0.6102117061021171, 0.8153153153153153, nan, 0.19908466819221968];0.5446756425948592;0.3566133984394954;[[0, 0, 7, 43, 6, 0, 50], [0, 0, 20, 40, 1, 0, 5], [0, 0, 118, 6, 0, 0, 2], [0, 0, 11, 207, 18, 0, 10], [0, 0, 4, 32, 78, 0, 14], [0, 0, 12, 10, 1, 0, 67], [0, 0, 3, 10, 0, 0, 42]];[nan, nan, 0.6742857142857143, 0.5948275862068966, 0.75, nan, 0.22105263157894736];22.0;[2, 0, 5, 7, 4, 0, 4]
