dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Labeled class accuracies;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Unlabeled class accuracies;Test accuracy;Test macro-f1;Test confusion;Test class accuracies;Budget used;Class distrubution
Cora;own;medoids;0.2;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];[];0.04336329984135378;0.03544607648928664;[[15, 1, 5, 19, 3, 3, 20, 94, 6, 62, 17], [15, 0, 0, 3, 0, 0, 7, 110, 1, 11, 4], [2, 33, 2, 2, 0, 2, 5, 17, 0, 227, 2], [30, 15, 19, 35, 21, 45, 117, 141, 5, 116, 28], [8, 16, 14, 34, 6, 7, 9, 94, 1, 89, 20], [16, 0, 0, 57, 2, 6, 20, 75, 0, 31, 1], [1, 1, 0, 8, 5, 4, 18, 50, 0, 38, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]];[0.1724137931034483, 0.0, 0.05, 0.22151898734177214, 0.16216216216216217, 0.08955223880597014, 0.09183673469387756, 0.0, 0.0, 0.0, 0.0];0.04039167686658507;0.03453114193878958;[[5, 1, 0, 7, 4, 0, 7, 49, 0, 30, 3], [2, 1, 0, 0, 0, 2, 3, 48, 0, 8, 2], [0, 15, 1, 0, 0, 1, 1, 10, 0, 97, 1], [14, 5, 10, 15, 12, 11, 42, 52, 4, 67, 14], [4, 9, 8, 21, 1, 1, 3, 37, 1, 31, 12], [4, 0, 0, 24, 0, 1, 5, 40, 1, 14, 1], [0, 1, 0, 1, 7, 0, 9, 20, 0, 17, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]];[0.1724137931034483, 0.03125, 0.05263157894736842, 0.22058823529411764, 0.041666666666666664, 0.0625, 0.12857142857142856, 0.0, 0.0, 0.0, 0.0];0.0;[]
Cora;own;medoids;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;[[1, 0, 0, 0], [0, 7, 0, 0], [0, 0, 1, 0], [0, 0, 0, 2]];[1.0, 1.0, 1.0, 1.0];0.5398936170212766;0.342276633318715;[[0, 0, 2, 222, 0, 9, 0], [0, 0, 14, 133, 0, 1, 0], [0, 0, 241, 40, 0, 1, 0], [0, 0, 3, 584, 0, 5, 0], [0, 0, 0, 220, 45, 26, 0], [1, 0, 8, 60, 0, 145, 0], [0, 0, 3, 71, 0, 46, 0]];[0.0, nan, 0.8892988929889298, 0.43909774436090226, 1.0, 0.6223175965665236, nan];0.5226438188494492;0.3326771870670595;[[0, 0, 0, 102, 0, 4, 0], [0, 0, 7, 58, 0, 1, 0], [0, 0, 109, 17, 0, 0, 0], [0, 0, 2, 242, 0, 2, 0], [0, 0, 0, 101, 19, 8, 0], [1, 0, 4, 28, 0, 57, 0], [0, 0, 3, 28, 0, 24, 0]];[0.0, nan, 0.872, 0.4201388888888889, 1.0, 0.59375, nan];11.0;[0, 0, 1, 7, 1, 2]
Cora;own;medoids;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;[[3, 0, 0, 0, 0], [0, 3, 0, 0, 0], [0, 0, 8, 0, 0], [0, 0, 0, 3, 0], [0, 0, 0, 0, 5]];[1.0, 1.0, 1.0, 1.0, 1.0];0.6179775280898876;0.28615496608898633;[[97, 0, 10, 66, 1, 55, 0, 1, 0, 1, 0], [18, 0, 31, 79, 2, 13, 0, 0, 1, 0, 1], [0, 0, 245, 30, 0, 7, 0, 0, 0, 0, 0], [7, 0, 13, 515, 16, 34, 0, 0, 0, 0, 0], [6, 0, 0, 142, 93, 49, 0, 0, 0, 0, 0], [0, 0, 8, 9, 2, 205, 0, 0, 0, 1, 0], [0, 0, 7, 26, 1, 77, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]];[0.7578125, nan, 0.7802547770700637, 0.5940023068050749, 0.808695652173913, 0.4659090909090909, nan, 0.0, 0.0, 0.0, 0.0];0.587515299877601;0.2965665255331749;[[36, 0, 2, 37, 2, 29, 0, 0, 0, 0], [8, 0, 16, 36, 1, 4, 0, 0, 1, 0], [0, 0, 111, 12, 0, 3, 0, 0, 0, 0], [4, 0, 5, 216, 8, 13, 0, 0, 0, 0], [1, 0, 1, 69, 39, 17, 1, 0, 0, 0], [0, 0, 4, 7, 0, 78, 0, 1, 0, 0], [0, 0, 10, 2, 2, 40, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0]];[0.7346938775510204, nan, 0.7449664429530202, 0.5699208443271768, 0.75, 0.42391304347826086, 0.0, 0.0, 0.0, 0.0];22.0;[3, 0, 3, 8, 3, 5]
Cora;own;medoids;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;[[5, 0, 0, 0, 0, 0], [0, 5, 0, 0, 0, 0], [0, 0, 10, 0, 0, 0], [0, 0, 0, 5, 0, 0], [0, 0, 0, 0, 6, 0], [0, 0, 0, 0, 0, 2]];[1.0, 1.0, 1.0, 1.0, 1.0, 1.0];0.6889128094725512;0.4402595508244302;[[143, 0, 15, 36, 2, 16, 12, 0, 0], [36, 0, 58, 29, 17, 1, 0, 1, 0], [1, 0, 264, 13, 0, 4, 0, 0, 0], [24, 0, 30, 441, 42, 11, 19, 0, 0], [21, 0, 1, 38, 207, 13, 1, 0, 0], [6, 0, 10, 6, 2, 193, 5, 0, 0], [5, 0, 11, 23, 3, 65, 32, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0]];[0.6059322033898306, nan, 0.6786632390745502, 0.7525597269624573, 0.7582417582417582, 0.636963696369637, 0.463768115942029, 0.0, 0.0];0.6523867809057528;0.3959325802378009;[[55, 0, 10, 19, 0, 11, 9, 1, 1], [9, 0, 28, 17, 10, 1, 1, 0, 0], [0, 0, 117, 8, 0, 1, 0, 0, 0], [13, 0, 14, 180, 18, 8, 13, 0, 0], [6, 0, 1, 15, 104, 2, 0, 0, 0], [2, 0, 5, 4, 0, 75, 4, 0, 0], [1, 0, 12, 1, 2, 37, 2, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0]];[0.6395348837209303, nan, 0.6256684491978609, 0.7377049180327869, 0.7761194029850746, 0.5555555555555556, 0.06896551724137931, 0.0, 0.0];33.0;[5, 0, 5, 10, 5, 6, 2]
Cora;own;medoids;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;[[6, 0, 0, 0, 0, 0], [0, 5, 0, 0, 0, 0], [0, 0, 10, 0, 0, 0], [0, 0, 0, 5, 0, 0], [0, 0, 0, 0, 6, 0], [0, 0, 0, 0, 0, 3]];[1.0, 1.0, 1.0, 1.0, 1.0, 1.0];0.7047413793103449;0.6176950793939021;[[174, 0, 8, 10, 3, 10, 21], [70, 0, 33, 20, 8, 1, 9], [2, 0, 268, 7, 0, 3, 2], [58, 0, 28, 393, 31, 9, 46], [42, 0, 0, 30, 195, 10, 4], [7, 1, 6, 4, 0, 184, 19], [7, 0, 7, 20, 2, 10, 94]];[0.48333333333333334, 0.0, 0.7657142857142857, 0.8119834710743802, 0.8158995815899581, 0.8105726872246696, 0.48205128205128206];0.6609547123623011;0.5673625965760257;[[70, 0, 6, 6, 0, 9, 15], [22, 0, 16, 10, 5, 2, 11], [0, 0, 116, 7, 0, 3, 0], [23, 0, 12, 161, 17, 5, 28], [12, 0, 0, 13, 99, 3, 1], [4, 1, 5, 3, 0, 65, 12], [4, 0, 9, 2, 2, 9, 29]];[0.5185185185185185, 0.0, 0.7073170731707317, 0.7970297029702971, 0.8048780487804879, 0.6770833333333334, 0.3020833333333333];35.0;[6, 0, 5, 10, 5, 6, 3]


Cora;own;medoids;0.2;64;0.5;1;0.005;649695571.0;0.0;0.0;[[]];[];0.20518244315177156;0.10076374595674085;[[20, 16, 137, 11, 9, 18, 4, 1, 5, 7, 17], [7, 13, 111, 0, 4, 0, 0, 8, 0, 4, 4], [5, 3, 254, 0, 2, 3, 0, 4, 0, 19, 2], [46, 96, 195, 35, 47, 31, 41, 28, 3, 10, 40], [4, 12, 73, 6, 39, 49, 28, 1, 7, 5, 74], [4, 22, 65, 14, 62, 12, 16, 2, 0, 0, 11], [4, 11, 41, 16, 20, 5, 15, 1, 3, 1, 8], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]];[0.2222222222222222, 0.07514450867052024, 0.2899543378995434, 0.4268292682926829, 0.21311475409836064, 0.1016949152542373, 0.14423076923076922, 0.0, 0.0, 0.0, 0.0];0.19706242350061198;0.09037029632792493;[[13, 7, 52, 1, 8, 7, 2, 1, 2, 1, 12], [4, 5, 39, 1, 0, 4, 1, 6, 0, 4, 2], [3, 2, 113, 0, 1, 0, 0, 3, 0, 3, 1], [23, 42, 85, 14, 17, 20, 17, 5, 1, 3, 19], [1, 3, 27, 1, 10, 31, 10, 0, 4, 2, 39], [2, 7, 27, 5, 32, 4, 9, 0, 0, 0, 4], [2, 4, 22, 4, 8, 8, 2, 0, 1, 0, 4], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]];[0.2708333333333333, 0.07142857142857142, 0.3095890410958904, 0.5384615384615384, 0.13157894736842105, 0.05405405405405406, 0.04878048780487805, 0.0, 0.0, 0.0, 0.0];0.0;[]
Cora;own;medoids;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;[[1, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0], [0, 0, 2, 0, 0, 0, 0], [0, 0, 0, 3, 0, 0, 0], [0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 2, 0], [0, 0, 0, 0, 0, 0, 1]];[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0];0.5691489361702128;0.40201888294639665;[[106, 1, 13, 66, 3, 47, 0, 0], [4, 9, 78, 12, 0, 2, 0, 0], [0, 0, 140, 6, 0, 101, 0, 0], [11, 2, 49, 459, 3, 51, 0, 2], [2, 7, 4, 141, 57, 75, 0, 0], [0, 0, 22, 15, 0, 273, 0, 0], [3, 0, 8, 18, 0, 64, 26, 0], [0, 0, 0, 0, 0, 0, 0, 0]];[0.8412698412698413, 0.47368421052631576, 0.445859872611465, 0.6401673640167364, 0.9047619047619048, 0.4453507340946166, 1.0, 0.0];0.47980416156670747;0.39078260460061137;[[46, 1, 5, 26, 2, 26, 0], [0, 5, 53, 5, 0, 3, 0], [0, 0, 42, 1, 0, 83, 0], [6, 0, 24, 195, 3, 18, 0], [2, 8, 1, 63, 22, 31, 1], [0, 0, 4, 15, 0, 71, 0], [0, 0, 4, 7, 0, 33, 11]];[0.8518518518518519, 0.35714285714285715, 0.3157894736842105, 0.625, 0.8148148148148148, 0.2679245283018868, 0.9166666666666666];11.0;[1, 1, 2, 3, 1, 2, 1]
Cora;own;medoids;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;[[2, 0, 0, 0, 0, 0, 0], [0, 2, 0, 0, 0, 0, 0], [0, 0, 3, 0, 0, 0, 0], [0, 0, 0, 6, 0, 0, 0], [0, 0, 0, 0, 3, 0, 0], [0, 0, 0, 0, 0, 3, 0], [0, 0, 0, 0, 0, 0, 3]];[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0];0.6591760299625468;0.6153008359570453;[[118, 9, 1, 40, 7, 46, 10], [3, 119, 10, 19, 0, 4, 0], [0, 4, 67, 4, 2, 112, 0], [4, 7, 4, 512, 4, 48, 8], [1, 11, 0, 126, 90, 55, 0], [1, 12, 3, 13, 0, 268, 7], [3, 6, 0, 5, 0, 48, 58]];[0.9076923076923077, 0.7083333333333334, 0.788235294117647, 0.7121001390820584, 0.8737864077669902, 0.4612736660929432, 0.6987951807228916];0.5850673194614443;0.48813299270875365;[[49, 4, 1, 19, 5, 23, 4, 1], [0, 51, 2, 8, 0, 5, 0, 0], [0, 0, 30, 2, 2, 92, 0, 0], [4, 2, 4, 213, 3, 17, 3, 0], [2, 8, 0, 59, 35, 24, 0, 0], [0, 3, 1, 11, 0, 72, 3, 0], [3, 1, 0, 2, 0, 21, 28, 0], [0, 0, 0, 0, 0, 0, 0, 0]];[0.8448275862068966, 0.7391304347826086, 0.7894736842105263, 0.678343949044586, 0.7777777777777778, 0.28346456692913385, 0.7368421052631579, 0.0];22.0;[2, 2, 3, 6, 3, 3, 3]
