dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Labeled class accuracies;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Unlabeled class accuracies;Test accuracy;Test macro-f1;Test confusion;Test class accuracies;Budget used;Class distrubution
Cora;own;medoids;0;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];[];0.04336329984135378;0.03544607648928664;[[15, 1, 5, 19, 3, 3, 20, 94, 6, 62, 17], [15, 0, 0, 3, 0, 0, 7, 110, 1, 11, 4], [2, 33, 2, 2, 0, 2, 5, 17, 0, 227, 2], [30, 15, 19, 35, 21, 45, 117, 141, 5, 116, 28], [8, 16, 14, 34, 6, 7, 9, 94, 1, 89, 20], [16, 0, 0, 57, 2, 6, 20, 75, 0, 31, 1], [1, 1, 0, 8, 5, 4, 18, 50, 0, 38, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]];[0.1724137931034483, 0.0, 0.05, 0.22151898734177214, 0.16216216216216217, 0.08955223880597014, 0.09183673469387756, 0.0, 0.0, 0.0, 0.0];0.04039167686658507;0.03453114193878958;[[5, 1, 0, 7, 4, 0, 7, 49, 0, 30, 3], [2, 1, 0, 0, 0, 2, 3, 48, 0, 8, 2], [0, 15, 1, 0, 0, 1, 1, 10, 0, 97, 1], [14, 5, 10, 15, 12, 11, 42, 52, 4, 67, 14], [4, 9, 8, 21, 1, 1, 3, 37, 1, 31, 12], [4, 0, 0, 24, 0, 1, 5, 40, 1, 14, 1], [0, 1, 0, 1, 7, 0, 9, 20, 0, 17, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]];[0.1724137931034483, 0.03125, 0.05263157894736842, 0.22058823529411764, 0.041666666666666664, 0.0625, 0.12857142857142856, 0.0, 0.0, 0.0, 0.0];0.0;[]
Cora;own;medoids;0;64;0.5;1;0.005;20795212.0;0.9090909090909091;0.9;[[1, 0, 0, 0], [0, 7, 0, 0], [0, 0, 1, 0], [0, 1, 0, 1]];[1.0, 0.875, 1.0, 1.0];0.373936170212766;0.20221755383419063;[[0, 0, 0, 243, 1, 1, 0], [0, 0, 0, 151, 0, 0, 0], [0, 0, 21, 268, 0, 2, 0], [0, 0, 3, 557, 4, 1, 0], [0, 0, 1, 239, 55, 2, 0], [0, 0, 1, 132, 3, 70, 0], [0, 0, 0, 120, 0, 5, 0]];[nan, nan, 0.8076923076923077, 0.32573099415204676, 0.873015873015873, 0.8641975308641975, nan];0.3818849449204406;0.2134919904991226;[[0, 0, 0, 106, 0, 0, 0], [0, 0, 0, 66, 0, 0, 0], [0, 0, 14, 112, 0, 0, 0], [0, 0, 1, 244, 1, 0, 0], [0, 0, 1, 104, 22, 1, 0], [1, 0, 1, 56, 0, 32, 0], [0, 0, 0, 52, 2, 1, 0]];[0.0, nan, 0.8235294117647058, 0.32972972972972975, 0.88, 0.9411764705882353, nan];11.0;[0, 0, 1, 7, 1, 2]
Cora;own;medoids;0;64;0.5;1;0.005;20795212.0;0.9545454545454546;0.9292929292929292;[[1, 0, 0, 0, 0, 1], [0, 1, 0, 0, 0, 0], [0, 0, 3, 0, 0, 0], [0, 0, 0, 9, 0, 0], [0, 0, 0, 0, 2, 0], [0, 0, 0, 0, 0, 5]];[1.0, 1.0, 1.0, 1.0, 1.0, 0.8333333333333334];0.5575173889780631;0.3281701290240621;[[65, 1, 12, 36, 1, 122, 0, 0, 6], [9, 23, 22, 48, 0, 47, 0, 1, 0], [4, 0, 212, 53, 0, 18, 0, 0, 2], [19, 0, 9, 492, 6, 35, 0, 1, 1], [6, 1, 4, 111, 66, 86, 0, 2, 20], [4, 0, 5, 10, 0, 184, 0, 0, 0], [5, 0, 2, 32, 0, 86, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0]];[0.5803571428571429, 0.92, 0.7969924812030075, 0.629156010230179, 0.9041095890410958, 0.31833910034602075, nan, 0.0, 0.0];0.5581395348837209;0.32694890342379995;[[32, 0, 3, 12, 1, 56, 0, 0, 2], [3, 6, 7, 28, 0, 21, 0, 1, 0], [1, 0, 97, 16, 0, 12, 0, 0, 0], [10, 0, 5, 208, 2, 19, 0, 0, 2], [4, 0, 1, 47, 32, 35, 0, 1, 8], [3, 0, 2, 4, 0, 81, 0, 0, 0], [0, 0, 2, 13, 0, 40, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0]];[0.6037735849056604, 1.0, 0.8290598290598291, 0.6341463414634146, 0.9142857142857143, 0.3068181818181818, nan, 0.0, 0.0];22.0;[2, 1, 3, 9, 2, 5]
Cora;own;medoids;0;64;0.5;1;0.005;20795212.0;0.9393939393939394;0.8924123495552067;[[2, 0, 0, 0, 0, 1, 0], [0, 3, 0, 0, 0, 0, 0], [0, 0, 5, 0, 0, 0, 0], [0, 0, 0, 10, 0, 0, 0], [0, 0, 0, 0, 4, 0, 0], [0, 0, 0, 0, 0, 6, 0], [0, 1, 0, 0, 0, 0, 1]];[1.0, 0.75, 1.0, 1.0, 1.0, 0.8571428571428571, 1.0];0.6447793326157158;0.38964934092115705;[[128, 18, 8, 25, 5, 54, 0, 2, 1, 1], [3, 106, 4, 28, 1, 6, 0, 0, 0, 0], [2, 8, 215, 50, 0, 8, 0, 2, 0, 2], [35, 11, 7, 479, 11, 17, 0, 1, 1, 0], [26, 9, 1, 95, 100, 53, 2, 6, 2, 0], [0, 20, 4, 9, 1, 167, 1, 0, 0, 0], [5, 14, 1, 32, 0, 64, 3, 2, 2, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0]];[0.6432160804020101, 0.5698924731182796, 0.8958333333333334, 0.6671309192200557, 0.847457627118644, 0.45257452574525747, 0.5, 0.0, 0.0, 0.0];0.631578947368421;0.37169232804418545;[[52, 15, 3, 12, 3, 21, 0, 0, 0, 0], [4, 43, 3, 14, 1, 1, 0, 0, 0, 0], [0, 6, 99, 15, 0, 5, 0, 0, 0, 1], [14, 1, 3, 208, 7, 13, 0, 0, 0, 0], [15, 6, 0, 38, 46, 21, 0, 1, 0, 1], [2, 14, 1, 3, 1, 68, 0, 0, 1, 0], [0, 5, 1, 13, 0, 35, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0]];[0.5977011494252874, 0.4777777777777778, 0.9, 0.6864686468646864, 0.7931034482758621, 0.4146341463414634, nan, 0.0, 0.0, 0.0];33.0;[3, 3, 5, 10, 4, 6, 2]
Cora;own;medoids;0;64;0.5;1;0.005;20795212.0;0.9428571428571428;0.8969474969474971;[[2, 0, 0, 0, 0, 1, 0], [0, 4, 0, 0, 0, 0, 0], [0, 0, 5, 0, 0, 0, 0], [0, 0, 0, 10, 0, 0, 0], [0, 0, 0, 0, 5, 0, 0], [0, 0, 0, 0, 0, 6, 0], [0, 1, 0, 0, 0, 0, 1]];[1.0, 0.8, 1.0, 1.0, 1.0, 0.8571428571428571, 1.0];0.6670258620689655;0.45313802419299926;[[131, 19, 4, 17, 5, 64, 0, 0, 2], [1, 127, 5, 10, 1, 3, 0, 0, 0], [1, 9, 228, 37, 0, 11, 0, 0, 1], [36, 23, 9, 451, 17, 20, 0, 1, 5], [27, 24, 3, 51, 124, 64, 0, 0, 0], [2, 12, 8, 7, 0, 173, 0, 0, 0], [5, 12, 2, 32, 0, 66, 4, 2, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0]];[0.645320197044335, 0.5619469026548672, 0.8803088803088803, 0.7454545454545455, 0.8435374149659864, 0.4314214463840399, 1.0, 0.0, 0.0];0.6376988984088128;0.427565335872551;[[50, 13, 3, 9, 2, 28, 0, 1, 0], [1, 51, 6, 5, 2, 1, 0, 0, 0], [0, 5, 101, 13, 0, 7, 0, 0, 0], [14, 9, 5, 187, 14, 16, 0, 1, 0], [3, 22, 0, 20, 55, 27, 0, 0, 1], [1, 7, 2, 3, 0, 76, 0, 0, 1], [3, 7, 1, 13, 0, 29, 1, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0]];[0.6944444444444444, 0.4473684210526316, 0.8559322033898306, 0.748, 0.7534246575342466, 0.41304347826086957, 1.0, 0.0, 0.0];35.0;[3, 4, 5, 10, 5, 6, 2]


Cora;own;medoids;0;64;0.5;1;0.005;649695571.0;0.0;0.0;[[]];[];0.20518244315177156;0.10076374595674085;[[20, 16, 137, 11, 9, 18, 4, 1, 5, 7, 17], [7, 13, 111, 0, 4, 0, 0, 8, 0, 4, 4], [5, 3, 254, 0, 2, 3, 0, 4, 0, 19, 2], [46, 96, 195, 35, 47, 31, 41, 28, 3, 10, 40], [4, 12, 73, 6, 39, 49, 28, 1, 7, 5, 74], [4, 22, 65, 14, 62, 12, 16, 2, 0, 0, 11], [4, 11, 41, 16, 20, 5, 15, 1, 3, 1, 8], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]];[0.2222222222222222, 0.07514450867052024, 0.2899543378995434, 0.4268292682926829, 0.21311475409836064, 0.1016949152542373, 0.14423076923076922, 0.0, 0.0, 0.0, 0.0];0.19706242350061198;0.09037029632792493;[[13, 7, 52, 1, 8, 7, 2, 1, 2, 1, 12], [4, 5, 39, 1, 0, 4, 1, 6, 0, 4, 2], [3, 2, 113, 0, 1, 0, 0, 3, 0, 3, 1], [23, 42, 85, 14, 17, 20, 17, 5, 1, 3, 19], [1, 3, 27, 1, 10, 31, 10, 0, 4, 2, 39], [2, 7, 27, 5, 32, 4, 9, 0, 0, 0, 4], [2, 4, 22, 4, 8, 8, 2, 0, 1, 0, 4], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]];[0.2708333333333333, 0.07142857142857142, 0.3095890410958904, 0.5384615384615384, 0.13157894736842105, 0.05405405405405406, 0.04878048780487805, 0.0, 0.0, 0.0, 0.0];0.0;[]
Cora;own;medoids;0;64;0.5;1;0.005;649695571.0;0.8181818181818182;0.8523809523809524;[[1, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0], [0, 0, 2, 0, 0, 0, 0], [1, 0, 0, 2, 0, 0, 0], [0, 0, 0, 0, 1, 0, 0], [1, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 1]];[0.3333333333333333, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0];0.36223404255319147;0.33953529523675247;[[233, 1, 6, 3, 0, 1, 0], [127, 3, 17, 1, 1, 0, 1], [63, 0, 223, 1, 3, 0, 0], [430, 4, 63, 40, 24, 1, 7], [171, 5, 13, 10, 91, 1, 6], [103, 0, 13, 4, 17, 68, 1], [83, 0, 11, 3, 4, 0, 23]];[0.1925619834710744, 0.23076923076923078, 0.6445086705202312, 0.6451612903225806, 0.65, 0.9577464788732394, 0.6052631578947368];0.3463892288861689;0.2830581759805369;[[100, 0, 1, 0, 5, 0, 0, 0], [55, 2, 7, 0, 1, 0, 1, 0], [31, 0, 91, 0, 4, 0, 0, 0], [186, 0, 29, 11, 15, 1, 2, 2], [66, 4, 14, 1, 42, 0, 1, 0], [48, 0, 5, 0, 9, 27, 1, 0], [38, 0, 4, 0, 3, 0, 10, 0], [0, 0, 0, 0, 0, 0, 0, 0]];[0.19083969465648856, 0.3333333333333333, 0.6026490066225165, 0.9166666666666666, 0.5316455696202531, 0.9642857142857143, 0.6666666666666666, 0.0];11.0;[1, 1, 2, 3, 1, 2, 1]
Cora;own;medoids;0;64;0.5;1;0.005;649695571.0;0.9090909090909091;0.874829931972789;[[1, 0, 0, 0, 1, 0, 0], [0, 1, 0, 1, 0, 0, 0], [0, 0, 3, 0, 0, 0, 0], [0, 0, 0, 7, 0, 0, 0], [0, 0, 0, 0, 3, 0, 0], [0, 0, 0, 0, 0, 3, 0], [0, 0, 0, 0, 0, 0, 2]];[1.0, 1.0, 1.0, 0.875, 0.75, 1.0, 1.0];0.5377207062600321;0.4149408162639066;[[1, 1, 4, 98, 125, 14, 0], [0, 7, 21, 90, 23, 8, 0], [0, 0, 231, 16, 20, 22, 0], [0, 0, 11, 454, 79, 19, 2], [0, 3, 6, 112, 144, 30, 0], [0, 0, 3, 38, 21, 143, 0], [0, 0, 5, 61, 25, 7, 25]];[1.0, 0.6363636363636364, 0.8220640569395018, 0.522439585730725, 0.3295194508009153, 0.588477366255144, 0.9259259259259259];0.5006119951040392;0.39584475142718195;[[1, 0, 0, 44, 53, 8, 0], [0, 5, 9, 44, 7, 1, 0], [0, 0, 92, 13, 9, 12, 0], [0, 0, 4, 190, 39, 13, 0], [0, 3, 0, 59, 51, 15, 0], [0, 0, 1, 25, 5, 59, 0], [0, 0, 5, 28, 5, 6, 11]];[1.0, 0.625, 0.8288288288288288, 0.47146401985111663, 0.30177514792899407, 0.5175438596491229, 1.0];22.0;[2, 2, 3, 7, 3, 3, 2]
