dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Labeled class accuracies;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Unlabeled class accuracies;Test accuracy;Test macro-f1;Test confusion;Test class accuracies;Budget used;Class distrubution
Cora;own;own;0.2;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];[];0.04336329984135378;0.03544607648928664;[[15, 1, 5, 19, 3, 3, 20, 94, 6, 62, 17], [15, 0, 0, 3, 0, 0, 7, 110, 1, 11, 4], [2, 33, 2, 2, 0, 2, 5, 17, 0, 227, 2], [30, 15, 19, 35, 21, 45, 117, 141, 5, 116, 28], [8, 16, 14, 34, 6, 7, 9, 94, 1, 89, 20], [16, 0, 0, 57, 2, 6, 20, 75, 0, 31, 1], [1, 1, 0, 8, 5, 4, 18, 50, 0, 38, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]];[0.1724137931034483, 0.0, 0.05, 0.22151898734177214, 0.16216216216216217, 0.08955223880597014, 0.09183673469387756, 0.0, 0.0, 0.0, 0.0];0.04039167686658507;0.03453114193878958;[[5, 1, 0, 7, 4, 0, 7, 49, 0, 30, 3], [2, 1, 0, 0, 0, 2, 3, 48, 0, 8, 2], [0, 15, 1, 0, 0, 1, 1, 10, 0, 97, 1], [14, 5, 10, 15, 12, 11, 42, 52, 4, 67, 14], [4, 9, 8, 21, 1, 1, 3, 37, 1, 31, 12], [4, 0, 0, 24, 0, 1, 5, 40, 1, 14, 1], [0, 1, 0, 1, 7, 0, 9, 20, 0, 17, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]];[0.1724137931034483, 0.03125, 0.05263157894736842, 0.22058823529411764, 0.041666666666666664, 0.0625, 0.12857142857142856, 0.0, 0.0, 0.0, 0.0];0.0;[]
Cora;own;own;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;[[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 5, 0, 0], [0, 0, 0, 1, 0], [0, 0, 0, 0, 3]];[1.0, 1.0, 1.0, 1.0, 1.0];0.40106382978723404;0.34594784744595236;[[15, 0, 7, 0, 18, 0, 196], [0, 0, 7, 0, 5, 3, 133], [4, 0, 247, 0, 5, 0, 34], [76, 0, 31, 0, 228, 3, 216], [0, 0, 0, 0, 258, 2, 36], [0, 0, 5, 0, 3, 82, 110], [0, 0, 3, 0, 1, 0, 152]];[0.15789473684210525, nan, 0.8233333333333334, nan, 0.4980694980694981, 0.9111111111111111, 0.1733181299885975];0.37209302325581395;0.3200689301543246;[[2, 0, 1, 0, 7, 0, 96], [0, 0, 3, 0, 5, 2, 56], [0, 0, 105, 0, 1, 0, 20], [30, 0, 7, 0, 96, 2, 111], [0, 0, 0, 0, 114, 3, 11], [0, 0, 1, 0, 2, 31, 56], [0, 0, 3, 0, 0, 0, 52]];[0.0625, nan, 0.875, nan, 0.5066666666666667, 0.8157894736842105, 0.12935323383084577];11.0;[1, 0, 1, 0, 5, 1, 3]
Cora;own;own;0.2;64;0.5;1;0.005;20795212.0;0.9090909090909091;0.7414965986394557;[[1, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 1, 0], [0, 0, 4, 0, 0, 0, 0], [0, 0, 0, 5, 0, 0, 0], [0, 0, 0, 0, 6, 0, 0], [0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 3]];[1.0, nan, 1.0, 1.0, 1.0, 0.5, 0.75];0.6548956661316212;0.6136915182714741;[[17, 4, 14, 33, 18, 5, 142], [0, 106, 13, 9, 6, 1, 11], [0, 0, 272, 3, 0, 2, 8], [37, 4, 43, 350, 86, 4, 46], [0, 1, 0, 8, 253, 2, 26], [1, 13, 18, 0, 2, 104, 55], [0, 1, 19, 10, 0, 0, 122]];[0.3090909090909091, 0.8217054263565892, 0.7176781002638523, 0.847457627118644, 0.6931506849315069, 0.8813559322033898, 0.2975609756097561];0.616891064871481;0.567040701736503;[[1, 2, 5, 17, 8, 5, 68], [0, 46, 6, 5, 2, 1, 6], [0, 0, 122, 2, 0, 0, 2], [23, 1, 13, 137, 43, 1, 28], [0, 2, 0, 2, 113, 5, 6], [0, 7, 10, 2, 1, 43, 27], [0, 0, 13, 0, 0, 0, 42]];[0.041666666666666664, 0.7931034482758621, 0.7218934911242604, 0.8303030303030303, 0.6766467065868264, 0.7818181818181819, 0.2346368715083799];22.0;[2, 1, 4, 5, 6, 1, 3]
Cora;own;own;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;[[4, 0, 0, 0, 0, 0, 0], [0, 2, 0, 0, 0, 0, 0], [0, 0, 5, 0, 0, 0, 0], [0, 0, 0, 8, 0, 0, 0], [0, 0, 0, 0, 8, 0, 0], [0, 0, 0, 0, 0, 3, 0], [0, 0, 0, 0, 0, 0, 3]];[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0];0.7578040904198062;0.7464711299414258;[[156, 3, 4, 17, 8, 35, 18], [2, 116, 7, 8, 0, 3, 1], [0, 1, 254, 10, 0, 10, 2], [54, 6, 20, 403, 32, 26, 15], [22, 3, 0, 18, 216, 12, 11], [10, 13, 5, 4, 1, 177, 15], [5, 0, 4, 21, 0, 24, 86]];[0.6265060240963856, 0.8169014084507042, 0.8639455782312925, 0.8378378378378378, 0.8404669260700389, 0.6167247386759582, 0.581081081081081];0.7282741738066095;0.707336703904781;[[60, 2, 1, 4, 3, 19, 17], [0, 53, 3, 4, 0, 2, 4], [0, 0, 113, 9, 0, 3, 1], [25, 8, 8, 164, 16, 15, 10], [4, 4, 0, 7, 103, 7, 3], [5, 5, 1, 2, 1, 69, 7], [2, 0, 6, 2, 0, 12, 33]];[0.625, 0.7361111111111112, 0.8560606060606061, 0.8541666666666666, 0.8373983739837398, 0.5433070866141733, 0.44];33.0;[4, 2, 5, 8, 8, 3, 3]
Cora;own;own;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;[[4, 0, 0, 0, 0, 0, 0], [0, 3, 0, 0, 0, 0, 0], [0, 0, 6, 0, 0, 0, 0], [0, 0, 0, 8, 0, 0, 0], [0, 0, 0, 0, 8, 0, 0], [0, 0, 0, 0, 0, 3, 0], [0, 0, 0, 0, 0, 0, 3]];[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0];0.7580818965517241;0.7449853142804249;[[152, 4, 6, 19, 5, 33, 22], [2, 120, 8, 10, 0, 2, 1], [0, 1, 254, 12, 0, 7, 2], [49, 13, 25, 405, 28, 18, 16], [20, 3, 0, 23, 214, 10, 12], [5, 14, 2, 8, 2, 175, 14], [6, 1, 4, 22, 0, 20, 87]];[0.6495726495726496, 0.7692307692307693, 0.8494983277591973, 0.811623246492986, 0.8594377510040161, 0.660377358490566, 0.564935064935065];0.7184822521419829;0.6962656985447037;[[59, 2, 2, 4, 2, 18, 19], [0, 53, 3, 4, 0, 2, 4], [0, 1, 114, 9, 0, 1, 1], [22, 9, 14, 163, 17, 12, 9], [6, 5, 0, 9, 99, 6, 3], [6, 8, 1, 1, 1, 65, 8], [1, 1, 7, 5, 0, 7, 34]];[0.6276595744680851, 0.6708860759493671, 0.8085106382978723, 0.8358974358974359, 0.8319327731092437, 0.5855855855855856, 0.4358974358974359];35.0;[4, 3, 6, 8, 8, 3, 3]


Cora;own;own;0.2;64;0.5;1;0.005;649695571.0;0.0;0.0;[[]];[];0.20518244315177156;0.10076374595674085;[[20, 16, 137, 11, 9, 18, 4, 1, 5, 7, 17], [7, 13, 111, 0, 4, 0, 0, 8, 0, 4, 4], [5, 3, 254, 0, 2, 3, 0, 4, 0, 19, 2], [46, 96, 195, 35, 47, 31, 41, 28, 3, 10, 40], [4, 12, 73, 6, 39, 49, 28, 1, 7, 5, 74], [4, 22, 65, 14, 62, 12, 16, 2, 0, 0, 11], [4, 11, 41, 16, 20, 5, 15, 1, 3, 1, 8], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]];[0.2222222222222222, 0.07514450867052024, 0.2899543378995434, 0.4268292682926829, 0.21311475409836064, 0.1016949152542373, 0.14423076923076922, 0.0, 0.0, 0.0, 0.0];0.19706242350061198;0.09037029632792493;[[13, 7, 52, 1, 8, 7, 2, 1, 2, 1, 12], [4, 5, 39, 1, 0, 4, 1, 6, 0, 4, 2], [3, 2, 113, 0, 1, 0, 0, 3, 0, 3, 1], [23, 42, 85, 14, 17, 20, 17, 5, 1, 3, 19], [1, 3, 27, 1, 10, 31, 10, 0, 4, 2, 39], [2, 7, 27, 5, 32, 4, 9, 0, 0, 0, 4], [2, 4, 22, 4, 8, 8, 2, 0, 1, 0, 4], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]];[0.2708333333333333, 0.07142857142857142, 0.3095890410958904, 0.5384615384615384, 0.13157894736842105, 0.05405405405405406, 0.04878048780487805, 0.0, 0.0, 0.0, 0.0];0.0;[]
Cora;own;own;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;[[1, 0, 0, 0, 0, 0], [0, 2, 0, 0, 0, 0], [0, 0, 4, 0, 0, 0], [0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 2, 0], [0, 0, 0, 0, 0, 1]];[1.0, 1.0, 1.0, 1.0, 1.0, 1.0];0.5069148936170212;0.3878438139911496;[[0, 6, 2, 200, 0, 2, 6], [0, 130, 13, 13, 0, 0, 1], [0, 9, 100, 13, 1, 164, 0], [0, 30, 11, 556, 0, 21, 7], [0, 13, 0, 244, 6, 22, 5], [0, 4, 1, 51, 0, 133, 6], [0, 3, 1, 60, 0, 18, 28]];[nan, 0.6666666666666666, 0.78125, 0.4890061565523307, 0.8571428571428571, 0.36944444444444446, 0.5283018867924528];0.4602203182374541;0.341704492969127;[[0, 3, 0, 99, 0, 1, 3], [0, 56, 3, 7, 0, 0, 0], [0, 9, 36, 7, 1, 73, 0], [0, 12, 6, 221, 0, 4, 3], [0, 11, 0, 100, 4, 10, 3], [0, 5, 1, 28, 0, 51, 5], [0, 1, 1, 34, 0, 11, 8]];[nan, 0.5773195876288659, 0.7659574468085106, 0.44556451612903225, 0.8, 0.34, 0.36363636363636365];11.0;[0, 1, 2, 4, 1, 2, 1]
Cora;own;own;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;[[3, 0, 0, 0, 0, 0], [0, 4, 0, 0, 0, 0], [0, 0, 6, 0, 0, 0], [0, 0, 0, 3, 0, 0], [0, 0, 0, 0, 5, 0], [0, 0, 0, 0, 0, 1]];[1.0, 1.0, 1.0, 1.0, 1.0, 1.0];0.6190476190476191;0.5183817822033769;[[0, 11, 10, 170, 1, 16, 3], [0, 131, 25, 5, 1, 1, 1], [0, 2, 285, 2, 0, 0, 0], [0, 43, 78, 471, 10, 14, 1], [0, 25, 6, 122, 106, 21, 4], [0, 9, 13, 28, 0, 143, 2], [0, 12, 12, 49, 0, 15, 21]];[nan, 0.5622317596566524, 0.6643356643356644, 0.5560802833530106, 0.8983050847457628, 0.680952380952381, 0.65625];0.5813953488372093;0.48639769949289624;[[0, 3, 7, 84, 0, 10, 2], [0, 52, 9, 4, 1, 0, 0], [0, 0, 125, 0, 0, 1, 0], [0, 19, 31, 187, 5, 3, 1], [0, 15, 5, 48, 48, 10, 2], [0, 5, 7, 20, 0, 55, 3], [0, 1, 12, 26, 0, 8, 8]];[nan, 0.5473684210526316, 0.6377551020408163, 0.5067750677506775, 0.8888888888888888, 0.632183908045977, 0.5];22.0;[0, 3, 4, 6, 3, 5, 1]
