dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Labeled class accuracies;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Unlabeled class accuracies;Test accuracy;Test macro-f1;Test confusion;Test class accuracies;Budget used;Class distrubution
Cora;own;own;0;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];[];0.04336329984135378;0.03544607648928664;[[15, 1, 5, 19, 3, 3, 20, 94, 6, 62, 17], [15, 0, 0, 3, 0, 0, 7, 110, 1, 11, 4], [2, 33, 2, 2, 0, 2, 5, 17, 0, 227, 2], [30, 15, 19, 35, 21, 45, 117, 141, 5, 116, 28], [8, 16, 14, 34, 6, 7, 9, 94, 1, 89, 20], [16, 0, 0, 57, 2, 6, 20, 75, 0, 31, 1], [1, 1, 0, 8, 5, 4, 18, 50, 0, 38, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]];[0.1724137931034483, 0.0, 0.05, 0.22151898734177214, 0.16216216216216217, 0.08955223880597014, 0.09183673469387756, 0.0, 0.0, 0.0, 0.0];0.04039167686658507;0.03453114193878958;[[5, 1, 0, 7, 4, 0, 7, 49, 0, 30, 3], [2, 1, 0, 0, 0, 2, 3, 48, 0, 8, 2], [0, 15, 1, 0, 0, 1, 1, 10, 0, 97, 1], [14, 5, 10, 15, 12, 11, 42, 52, 4, 67, 14], [4, 9, 8, 21, 1, 1, 3, 37, 1, 31, 12], [4, 0, 0, 24, 0, 1, 5, 40, 1, 14, 1], [0, 1, 0, 1, 7, 0, 9, 20, 0, 17, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]];[0.1724137931034483, 0.03125, 0.05263157894736842, 0.22058823529411764, 0.041666666666666664, 0.0625, 0.12857142857142856, 0.0, 0.0, 0.0, 0.0];0.0;[]
Cora;own;own;0;64;0.5;1;0.005;20795212.0;1.0;1.0;[[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 5, 0, 0], [0, 0, 0, 1, 0], [0, 0, 0, 0, 3]];[1.0, 1.0, 1.0, 1.0, 1.0];0.2473404255319149;0.19588174502835135;[[1, 0, 0, 0, 43, 0, 200], [0, 0, 4, 0, 46, 0, 101], [3, 0, 91, 0, 45, 0, 152], [75, 0, 11, 0, 319, 5, 162], [0, 0, 0, 0, 246, 3, 44], [0, 0, 1, 0, 26, 31, 149], [0, 0, 4, 0, 22, 0, 96]];[0.012658227848101266, nan, 0.8198198198198198, nan, 0.3293172690763052, 0.7948717948717948, 0.10619469026548672];0.2717258261933905;0.21445328847061856;[[1, 0, 0, 0, 16, 0, 89], [0, 0, 0, 0, 22, 0, 44], [0, 0, 46, 0, 16, 0, 64], [31, 0, 3, 0, 132, 2, 78], [0, 0, 0, 0, 114, 0, 14], [1, 0, 0, 0, 12, 13, 64], [0, 0, 4, 0, 3, 0, 48]];[0.030303030303030304, nan, 0.8679245283018868, nan, 0.3619047619047619, 0.8666666666666667, 0.11970074812967581];11.0;[1, 0, 1, 0, 5, 1, 3]
Cora;own;own;0;64;0.5;1;0.005;20795212.0;0.7727272727272727;0.7155844155844155;[[1, 0, 0, 0, 0, 0, 1], [0, 1, 0, 0, 0, 0, 1], [0, 1, 1, 0, 0, 0, 0], [0, 0, 0, 2, 1, 0, 0], [0, 0, 0, 0, 5, 0, 0], [0, 0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 0, 0, 6]];[1.0, 0.5, 1.0, 1.0, 0.8333333333333334, 1.0, 0.6666666666666666];0.26324237560192615;0.20352930111888076;[[0, 0, 0, 0, 15, 0, 228], [0, 6, 0, 0, 16, 0, 127], [0, 79, 16, 2, 12, 0, 181], [40, 17, 0, 101, 119, 0, 292], [0, 0, 0, 1, 238, 1, 53], [0, 1, 0, 7, 4, 12, 182], [0, 0, 0, 0, 0, 0, 119]];[0.0, 0.05825242718446602, 1.0, 0.9099099099099099, 0.5891089108910891, 0.9230769230769231, 0.10067681895093063];0.23378212974296206;0.18079059245572654;[[0, 0, 0, 0, 5, 0, 101], [0, 2, 0, 1, 5, 0, 58], [0, 28, 10, 2, 3, 0, 83], [23, 6, 0, 24, 54, 1, 138], [0, 0, 0, 1, 97, 1, 29], [0, 1, 0, 3, 2, 3, 81], [0, 0, 0, 0, 0, 0, 55]];[0.0, 0.05405405405405406, 1.0, 0.7741935483870968, 0.5843373493975904, 0.6, 0.10091743119266056];22.0;[2, 2, 2, 3, 5, 2, 6]
Cora;own;own;0;64;0.5;1;0.005;20795212.0;0.9393939393939394;0.944047619047619;[[2, 0, 0, 0, 1, 0, 0], [0, 3, 0, 0, 0, 0, 0], [0, 0, 3, 0, 0, 0, 0], [0, 0, 0, 7, 1, 0, 0], [0, 0, 0, 0, 7, 0, 0], [0, 0, 0, 0, 0, 3, 0], [0, 0, 0, 0, 0, 0, 6]];[1.0, 1.0, 1.0, 1.0, 0.7777777777777778, 1.0, 1.0];0.5796555435952637;0.4230184233438494;[[61, 50, 0, 11, 48, 6, 65, 0, 1], [1, 95, 3, 17, 25, 6, 1, 0, 0], [0, 179, 76, 25, 5, 3, 1, 0, 0], [26, 27, 3, 382, 110, 4, 12, 0, 0], [4, 11, 0, 21, 240, 4, 10, 1, 0], [0, 29, 1, 23, 4, 125, 22, 0, 1], [0, 4, 0, 10, 0, 6, 98, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0]];[0.6630434782608695, 0.24050632911392406, 0.9156626506024096, 0.7811860940695297, 0.5555555555555556, 0.8116883116883117, 0.4688995215311005, 0.0, 0.0];0.5850673194614443;0.5568025035066745;[[26, 27, 0, 4, 18, 1, 30], [2, 43, 1, 7, 8, 3, 2], [0, 78, 40, 6, 2, 0, 0], [18, 15, 3, 158, 46, 4, 2], [1, 4, 2, 8, 110, 1, 2], [1, 12, 0, 12, 1, 55, 9], [0, 2, 0, 5, 0, 2, 46]];[0.5416666666666666, 0.23756906077348067, 0.8695652173913043, 0.79, 0.5945945945945946, 0.8333333333333334, 0.5054945054945055];33.0;[3, 3, 3, 8, 7, 3, 6]
Cora;own;own;0;64;0.5;1;0.005;20795212.0;0.9714285714285714;0.980952380952381;[[3, 0, 0, 0, 0, 0, 0], [0, 3, 0, 0, 0, 0, 0], [0, 0, 4, 0, 0, 0, 0], [0, 0, 0, 7, 1, 0, 0], [0, 0, 0, 0, 7, 0, 0], [0, 0, 0, 0, 0, 3, 0], [0, 0, 0, 0, 0, 0, 7]];[1.0, 1.0, 1.0, 1.0, 0.875, 1.0, 1.0];0.6384698275862069;0.418933610749348;[[141, 7, 1, 19, 9, 9, 56, 0, 0, 0], [9, 80, 3, 15, 8, 18, 3, 11, 1, 0], [8, 159, 75, 29, 3, 5, 4, 2, 0, 3], [41, 11, 4, 446, 39, 8, 15, 0, 0, 0], [20, 2, 0, 49, 201, 8, 10, 1, 0, 0], [11, 4, 0, 12, 2, 140, 35, 1, 0, 0], [3, 0, 0, 4, 0, 9, 102, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0]];[0.6051502145922747, 0.3041825095057034, 0.9036144578313253, 0.7770034843205574, 0.767175572519084, 0.7106598984771574, 0.4533333333333333, 0.0, 0.0, 0.0];0.6389228886168911;0.47645758746545486;[[59, 6, 0, 7, 3, 2, 29, 0, 0], [2, 40, 0, 7, 2, 4, 3, 8, 0], [4, 64, 41, 8, 2, 1, 3, 0, 3], [16, 7, 4, 182, 27, 6, 4, 0, 0], [6, 1, 3, 17, 92, 3, 5, 1, 0], [8, 0, 0, 9, 0, 57, 15, 1, 0], [0, 0, 0, 2, 0, 2, 51, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0]];[0.6210526315789474, 0.3389830508474576, 0.8541666666666666, 0.7844827586206896, 0.7301587301587301, 0.76, 0.4636363636363636, 0.0, 0.0];35.0;[3, 3, 4, 8, 7, 3, 7]


Cora;own;own;0;64;0.5;1;0.005;649695571.0;0.0;0.0;[[]];[];0.20518244315177156;0.10076374595674085;[[20, 16, 137, 11, 9, 18, 4, 1, 5, 7, 17], [7, 13, 111, 0, 4, 0, 0, 8, 0, 4, 4], [5, 3, 254, 0, 2, 3, 0, 4, 0, 19, 2], [46, 96, 195, 35, 47, 31, 41, 28, 3, 10, 40], [4, 12, 73, 6, 39, 49, 28, 1, 7, 5, 74], [4, 22, 65, 14, 62, 12, 16, 2, 0, 0, 11], [4, 11, 41, 16, 20, 5, 15, 1, 3, 1, 8], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]];[0.2222222222222222, 0.07514450867052024, 0.2899543378995434, 0.4268292682926829, 0.21311475409836064, 0.1016949152542373, 0.14423076923076922, 0.0, 0.0, 0.0, 0.0];0.19706242350061198;0.09037029632792493;[[13, 7, 52, 1, 8, 7, 2, 1, 2, 1, 12], [4, 5, 39, 1, 0, 4, 1, 6, 0, 4, 2], [3, 2, 113, 0, 1, 0, 0, 3, 0, 3, 1], [23, 42, 85, 14, 17, 20, 17, 5, 1, 3, 19], [1, 3, 27, 1, 10, 31, 10, 0, 4, 2, 39], [2, 7, 27, 5, 32, 4, 9, 0, 0, 0, 4], [2, 4, 22, 4, 8, 8, 2, 0, 1, 0, 4], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]];[0.2708333333333333, 0.07142857142857142, 0.3095890410958904, 0.5384615384615384, 0.13157894736842105, 0.05405405405405406, 0.04878048780487805, 0.0, 0.0, 0.0, 0.0];0.0;[]
Cora;own;own;0;64;0.5;1;0.005;649695571.0;0.7272727272727273;0.8055555555555555;[[1, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 0], [0, 1, 3, 0, 0, 0], [0, 0, 0, 1, 0, 0], [0, 0, 1, 0, 1, 0], [0, 0, 0, 0, 0, 1]];[1.0, 0.5, 0.6, 1.0, 1.0, 1.0];0.4223404255319149;0.3032591929967512;[[0, 0, 0, 242, 0, 0, 3], [0, 75, 12, 62, 0, 1, 0], [0, 0, 130, 152, 2, 6, 0], [0, 7, 3, 551, 1, 6, 0], [0, 2, 0, 283, 12, 0, 0], [0, 1, 3, 191, 0, 11, 0], [0, 1, 1, 106, 1, 0, 15]];[nan, 0.872093023255814, 0.87248322147651, 0.34719596723377444, 0.75, 0.4583333333333333, 0.8333333333333334];0.4112607099143207;0.28959434893675845;[[0, 1, 0, 105, 0, 0, 0], [0, 30, 5, 31, 0, 0, 0], [0, 1, 49, 72, 2, 2, 0], [0, 3, 1, 239, 3, 0, 0], [0, 3, 0, 119, 6, 0, 0], [0, 1, 1, 83, 0, 5, 0], [0, 1, 0, 47, 0, 0, 7]];[nan, 0.75, 0.875, 0.34339080459770116, 0.5454545454545454, 0.7142857142857143, 1.0];11.0;[0, 1, 2, 4, 1, 2, 1]
Cora;own;own;0;64;0.5;1;0.005;649695571.0;0.8636363636363636;0.8793650793650795;[[1, 0, 0, 0, 0, 0, 0], [0, 1, 0, 1, 0, 0, 0], [0, 0, 4, 1, 0, 0, 0], [0, 0, 0, 8, 0, 0, 0], [0, 0, 0, 0, 2, 0, 0], [0, 0, 1, 0, 0, 2, 0], [0, 0, 0, 0, 0, 0, 1]];[1.0, 1.0, 0.8, 0.8, 1.0, 1.0, 1.0];0.5296950240770465;0.4238384833636443;[[2, 0, 1, 239, 0, 2, 0], [0, 84, 16, 48, 0, 1, 0], [0, 0, 246, 41, 0, 0, 0], [0, 4, 13, 543, 0, 4, 0], [0, 4, 0, 262, 25, 1, 4], [4, 4, 21, 100, 0, 75, 1], [0, 6, 10, 87, 2, 4, 15]];[0.3333333333333333, 0.8235294117647058, 0.8013029315960912, 0.4113636363636364, 0.9259259259259259, 0.8620689655172413, 0.75];0.5250917992656059;0.4152155787922684;[[0, 1, 2, 102, 0, 1, 0], [0, 34, 4, 27, 0, 1, 0], [0, 0, 107, 19, 0, 0, 0], [0, 1, 7, 238, 0, 0, 0], [0, 4, 2, 110, 11, 0, 1], [3, 3, 7, 45, 0, 32, 0], [0, 3, 2, 42, 0, 1, 7]];[0.0, 0.7391304347826086, 0.816793893129771, 0.40823327615780447, 1.0, 0.9142857142857143, 0.875];22.0;[1, 2, 5, 8, 2, 3, 1]
Cora;own;own;0;64;0.5;1;0.005;649695571.0;0.9393939393939394;0.9490796318527411;[[1, 0, 0, 0, 0, 0, 0], [0, 4, 0, 0, 0, 0, 0], [0, 0, 8, 0, 0, 0, 0], [0, 0, 0, 10, 0, 0, 0], [0, 0, 0, 0, 2, 0, 0], [0, 0, 1, 1, 0, 3, 0], [0, 0, 0, 0, 0, 0, 3]];[1.0, 1.0, 0.8888888888888888, 0.9090909090909091, 1.0, 1.0, 1.0];0.5667384284176534;0.47019893774454724;[[1, 13, 10, 217, 0, 3, 0], [0, 114, 19, 14, 0, 0, 0], [0, 0, 277, 7, 0, 0, 0], [0, 15, 38, 503, 0, 6, 0], [0, 12, 4, 243, 31, 0, 6], [1, 6, 31, 61, 0, 100, 4], [0, 22, 5, 62, 0, 6, 27]];[0.5, 0.6263736263736264, 0.7213541666666666, 0.45438121047877145, 1.0, 0.8695652173913043, 0.7297297297297297];0.5630354957160343;0.45827934414782606;[[1, 6, 2, 96, 0, 1, 0], [0, 54, 6, 6, 0, 0, 0], [0, 2, 119, 5, 0, 0, 0], [0, 6, 17, 223, 0, 0, 0], [0, 7, 3, 105, 12, 0, 1], [0, 7, 10, 32, 0, 41, 0], [0, 14, 1, 27, 0, 3, 10]];[1.0, 0.5625, 0.7531645569620253, 0.451417004048583, 1.0, 0.9111111111111111, 0.9090909090909091];33.0;[1, 4, 8, 10, 2, 5, 3]
