dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Labeled class accuracies;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Unlabeled class accuracies;Test accuracy;Test macro-f1;Test confusion;Test class accuracies;Budget used;Class distrubution
Cora;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];[];0.04336329984135378;0.03544607648928664;[[15, 1, 5, 19, 3, 3, 20, 94, 6, 62, 17], [15, 0, 0, 3, 0, 0, 7, 110, 1, 11, 4], [2, 33, 2, 2, 0, 2, 5, 17, 0, 227, 2], [30, 15, 19, 35, 21, 45, 117, 141, 5, 116, 28], [8, 16, 14, 34, 6, 7, 9, 94, 1, 89, 20], [16, 0, 0, 57, 2, 6, 20, 75, 0, 31, 1], [1, 1, 0, 8, 5, 4, 18, 50, 0, 38, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]];[0.1724137931034483, 0.0, 0.05, 0.22151898734177214, 0.16216216216216217, 0.08955223880597014, 0.09183673469387756, 0.0, 0.0, 0.0, 0.0];0.04039167686658507;0.03453114193878958;[[5, 1, 0, 7, 4, 0, 7, 49, 0, 30, 3], [2, 1, 0, 0, 0, 2, 3, 48, 0, 8, 2], [0, 15, 1, 0, 0, 1, 1, 10, 0, 97, 1], [14, 5, 10, 15, 12, 11, 42, 52, 4, 67, 14], [4, 9, 8, 21, 1, 1, 3, 37, 1, 31, 12], [4, 0, 0, 24, 0, 1, 5, 40, 1, 14, 1], [0, 1, 0, 1, 7, 0, 9, 20, 0, 17, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]];[0.1724137931034483, 0.03125, 0.05263157894736842, 0.22058823529411764, 0.041666666666666664, 0.0625, 0.12857142857142856, 0.0, 0.0, 0.0, 0.0];0.0;[]
Cora;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;[[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 2, 0, 0], [0, 0, 0, 5, 0], [0, 0, 0, 0, 2]];[1.0, 1.0, 1.0, 1.0, 1.0];0.23351063829787233;0.11941772861570242;[[15, 0, 0, 0, 36, 0, 176, 0, 0], [50, 8, 0, 0, 14, 0, 75, 2, 1], [191, 0, 0, 0, 9, 0, 87, 0, 0], [25, 1, 0, 25, 245, 1, 271, 0, 1], [0, 0, 0, 0, 244, 0, 51, 0, 0], [4, 0, 0, 0, 3, 0, 192, 0, 0], [6, 0, 0, 0, 0, 0, 147, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0]];[0.05154639175257732, 0.8888888888888888, nan, 1.0, 0.44283121597096187, 0.0, 0.14714714714714713, 0.0, 0.0];0.2178702570379437;0.1255540326822004;[[6, 0, 0, 0, 14, 0, 86, 0], [21, 3, 0, 0, 8, 0, 33, 1], [67, 0, 0, 0, 8, 0, 51, 0], [10, 0, 0, 10, 104, 1, 121, 0], [0, 0, 0, 0, 109, 0, 19, 0], [2, 0, 0, 0, 2, 0, 86, 0], [5, 0, 0, 0, 0, 0, 50, 0], [0, 0, 0, 0, 0, 0, 0, 0]];[0.05405405405405406, 1.0, nan, 1.0, 0.4448979591836735, 0.0, 0.11210762331838565, 0.0];11.0;[1, 1, 0, 2, 5, 0, 2]
Cora;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;[[1, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0], [0, 0, 4, 0, 0, 0, 0], [0, 0, 0, 4, 0, 0, 0], [0, 0, 0, 0, 6, 0, 0], [0, 0, 0, 0, 0, 3, 0], [0, 0, 0, 0, 0, 0, 3]];[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0];0.5104333868378812;0.4559757681895576;[[13, 2, 25, 14, 20, 0, 150], [5, 17, 32, 0, 8, 0, 79], [13, 0, 311, 1, 3, 0, 10], [8, 3, 260, 158, 36, 8, 55], [0, 1, 8, 29, 203, 9, 38], [0, 0, 11, 0, 1, 119, 61], [0, 0, 22, 0, 1, 2, 133]];[0.3333333333333333, 0.7391304347826086, 0.4648729446935725, 0.7821782178217822, 0.7463235294117647, 0.8623188405797102, 0.25285171102661597];0.44063647490820074;0.3863389495667172;[[3, 0, 13, 5, 8, 0, 77], [2, 4, 19, 0, 5, 0, 36], [3, 0, 119, 0, 0, 0, 4], [4, 2, 131, 50, 21, 3, 35], [0, 1, 8, 7, 92, 5, 15], [0, 1, 5, 0, 1, 49, 34], [0, 0, 10, 0, 1, 1, 43]];[0.25, 0.5, 0.3901639344262295, 0.8064516129032258, 0.71875, 0.8448275862068966, 0.1762295081967213];22.0;[1, 1, 4, 4, 6, 3, 3]
Cora;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;[[2, 0, 0, 0, 0, 0, 0], [0, 2, 0, 0, 0, 0, 0], [0, 0, 7, 0, 0, 0, 0], [0, 0, 0, 6, 0, 0, 0], [0, 0, 0, 0, 7, 0, 0], [0, 0, 0, 0, 0, 5, 0], [0, 0, 0, 0, 0, 0, 4]];[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0];0.6420882669537137;0.6484408603312578;[[91, 6, 16, 32, 7, 2, 59], [3, 114, 23, 0, 3, 0, 3], [3, 2, 319, 0, 2, 0, 2], [15, 24, 215, 208, 47, 11, 15], [3, 5, 19, 28, 223, 1, 12], [2, 8, 19, 1, 1, 130, 37], [1, 15, 17, 2, 1, 3, 108]];[0.7711864406779662, 0.6551724137931034, 0.5079617834394905, 0.7675276752767528, 0.7852112676056338, 0.8843537414965986, 0.4576271186440678];0.5789473684210527;0.5935582075835771;[[35, 3, 15, 14, 6, 0, 33], [1, 51, 10, 2, 1, 0, 1], [1, 0, 124, 0, 0, 0, 1], [9, 8, 119, 66, 26, 3, 15], [0, 6, 9, 9, 99, 3, 2], [3, 4, 8, 0, 1, 58, 16], [0, 1, 11, 0, 1, 2, 40]];[0.7142857142857143, 0.6986301369863014, 0.4189189189189189, 0.7252747252747253, 0.7388059701492538, 0.8787878787878788, 0.37037037037037035];33.0;[2, 2, 7, 6, 7, 5, 4]
Cora;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;[[2, 0, 0, 0, 0, 0, 0], [0, 2, 0, 0, 0, 0, 0], [0, 0, 7, 0, 0, 0, 0], [0, 0, 0, 8, 0, 0, 0], [0, 0, 0, 0, 7, 0, 0], [0, 0, 0, 0, 0, 5, 0], [0, 0, 0, 0, 0, 0, 4]];[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0];0.6966594827586207;0.6874195416234381;[[92, 4, 8, 42, 6, 4, 47], [3, 114, 22, 3, 1, 0, 2], [2, 2, 316, 2, 3, 0, 2], [16, 18, 126, 332, 41, 8, 14], [1, 3, 13, 42, 204, 3, 15], [1, 7, 12, 9, 1, 126, 42], [2, 17, 12, 4, 1, 2, 109]];[0.7863247863247863, 0.6909090909090909, 0.6208251473477406, 0.7649769585253456, 0.7937743190661478, 0.8811188811188811, 0.47186147186147187];0.6474908200734394;0.6427540257685082;[[36, 3, 11, 24, 4, 0, 28], [1, 52, 9, 3, 0, 0, 1], [1, 0, 123, 1, 0, 0, 1], [10, 6, 70, 128, 19, 3, 10], [0, 6, 3, 16, 94, 4, 5], [3, 5, 5, 5, 0, 56, 16], [0, 1, 10, 1, 1, 2, 40]];[0.7058823529411765, 0.7123287671232876, 0.5324675324675324, 0.7191011235955056, 0.7966101694915254, 0.8615384615384616, 0.39603960396039606];35.0;[2, 2, 7, 8, 7, 5, 4]


Cora;own;pagerank;0.2;64;0.5;1;0.005;649695571.0;0.0;0.0;[[]];[];0.20518244315177156;0.10076374595674085;[[20, 16, 137, 11, 9, 18, 4, 1, 5, 7, 17], [7, 13, 111, 0, 4, 0, 0, 8, 0, 4, 4], [5, 3, 254, 0, 2, 3, 0, 4, 0, 19, 2], [46, 96, 195, 35, 47, 31, 41, 28, 3, 10, 40], [4, 12, 73, 6, 39, 49, 28, 1, 7, 5, 74], [4, 22, 65, 14, 62, 12, 16, 2, 0, 0, 11], [4, 11, 41, 16, 20, 5, 15, 1, 3, 1, 8], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]];[0.2222222222222222, 0.07514450867052024, 0.2899543378995434, 0.4268292682926829, 0.21311475409836064, 0.1016949152542373, 0.14423076923076922, 0.0, 0.0, 0.0, 0.0];0.19706242350061198;0.09037029632792493;[[13, 7, 52, 1, 8, 7, 2, 1, 2, 1, 12], [4, 5, 39, 1, 0, 4, 1, 6, 0, 4, 2], [3, 2, 113, 0, 1, 0, 0, 3, 0, 3, 1], [23, 42, 85, 14, 17, 20, 17, 5, 1, 3, 19], [1, 3, 27, 1, 10, 31, 10, 0, 4, 2, 39], [2, 7, 27, 5, 32, 4, 9, 0, 0, 0, 4], [2, 4, 22, 4, 8, 8, 2, 0, 1, 0, 4], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]];[0.2708333333333333, 0.07142857142857142, 0.3095890410958904, 0.5384615384615384, 0.13157894736842105, 0.05405405405405406, 0.04878048780487805, 0.0, 0.0, 0.0, 0.0];0.0;[]
Cora;own;pagerank;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;[[2, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0], [0, 0, 4, 0, 0, 0], [0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 2]];[1.0, 1.0, 1.0, 1.0, 1.0, 1.0];0.5377659574468086;0.4648103611363345;[[0, 163, 6, 27, 15, 3, 15], [0, 283, 13, 7, 1, 0, 2], [0, 115, 54, 8, 0, 0, 0], [0, 118, 10, 413, 3, 5, 7], [0, 32, 0, 152, 100, 0, 9], [0, 77, 0, 4, 1, 103, 14], [0, 42, 2, 2, 6, 10, 58]];[nan, 0.3409638554216867, 0.6352941176470588, 0.6737357259380098, 0.7936507936507936, 0.8512396694214877, 0.5523809523809524];0.4700122399020808;0.4277873993453472;[[0, 81, 1, 11, 7, 1, 5], [0, 61, 3, 2, 0, 0, 0], [0, 85, 32, 6, 2, 0, 1], [0, 63, 3, 173, 4, 1, 2], [0, 21, 0, 54, 51, 1, 1], [0, 37, 1, 1, 0, 45, 6], [0, 22, 1, 2, 4, 4, 22]];[nan, 0.16486486486486487, 0.7804878048780488, 0.6947791164658634, 0.75, 0.8653846153846154, 0.5945945945945946];11.0;[0, 2, 1, 4, 1, 1, 2]
Cora;own;pagerank;0.2;64;0.5;1;0.005;649695571.0;0.9545454545454546;0.9663865546218487;[[2, 0, 0, 0, 0, 0], [0, 4, 0, 0, 0, 0], [0, 0, 8, 0, 0, 1], [0, 0, 0, 3, 0, 0], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 3]];[1.0, 1.0, 1.0, 1.0, 1.0, 0.75];0.5971107544141252;0.5226606027580972;[[0, 95, 84, 20, 13, 3, 5], [0, 157, 11, 5, 0, 0, 1], [0, 8, 329, 1, 0, 2, 0], [0, 75, 119, 328, 8, 2, 6], [0, 21, 11, 86, 174, 0, 3], [0, 51, 46, 4, 3, 80, 3], [0, 41, 11, 1, 5, 9, 48]];[nan, 0.35044642857142855, 0.5384615384615384, 0.7370786516853932, 0.8571428571428571, 0.8333333333333334, 0.7272727272727273];0.5569155446756426;0.5040398804776375;[[0, 54, 33, 8, 6, 1, 4], [0, 58, 7, 1, 0, 0, 0], [0, 5, 121, 0, 0, 0, 0], [0, 38, 66, 132, 8, 1, 1], [0, 12, 6, 27, 83, 0, 0], [0, 24, 25, 1, 1, 36, 3], [0, 12, 15, 0, 2, 1, 25]];[nan, 0.2857142857142857, 0.4432234432234432, 0.7810650887573964, 0.83, 0.9230769230769231, 0.7575757575757576];22.0;[0, 2, 4, 9, 3, 1, 3]
Cora;own;pagerank;0.2;64;0.5;1;0.005;649695571.0;0.9090909090909091;0.908058608058608;[[1, 0, 0, 0, 0, 0, 0], [0, 2, 0, 0, 0, 0, 0], [0, 1, 5, 0, 0, 0, 0], [0, 0, 1, 12, 0, 0, 0], [0, 0, 0, 0, 5, 0, 0], [0, 0, 0, 1, 0, 2, 0], [0, 0, 0, 0, 0, 0, 3]];[1.0, 0.6666666666666666, 0.8333333333333334, 0.9230769230769231, 1.0, 1.0, 1.0];0.6765339074273412;0.5471088653689936;[[54, 45, 84, 17, 22, 3, 1, 0], [1, 139, 9, 6, 0, 0, 0, 0], [1, 12, 328, 2, 1, 2, 0, 0], [7, 35, 98, 389, 20, 5, 1, 1], [1, 7, 10, 50, 222, 0, 2, 0], [8, 16, 60, 4, 4, 83, 2, 0], [32, 14, 9, 3, 2, 4, 42, 0], [0, 0, 0, 0, 0, 0, 0, 0]];[0.5192307692307693, 0.5186567164179104, 0.5484949832775919, 0.8259023354564756, 0.8191881918819188, 0.8556701030927835, 0.875, 0.0];0.6254589963280294;0.5754112344677058;[[23, 27, 34, 11, 11, 0, 0], [1, 55, 7, 2, 1, 0, 0], [0, 4, 121, 1, 0, 0, 0], [2, 16, 54, 159, 13, 2, 0], [0, 6, 5, 19, 98, 0, 0], [4, 11, 31, 2, 1, 38, 3], [17, 4, 12, 3, 0, 2, 17]];[0.48936170212765956, 0.44715447154471544, 0.4583333333333333, 0.8071065989847716, 0.7903225806451613, 0.9047619047619048, 0.85];33.0;[1, 2, 6, 13, 5, 3, 3]
Cora;own;pagerank;0.2;64;0.5;1;0.005;649695571.0;0.9714285714285714;0.9413919413919414;[[1, 0, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 0, 0], [0, 0, 6, 0, 0, 0, 0], [0, 0, 0, 14, 0, 0, 0], [0, 0, 0, 0, 5, 0, 0], [0, 0, 0, 0, 0, 3, 0], [0, 0, 0, 0, 0, 0, 4]];[1.0, 1.0, 0.8571428571428571, 1.0, 1.0, 1.0, 1.0];0.7036637931034483;0.6409767395689733;[[67, 57, 21, 12, 36, 2, 27], [1, 137, 12, 5, 0, 0, 0], [1, 3, 335, 2, 0, 0, 0], [7, 51, 61, 398, 22, 11, 5], [2, 6, 3, 39, 234, 0, 7], [10, 21, 51, 1, 4, 74, 10], [21, 27, 2, 3, 4, 3, 61]];[0.6146788990825688, 0.45364238410596025, 0.6907216494845361, 0.8652173913043478, 0.78, 0.8222222222222222, 0.5545454545454546];0.6328029375764994;0.5680893393014183;[[24, 35, 10, 11, 14, 0, 12], [1, 51, 9, 3, 2, 0, 0], [0, 3, 122, 1, 0, 0, 0], [2, 25, 38, 158, 14, 2, 7], [0, 4, 2, 13, 106, 0, 3], [3, 12, 24, 1, 1, 38, 11], [13, 13, 7, 3, 0, 1, 18]];[0.5581395348837209, 0.35664335664335667, 0.5754716981132075, 0.8315789473684211, 0.7737226277372263, 0.926829268292683, 0.35294117647058826];35.0;[1, 2, 6, 14, 5, 3, 4]


Cora;own;pagerank;0.2;64;0.5;1;0.005;831763849.0;0.0;0.0;[[]];[];0.0750925436277102;0.03564791216448384;[[0, 33, 54, 67, 7, 13, 19, 3, 32, 6, 11], [0, 0, 119, 7, 5, 6, 7, 2, 1, 4, 0], [0, 0, 21, 7, 0, 19, 216, 11, 0, 1, 17], [4, 15, 49, 95, 8, 130, 70, 143, 11, 11, 36], [4, 1, 24, 40, 0, 98, 19, 4, 3, 32, 73], [18, 14, 68, 23, 9, 10, 20, 1, 25, 4, 16], [7, 1, 21, 46, 2, 9, 16, 5, 9, 0, 9], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]];[0.0, 0.0, 0.05898876404494382, 0.3333333333333333, 0.0, 0.03508771929824561, 0.043596730245231606, 0.0, 0.0, 0.0, 0.0];0.07099143206854346;0.033460399495714055;[[0, 14, 27, 25, 1, 3, 17, 2, 6, 4, 7], [0, 1, 51, 1, 2, 4, 4, 2, 1, 0, 0], [0, 0, 8, 0, 0, 7, 99, 7, 0, 0, 5], [0, 9, 17, 43, 7, 50, 34, 69, 3, 6, 8], [1, 1, 22, 11, 0, 39, 14, 0, 0, 6, 34], [9, 5, 33, 7, 5, 1, 11, 0, 8, 1, 10], [4, 0, 11, 24, 0, 1, 5, 4, 5, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]];[0.0, 0.03333333333333333, 0.047337278106508875, 0.38738738738738737, 0.0, 0.009523809523809525, 0.02717391304347826, 0.0, 0.0, 0.0, 0.0];0.0;[]
Cora;own;pagerank;0.2;64;0.5;1;0.005;831763849.0;1.0;1.0;[[2, 0, 0, 0, 0], [0, 4, 0, 0, 0], [0, 0, 2, 0, 0], [0, 0, 0, 2, 0], [0, 0, 0, 0, 1]];[1.0, 1.0, 1.0, 1.0, 1.0];0.6085106382978723;0.4417519252794718;[[0, 0, 16, 41, 29, 132, 14], [0, 0, 21, 112, 1, 12, 2], [0, 0, 282, 3, 0, 2, 1], [0, 0, 29, 476, 17, 33, 14], [0, 0, 6, 66, 165, 46, 10], [0, 0, 20, 7, 1, 186, 10], [0, 0, 7, 20, 2, 62, 35]];[nan, nan, 0.7401574803149606, 0.6565517241379311, 0.7674418604651163, 0.39323467230443976, 0.4069767441860465];0.572827417380661;0.4152674132795677;[[0, 0, 5, 19, 8, 67, 7], [0, 0, 8, 51, 1, 6, 0], [0, 0, 123, 1, 0, 2, 0], [0, 0, 10, 190, 11, 28, 7], [0, 0, 9, 29, 69, 16, 5], [0, 0, 7, 2, 1, 73, 7], [0, 0, 9, 3, 1, 29, 13]];[nan, nan, 0.7192982456140351, 0.6440677966101694, 0.7582417582417582, 0.33031674208144796, 0.3333333333333333];11.0;[0, 0, 2, 4, 2, 2, 1]
Cora;own;pagerank;0.2;64;0.5;1;0.005;831763849.0;1.0;1.0;[[1, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0], [0, 0, 3, 0, 0, 0, 0], [0, 0, 0, 6, 0, 0, 0], [0, 0, 0, 0, 5, 0, 0], [0, 0, 0, 0, 0, 3, 0], [0, 0, 0, 0, 0, 0, 3]];[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0];0.6821829855537721;0.6696278289115201;[[125, 13, 14, 16, 13, 17, 20], [4, 147, 18, 1, 3, 3, 11], [1, 3, 278, 2, 0, 0, 1], [26, 124, 28, 302, 33, 18, 23], [13, 5, 1, 41, 205, 15, 8], [7, 24, 15, 2, 2, 137, 18], [3, 21, 11, 12, 1, 3, 81]];[0.6983240223463687, 0.4362017804154303, 0.7616438356164383, 0.8031914893617021, 0.7976653696498055, 0.7098445595854922, 0.5];0.6450428396572827;0.6282001481504418;[[50, 5, 8, 10, 4, 12, 17], [2, 56, 4, 1, 1, 2, 0], [0, 1, 125, 0, 0, 0, 0], [18, 62, 14, 105, 22, 16, 9], [3, 3, 1, 11, 101, 7, 2], [4, 8, 7, 0, 2, 58, 11], [2, 6, 11, 2, 0, 2, 32]];[0.6329113924050633, 0.3971631205673759, 0.7352941176470589, 0.813953488372093, 0.7769230769230769, 0.5979381443298969, 0.4507042253521127];22.0;[1, 1, 3, 6, 5, 3, 3]
