dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Labeled class accuracies;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Unlabeled class accuracies;Test accuracy;Test macro-f1;Test confusion;Test class accuracies;Budget used;Class distrubution
Cora;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];[];0.13749338974087785;0.1255938931472691;[[32, 36, 38, 33, 37, 37, 32], [20, 13, 20, 24, 22, 21, 31], [46, 40, 39, 47, 46, 29, 45], [88, 75, 81, 94, 80, 79, 75], [43, 35, 49, 41, 40, 50, 40], [22, 33, 34, 29, 34, 23, 33], [13, 27, 17, 19, 20, 10, 19]];[0.12121212121212122, 0.05019305019305019, 0.14028776978417265, 0.32752613240418116, 0.14336917562724014, 0.09236947791164658, 0.06909090909090909];0.1456548347613219;0.1392095304479121;[[21, 15, 14, 12, 15, 16, 13], [11, 11, 6, 9, 8, 11, 10], [12, 13, 17, 26, 15, 23, 20], [28, 36, 30, 33, 42, 50, 27], [22, 19, 15, 19, 17, 22, 14], [13, 13, 16, 7, 17, 14, 10], [9, 3, 10, 11, 6, 10, 6]];[0.1810344827586207, 0.1, 0.1574074074074074, 0.28205128205128205, 0.14166666666666666, 0.0958904109589041, 0.06];0.0;[]
Cora;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;[[1, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0], [0, 0, 2, 0, 0, 0], [0, 0, 0, 4, 0, 0], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 2]];[1.0, 1.0, 1.0, 1.0, 1.0, 1.0];0.5;0.44328492544368847;[[126, 5, 2, 1, 39, 6, 64], [9, 1, 19, 1, 93, 1, 21], [4, 0, 271, 0, 8, 8, 9], [45, 13, 43, 122, 207, 25, 72], [23, 12, 8, 5, 248, 11, 14], [27, 6, 11, 3, 15, 83, 46], [32, 6, 2, 9, 5, 10, 89]];[0.47368421052631576, 0.023255813953488372, 0.7612359550561798, 0.8652482269503546, 0.4032520325203252, 0.5763888888888888, 0.28253968253968254];0.42105263157894735;0.3694286739935818;[[47, 1, 4, 1, 15, 2, 36], [1, 0, 8, 1, 40, 4, 12], [4, 0, 114, 1, 3, 1, 3], [27, 5, 23, 35, 118, 9, 29], [7, 4, 5, 5, 92, 6, 9], [17, 0, 4, 0, 6, 37, 26], [23, 2, 1, 3, 4, 3, 19]];[0.373015873015873, 0.0, 0.7169811320754716, 0.7608695652173914, 0.33093525179856115, 0.5967741935483871, 0.1417910447761194];11.0;[1, 0, 1, 2, 4, 1, 2]
Cora;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;[[2, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0], [0, 0, 7, 0, 0, 0], [0, 0, 0, 5, 0, 0], [0, 0, 0, 0, 3, 0], [0, 0, 0, 0, 0, 4]];[1.0, 1.0, 1.0, 1.0, 1.0, 1.0];0.5516318887105404;0.49895797344163084;[[132, 0, 4, 5, 39, 5, 58], [9, 1, 19, 4, 82, 10, 19], [5, 0, 271, 3, 7, 5, 9], [45, 13, 37, 144, 201, 19, 63], [17, 11, 6, 7, 257, 8, 14], [26, 0, 3, 3, 10, 119, 28], [27, 3, 4, 1, 5, 4, 107]];[0.5057471264367817, 0.03571428571428571, 0.7877906976744186, 0.8622754491017964, 0.4276206322795341, 0.7, 0.35906040268456374];0.47613219094247244;0.423173623490845;[[51, 1, 2, 0, 14, 3, 35], [0, 0, 8, 4, 38, 3, 13], [4, 0, 114, 1, 3, 1, 3], [26, 8, 19, 49, 103, 11, 30], [7, 3, 4, 3, 104, 1, 6], [16, 2, 2, 1, 1, 50, 18], [23, 2, 2, 2, 3, 2, 21]];[0.4015748031496063, 0.0, 0.7549668874172185, 0.8166666666666667, 0.39097744360902253, 0.704225352112676, 0.16666666666666666];22.0;[2, 0, 1, 7, 5, 3, 4]
Cora;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;[[2, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0], [0, 0, 11, 0, 0, 0], [0, 0, 0, 8, 0, 0], [0, 0, 0, 0, 5, 0], [0, 0, 0, 0, 0, 6]];[1.0, 1.0, 1.0, 1.0, 1.0, 1.0];0.566200215285253;0.5094743140788144;[[122, 1, 4, 6, 35, 7, 67], [9, 0, 18, 5, 76, 10, 26], [5, 1, 266, 2, 9, 7, 10], [37, 14, 45, 160, 188, 9, 64], [13, 5, 5, 6, 272, 2, 14], [22, 1, 0, 2, 9, 119, 33], [20, 6, 1, 1, 5, 6, 113]];[0.5350877192982456, 0.0, 0.7846607669616519, 0.8791208791208791, 0.45791245791245794, 0.74375, 0.345565749235474];0.4810281517747858;0.4321198210536118;[[48, 1, 2, 0, 13, 4, 38], [1, 1, 8, 3, 33, 3, 17], [2, 1, 116, 1, 2, 1, 3], [21, 5, 24, 48, 108, 5, 35], [4, 2, 5, 6, 104, 1, 6], [16, 0, 2, 0, 2, 49, 21], [19, 1, 3, 2, 1, 2, 27]];[0.43243243243243246, 0.09090909090909091, 0.725, 0.8, 0.39543726235741444, 0.7538461538461538, 0.1836734693877551];33.0;[2, 0, 1, 11, 8, 5, 6]
Cora;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;[[2, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0], [0, 0, 12, 0, 0, 0], [0, 0, 0, 9, 0, 0], [0, 0, 0, 0, 5, 0], [0, 0, 0, 0, 0, 6]];[1.0, 1.0, 1.0, 1.0, 1.0, 1.0];0.5668103448275862;0.5087920828975389;[[122, 3, 1, 6, 34, 10, 66], [9, 1, 18, 4, 75, 11, 26], [5, 1, 266, 2, 8, 9, 9], [42, 10, 38, 158, 189, 18, 61], [6, 5, 6, 10, 273, 3, 13], [21, 0, 3, 3, 9, 118, 32], [22, 3, 3, 2, 4, 4, 114]];[0.5374449339207048, 0.043478260869565216, 0.7940298507462686, 0.8540540540540541, 0.46114864864864863, 0.6820809248554913, 0.35514018691588783];0.4834761321909425;0.43842686888268656;[[47, 0, 2, 2, 13, 3, 39], [1, 2, 9, 3, 33, 2, 16], [3, 2, 115, 0, 2, 1, 3], [24, 10, 17, 49, 103, 7, 36], [5, 1, 10, 3, 104, 0, 5], [16, 0, 2, 1, 1, 51, 19], [19, 2, 1, 1, 2, 3, 27]];[0.40869565217391307, 0.11764705882352941, 0.7371794871794872, 0.8305084745762712, 0.40310077519379844, 0.7611940298507462, 0.18620689655172415];35.0;[2, 0, 1, 12, 9, 5, 6]


Cora;own;pagerank;0.2;64;0.5;1;0.005;649695571.0;0.0;0.0;[[]];[];0.12903225806451613;0.12054821777511784;[[38, 35, 37, 29, 31, 32, 43], [26, 22, 25, 23, 20, 15, 20], [55, 32, 30, 48, 45, 39, 43], [93, 89, 73, 83, 74, 78, 82], [33, 41, 43, 37, 33, 68, 43], [38, 31, 30, 25, 26, 22, 36], [18, 16, 17, 13, 20, 25, 16]];[0.12624584717607973, 0.08270676691729323, 0.11764705882352941, 0.32170542635658916, 0.13253012048192772, 0.07885304659498207, 0.05653710247349823];0.15055079559363524;0.1472635442755649;[[16, 21, 10, 17, 10, 15, 17], [7, 8, 15, 6, 11, 7, 12], [18, 22, 18, 17, 17, 19, 15], [40, 41, 38, 27, 37, 34, 29], [17, 20, 14, 13, 27, 25, 12], [14, 11, 15, 9, 9, 16, 16], [8, 7, 2, 10, 5, 12, 11]];[0.13333333333333333, 0.06153846153846154, 0.16071428571428573, 0.2727272727272727, 0.23275862068965517, 0.125, 0.09821428571428571];0.0;[]
Cora;own;pagerank;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;[[3, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0], [0, 0, 0, 3, 0, 0], [0, 0, 0, 0, 2, 0], [0, 0, 0, 0, 0, 1]];[1.0, 1.0, 1.0, 1.0, 1.0, 1.0];0.523936170212766;0.45271494288443215;[[197, 13, 4, 25, 12, 2, 15], [8, 113, 10, 24, 1, 0, 1], [24, 8, 236, 11, 1, 5, 2], [88, 68, 24, 293, 47, 22, 36], [36, 24, 16, 68, 110, 12, 22], [67, 60, 15, 20, 6, 9, 14], [50, 11, 5, 5, 9, 4, 27]];[0.41914893617021276, 0.38047138047138046, 0.7612903225806451, 0.6569506726457399, 0.5913978494623656, 0.16666666666666666, 0.23076923076923078];0.5140758873929009;0.44588010670136674;[[69, 8, 1, 14, 10, 1, 3], [4, 43, 5, 13, 1, 0, 0], [13, 4, 100, 6, 0, 1, 2], [42, 28, 12, 135, 13, 3, 13], [16, 9, 8, 29, 56, 6, 4], [40, 23, 9, 4, 2, 4, 8], [30, 6, 5, 0, 0, 1, 13]];[0.32242990654205606, 0.35537190082644626, 0.7142857142857143, 0.6716417910447762, 0.6829268292682927, 0.25, 0.3023255813953488];11.0;[3, 1, 1, 3, 2, 0, 1]
Cora;own;pagerank;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;[[3, 0, 0, 0, 0, 0, 0], [0, 2, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0], [0, 0, 0, 7, 0, 0, 0], [0, 0, 0, 0, 6, 0, 0], [0, 0, 0, 0, 0, 2, 0], [0, 0, 0, 0, 0, 0, 1]];[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0];0.5350454788657036;0.5097796711093646;[[180, 36, 1, 17, 11, 7, 11], [5, 185, 6, 7, 1, 0, 1], [19, 52, 185, 8, 2, 4, 1], [77, 152, 20, 223, 31, 20, 35], [28, 31, 4, 51, 134, 13, 17], [46, 44, 5, 8, 2, 68, 11], [44, 13, 10, 7, 5, 6, 25]];[0.45112781954887216, 0.36062378167641324, 0.8008658008658008, 0.6947040498442367, 0.7204301075268817, 0.576271186440678, 0.24752475247524752];0.4969400244798042;0.48119658894210166;[[64, 18, 2, 10, 6, 2, 4], [1, 56, 2, 6, 1, 0, 0], [10, 29, 77, 5, 0, 4, 1], [38, 73, 5, 100, 9, 9, 12], [7, 21, 4, 27, 63, 3, 3], [26, 21, 0, 3, 0, 35, 5], [27, 5, 3, 2, 2, 5, 11]];[0.3699421965317919, 0.25112107623318386, 0.8279569892473119, 0.6535947712418301, 0.7777777777777778, 0.603448275862069, 0.3055555555555556];22.0;[3, 2, 1, 7, 6, 2, 1]
