dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Labeled class accuracies;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Unlabeled class accuracies;Test accuracy;Test macro-f1;Test confusion;Test class accuracies;Budget used;Class distrubution
PubMed;own;pagerank;0;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];[];0.05282225925657561;0.03616504055554242;[[125, 101, 511, 22, 26, 1995, 92], [106, 166, 412, 17, 24, 4658, 34], [487, 238, 438, 24, 270, 4019, 36], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0]];[0.17409470752089137, 0.3287128712871287, 0.3218221895664952, 0.0, 0.0, 0.0, 0.0];0.051217038539553755;0.03426551347809829;[[41, 49, 212, 8, 17, 857, 47], [38, 72, 176, 12, 13, 1996, 15], [201, 111, 190, 9, 121, 1714, 17], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0]];[0.14642857142857144, 0.3103448275862069, 0.328719723183391, 0.0, 0.0, 0.0, 0.0];0.0;[]
PubMed;own;pagerank;0;64;0.5;1;0.005;20795212.0;0.7142857142857143;0.6944444444444443;[[1, 1, 0], [0, 3, 0], [0, 1, 1]];[1.0, 0.6, 1.0];0.41742786718863273;0.26496994306586336;[[349, 2500, 21], [14, 5391, 9], [30, 5462, 18]];[0.8880407124681934, 0.40372949898899124, 0.375];0.41886409736308317;0.2673717179881237;[[150, 1076, 5], [5, 2313, 4], [11, 2337, 15]];[0.9036144578313253, 0.4039469088368844, 0.625];7.0;[2, 3, 2]
PubMed;own;pagerank;0;64;0.5;1;0.005;20795212.0;0.6428571428571429;0.4852941176470587;[[3, 2, 0], [0, 6, 0], [0, 3, 0]];[1.0, 0.5454545454545454, nan];0.4557916878218612;0.35293683125101744;[[912, 1955, 0], [39, 5372, 0], [86, 5423, 0]];[0.8794599807135969, 0.42133333333333334, nan];0.45689655172413796;0.35529202005289234;[[398, 833, 0], [17, 2305, 0], [33, 2330, 0]];[0.8883928571428571, 0.4215435259692758, nan];14.0;[5, 6, 3]
PubMed;own;pagerank;0;64;0.5;1;0.005;20795212.0;0.6666666666666666;0.5315904139433552;[[4, 1, 0], [0, 6, 0], [0, 4, 0]];[1.0, 0.5454545454545454, nan];0.5042797040475845;0.43027711842966027;[[1628, 1239, 0], [87, 5324, 0], [259, 5249, 0]];[0.8247213779128673, 0.45072807314595326, nan];0.5052400270453009;0.4310131686877059;[[711, 520, 0], [44, 2278, 0], [124, 2239, 0]];[0.8088737201365188, 0.45225332539209845, nan];15.0;[5, 6, 4]


PubMed;own;pagerank;0;64;0.5;1;0.005;649695571.0;0.0;0.0;[[]];[];0.23991015143830158;0.0925049952278313;[[65, 67, 404, 1520, 730, 11, 75], [81, 158, 2228, 1936, 960, 0, 54], [64, 52, 3088, 1293, 981, 1, 33], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0]];[0.30952380952380953, 0.5703971119133574, 0.5398601398601398, 0.0, 0.0, 0.0, 0.0];0.2391818796484111;0.09099902151641114;[[21, 44, 160, 669, 294, 4, 39], [38, 67, 972, 803, 424, 0, 18], [20, 24, 1327, 581, 395, 2, 14], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0]];[0.26582278481012656, 0.4962962962962963, 0.5396502643350956, 0.0, 0.0, 0.0, 0.0];0.0;[]
PubMed;own;pagerank;0;64;0.5;1;0.005;649695571.0;0.42857142857142855;0.3333333333333333;[[0, 0, 2], [0, 1, 2], [0, 0, 2]];[nan, 1.0, 0.3333333333333333];0.5259533130346528;0.3961755476508535;[[0, 24, 2846], [0, 3191, 2223], [0, 1446, 4064]];[nan, 0.6846170349710362, 0.4449797437862696];0.5427653820148749;0.40909050836345323;[[0, 13, 1218], [0, 1420, 902], [0, 572, 1791]];[nan, 0.7082294264339152, 0.45793914599846586];7.0;[2, 3, 2]
PubMed;own;pagerank;0;64;0.5;1;0.005;649695571.0;0.5714285714285714;0.4696969696969697;[[0, 0, 5], [0, 5, 1], [0, 0, 3]];[nan, 1.0, 0.3333333333333333];0.5486327700007253;0.4076060421995102;[[0, 228, 2639], [0, 4439, 972], [0, 2384, 3125]];[nan, 0.6295560913345625, 0.4639251781472684];0.5554428668018931;0.413423531453842;[[0, 93, 1138], [0, 1899, 423], [0, 976, 1387]];[nan, 0.6398247978436657, 0.47048846675712347];14.0;[5, 6, 3]
PubMed;own;pagerank;0;64;0.5;1;0.005;649695571.0;0.5333333333333333;0.40196078431372545;[[0, 3, 2], [0, 6, 1], [0, 1, 2]];[nan, 0.6, 0.4];0.5454809226751777;0.3920930688539215;[[0, 2078, 789], [0, 5266, 144], [0, 3255, 2254]];[nan, 0.49683932446457213, 0.7072481957954189];0.5508789722785666;0.3968469542272522;[[0, 873, 358], [0, 2264, 58], [0, 1368, 995]];[nan, 0.502552719200888, 0.705173635719348];15.0;[5, 7, 3]


PubMed;own;pagerank;0;64;0.5;1;0.005;831763849.0;0.0;0.0;[[]];[];0.13861314397507427;0.05807013702703936;[[107, 3, 1819, 177, 1, 8, 757], [152, 15, 1571, 186, 5, 20, 3468], [110, 43, 1791, 419, 8, 12, 3129], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0]];[0.2899728997289973, 0.2459016393442623, 0.34568616097278515, 0.0, 0.0, 0.0, 0.0];0.1402974983096687;0.05942980153064982;[[47, 2, 761, 93, 0, 6, 322], [52, 5, 630, 85, 4, 4, 1542], [44, 19, 778, 189, 3, 5, 1325], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0]];[0.32867132867132864, 0.19230769230769232, 0.3586906408483172, 0.0, 0.0, 0.0, 0.0];0.0;[]
PubMed;own;pagerank;0;64;0.5;1;0.005;831763849.0;0.8571428571428571;0.8857142857142858;[[1, 0, 0], [0, 3, 0], [0, 1, 2]];[1.0, 0.75, 1.0];0.510149340292881;0.3573297551196206;[[7, 2144, 720], [17, 5295, 102], [1, 3773, 1735]];[0.28, 0.4722618622904031, 0.6785295267892061];0.5153820148749155;0.3640290347423662;[[7, 922, 302], [3, 2275, 44], [0, 1596, 767]];[0.7, 0.47465053202587104, 0.6891284815813118];7.0;[1, 3, 3]
PubMed;own;pagerank;0;64;0.5;1;0.005;831763849.0;0.6428571428571429;0.4678362573099415;[[0, 0, 3], [0, 2, 2], [0, 0, 7]];[nan, 1.0, 0.5833333333333334];0.42257198810473634;0.2380379057828397;[[0, 2, 2867], [0, 406, 5007], [0, 85, 5420]];[nan, 0.8235294117647058, 0.4077027230329472];0.4244421906693712;0.23884089108554218;[[0, 0, 1231], [0, 174, 2148], [0, 26, 2337]];[nan, 0.87, 0.40885234429671097];14.0;[3, 4, 7]
PubMed;own;pagerank;0;64;0.5;1;0.005;831763849.0;0.5333333333333333;0.3333333333333333;[[0, 0, 3], [0, 1, 4], [0, 0, 7]];[nan, 1.0, 0.5];0.4048309879587988;0.20187029024541406;[[0, 0, 2869], [0, 92, 5320], [0, 16, 5489]];[nan, 0.8518518518518519, 0.40130135984793097];0.4056795131845842;0.2023067911001769;[[0, 0, 1231], [0, 40, 2282], [0, 3, 2360]];[nan, 0.9302325581395349, 0.40183892388898346];15.0;[3, 5, 7]


PubMed;own;pagerank;0;64;0.5;1;0.005;615395017.0;0.0;0.0;[[]];[];0.07390768784870662;0.04727470401044509;[[116, 123, 176, 14, 525, 38, 1880], [189, 205, 731, 31, 792, 704, 2765], [219, 448, 699, 108, 1043, 310, 2685], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0]];[0.22137404580152673, 0.26417525773195877, 0.4352428393524284, 0.0, 0.0, 0.0, 0.0];0.07420554428668019;0.047402947136468206;[[54, 46, 104, 14, 221, 27, 765], [89, 77, 324, 17, 311, 287, 1217], [78, 180, 308, 54, 447, 111, 1185], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0]];[0.24434389140271492, 0.25412541254125415, 0.41847826086956524, 0.0, 0.0, 0.0, 0.0];0.0;[]
PubMed;own;pagerank;0;64;0.5;1;0.005;615395017.0;0.7142857142857143;0.5166666666666666;[[0, 1, 0], [0, 3, 0], [0, 1, 2]];[nan, 0.6, 1.0];0.4735392199507032;0.312763489659668;[[0, 2667, 204], [0, 5377, 37], [0, 4354, 1155]];[nan, 0.4336989837070495, 0.8273638968481375];0.4808992562542258;0.3209033682627506;[[0, 1146, 85], [0, 2316, 6], [0, 1834, 529]];[nan, 0.43731117824773413, 0.853225806451613];7.0;[1, 3, 3]
PubMed;own;pagerank;0;64;0.5;1;0.005;615395017.0;0.7142857142857143;0.5462962962962963;[[0, 3, 0], [0, 6, 0], [0, 1, 4]];[nan, 0.6, 1.0];0.4960470007978531;0.33921139636920766;[[0, 2689, 180], [0, 5403, 8], [0, 4071, 1436]];[nan, 0.44421606511551426, 0.8842364532019704];0.504394861392833;0.3495028316141391;[[0, 1159, 72], [0, 2314, 8], [0, 1693, 670]];[nan, 0.44792876500193574, 0.8933333333333333];14.0;[3, 6, 5]
