dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Labeled class accuracies;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Unlabeled class accuracies;Test accuracy;Test macro-f1;Test confusion;Test class accuracies;Budget used;Class distrubution
PubMed;own;random;0.2;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];[];0.05282225925657561;0.03616504055554242;[[125, 101, 511, 22, 26, 1995, 92], [106, 166, 412, 17, 24, 4658, 34], [487, 238, 438, 24, 270, 4019, 36], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0]];[0.17409470752089137, 0.3287128712871287, 0.3218221895664952, 0.0, 0.0, 0.0, 0.0];0.051217038539553755;0.03426551347809829;[[41, 49, 212, 8, 17, 857, 47], [38, 72, 176, 12, 13, 1996, 15], [201, 111, 190, 9, 121, 1714, 17], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0]];[0.14642857142857144, 0.3103448275862069, 0.328719723183391, 0.0, 0.0, 0.0, 0.0];0.0;[]
PubMed;own;random;0.2;64;0.5;1;0.005;20795212.0;0.42857142857142855;0.19999999999999998;[[0, 0, 2], [0, 0, 2], [0, 0, 3]];[nan, nan, 0.42857142857142855];0.41445556038857473;0.19534279807971575;[[0, 0, 2815], [0, 0, 5262], [0, 0, 5717]];[nan, nan, 0.41445556038857473];0.3994252873563218;0.19028062970568105;[[0, 0, 1231], [0, 0, 2322], [0, 0, 2363]];[nan, nan, 0.3994252873563218];7.0;[2, 2, 3]
PubMed;own;random;0.2;64;0.5;1;0.005;20795212.0;0.42857142857142855;0.19999999999999998;[[0, 0, 3], [0, 0, 5], [0, 0, 6]];[nan, nan, 0.42857142857142855];0.4124174947414231;0.19466269535596295;[[0, 0, 2832], [0, 0, 5269], [0, 0, 5686]];[nan, nan, 0.4124174947414231];0.3994252873563218;0.19028062970568105;[[0, 0, 1231], [0, 0, 2322], [0, 0, 2363]];[nan, nan, 0.3994252873563218];14.0;[3, 5, 6]
PubMed;own;random;0.2;64;0.5;1;0.005;20795212.0;0.4;0.1904761904761905;[[0, 0, 3], [0, 0, 6], [0, 0, 6]];[nan, nan, 0.4];0.4109241259248513;0.19416311072267065;[[0, 0, 2832], [0, 0, 5289], [0, 0, 5665]];[nan, nan, 0.4109241259248513];0.3994252873563218;0.19028062970568105;[[0, 0, 1231], [0, 0, 2322], [0, 0, 2363]];[nan, nan, 0.3994252873563218];15.0;[3, 6, 6]


PubMed;own;random;0.2;64;0.5;1;0.005;649695571.0;0.0;0.0;[[]];[];0.23991015143830158;0.0925049952278313;[[65, 67, 404, 1520, 730, 11, 75], [81, 158, 2228, 1936, 960, 0, 54], [64, 52, 3088, 1293, 981, 1, 33], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0]];[0.30952380952380953, 0.5703971119133574, 0.5398601398601398, 0.0, 0.0, 0.0, 0.0];0.2391818796484111;0.09099902151641114;[[21, 44, 160, 669, 294, 4, 39], [38, 67, 972, 803, 424, 0, 18], [20, 24, 1327, 581, 395, 2, 14], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0]];[0.26582278481012656, 0.4962962962962963, 0.5396502643350956, 0.0, 0.0, 0.0, 0.0];0.0;[]
PubMed;own;random;0.2;64;0.5;1;0.005;649695571.0;0.5714285714285714;0.24242424242424243;[[0, 0, 1], [0, 0, 2], [0, 0, 4]];[nan, nan, 0.5714285714285714];0.40343627664201825;0.19164213027532415;[[0, 0, 2814], [0, 0, 5415], [0, 0, 5565]];[nan, nan, 0.40343627664201825];0.3994252873563218;0.19028062970568105;[[0, 0, 1231], [0, 0, 2322], [0, 0, 2363]];[nan, nan, 0.3994252873563218];7.0;[1, 2, 4]
PubMed;own;random;0.2;64;0.5;1;0.005;649695571.0;0.5714285714285714;0.24242424242424243;[[0, 0, 1], [0, 0, 5], [0, 0, 8]];[nan, nan, 0.5714285714285714];0.40588960615072167;0.19247106571050232;[[0, 0, 2770], [0, 0, 5421], [0, 0, 5596]];[nan, nan, 0.40588960615072167];0.3994252873563218;0.19028062970568105;[[0, 0, 1231], [0, 0, 2322], [0, 0, 2363]];[nan, nan, 0.3994252873563218];14.0;[1, 5, 8]
PubMed;own;random;0.2;64;0.5;1;0.005;649695571.0;0.6;0.24999999999999997;[[0, 0, 1], [0, 0, 5], [0, 0, 9]];[nan, nan, 0.6];0.4072972580879153;0.1929453808222944;[[0, 0, 2751], [0, 0, 5420], [0, 0, 5615]];[nan, nan, 0.4072972580879153];0.3994252873563218;0.19028062970568105;[[0, 0, 1231], [0, 0, 2322], [0, 0, 2363]];[nan, nan, 0.3994252873563218];15.0;[1, 5, 9]


PubMed;own;random;0.2;64;0.5;1;0.005;831763849.0;0.0;0.0;[[]];[];0.13861314397507427;0.05807013702703936;[[107, 3, 1819, 177, 1, 8, 757], [152, 15, 1571, 186, 5, 20, 3468], [110, 43, 1791, 419, 8, 12, 3129], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0]];[0.2899728997289973, 0.2459016393442623, 0.34568616097278515, 0.0, 0.0, 0.0, 0.0];0.1402974983096687;0.05942980153064982;[[47, 2, 761, 93, 0, 6, 322], [52, 5, 630, 85, 4, 4, 1542], [44, 19, 778, 189, 3, 5, 1325], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0]];[0.32867132867132864, 0.19230769230769232, 0.3586906408483172, 0.0, 0.0, 0.0, 0.0];0.0;[]
PubMed;own;random;0.2;64;0.5;1;0.005;831763849.0;0.42857142857142855;0.19999999999999998;[[0, 0, 3], [0, 0, 1], [0, 0, 3]];[nan, nan, 0.42857142857142855];0.39611425257358274;0.18915082909267145;[[0, 0, 2897], [0, 0, 5433], [0, 0, 5464]];[nan, nan, 0.39611425257358274];0.3994252873563218;0.19028062970568105;[[0, 0, 1231], [0, 0, 2322], [0, 0, 2363]];[nan, nan, 0.3994252873563218];7.0;[3, 1, 3]
PubMed;own;random;0.2;64;0.5;1;0.005;831763849.0;0.2857142857142857;0.14814814814814817;[[0, 0, 5], [0, 0, 5], [0, 0, 4]];[nan, nan, 0.2857142857142857];0.39486472764198155;0.18872306865650945;[[0, 0, 2949], [0, 0, 5394], [0, 0, 5444]];[nan, nan, 0.39486472764198155];0.3994252873563218;0.19028062970568105;[[0, 0, 1231], [0, 0, 2322], [0, 0, 2363]];[nan, nan, 0.3994252873563218];14.0;[5, 5, 4]
PubMed;own;random;0.2;64;0.5;1;0.005;831763849.0;0.26666666666666666;0.14035087719298248;[[0, 0, 5], [0, 0, 6], [0, 0, 4]];[nan, nan, 0.26666666666666666];0.39576381836645874;0.19155252015403068;[[12, 0, 2937], [0, 0, 5393], [0, 0, 5444]];[1.0, nan, 0.3952374038042689];0.4002704530087897;0.19309248842046633;[[5, 0, 1226], [0, 0, 2322], [0, 0, 2363]];[1.0, nan, 0.3997631534427339];15.0;[5, 6, 4]


PubMed;own;random;0.2;64;0.5;1;0.005;615395017.0;0.0;0.0;[[]];[];0.07390768784870662;0.04727470401044509;[[116, 123, 176, 14, 525, 38, 1880], [189, 205, 731, 31, 792, 704, 2765], [219, 448, 699, 108, 1043, 310, 2685], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0]];[0.22137404580152673, 0.26417525773195877, 0.4352428393524284, 0.0, 0.0, 0.0, 0.0];0.07420554428668019;0.047402947136468206;[[54, 46, 104, 14, 221, 27, 765], [89, 77, 324, 17, 311, 287, 1217], [78, 180, 308, 54, 447, 111, 1185], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0]];[0.24434389140271492, 0.25412541254125415, 0.41847826086956524, 0.0, 0.0, 0.0, 0.0];0.0;[]
PubMed;own;random;0.2;64;0.5;1;0.005;615395017.0;0.42857142857142855;0.19999999999999998;[[0, 0, 1], [0, 0, 3], [0, 0, 3]];[nan, nan, 0.42857142857142855];0.40633608815426997;0.19262161279791057;[[0, 0, 2857], [0, 0, 5332], [0, 0, 5605]];[nan, nan, 0.40633608815426997];0.3994252873563218;0.19028062970568105;[[0, 0, 1231], [0, 0, 2322], [0, 0, 2363]];[nan, nan, 0.3994252873563218];7.0;[1, 3, 3]
PubMed;own;random;0.2;64;0.5;1;0.005;615395017.0;0.5;0.2222222222222222;[[0, 0, 4], [0, 0, 3], [0, 0, 7]];[nan, nan, 0.5];0.40980633930514254;0.19378847901768106;[[0, 0, 2816], [0, 0, 5321], [0, 0, 5650]];[nan, nan, 0.40980633930514254];0.3994252873563218;0.19028062970568105;[[0, 0, 1231], [0, 0, 2322], [0, 0, 2363]];[nan, nan, 0.3994252873563218];14.0;[4, 3, 7]
PubMed;own;random;0.2;64;0.5;1;0.005;615395017.0;0.4666666666666667;0.21212121212121213;[[0, 0, 4], [0, 0, 4], [0, 0, 7]];[nan, nan, 0.4666666666666667];0.40795009429856377;0.1931650352052207;[[0, 0, 2816], [0, 0, 5346], [0, 0, 5624]];[nan, nan, 0.40795009429856377];0.3994252873563218;0.19028062970568105;[[0, 0, 1231], [0, 0, 2322], [0, 0, 2363]];[nan, nan, 0.3994252873563218];15.0;[4, 4, 7]


PubMed;own;random;0.2;64;0.5;1;0.005;2140929057.0;0.0;0.0;[[]];[];0.008839939134845301;0.0078107548759904595;[[88, 15, 13, 717, 625, 216, 1198], [597, 19, 22, 2380, 108, 242, 2049], [598, 38, 15, 3303, 319, 110, 1129], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0]];[0.06858924395947, 0.2638888888888889, 0.3, 0.0, 0.0, 0.0, 0.0];0.010141987829614604;0.009017567044485924;[[47, 14, 4, 324, 225, 82, 535], [266, 11, 10, 1005, 44, 74, 912], [259, 17, 2, 1365, 166, 58, 496], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0]];[0.08216783216783216, 0.2619047619047619, 0.125, 0.0, 0.0, 0.0, 0.0];0.0;[]
PubMed;own;random;0.2;64;0.5;1;0.005;2140929057.0;0.42857142857142855;0.19999999999999998;[[0, 1, 0], [0, 3, 0], [0, 3, 0]];[nan, 0.42857142857142855, nan];0.3953892996955198;0.18890274314214464;[[0, 2822, 0], [0, 5454, 0], [0, 5518, 0]];[nan, 0.3953892996955198, nan];0.3924949290060852;0.18790968681718864;[[0, 1231, 0], [0, 2322, 0], [0, 2363, 0]];[nan, 0.3924949290060852, nan];7.0;[1, 3, 3]
PubMed;own;random;0.2;64;0.5;1;0.005;2140929057.0;0.5714285714285714;0.24242424242424243;[[0, 1, 0], [0, 8, 0], [0, 5, 0]];[nan, 0.5714285714285714, nan];0.3974033509828099;0.1895913353403232;[[0, 2798, 0], [0, 5479, 0], [0, 5510, 0]];[nan, 0.3974033509828099, nan];0.3924949290060852;0.18790968681718864;[[0, 1231, 0], [0, 2322, 0], [0, 2363, 0]];[nan, 0.3924949290060852, nan];14.0;[1, 8, 5]
PubMed;own;random;0.2;64;0.5;1;0.005;2140929057.0;0.5333333333333333;0.23188405797101452;[[0, 1, 0], [0, 8, 0], [0, 6, 0]];[nan, 0.5333333333333333, nan];0.3974321775714493;0.18960117657236783;[[0, 2783, 0], [0, 5479, 0], [0, 5524, 0]];[nan, 0.3974321775714493, nan];0.3924949290060852;0.18790968681718864;[[0, 1231, 0], [0, 2322, 0], [0, 2363, 0]];[nan, 0.3924949290060852, nan];15.0;[1, 8, 6]


PubMed;own;random;0.2;64;0.5;1;0.005;1240197975.0;0.0;0.0;[[]];[];0.15288747192232446;0.07668372822730132;[[1476, 585, 25, 413, 162, 133, 78], [1953, 503, 143, 1070, 1576, 145, 27], [1552, 2183, 131, 604, 950, 65, 27], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0]];[0.2963260389480024, 0.15377560379088964, 0.43812709030100333, 0.0, 0.0, 0.0, 0.0];0.15010141987829614;0.07585813214792259;[[636, 238, 12, 178, 80, 51, 36], [853, 183, 73, 460, 686, 59, 8], [656, 939, 69, 251, 417, 24, 7], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0]];[0.2965034965034965, 0.13455882352941176, 0.44805194805194803, 0.0, 0.0, 0.0, 0.0];0.0;[]
PubMed;own;random;0.2;64;0.5;1;0.005;1240197975.0;0.42857142857142855;0.19999999999999998;[[0, 0, 3], [0, 0, 1], [0, 0, 3]];[nan, nan, 0.42857142857142855];0.40662606930549516;0.19271933893384185;[[0, 0, 2850], [0, 0, 5335], [0, 0, 5609]];[nan, nan, 0.40662606930549516];0.3994252873563218;0.19028062970568105;[[0, 0, 1231], [0, 0, 2322], [0, 0, 2363]];[nan, nan, 0.3994252873563218];7.0;[3, 1, 3]
PubMed;own;random;0.2;64;0.5;1;0.005;1240197975.0;0.5;0.2222222222222222;[[0, 0, 3], [0, 0, 4], [0, 0, 7]];[nan, nan, 0.5];0.40211793718720534;0.19119548911075476;[[0, 0, 2789], [0, 0, 5454], [0, 0, 5544]];[nan, nan, 0.40211793718720534];0.3994252873563218;0.19028062970568105;[[0, 0, 1231], [0, 0, 2322], [0, 0, 2363]];[nan, nan, 0.3994252873563218];14.0;[3, 4, 7]
PubMed;own;random;0.2;64;0.5;1;0.005;1240197975.0;0.4666666666666667;0.21212121212121213;[[0, 0, 4], [0, 0, 4], [0, 0, 7]];[nan, nan, 0.4666666666666667];0.4021471057594661;0.19120538023797207;[[0, 0, 2788], [0, 0, 5454], [0, 0, 5544]];[nan, nan, 0.4021471057594661];0.3994252873563218;0.19028062970568105;[[0, 0, 1231], [0, 0, 2322], [0, 0, 2363]];[nan, nan, 0.3994252873563218];15.0;[4, 4, 7]


