dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Labeled class accuracies;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Unlabeled class accuracies;Test accuracy;Test macro-f1;Test confusion;Test class accuracies;Budget used;Class distrubution
PubMed;own;entropy;0.2;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];[];0.06767625534381566;0.03716596821169003;[[17, 1351, 22, 116, 189, 914, 263], [76, 403, 1092, 672, 302, 2657, 215], [72, 506, 514, 355, 1592, 2071, 402], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0]];[0.10303030303030303, 0.17831858407079645, 0.3157248157248157, 0.0, 0.0, 0.0, 0.0];0.06203515889114267;0.03418083259875237;[[7, 564, 15, 54, 91, 384, 116], [28, 147, 489, 306, 120, 1152, 80], [44, 224, 213, 134, 727, 848, 173], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0]];[0.08860759493670886, 0.1572192513368984, 0.29707112970711297, 0.0, 0.0, 0.0, 0.0];0.0;[]
PubMed;own;entropy;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;[[3, 0, 0], [0, 3, 0], [0, 0, 1]];[1.0, 1.0, 1.0];0.5633608815426997;0.5251142495132363;[[2355, 254, 273], [326, 4896, 195], [659, 4316, 520]];[0.7050898203592815, 0.5172195225015846, 0.5263157894736842];0.5628803245436106;0.5240610305057176;[[1015, 94, 122], [152, 2088, 82], [308, 1828, 227]];[0.688135593220339, 0.5206982543640898, 0.5266821345707656];7.0;[3, 3, 1]
PubMed;own;entropy;0.2;64;0.5;1;0.005;20795212.0;0.9285714285714286;0.9267399267399267;[[3, 0, 1], [0, 4, 0], [0, 0, 6]];[1.0, 1.0, 0.8571428571428571];0.6690360484514397;0.6716837455016148;[[1717, 126, 1012], [227, 3655, 1537], [259, 1402, 3852]];[0.7793917385383567, 0.7051900443758441, 0.6017809717231682];0.6634550371872887;0.6627859136777485;[[730, 56, 445], [121, 1548, 653], [149, 567, 1647]];[0.73, 0.7130354675264855, 0.6];14.0;[4, 4, 6]
PubMed;own;entropy;0.2;64;0.5;1;0.005;20795212.0;0.9523809523809523;0.9500891265597149;[[5, 0, 1], [0, 7, 0], [0, 0, 8]];[1.0, 1.0, 0.8888888888888888];0.7097242380261248;0.7062294658163087;[[1787, 176, 891], [225, 3874, 1330], [348, 1030, 4119]];[0.7572033898305085, 0.7625984251968504, 0.6496845425867508];0.6957403651115619;0.6897058508792225;[[750, 84, 397], [115, 1637, 570], [192, 442, 1729]];[0.7095553453169348, 0.7568192325473879, 0.641320474777448];21.0;[6, 7, 8]
PubMed;own;entropy;0.2;64;0.5;1;0.005;20795212.0;0.8928571428571429;0.890993265993266;[[7, 0, 1], [1, 10, 1], [0, 0, 8]];[0.875, 1.0, 0.8];0.7308502141871778;0.7216481527842779;[[1765, 193, 896], [217, 4257, 959], [382, 1060, 4044]];[0.7466159052453468, 0.7725952813067151, 0.6855399220206815];0.7205882352941176;0.7095994405515446;[[748, 90, 393], [107, 1811, 404], [199, 460, 1704]];[0.7096774193548387, 0.7670478610758154, 0.681327469012395];28.0;[8, 12, 8]
PubMed;own;entropy;0.2;64;0.5;1;0.005;20795212.0;0.9714285714285714;0.9645191409897292;[[8, 0, 1], [0, 16, 0], [0, 0, 10]];[1.0, 1.0, 0.9090909090909091];0.7497457503995351;0.7391677077755746;[[1750, 265, 846], [159, 4639, 643], [252, 1280, 3932]];[0.8098102730217492, 0.7501617076326003, 0.7253274303634016];0.7354631507775524;0.7212716695671743;[[726, 140, 365], [98, 1949, 275], [142, 545, 1676]];[0.7515527950310559, 0.7399392558845862, 0.7236614853195165];35.0;[9, 16, 10]


PubMed;own;entropy;0.2;64;0.5;1;0.005;649695571.0;0.0;0.0;[[]];[];0.25570610825302514;0.13356563489858858;[[791, 617, 137, 371, 67, 57, 832], [627, 1923, 1455, 807, 75, 264, 266], [1089, 884, 815, 701, 329, 1032, 662], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0]];[0.3155165536497806, 0.561623831775701, 0.33859576235978395, 0.0, 0.0, 0.0, 0.0];0.2589587559161596;0.13401608757432149;[[336, 273, 58, 176, 23, 21, 344], [245, 866, 640, 338, 28, 112, 93], [457, 411, 330, 320, 102, 434, 309], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0]];[0.3236994219653179, 0.5587096774193548, 0.321011673151751, 0.0, 0.0, 0.0, 0.0];0.0;[]
PubMed;own;entropy;0.2;64;0.5;1;0.005;649695571.0;0.8571428571428571;0.8222222222222223;[[2, 0, 0], [1, 1, 0], [0, 0, 3]];[0.6666666666666666, 1.0, 1.0];0.6843555168914021;0.665168015040637;[[1428, 242, 1173], [404, 3316, 1690], [144, 701, 4696]];[0.7226720647773279, 0.778586522657901, 0.6212461965868501];0.6881338742393509;0.6721511131104411;[[637, 92, 502], [152, 1429, 741], [67, 291, 2005]];[0.7441588785046729, 0.7886313465783664, 0.6173029556650246];7.0;[2, 2, 3]
