dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Labeled class accuracies;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Unlabeled class accuracies;Test accuracy;Test macro-f1;Test confusion;Test class accuracies;Budget used;Class distrubution
PubMed;own;own;0;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];[];0.06767625534381566;0.03716596821169003;[[17, 1351, 22, 116, 189, 914, 263], [76, 403, 1092, 672, 302, 2657, 215], [72, 506, 514, 355, 1592, 2071, 402], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0]];[0.10303030303030303, 0.17831858407079645, 0.3157248157248157, 0.0, 0.0, 0.0, 0.0];0.06203515889114267;0.03418083259875237;[[7, 564, 15, 54, 91, 384, 116], [28, 147, 489, 306, 120, 1152, 80], [44, 224, 213, 134, 727, 848, 173], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0]];[0.08860759493670886, 0.1572192513368984, 0.29707112970711297, 0.0, 0.0, 0.0, 0.0];0.0;[]
PubMed;own;own;0;64;0.5;1;0.005;20795212.0;0.8571428571428571;0.7878787878787878;[[1, 1], [0, 5]];[1.0, 0.8333333333333334];0.401623894446861;0.21834085532531453;[[132, 2738, 0], [4, 5408, 0], [29, 5483, 0]];[0.8, 0.39680093917382053, nan];0.4011156186612576;0.21780897246678108;[[56, 1175, 0], [5, 2317, 0], [10, 2353, 0]];[0.7887323943661971, 0.3964071856287425, nan];7.0;[2, 5]
PubMed;own;own;0;64;0.5;1;0.005;20795212.0;0.7857142857142857;0.7361111111111112;[[3, 0, 0], [2, 7, 0], [1, 0, 1]];[0.5, 1.0, 1.0];0.48154058170740555;0.40500891039537024;[[2840, 29, 0], [1532, 3756, 120], [3263, 2204, 43]];[0.3719711853307138, 0.6271497745867424, 0.26380368098159507];0.49374577417173765;0.41437453800824436;[[1214, 17, 0], [587, 1688, 47], [1434, 910, 19]];[0.37527047913446676, 0.6455066921606119, 0.2878787878787879];14.0;[3, 9, 2]
PubMed;own;own;0;64;0.5;1;0.005;20795212.0;0.8095238095238095;0.7655555555555554;[[3, 0, 0], [2, 11, 0], [1, 1, 3]];[0.5, 0.9166666666666666, 1.0];0.5182873730043541;0.23856692638184462;[[2393, 461, 2, 4, 0, 9], [401, 4202, 778, 11, 0, 12], [2000, 2927, 547, 7, 6, 20], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]];[0.49916562369628703, 0.553623188405797, 0.41220798794272795, 0.0, 0.0, 0.0];0.5201149425287356;0.2360060262159264;[[1044, 180, 3, 2, 0, 2], [154, 1846, 315, 2, 0, 5], [899, 1261, 187, 4, 6, 6], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]];[0.4978540772532189, 0.5616063279586249, 0.3702970297029703, 0.0, 0.0, 0.0];21.0;[3, 13, 5]
PubMed;own;own;0;64;0.5;1;0.005;20795212.0;0.8214285714285714;0.8137579266611524;[[5, 0, 0], [2, 13, 0], [0, 3, 5]];[0.7142857142857143, 0.8125, 1.0];0.5337254047774631;0.2865436685247892;[[1846, 781, 139, 50, 51], [231, 4947, 181, 27, 16], [1628, 3084, 558, 209, 25], [0, 0, 0, 0, 0], [0, 0, 0, 0, 0]];[0.4982456140350877, 0.5613935542442124, 0.6355353075170843, 0.0, 0.0];0.5327924273157539;0.2838496019989791;[[823, 303, 66, 28, 11], [96, 2133, 68, 19, 6], [735, 1309, 196, 104, 19], [0, 0, 0, 0, 0], [0, 0, 0, 0, 0]];[0.49758162031438935, 0.5695594125500667, 0.593939393939394, 0.0, 0.0];28.0;[5, 15, 8]
PubMed;own;own;0;64;0.5;1;0.005;20795212.0;0.8285714285714286;0.8061002178649237;[[7, 0, 0], [1, 16, 0], [2, 3, 6]];[0.7, 0.8421052631578947, 1.0];0.5687200348685166;0.3172945203876674;[[1556, 1073, 229, 1, 6], [152, 4849, 396, 3, 0], [1529, 2547, 1424, 0, 1], [0, 0, 0, 0, 0], [0, 0, 0, 0, 0]];[0.4806919987642879, 0.5725587436533239, 0.6949731576378722, 0.0, 0.0];0.5736984448951995;0.4002492147826986;[[716, 431, 83, 1], [67, 2095, 160, 0], [688, 1092, 583, 0], [0, 0, 0, 0]];[0.486743711760707, 0.5790491984521835, 0.7058111380145279, 0.0];35.0;[7, 17, 11]


PubMed;own;own;0;64;0.5;1;0.005;649695571.0;0.0;0.0;[[]];[];0.25570610825302514;0.13356563489858858;[[791, 617, 137, 371, 67, 57, 832], [627, 1923, 1455, 807, 75, 264, 266], [1089, 884, 815, 701, 329, 1032, 662], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0]];[0.3155165536497806, 0.561623831775701, 0.33859576235978395, 0.0, 0.0, 0.0, 0.0];0.2589587559161596;0.13401608757432149;[[336, 273, 58, 176, 23, 21, 344], [245, 866, 640, 338, 28, 112, 93], [457, 411, 330, 320, 102, 434, 309], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0]];[0.3236994219653179, 0.5587096774193548, 0.321011673151751, 0.0, 0.0, 0.0, 0.0];0.0;[]
PubMed;own;own;0;64;0.5;1;0.005;649695571.0;1.0;1.0;[[1, 0, 0], [0, 1, 0], [0, 0, 5]];[1.0, 1.0, 1.0];0.6113527620704654;0.5986665254937767;[[1260, 699, 912], [180, 2784, 2452], [83, 1035, 4389]];[0.8273145108338805, 0.6162018592297477, 0.5661034438281956];0.6200135226504395;0.6114737750936162;[[566, 289, 376], [61, 1232, 1029], [34, 459, 1870]];[0.8562783661119516, 0.6222222222222222, 0.5709923664122137];7.0;[1, 1, 5]
