dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Labeled class accuracies;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Unlabeled class accuracies;Test accuracy;Test macro-f1;Test confusion;Test class accuracies;Budget used;Class distrubution
PubMed;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];[];0.06767625534381566;0.03716596821169003;[[17, 1351, 22, 116, 189, 914, 263], [76, 403, 1092, 672, 302, 2657, 215], [72, 506, 514, 355, 1592, 2071, 402], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0]];[0.10303030303030303, 0.17831858407079645, 0.3157248157248157, 0.0, 0.0, 0.0, 0.0];0.06203515889114267;0.03418083259875237;[[7, 564, 15, 54, 91, 384, 116], [28, 147, 489, 306, 120, 1152, 80], [44, 224, 213, 134, 727, 848, 173], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0]];[0.08860759493670886, 0.1572192513368984, 0.29707112970711297, 0.0, 0.0, 0.0, 0.0];0.0;[]
PubMed;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;0.8571428571428571;0.8518518518518517;[[1, 0, 0], [0, 4, 0], [0, 1, 1]];[1.0, 0.8, 1.0];0.5332753371030883;0.4469779132967031;[[571, 2455, 101], [40, 5259, 165], [978, 2699, 1526]];[0.35934550031466334, 0.505041774704696, 0.8515625];0.5116632860040567;0.4096719436031068;[[150, 1056, 25], [20, 2228, 74], [540, 1174, 649]];[0.2112676056338028, 0.4997756841633019, 0.8676470588235294];7.0;[1, 4, 2]
PubMed;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;0.8571428571428571;0.8796296296296297;[[1, 0, 0], [0, 8, 0], [0, 2, 3]];[1.0, 0.8, 1.0];0.5461666787553492;0.2203444186265544;[[353, 2494, 210, 0, 6, 0], [8, 5461, 19, 0, 0, 1], [586, 2906, 1716, 6, 21, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]];[0.3727560718057022, 0.5028082128717429, 0.8822622107969151, 0.0, 0.0, 0.0];0.5289046653144016;0.24422997338021327;[[76, 1079, 69, 0, 7], [5, 2307, 9, 0, 1], [334, 1276, 746, 1, 6], [0, 0, 0, 0, 0], [0, 0, 0, 0, 0]];[0.18313253012048192, 0.4948519948519948, 0.9053398058252428, 0.0, 0.0];14.0;[1, 8, 5]
PubMed;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;0.9047619047619048;0.8757936507936508;[[2, 0, 0], [1, 7, 0], [0, 1, 10]];[0.6666666666666666, 0.875, 1.0];0.7331640058055152;0.7122495342497525;[[1632, 883, 481], [78, 5155, 230], [379, 1626, 3316]];[0.781235040689325, 0.672625260960334, 0.8234417680655575];0.7229546991210277;0.6991000323446744;[[656, 395, 180], [29, 2182, 111], [213, 711, 1439]];[0.7305122494432071, 0.6636253041362531, 0.8317919075144509];21.0;[2, 8, 11]
PubMed;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;[[5, 0, 0], [0, 10, 0], [0, 0, 13]];[1.0, 1.0, 1.0];0.7421041167501634;0.7289350874397993;[[1901, 428, 669], [132, 5020, 330], [448, 1545, 3300]];[0.766223297057638, 0.7178607178607178, 0.7676203768318214];0.7246450304259635;0.7092111891272838;[[761, 197, 273], [58, 2107, 157], [250, 694, 1419]];[0.7118802619270346, 0.7028018679119413, 0.7674418604651163];28.0;[5, 10, 13]
PubMed;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;0.9714285714285714;0.9759139784946237;[[7, 0, 0], [0, 12, 1], [0, 0, 15]];[1.0, 1.0, 0.9375];0.7513438907453145;0.553344450112708;[[1843, 220, 826, 0], [283, 4421, 837, 1], [495, 761, 4079, 0], [0, 0, 0, 0]];[0.7031667302556276, 0.8184005923731951, 0.7103796586555208, 0.0];0.7400270453008789;0.7232792000365763;[[757, 105, 369], [110, 1871, 341], [286, 327, 1750]];[0.6565481352992194, 0.8124185844550587, 0.7113821138211383];35.0;[7, 13, 15]


PubMed;own;pagerank;0.2;64;0.5;1;0.005;649695571.0;0.0;0.0;[[]];[];0.25570610825302514;0.13356563489858858;[[791, 617, 137, 371, 67, 57, 832], [627, 1923, 1455, 807, 75, 264, 266], [1089, 884, 815, 701, 329, 1032, 662], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0]];[0.3155165536497806, 0.561623831775701, 0.33859576235978395, 0.0, 0.0, 0.0, 0.0];0.2589587559161596;0.13401608757432149;[[336, 273, 58, 176, 23, 21, 344], [245, 866, 640, 338, 28, 112, 93], [457, 411, 330, 320, 102, 434, 309], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0]];[0.3236994219653179, 0.5587096774193548, 0.321011673151751, 0.0, 0.0, 0.0, 0.0];0.0;[]
PubMed;own;pagerank;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;[[3, 0, 0], [0, 1, 0], [0, 0, 3]];[1.0, 1.0, 1.0];0.6775409598376105;0.5066994842091911;[[2160, 202, 464, 0], [626, 3401, 1348, 1], [938, 869, 3785, 0], [0, 0, 0, 0]];[0.5800214822771214, 0.7605098389982111, 0.6762551366803645, 0.0];0.6675118323191346;0.6662142257784393;[[936, 85, 210], [269, 1458, 595], [434, 374, 1555]];[0.5710799267846248, 0.7605633802816901, 0.6588983050847458];7.0;[3, 1, 3]
