dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Labeled class accuracies;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Unlabeled class accuracies;Test accuracy;Test macro-f1;Test confusion;Test class accuracies;Budget used;Class distrubution
PubMed;own;random;0;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];[];0.06767625534381566;0.03716596821169003;[[17, 1351, 22, 116, 189, 914, 263], [76, 403, 1092, 672, 302, 2657, 215], [72, 506, 514, 355, 1592, 2071, 402], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0]];[0.10303030303030303, 0.17831858407079645, 0.3157248157248157, 0.0, 0.0, 0.0, 0.0];0.06203515889114267;0.03418083259875237;[[7, 564, 15, 54, 91, 384, 116], [28, 147, 489, 306, 120, 1152, 80], [44, 224, 213, 134, 727, 848, 173], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0]];[0.08860759493670886, 0.1572192513368984, 0.29707112970711297, 0.0, 0.0, 0.0, 0.0];0.0;[]
PubMed;own;random;0;64;0.5;1;0.005;20795212.0;0.8571428571428571;0.8857142857142857;[[3, 0, 0], [1, 2, 0], [0, 0, 1]];[0.75, 1.0, 1.0];0.5048571842830216;0.4370958366055551;[[2740, 84, 45], [1318, 3994, 102], [2398, 2883, 230]];[0.42441140024783147, 0.5737681367619595, 0.610079575596817];0.5054090601757945;0.4337209153108866;[[1177, 32, 22], [538, 1736, 48], [1104, 1182, 77]];[0.4175239446612274, 0.5884745762711865, 0.5238095238095238];7.0;[3, 3, 1]
PubMed;own;random;0;64;0.5;1;0.005;20795212.0;0.8571428571428571;0.8554112554112554;[[3, 0, 0], [0, 5, 0], [1, 1, 4]];[0.75, 0.8333333333333334, 1.0];0.6363966054979329;0.4924420327202661;[[2142, 69, 641, 17], [419, 3555, 1312, 126], [378, 1935, 3077, 116], [0, 0, 0, 0]];[0.7288193263014631, 0.6395035078251484, 0.6117296222664016, 0.0];0.6374239350912779;0.49186625659932554;[[909, 26, 286, 10], [187, 1523, 550, 62], [191, 777, 1339, 56], [0, 0, 0, 0]];[0.7062937062937062, 0.6547721410146173, 0.615632183908046, 0.0];14.0;[3, 5, 6]
PubMed;own;random;0;64;0.5;1;0.005;20795212.0;0.8571428571428571;0.6575163398692812;[[4, 0, 0, 0], [0, 8, 0, 0], [1, 1, 6, 1], [0, 0, 0, 0]];[0.8, 0.8888888888888888, 1.0, 0.0];0.6678519593613933;0.34110795450367;[[2103, 134, 624, 1, 1, 5], [361, 3713, 1266, 1, 16, 52], [328, 1743, 3387, 0, 0, 45], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]];[0.7532234957020058, 0.664221824686941, 0.641841955656623, 0.0, 0.0, 0.0];0.6676808654496281;0.29151889572636475;[[903, 51, 271, 1, 1, 0, 4], [161, 1605, 522, 2, 5, 0, 27], [180, 717, 1442, 4, 0, 1, 19], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0]];[0.7258842443729904, 0.6763590391908976, 0.6451901565995526, 0.0, 0.0, 0.0, 0.0];21.0;[4, 8, 9]
PubMed;own;random;0;64;0.5;1;0.005;20795212.0;0.9285714285714286;0.712962962962963;[[5, 0, 0, 0], [0, 13, 0, 0], [0, 1, 8, 1], [0, 0, 0, 0]];[1.0, 0.9285714285714286, 1.0, 0.0];0.694982937631598;0.297543217022371;[[1695, 457, 584, 27, 4, 97, 3], [91, 5038, 219, 10, 5, 36, 5], [120, 2507, 2839, 5, 1, 29, 1], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0]];[0.8892969569779643, 0.6295926018495376, 0.7795167490389896, 0.0, 0.0, 0.0, 0.0];0.6984448951994591;0.29863697611532386;[[734, 194, 243, 15, 2, 39, 4], [48, 2170, 89, 4, 2, 9, 0], [58, 1058, 1228, 5, 0, 14, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0]];[0.8738095238095238, 0.6341320864991233, 0.7871794871794872, 0.0, 0.0, 0.0, 0.0];28.0;[5, 13, 10]
PubMed;own;random;0;64;0.5;1;0.005;20795212.0;1.0;1.0;[[7, 0, 0], [0, 15, 0], [0, 0, 13]];[1.0, 1.0, 1.0];0.7277349992735725;0.3107846563103588;[[1838, 161, 862, 2, 0, 1, 1], [197, 4624, 575, 2, 1, 2, 1], [180, 1761, 3556, 1, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0]];[0.8297968397291197, 0.7063855789795295, 0.7121970759062688, 0.0, 0.0, 0.0, 0.0];0.736815415821501;0.43943749808744403;[[799, 54, 377, 0, 1], [90, 1996, 236, 0, 0], [95, 702, 1564, 1, 1], [0, 0, 0, 0, 0], [0, 0, 0, 0, 0]];[0.8119918699186992, 0.7252906976744186, 0.718419843821773, 0.0, 0.0];35.0;[7, 15, 13]


PubMed;own;random;0;64;0.5;1;0.005;649695571.0;0.0;0.0;[[]];[];0.25570610825302514;0.13356563489858858;[[791, 617, 137, 371, 67, 57, 832], [627, 1923, 1455, 807, 75, 264, 266], [1089, 884, 815, 701, 329, 1032, 662], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0]];[0.3155165536497806, 0.561623831775701, 0.33859576235978395, 0.0, 0.0, 0.0, 0.0];0.2589587559161596;0.13401608757432149;[[336, 273, 58, 176, 23, 21, 344], [245, 866, 640, 338, 28, 112, 93], [457, 411, 330, 320, 102, 434, 309], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0]];[0.3236994219653179, 0.5587096774193548, 0.321011673151751, 0.0, 0.0, 0.0, 0.0];0.0;[]
PubMed;own;random;0;64;0.5;1;0.005;649695571.0;0.7142857142857143;0.7000000000000001;[[2, 0, 0], [1, 1, 0], [0, 1, 2]];[0.6666666666666666, 0.5, 1.0];0.5772074815137016;0.29104291392610593;[[330, 313, 2216, 1, 10], [96, 4367, 948, 3, 1], [34, 2206, 3265, 0, 4], [0, 0, 0, 0, 0], [0, 0, 0, 0, 0]];[0.717391304347826, 0.634185303514377, 0.5078550318867631, 0.0, 0.0];0.5944895199459094;0.30084490552559046;[[150, 120, 959, 0, 2], [40, 1898, 382, 2, 0], [12, 882, 1469, 0, 0], [0, 0, 0, 0, 0], [0, 0, 0, 0, 0]];[0.7425742574257426, 0.6544827586206896, 0.5227758007117438, 0.0, 0.0];7.0;[2, 2, 3]
