dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Labeled class accuracies;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Unlabeled class accuracies;Test accuracy;Test macro-f1;Test confusion;Test class accuracies;Budget used;Class distrubution
PubMed;own;entropy;0.2;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];[];0.3337439315991595;0.32736040447235754;[[967, 934, 971], [1800, 1826, 1791], [1899, 1800, 1813]];[0.20724389198456922, 0.4004385964912281, 0.3962841530054645];0.33400946585530766;0.3280719992745671;[[425, 410, 396], [773, 797, 752], [777, 832, 754]];[0.21518987341772153, 0.3908778813143698, 0.3964248159831756];0.0;[]
PubMed;own;entropy;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;[[1, 0, 0], [0, 3, 0], [0, 0, 3]];[1.0, 1.0, 1.0];0.5343627664201827;0.5216949633299325;[[1369, 680, 822], [989, 2739, 1692], [823, 1417, 3263]];[0.43036780886513676, 0.5663771712158809, 0.5648260342738446];0.539553752535497;0.5259477913759252;[[590, 293, 348], [428, 1206, 688], [390, 577, 1396]];[0.4190340909090909, 0.5809248554913294, 0.5740131578947368];7.0;[1, 3, 3]
PubMed;own;entropy;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;[[1, 0, 0], [0, 9, 0], [0, 0, 4]];[1.0, 1.0, 1.0];0.6023065206353811;0.551892281438447;[[839, 1511, 459], [279, 4692, 515], [457, 2262, 2773]];[0.5326984126984127, 0.5542823390431187, 0.7400587136375767];0.5855307640297498;0.5356740164225404;[[353, 676, 202], [116, 1977, 229], [206, 1023, 1134]];[0.522962962962963, 0.5378128400435256, 0.7246006389776358];14.0;[1, 9, 4]
PubMed;own;entropy;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;[[1, 0, 0], [0, 9, 0], [0, 0, 5]];[1.0, 1.0, 1.0];0.6007543885100827;0.5496057152200818;[[825, 1536, 448], [275, 4677, 534], [467, 2244, 2780]];[0.5264837268666241, 0.5530329904221355, 0.7389686337054758];0.5806288032454361;0.5293555985538281;[[341, 670, 220], [118, 1966, 238], [202, 1033, 1128]];[0.5158850226928896, 0.5358408285636413, 0.7112232030264817];15.0;[1, 9, 5]


PubMed;own;entropy;0.2;64;0.5;1;0.005;649695571.0;0.0;0.0;[[]];[];0.3305557568292153;0.32492580792566206;[[992, 955, 925], [1793, 1735, 1889], [1845, 1832, 1835]];[0.2142548596112311, 0.3836797877045555, 0.39470853947085394];0.3307978363759297;0.32300671556267774;[[386, 414, 431], [777, 817, 728], [805, 804, 754]];[0.19613821138211382, 0.4014742014742015, 0.3941453214845792];0.0;[]
PubMed;own;entropy;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;[[3, 0], [0, 4]];[1.0, 1.0];0.4432361896476729;0.3524345082819577;[[979, 383, 1502], [1135, 281, 3868], [538, 254, 4854]];[0.3691553544494721, 0.30610021786492375, 0.47476525821596244];0.4322177146720757;0.3497771422733107;[[441, 156, 634], [504, 122, 1696], [253, 116, 1994]];[0.36811352253756263, 0.3096446700507614, 0.4611470860314524];7.0;[3, 0, 4]
PubMed;own;entropy;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;[[5, 0, 0], [0, 3, 0], [0, 0, 6]];[1.0, 1.0, 1.0];0.4879234061072024;0.4298912105449833;[[1033, 433, 1400], [1298, 1088, 2893], [650, 386, 4606]];[0.3465280107346528, 0.5705296276874672, 0.5175862456455782];0.48292765382014874;0.4324742466404678;[[471, 187, 573], [564, 485, 1273], [285, 177, 1901]];[0.3568181818181818, 0.5712603062426383, 0.507339204697091];14.0;[5, 3, 6]
PubMed;own;entropy;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;[[6, 0, 0], [0, 3, 0], [0, 0, 6]];[1.0, 1.0, 1.0];0.490134919483534;0.4348210096550837;[[1105, 425, 1335], [1313, 1073, 2893], [665, 398, 4579]];[0.3584171261758028, 0.5659282700421941, 0.5199273305325309];0.4851250845165652;0.43680789782382173;[[511, 195, 525], [585, 468, 1269], [308, 164, 1891]];[0.36396011396011396, 0.56590084643289, 0.5131614654002714];15.0;[6, 3, 6]


PubMed;own;entropy;0.2;64;0.5;1;0.005;831763849.0;0.0;0.0;[[]];[];0.32896166944424315;0.32183315486372277;[[921, 935, 1016], [1770, 1792, 1855], [1841, 1844, 1827]];[0.2032215357458076, 0.39203675344563554, 0.3888888888888889];0.33384043272481406;0.32604995461055963;[[390, 422, 419], [800, 799, 723], [771, 806, 786]];[0.1988781234064253, 0.39417858904785397, 0.40767634854771784];0.0;[]
PubMed;own;entropy;0.2;64;0.5;1;0.005;831763849.0;1.0;1.0;[[2, 0, 0], [0, 2, 0], [0, 0, 3]];[1.0, 1.0, 1.0];0.5874293170943888;0.5216365813768155;[[589, 707, 1535], [360, 3289, 1778], [365, 946, 4225]];[0.4482496194824962, 0.6655200323755565, 0.5604934996020164];0.5835023664638269;0.5175581566734501;[[249, 325, 657], [142, 1399, 781], [158, 401, 1804]];[0.453551912568306, 0.6583529411764706, 0.5564466378778532];7.0;[2, 2, 3]
PubMed;own;entropy;0.2;64;0.5;1;0.005;831763849.0;1.0;1.0;[[3, 0, 0], [0, 5, 0], [0, 0, 6]];[1.0, 1.0, 1.0];0.5968666134764633;0.5331413107658033;[[631, 894, 1298], [352, 3443, 1614], [383, 1017, 4155]];[0.46193265007320644, 0.6430706014194995, 0.5879439649073157];0.5895875591615957;0.5294571462872094;[[279, 387, 565], [120, 1445, 757], [161, 438, 1764]];[0.4982142857142857, 0.6365638766519823, 0.5716137394685677];14.0;[3, 5, 6]
PubMed;own;entropy;0.2;64;0.5;1;0.005;831763849.0;1.0;1.0;[[4, 0, 0], [0, 5, 0], [0, 0, 6]];[1.0, 1.0, 1.0];0.6030755839257217;0.5466988956256434;[[724, 879, 1224], [350, 3469, 1587], [398, 1034, 4121]];[0.49184782608695654, 0.6445559271646228, 0.5944893248701674];0.5943204868154158;0.5420070003381728;[[325, 362, 544], [154, 1429, 739], [177, 424, 1762]];[0.4954268292682927, 0.6451467268623025, 0.5786535303776683];15.0;[4, 5, 6]


PubMed;own;entropy;0.2;64;0.5;1;0.005;615395017.0;0.0;0.0;[[]];[];0.3383812767190783;0.3325934490476434;[[1014, 918, 940], [1788, 1783, 1846], [1809, 1830, 1873]];[0.2199089134677944, 0.393511366144339, 0.4020176003434213];0.3291075050709939;0.3219169750101694;[[394, 429, 408], [799, 747, 776], [783, 774, 806]];[0.19939271255060728, 0.3830769230769231, 0.4050251256281407];0.0;[]
PubMed;own;entropy;0.2;64;0.5;1;0.005;615395017.0;1.0;1.0;[[2, 0, 0], [0, 2, 0], [0, 0, 3]];[1.0, 1.0, 1.0];0.5925039872408293;0.5602342181827941;[[1099, 888, 888], [591, 3546, 1266], [958, 1030, 3528]];[0.41503021148036257, 0.6489751098096632, 0.6209081309398099];0.5936443542934415;0.5602410296370054;[[464, 395, 372], [271, 1525, 526], [387, 453, 1523]];[0.41354723707664887, 0.6426464391066161, 0.6290788930194134];7.0;[2, 2, 3]
PubMed;own;entropy;0.2;64;0.5;1;0.005;615395017.0;1.0;1.0;[[4, 0, 0], [0, 4, 0], [0, 0, 6]];[1.0, 1.0, 1.0];0.6060056575034453;0.5788569107980962;[[1180, 851, 842], [480, 3388, 1524], [644, 1091, 3787]];[0.5121527777777778, 0.6356472795497186, 0.6154721274175199];0.598208248816768;0.5690374837658821;[[479, 377, 375], [209, 1447, 666], [257, 493, 1613]];[0.5068783068783069, 0.6245144583513164, 0.6077618688771665];14.0;[4, 4, 6]
PubMed;own;entropy;0.2;64;0.5;1;0.005;615395017.0;1.0;1.0;[[4, 0, 0], [0, 5, 0], [0, 0, 6]];[1.0, 1.0, 1.0];0.6024952850718119;0.574360259545329;[[1145, 859, 869], [487, 3467, 1438], [608, 1219, 3694]];[0.5111607142857143, 0.6252479711451758, 0.6155640726545576];0.600236646382691;0.572523115983092;[[493, 388, 350], [214, 1482, 626], [266, 521, 1576]];[0.5066803699897225, 0.6198243412797992, 0.6175548589341693];15.0;[4, 5, 6]


PubMed;own;entropy;0.2;64;0.5;1;0.005;2140929057.0;0.0;0.0;[[]];[];0.33367147308166073;0.3268735641617383;[[952, 927, 993], [1817, 1780, 1820], [1849, 1790, 1873]];[0.2061498484192291, 0.39581943517900825, 0.39970123772940674];0.3277552400270453;0.32086350885036063;[[395, 422, 414], [790, 781, 751], [820, 780, 763]];[0.1970074812967581, 0.39384770549672216, 0.39574688796680496];0.0;[]
PubMed;own;entropy;0.2;64;0.5;1;0.005;2140929057.0;1.0;1.0;[[2, 0, 0], [0, 2, 0], [0, 0, 3]];[1.0, 1.0, 1.0];0.5063795853269537;0.48897892727357317;[[1073, 914, 878], [419, 2501, 2424], [727, 1447, 3411]];[0.4835511491662911, 0.5143973673385438, 0.5081185758975123];0.5020283975659229;0.48396429884408637;[[455, 401, 375], [210, 1074, 1038], [313, 609, 1441]];[0.4652351738241309, 0.5153550863723608, 0.5049053959355291];7.0;[2, 2, 3]
PubMed;own;entropy;0.2;64;0.5;1;0.005;2140929057.0;1.0;1.0;[[4, 0, 0], [0, 3, 0], [0, 0, 7]];[1.0, 1.0, 1.0];0.550663668673388;0.5178567679226934;[[1021, 734, 1093], [357, 2172, 2809], [422, 780, 4399]];[0.5672222222222222, 0.5892566467715681, 0.5299361522708107];0.5529073698444895;0.5258796905277027;[[480, 310, 441], [160, 946, 1216], [207, 311, 1845]];[0.5667060212514758, 0.6037013401403957, 0.5268418046830383];14.0;[4, 3, 7]
PubMed;own;entropy;0.2;64;0.5;1;0.005;2140929057.0;1.0;1.0;[[4, 0, 0], [0, 3, 0], [0, 0, 8]];[1.0, 1.0, 1.0];0.558102422747715;0.5232626112159523;[[1024, 759, 1065], [346, 2151, 2841], [398, 683, 4519]];[0.579185520361991, 0.5986640690231004, 0.536379821958457];0.5608519269776876;0.5316375996951339;[[477, 300, 454], [161, 946, 1215], [188, 280, 1895]];[0.5774818401937046, 0.6199213630406291, 0.5317059483726151];15.0;[4, 3, 8]


PubMed;own;entropy;0.2;64;0.5;1;0.005;1240197975.0;0.0;0.0;[[]];[];0.33867111078907325;0.33227274238954746;[[988, 957, 927], [1829, 1784, 1804], [1851, 1759, 1902]];[0.21165381319622964, 0.39644444444444443, 0.41053313187999135];0.3286004056795132;0.3228109145191938;[[419, 407, 405], [754, 743, 825], [793, 788, 782]];[0.2131230925737538, 0.38338493292053666, 0.38866799204771374];0.0;[]
PubMed;own;entropy;0.2;64;0.5;1;0.005;1240197975.0;1.0;1.0;[[1, 0, 0], [0, 2, 0], [0, 0, 4]];[1.0, 1.0, 1.0];0.5643033202841815;0.4804865169771629;[[392, 1605, 836], [198, 4398, 898], [292, 2181, 2994]];[0.4444444444444444, 0.5373900293255132, 0.633248730964467];0.5672751859364435;0.48672506801965687;[[183, 657, 391], [70, 1888, 364], [118, 960, 1285]];[0.49326145552560646, 0.5386590584878744, 0.6299019607843137];7.0;[1, 2, 4]
PubMed;own;entropy;0.2;64;0.5;1;0.005;1240197975.0;1.0;1.0;[[4, 0, 0], [0, 4, 0], [0, 0, 6]];[1.0, 1.0, 1.0];0.5948357148038007;0.5591390328064186;[[977, 1166, 692], [368, 4209, 917], [383, 2060, 3015]];[0.5653935185185185, 0.5661062542030935, 0.6520328719723183];0.5890804597701149;0.5541520747197436;[[420, 503, 308], [145, 1781, 396], [179, 900, 1284]];[0.5645161290322581, 0.559359296482412, 0.6458752515090543];14.0;[4, 4, 6]
