dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Labeled class accuracies;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Unlabeled class accuracies;Test accuracy;Test macro-f1;Test confusion;Test class accuracies;Budget used;Class distrubution
PubMed;own;entropy;0;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];[];0.3337439315991595;0.32736040447235754;[[967, 934, 971], [1800, 1826, 1791], [1899, 1800, 1813]];[0.20724389198456922, 0.4004385964912281, 0.3962841530054645];0.33400946585530766;0.3280719992745671;[[425, 410, 396], [773, 797, 752], [777, 832, 754]];[0.21518987341772153, 0.3908778813143698, 0.3964248159831756];0.0;[]
PubMed;own;entropy;0;64;0.5;1;0.005;20795212.0;1.0;1.0;[[1, 0, 0], [0, 3, 0], [0, 0, 3]];[1.0, 1.0, 1.0];0.5326228795128317;0.5201443009088119;[[1368, 680, 823], [989, 2725, 1700], [824, 1431, 3254]];[0.4300534423137378, 0.5634822167080231, 0.563268132248572];0.539553752535497;0.5259477913759252;[[590, 293, 348], [428, 1206, 688], [390, 577, 1396]];[0.4190340909090909, 0.5809248554913294, 0.5740131578947368];7.0;[1, 3, 3]
PubMed;own;entropy;0;64;0.5;1;0.005;20795212.0;1.0;1.0;[[1, 0, 0], [0, 9, 0], [0, 0, 4]];[1.0, 1.0, 1.0];0.594618118517444;0.5453764891991283;[[838, 1563, 470], [279, 4606, 523], [458, 2296, 2754]];[0.532063492063492, 0.5441228588304784, 0.7349879903923139];0.5855307640297498;0.5356740164225404;[[353, 676, 202], [116, 1977, 229], [206, 1023, 1134]];[0.522962962962963, 0.5378128400435256, 0.7246006389776358];14.0;[1, 9, 4]
PubMed;own;entropy;0;64;0.5;1;0.005;20795212.0;1.0;1.0;[[1, 0, 0], [0, 9, 0], [0, 0, 5]];[1.0, 1.0, 1.0];0.5930654286957783;0.5431102568550122;[[824, 1588, 459], [275, 4591, 542], [468, 2278, 2761]];[0.5258455647734525, 0.542863899728036, 0.7339181286549707];0.5806288032454361;0.5293555985538281;[[341, 670, 220], [118, 1966, 238], [202, 1033, 1128]];[0.5158850226928896, 0.5358408285636413, 0.7112232030264817];15.0;[1, 9, 5]


PubMed;own;entropy;0;64;0.5;1;0.005;649695571.0;0.0;0.0;[[]];[];0.3305557568292153;0.32492580792566206;[[992, 955, 925], [1793, 1735, 1889], [1845, 1832, 1835]];[0.2142548596112311, 0.3836797877045555, 0.39470853947085394];0.3307978363759297;0.32300671556267774;[[386, 414, 431], [777, 817, 728], [805, 804, 754]];[0.19613821138211382, 0.4014742014742015, 0.3941453214845792];0.0;[]
PubMed;own;entropy;0;64;0.5;1;0.005;649695571.0;1.0;1.0;[[3, 0], [0, 4]];[1.0, 1.0];0.43192692474989125;0.3456955138495174;[[964, 383, 1522], [1147, 281, 3989], [541, 254, 4713]];[0.363499245852187, 0.30610021786492375, 0.4609741784037559];0.4322177146720757;0.3497771422733107;[[441, 156, 634], [504, 122, 1696], [253, 116, 1994]];[0.36811352253756263, 0.3096446700507614, 0.4611470860314524];7.0;[3, 0, 4]
PubMed;own;entropy;0;64;0.5;1;0.005;649695571.0;1.0;1.0;[[5, 0, 0], [0, 3, 0], [0, 0, 6]];[1.0, 1.0, 1.0];0.47486762892579965;0.419532268189212;[[1008, 439, 1420], [1318, 1078, 3018], [655, 390, 4461]];[0.33814156323381417, 0.5652857891976927, 0.5012922800314642];0.48292765382014874;0.4324742466404678;[[471, 187, 573], [564, 485, 1273], [285, 177, 1901]];[0.3568181818181818, 0.5712603062426383, 0.507339204697091];14.0;[5, 3, 6]
PubMed;own;entropy;0;64;0.5;1;0.005;649695571.0;1.0;1.0;[[6, 0, 0], [0, 3, 0], [0, 0, 6]];[1.0, 1.0, 1.0];0.47707819527056433;0.4244991049939908;[[1080, 431, 1355], [1333, 1063, 3018], [670, 402, 4434]];[0.3503081414206941, 0.5606540084388185, 0.5034631543090723];0.4851250845165652;0.43680789782382173;[[511, 195, 525], [585, 468, 1269], [308, 164, 1891]];[0.36396011396011396, 0.56590084643289, 0.5131614654002714];15.0;[6, 3, 6]
