dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Labeled class accuracies;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Unlabeled class accuracies;Test accuracy;Test macro-f1;Test confusion;Test class accuracies;Budget used;Class distrubution
PubMed;own;medoids;0;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];[];0.3337439315991595;0.32736040447235754;[[967, 934, 971], [1800, 1826, 1791], [1899, 1800, 1813]];[0.20724389198456922, 0.4004385964912281, 0.3962841530054645];0.33400946585530766;0.3280719992745671;[[425, 410, 396], [773, 797, 752], [777, 832, 754]];[0.21518987341772153, 0.3908778813143698, 0.3964248159831756];0.0;[]
PubMed;own;medoids;0;64;0.5;1;0.005;20795212.0;1.0;1.0;[[2, 0], [0, 5]];[1.0, 1.0];0.5108742931709439;0.45982611376660415;[[1595, 967, 308], [483, 4688, 241], [1325, 3423, 764]];[0.4687040846312078, 0.516413306895792, 0.5818735719725818];0.5103110209601082;0.45441136836367285;[[697, 413, 121], [191, 2036, 95], [610, 1467, 286]];[0.4652870493991989, 0.5199182839632278, 0.5697211155378487];7.0;[2, 5]
PubMed;own;medoids;0;64;0.5;1;0.005;20795212.0;1.0;1.0;[[3, 0, 0], [0, 8, 0], [0, 0, 3]];[1.0, 1.0, 1.0];0.6604047290926235;0.6298516537547048;[[1348, 851, 670], [410, 4657, 342], [664, 1745, 3100]];[0.5565648224607762, 0.642079139666345, 0.7538910505836576];0.6609195402298851;0.6304936575917468;[[585, 385, 261], [162, 2009, 151], [311, 736, 1316]];[0.552930056710775, 0.64185303514377, 0.7615740740740741];14.0;[3, 8, 3]
PubMed;own;medoids;0;64;0.5;1;0.005;20795212.0;1.0;1.0;[[3, 0, 0], [0, 9, 0], [0, 0, 3]];[1.0, 1.0, 1.0];0.6596547221819237;0.6280544509695076;[[1318, 891, 660], [418, 4655, 335], [637, 1751, 3121]];[0.5554150863885378, 0.6379333972865561, 0.7582604470359572];0.6643002028397565;0.6339300254995426;[[585, 380, 266], [145, 2024, 153], [299, 743, 1321]];[0.5685131195335277, 0.6431522084524944, 0.7591954022988506];15.0;[3, 9, 3]


PubMed;own;medoids;0;64;0.5;1;0.005;649695571.0;0.0;0.0;[[]];[];0.3305557568292153;0.32492580792566206;[[992, 955, 925], [1793, 1735, 1889], [1845, 1832, 1835]];[0.2142548596112311, 0.3836797877045555, 0.39470853947085394];0.3307978363759297;0.32300671556267774;[[386, 414, 431], [777, 817, 728], [805, 804, 754]];[0.19613821138211382, 0.4014742014742015, 0.3941453214845792];0.0;[]
PubMed;own;medoids;0;64;0.5;1;0.005;649695571.0;1.0;1.0;[[4, 0, 0], [0, 1, 0], [0, 0, 2]];[1.0, 1.0, 1.0];0.2594606350587212;0.24815762497766225;[[1709, 357, 802], [1502, 500, 3414], [3773, 367, 1370]];[0.24470217640320732, 0.4084967320261438, 0.24525599713569637];0.2650439486139283;0.25551271514602086;[[744, 147, 340], [611, 241, 1470], [1634, 146, 583]];[0.24891267982602877, 0.45131086142322097, 0.24362724613455913];7.0;[4, 1, 2]
PubMed;own;medoids;0;64;0.5;1;0.005;649695571.0;1.0;1.0;[[8, 0, 0], [0, 2, 0], [0, 0, 4]];[1.0, 1.0, 1.0];0.3091317908174367;0.30552484054293466;[[2039, 330, 495], [1318, 929, 3168], [3752, 462, 1294]];[0.2868195245463497, 0.5398024404416037, 0.26104498688723016];0.3145706558485463;0.3116963093968211;[[893, 131, 207], [558, 423, 1341], [1606, 212, 545]];[0.2921164540399084, 0.5522193211488251, 0.2603917821309126];14.0;[8, 2, 4]
PubMed;own;medoids;0;64;0.5;1;0.005;649695571.0;1.0;1.0;[[8, 0, 0], [0, 2, 0], [0, 0, 5]];[1.0, 1.0, 1.0];0.3177861598723343;0.3138736830381188;[[2032, 344, 488], [1317, 935, 3163], [3638, 455, 1414]];[0.29082581937884644, 0.5392156862745098, 0.27917077986179667];0.3209939148073022;0.3172910366803164;[[896, 148, 187], [559, 416, 1347], [1577, 199, 587]];[0.2955145118733509, 0.54521625163827, 0.2767562470532768];15.0;[8, 2, 5]


PubMed;own;medoids;0;64;0.5;1;0.005;831763849.0;0.0;0.0;[[]];[];0.32896166944424315;0.32183315486372277;[[921, 935, 1016], [1770, 1792, 1855], [1841, 1844, 1827]];[0.2032215357458076, 0.39203675344563554, 0.3888888888888889];0.33384043272481406;0.32604995461055963;[[390, 422, 419], [800, 799, 723], [771, 806, 786]];[0.1988781234064253, 0.39417858904785397, 0.40767634854771784];0.0;[]
PubMed;own;medoids;0;64;0.5;1;0.005;831763849.0;1.0;1.0;[[4, 0], [0, 3]];[1.0, 1.0];0.5809047411918226;0.5053159902696663;[[481, 1044, 1347], [335, 3431, 1647], [320, 1088, 4101]];[0.4234154929577465, 0.6167535502426749, 0.5780126849894291];0.5816430020283976;0.50704937727807;[[209, 461, 561], [117, 1505, 700], [129, 507, 1727]];[0.4593406593406593, 0.6085725839061868, 0.5779785809906292];7.0;[0, 4, 3]
PubMed;own;medoids;0;64;0.5;1;0.005;831763849.0;1.0;1.0;[[2, 0, 0], [0, 5, 0], [0, 0, 7]];[1.0, 1.0, 1.0];0.5873649089722202;0.5226519245962181;[[640, 683, 1547], [430, 2868, 2114], [318, 597, 4590]];[0.4610951008645533, 0.6914175506268081, 0.5562962065204218];0.5821501014198783;0.5210138116834737;[[280, 283, 668], [173, 1264, 885], [158, 305, 1900]];[0.4582651391162029, 0.6825053995680346, 0.5502461627570229];14.0;[2, 5, 7]
PubMed;own;medoids;0;64;0.5;1;0.005;831763849.0;1.0;1.0;[[2, 0, 0], [0, 5, 0], [0, 0, 8]];[1.0, 1.0, 1.0];0.5849412447410416;0.5201593340575716;[[630, 709, 1531], [387, 2870, 2155], [311, 629, 4564]];[0.4743975903614458, 0.6820342205323194, 0.5532121212121213];0.5829952670723462;0.5253838438941328;[[301, 281, 649], [181, 1236, 905], [154, 297, 1912]];[0.47327044025157233, 0.681367144432194, 0.5516445470282747];15.0;[2, 5, 8]


PubMed;own;medoids;0;64;0.5;1;0.005;615395017.0;0.0;0.0;[[]];[];0.3383812767190783;0.3325934490476434;[[1014, 918, 940], [1788, 1783, 1846], [1809, 1830, 1873]];[0.2199089134677944, 0.393511366144339, 0.4020176003434213];0.3291075050709939;0.3219169750101694;[[394, 429, 408], [799, 747, 776], [783, 774, 806]];[0.19939271255060728, 0.3830769230769231, 0.4050251256281407];0.0;[]
PubMed;own;medoids;0;64;0.5;1;0.005;615395017.0;1.0;1.0;[[1, 0, 0], [0, 2, 0], [0, 0, 4]];[1.0, 1.0, 1.0];0.44084384515006525;0.4338194442879499;[[1062, 608, 1201], [498, 1829, 3088], [476, 1842, 3190]];[0.5216110019646365, 0.42743631689647116, 0.4265276106431341];0.43289384719405005;0.42982253896614453;[[459, 254, 518], [178, 794, 1350], [221, 834, 1308]];[0.534965034965035, 0.4218916046758767, 0.41183879093198994];7.0;[1, 2, 4]
PubMed;own;medoids;0;64;0.5;1;0.005;615395017.0;1.0;1.0;[[4, 0, 0], [0, 2, 0], [0, 0, 8]];[1.0, 1.0, 1.0];0.5272358018423152;0.4967133839515248;[[1211, 364, 1293], [555, 1659, 3201], [641, 464, 4399]];[0.5031159119235563, 0.6670687575392038, 0.4946587203418419];0.5212981744421906;0.49323909405375965;[[528, 155, 548], [207, 699, 1416], [303, 203, 1857]];[0.5086705202312138, 0.6613055818353831, 0.48599842973043705];14.0;[4, 2, 8]
