dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Labeled class accuracies;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Unlabeled class accuracies;Test accuracy;Test macro-f1;Test confusion;Test class accuracies;Budget used;Class distrubution
PubMed;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];[];0.3337439315991595;0.32736040447235754;[[967, 934, 971], [1800, 1826, 1791], [1899, 1800, 1813]];[0.20724389198456922, 0.4004385964912281, 0.3962841530054645];0.33400946585530766;0.3280719992745671;[[425, 410, 396], [773, 797, 752], [777, 832, 754]];[0.21518987341772153, 0.3908778813143698, 0.3964248159831756];0.0;[]
PubMed;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;[[1, 0, 0], [0, 4, 0], [0, 0, 2]];[1.0, 1.0, 1.0];0.5972161809482384;0.4914839072426515;[[294, 1696, 848], [195, 4944, 339], [259, 2219, 3000]];[0.393048128342246, 0.5580765323399932, 0.7165034631000716];0.5924611223799865;0.48783053779771984;[[123, 766, 342], [86, 2091, 145], [135, 937, 1291]];[0.35755813953488375, 0.5511333684765419, 0.7260967379077615];7.0;[1, 4, 2]
PubMed;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;[[2, 0, 0], [0, 6, 0], [0, 0, 6]];[1.0, 1.0, 1.0];0.6434322187567999;0.5357233495715111;[[332, 1144, 1357], [191, 4656, 615], [339, 1270, 3883]];[0.3851508120649652, 0.6585572842998586, 0.6631938514090521];0.6293103448275862;0.5218526622117775;[[132, 548, 551], [76, 1947, 299], [131, 588, 1644]];[0.3893805309734513, 0.6315277327278624, 0.6591820368885325];14.0;[2, 6, 6]
PubMed;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;[[2, 0, 0], [0, 6, 0], [0, 0, 7]];[1.0, 1.0, 1.0];0.6436239663426665;0.5374518948730542;[[344, 1150, 1333], [179, 4641, 642], [356, 1253, 3888]];[0.391353811149033, 0.6588586030664395, 0.663141736312468];0.6331981068289385;0.5277013157435119;[[142, 532, 557], [59, 1955, 308], [132, 582, 1649]];[0.4264264264264264, 0.6370153144346693, 0.6559268098647574];15.0;[2, 6, 7]


PubMed;own;pagerank;0.2;64;0.5;1;0.005;649695571.0;0.0;0.0;[[]];[];0.3305557568292153;0.32492580792566206;[[992, 955, 925], [1793, 1735, 1889], [1845, 1832, 1835]];[0.2142548596112311, 0.3836797877045555, 0.39470853947085394];0.3307978363759297;0.32300671556267774;[[386, 414, 431], [777, 817, 728], [805, 804, 754]];[0.19613821138211382, 0.4014742014742015, 0.3941453214845792];0.0;[]
PubMed;own;pagerank;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;[[1, 0, 0], [0, 3, 0], [0, 0, 3]];[1.0, 1.0, 1.0];0.4963027403218791;0.46289077747997504;[[918, 860, 1086], [334, 1759, 3030], [429, 1209, 4169]];[0.546103509815586, 0.459508881922675, 0.5031985515992758];0.4802231237322515;0.4538820664559153;[[402, 371, 458], [147, 765, 1410], [191, 498, 1674]];[0.5432432432432432, 0.46817625458996326, 0.47261434217955955];7.0;[1, 3, 3]
PubMed;own;pagerank;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;[[3, 0, 0], [0, 4, 0], [0, 0, 7]];[1.0, 1.0, 1.0];0.5233190686878944;0.5018415624541327;[[1069, 781, 1011], [308, 2113, 2828], [419, 1225, 4033]];[0.5952115812917594, 0.512988589463462, 0.5123221544715447];0.49611223799864773;0.4799147152395304;[[461, 343, 427], [139, 845, 1338], [184, 550, 1629]];[0.5880102040816326, 0.4861910241657077, 0.47996464348850915];14.0;[3, 4, 7]
PubMed;own;pagerank;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;[[3, 0, 0], [0, 4, 0], [0, 0, 8]];[1.0, 1.0, 1.0];0.5241549397939939;0.5023073924075904;[[1066, 773, 1022], [312, 2118, 2819], [415, 1219, 4042]];[0.5945343000557725, 0.5153284671532846, 0.5127489534441203];0.4969574036511156;0.47972452346381206;[[455, 335, 441], [138, 852, 1332], [187, 543, 1633]];[0.5833333333333334, 0.49248554913294795, 0.4794480328831474];15.0;[3, 4, 8]
