dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;corruption;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Labeled class accuracies;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Unlabeled class accuracies;Test accuracy;Test macro-f1;Test confusion;Test class accuracies;Budget used;Class distrubution
PubMed;own;pagerank;0;64;0.5;1;0.005;0;20795212.0;0.0;0.0;[[]];[];0.05202521556408956;0.03504249309793074;[[110, 99, 539, 25, 26, 1982, 91], [100, 158, 405, 23, 26, 4666, 39], [488, 249, 450, 24, 263, 3999, 39], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0]];[0.15759312320916904, 0.31225296442687744, 0.32281205164992827, 0.0, 0.0, 0.0, 0.0];0.053076402974983096;0.036892439377633535;[[56, 51, 184, 5, 17, 870, 48], [44, 80, 183, 6, 11, 1988, 10], [200, 100, 178, 9, 128, 1734, 14], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0]];[0.18666666666666668, 0.3463203463203463, 0.326605504587156, 0.0, 0.0, 0.0, 0.0];0.0;[]
PubMed;own;pagerank;0;64;0.5;1;0.005;0;20795212.0;0.7142857142857143;0.6;[[1, 0, 0], [0, 4, 0], [0, 2, 0]];[1.0, 0.6666666666666666, nan];0.3943018703784254;0.1941207677018002;[[26, 2845, 0], [0, 5413, 0], [0, 5510, 0]];[1.0, 0.393158047646717, nan];0.3943542934415145;0.19406538869142562;[[11, 1220, 0], [0, 2322, 0], [0, 2363, 0]];[1.0, 0.39322607959356476, nan];7.0;[1, 4, 2]
PubMed;own;pagerank;0;64;0.5;1;0.005;0;20795212.0;0.5;0.2222222222222222;[[0, 2, 0], [0, 7, 0], [0, 5, 0]];[nan, 0.5, nan];0.3923986363966055;0.18787657793752496;[[0, 2870, 0], [0, 5410, 0], [0, 5507, 0]];[nan, 0.3923986363966055, nan];0.3924949290060852;0.18790968681718864;[[0, 1231, 0], [0, 2322, 0], [0, 2363, 0]];[nan, 0.3924949290060852, nan];14.0;[2, 7, 5]
PubMed;own;pagerank;0;64;0.5;1;0.005;0;20795212.0;0.4666666666666667;0.21212121212121213;[[0, 2, 0], [0, 7, 0], [0, 6, 0]];[nan, 0.4666666666666667, nan];0.39242709995647757;0.18788636521497534;[[0, 2870, 0], [0, 5410, 0], [0, 5506, 0]];[nan, 0.39242709995647757, nan];0.3924949290060852;0.18790968681718864;[[0, 1231, 0], [0, 2322, 0], [0, 2363, 0]];[nan, 0.3924949290060852, nan];15.0;[2, 7, 6]


PubMed;own;pagerank;0;64;0.5;1;0.005;0;649695571.0;0.0;0.0;[[]];[];0.2394754003333092;0.09269631996409008;[[69, 75, 403, 1511, 731, 7, 76], [82, 164, 2253, 1911, 963, 0, 44], [60, 49, 3072, 1313, 980, 3, 35], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0]];[0.32701421800947866, 0.5694444444444444, 0.5363128491620112, 0.0, 0.0, 0.0, 0.0];0.24019607843137256;0.09054390550413594;[[17, 36, 161, 678, 293, 8, 38], [37, 61, 947, 828, 421, 0, 28], [24, 27, 1343, 561, 396, 0, 12], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0]];[0.21794871794871795, 0.49193548387096775, 0.5479396164830681, 0.0, 0.0, 0.0, 0.0];0.0;[]
PubMed;own;pagerank;0;64;0.5;1;0.005;0;649695571.0;0.5714285714285714;0.36363636363636365;[[0, 3], [0, 4]];[nan, 0.5714285714285714];0.3993765405248659;0.19044118950661282;[[0, 7, 2865], [0, 1, 5413], [0, 0, 5508]];[nan, 0.125, 0.3995357609168722];0.3994252873563218;0.19030361601030843;[[0, 1, 1230], [0, 0, 2322], [0, 0, 2363]];[nan, 0.0, 0.39949281487743027];7.0;[0, 3, 4]
PubMed;own;pagerank;0;64;0.5;1;0.005;0;649695571.0;0.5;0.2222222222222222;[[0, 0, 2], [0, 0, 5], [0, 0, 7]];[nan, nan, 0.5];0.3992891854645681;0.19023429400787892;[[0, 0, 2870], [0, 0, 5412], [0, 0, 5505]];[nan, nan, 0.3992891854645681];0.3994252873563218;0.19028062970568105;[[0, 0, 1231], [0, 0, 2322], [0, 0, 2363]];[nan, nan, 0.3994252873563218];14.0;[2, 5, 7]
PubMed;own;pagerank;0;64;0.5;1;0.005;0;649695571.0;0.4666666666666667;0.21212121212121213;[[0, 0, 2], [0, 0, 6], [0, 0, 7]];[nan, nan, 0.4666666666666667];0.399318148846656;0.19024415530558292;[[0, 0, 2870], [0, 0, 5411], [0, 0, 5505]];[nan, nan, 0.399318148846656];0.3994252873563218;0.19028062970568105;[[0, 0, 1231], [0, 0, 2322], [0, 0, 2363]];[nan, nan, 0.3994252873563218];15.0;[2, 6, 7]


PubMed;own;pagerank;0;64;0.5;1;0.005;0;831763849.0;0.0;0.0;[[]];[];0.13542496920513006;0.05750083996811039;[[110, 5, 1798, 191, 0, 11, 757], [130, 11, 1526, 200, 9, 18, 3523], [115, 38, 1748, 433, 8, 9, 3161], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0]];[0.30985915492957744, 0.2037037037037037, 0.34463722397476343, 0.0, 0.0, 0.0, 0.0];0.14773495605138606;0.06069242116517136;[[44, 0, 782, 79, 1, 3, 322], [74, 9, 675, 71, 0, 6, 1487], [39, 24, 821, 175, 3, 8, 1293], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0]];[0.2802547770700637, 0.2727272727272727, 0.3604038630377524, 0.0, 0.0, 0.0, 0.0];0.0;[]
PubMed;own;pagerank;0;64;0.5;1;0.005;0;831763849.0;0.5714285714285714;0.4444444444444444;[[1, 1, 0], [0, 3, 0], [0, 2, 0]];[1.0, 0.5, nan];0.39285196462229954;0.18911616315989274;[[5, 2865, 0], [0, 5414, 0], [0, 5510, 0]];[1.0, 0.39263180796286895, nan];0.39300202839756593;0.18959888761945246;[[3, 1228, 0], [0, 2322, 0], [0, 2363, 0]];[1.0, 0.3926940639269406, nan];7.0;[2, 3, 2]
PubMed;own;pagerank;0;64;0.5;1;0.005;0;831763849.0;0.5714285714285714;0.24242424242424243;[[0, 3, 0], [0, 8, 0], [0, 3, 0]];[nan, 0.5714285714285714, nan];0.3923261043011533;0.18785163575744948;[[0, 2869, 0], [0, 5409, 0], [0, 5509, 0]];[nan, 0.3923261043011533, nan];0.3924949290060852;0.18790968681718864;[[0, 1231, 0], [0, 2322, 0], [0, 2363, 0]];[nan, 0.3924949290060852, nan];14.0;[3, 8, 3]
PubMed;own;pagerank;0;64;0.5;1;0.005;0;831763849.0;0.5333333333333333;0.23188405797101452;[[0, 3, 0], [0, 8, 0], [0, 4, 0]];[nan, 0.5333333333333333, nan];0.39242709995647757;0.18799222385119022;[[0, 2869, 0], [0, 5409, 0], [0, 5507, 1]];[nan, 0.39238302502720346, 1.0];0.3924949290060852;0.18790968681718864;[[0, 1231, 0], [0, 2322, 0], [0, 2363, 0]];[nan, 0.3924949290060852, nan];15.0;[3, 8, 4]


PubMed;own;pagerank;0;64;0.5;1;0.005;0;615395017.0;0.0;0.0;[[]];[];0.0749945656111876;0.04788313140997121;[[123, 117, 200, 19, 515, 41, 1857], [201, 197, 755, 33, 760, 671, 2800], [209, 442, 715, 111, 1035, 289, 2711], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0]];[0.23076923076923078, 0.2605820105820106, 0.4281437125748503, 0.0, 0.0, 0.0, 0.0];0.07167004732927654;0.04597657473650534;[[47, 52, 80, 9, 231, 24, 788], [77, 85, 300, 15, 343, 320, 1182], [88, 186, 292, 51, 455, 132, 1159], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0]];[0.22169811320754718, 0.2631578947368421, 0.43452380952380953, 0.0, 0.0, 0.0, 0.0];0.0;[]
PubMed;own;pagerank;0;64;0.5;1;0.005;0;615395017.0;0.7142857142857143;0.65;[[4, 0], [2, 1]];[0.6666666666666666, 1.0];0.5024648397854139;0.3462668387766579;[[0, 2600, 272], [0, 5402, 11], [0, 3980, 1529]];[nan, 0.45084293106326156, 0.8438189845474614];0.5003380662609872;0.344329311272249;[[0, 1133, 98], [0, 2314, 8], [0, 1717, 646]];[nan, 0.44810224632068163, 0.8590425531914894];7.0;[0, 4, 3]
