dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;corruption;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Labeled class accuracies;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Unlabeled class accuracies;Test accuracy;Test macro-f1;Test confusion;Test class accuracies;Budget used;Class distrubution
PubMed;own;entropy;0.2;64;0.5;1;0.005;0;20795212.0;0.0;0.0;[[]];[];0.34439533367147307;0.13559110134072672;[[305, 647, 12, 448, 445, 997, 18], [166, 3767, 136, 303, 87, 465, 493], [1357, 2631, 681, 242, 106, 275, 220], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0]];[0.16684901531728666, 0.5347054648687012, 0.8214716525934861, 0.0, 0.0, 0.0, 0.0];0.3488843813387424;0.13800474981208657;[[125, 274, 9, 196, 204, 417, 6], [65, 1620, 57, 122, 33, 214, 211], [558, 1117, 319, 104, 38, 136, 91], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0]];[0.16711229946524064, 0.5380272334772501, 0.8285714285714286, 0.0, 0.0, 0.0, 0.0];0.0;[]
PubMed;own;entropy;0.2;64;0.5;1;0.005;0;20795212.0;1.0;1.0;[[2, 0], [0, 5]];[1.0, 1.0];0.33703059301145427;0.2537818526862251;[[873, 0, 2112], [246, 0, 5115], [1672, 0, 3776]];[0.31279111429595124, nan, 0.34317913296373714];0.32285327924273155;0.2356943637731815;[[308, 0, 923], [105, 0, 2217], [761, 0, 1602]];[0.262350936967632, nan, 0.33783213833825393];7.0;[2, 0, 5]
PubMed;own;entropy;0.2;64;0.5;1;0.005;0;20795212.0;0.35714285714285715;0.3333333333333333;[[3, 0, 1], [1, 2, 0], [2, 5, 0]];[0.5, 0.2857142857142857, 0.0];0.45905563211721184;0.40710555658177894;[[1357, 802, 806], [476, 4329, 545], [2073, 2756, 643]];[0.3474142345110087, 0.5488779003423355, 0.32246740220661985];0.4530087897227857;0.3993725376934032;[[520, 354, 357], [196, 1866, 260], [920, 1149, 294]];[0.31784841075794623, 0.553873552983081, 0.3227222832052689];14.0;[4, 3, 7]
PubMed;own;entropy;0.2;64;0.5;1;0.005;0;20795212.0;0.5333333333333333;0.5360269360269361;[[4, 0, 0], [0, 2, 1], [2, 4, 2]];[0.6666666666666666, 0.3333333333333333, 0.6666666666666666];0.48346148266357175;0.4440318302185174;[[1439, 343, 1181], [360, 4326, 662], [1961, 2614, 900]];[0.3827127659574468, 0.5939859947823699, 0.32810791104629966];0.47802569303583503;0.43596922716963626;[[552, 141, 538], [151, 1873, 298], [867, 1093, 403]];[0.35159235668789807, 0.6028323141293852, 0.3252623083131558];15.0;[4, 3, 8]


PubMed;own;entropy;0.2;64;0.5;1;0.005;0;649695571.0;0.0;0.0;[[]];[];0.08434171436852402;0.05238522320132869;[[119, 23, 154, 1000, 383, 775, 418], [388, 666, 688, 995, 90, 2185, 405], [231, 972, 379, 489, 293, 1790, 1358], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0]];[0.16124661246612465, 0.40096327513546054, 0.3104013104013104, 0.0, 0.0, 0.0, 0.0];0.0850236646382691;0.05286657959535077;[[51, 13, 49, 451, 167, 335, 165], [170, 304, 283, 418, 40, 944, 163], [90, 404, 148, 229, 115, 782, 595], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0]];[0.1639871382636656, 0.42163661581137307, 0.30833333333333335, 0.0, 0.0, 0.0, 0.0];0.0;[]
PubMed;own;entropy;0.2;64;0.5;1;0.005;0;649695571.0;1.0;1.0;[[1, 0, 0], [0, 2, 0], [0, 0, 4]];[1.0, 1.0, 1.0];0.4840510366826156;0.3497692082648719;[[2490, 20, 376, 0], [1773, 1023, 2564, 3], [1527, 853, 3164, 1], [0, 0, 0, 0]];[0.43005181347150256, 0.5395569620253164, 0.518348623853211, 0.0];0.482420554428668;0.34846853502597935;[[1078, 8, 145, 0], [793, 439, 1088, 2], [682, 344, 1337, 0], [0, 0, 0, 0]];[0.42224833529181355, 0.5549936788874842, 0.5202334630350195, 0.0];7.0;[1, 2, 4]
PubMed;own;entropy;0.2;64;0.5;1;0.005;0;649695571.0;1.0;1.0;[[3, 0, 0], [0, 5, 0], [0, 0, 6]];[1.0, 1.0, 1.0];0.49024443316167404;0.2948730132648369;[[2080, 531, 271, 1, 8], [1420, 2027, 1888, 3, 29], [1677, 1169, 2652, 2, 29], [0, 0, 0, 0, 0], [0, 0, 0, 0, 0]];[0.4017770909793317, 0.5438690635900187, 0.5512367491166078, 0.0, 0.0];0.48799864773495605;0.29340528136919686;[[892, 220, 114, 2, 3], [633, 877, 801, 0, 11], [761, 469, 1118, 0, 15], [0, 0, 0, 0, 0], [0, 0, 0, 0, 0]];[0.3902012248468941, 0.5600255427841635, 0.5499262174126907, 0.0, 0.0];14.0;[3, 5, 6]
PubMed;own;entropy;0.2;64;0.5;1;0.005;0;649695571.0;1.0;1.0;[[4, 0, 0], [0, 5, 0], [0, 0, 6]];[1.0, 1.0, 1.0];0.48911939648919195;0.3662748593358568;[[1951, 662, 278, 6], [1338, 2037, 1980, 11], [1644, 1115, 2755, 9], [0, 0, 0, 0]];[0.39549969592540035, 0.5340849501835343, 0.5495711151007381, 0.0];0.48816768086544965;0.36557384253214165;[[839, 269, 122, 1], [588, 895, 836, 3], [751, 454, 1154, 4], [0, 0, 0, 0]];[0.3852157943067034, 0.5531520395550061, 0.5464015151515151, 0.0];15.0;[4, 5, 6]
