dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;corruption;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Labeled class accuracies;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Unlabeled class accuracies;Test accuracy;Test macro-f1;Test confusion;Test class accuracies;Budget used;Class distrubution
PubMed;own;entropy;0;64;0.5;1;0.005;0;20795212.0;0.0;0.0;[[]];[];0.1946960365190928;0.0947500483181469;[[211, 628, 20, 298, 177, 806, 732], [32, 2227, 72, 567, 1282, 492, 745], [891, 1148, 249, 223, 841, 1729, 431], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0]];[0.18606701940035272, 0.5563327504371721, 0.7302052785923754, 0.0, 0.0, 0.0, 0.0];0.20081135902636918;0.09809612267942834;[[96, 256, 13, 127, 59, 337, 343], [17, 973, 35, 245, 533, 206, 313], [387, 489, 119, 74, 356, 771, 167], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0]];[0.192, 0.5663562281722934, 0.7125748502994012, 0.0, 0.0, 0.0, 0.0];0.0;[]
PubMed;own;entropy;0;64;0.5;1;0.005;0;20795212.0;0.8571428571428571;0.7878787878787878;[[1, 1], [0, 5]];[1.0, 0.8333333333333334];0.3346382485138466;0.21915718760957556;[[414, 0, 2456], [84, 0, 5333], [1305, 0, 4202]];[0.22961730449251247, nan, 0.3504294887832541];0.3343475321162948;0.22196628440679309;[[191, 0, 1040], [35, 0, 2287], [576, 0, 1787]];[0.23815461346633415, nan, 0.34943292921392255];7.0;[2, 0, 5]
PubMed;own;entropy;0;64;0.5;1;0.005;0;20795212.0;0.7142857142857143;0.6000000000000001;[[1, 0, 1], [0, 1, 1], [1, 1, 8]];[0.5, 0.5, 0.8];0.3310364836440125;0.24189770403005859;[[354, 172, 2344], [39, 313, 5063], [1016, 589, 3897]];[0.2512420156139106, 0.2914338919925512, 0.3447452229299363];0.3316430020283976;0.24427744117291142;[[162, 65, 1004], [18, 131, 2173], [436, 258, 1669]];[0.262987012987013, 0.28854625550660795, 0.34440775897647546];14.0;[2, 2, 10]
PubMed;own;entropy;0;64;0.5;1;0.005;0;20795212.0;0.8;0.7129629629629629;[[1, 1, 0], [0, 3, 0], [1, 1, 8]];[0.5, 0.6, 1.0];0.39395038444799074;0.2523288289804315;[[356, 673, 1841, 0], [43, 1586, 3785, 0], [966, 1046, 3489, 1], [0, 0, 0, 0]];[0.2608058608058608, 0.47987897125567325, 0.3827756445419638, 0.0];0.38894523326572006;0.33374401004620924;[[165, 267, 799], [19, 639, 1664], [411, 455, 1497]];[0.2773109243697479, 0.4695077149155033, 0.37803030303030305];15.0;[2, 3, 10]


PubMed;own;entropy;0;64;0.5;1;0.005;0;649695571.0;0.0;0.0;[[]];[];0.18100137671183247;0.06961511329270569;[[14, 282, 493, 219, 286, 505, 1073], [589, 176, 2608, 176, 222, 1382, 264], [501, 237, 2308, 1600, 94, 429, 343], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0]];[0.012681159420289856, 0.25323741007194245, 0.4266962469957478, 0.0, 0.0, 0.0, 0.0];0.1823867478025693;0.07100450206539052;[[4, 109, 182, 91, 121, 212, 512], [265, 87, 1107, 67, 114, 584, 98], [209, 99, 988, 699, 30, 179, 159], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0]];[0.008368200836820083, 0.29491525423728815, 0.4339042599912165, 0.0, 0.0, 0.0, 0.0];0.0;[]
PubMed;own;entropy;0;64;0.5;1;0.005;0;649695571.0;0.7142857142857143;0.6746031746031745;[[1, 0, 0], [1, 1, 0], [1, 0, 3]];[0.3333333333333333, 1.0, 1.0];0.4582427142235755;0.2647196450826087;[[2340, 9, 521, 0, 1], [3629, 961, 824, 1, 0], [1732, 756, 3020, 0, 0], [0, 0, 0, 0, 0], [0, 0, 0, 0, 0]];[0.30385664199454615, 0.5567786790266512, 0.6918671248568156, 0.0, 0.0];0.4614604462474645;0.3340101038719432;[[1012, 4, 214, 1], [1537, 429, 356, 0], [754, 320, 1289, 0], [0, 0, 0, 0]];[0.306388132001211, 0.5697211155378487, 0.6933835395373857, 0.0];7.0;[1, 2, 4]
PubMed;own;entropy;0;64;0.5;1;0.005;0;649695571.0;0.8571428571428571;0.841025641025641;[[2, 1, 0], [0, 4, 0], [0, 1, 6]];[1.0, 0.6666666666666666, 1.0];0.6319721476753464;0.474321550682268;[[1725, 328, 768, 48], [519, 3143, 1676, 75], [434, 1201, 3845, 25], [0, 0, 0, 0]];[0.6441374159820762, 0.6727311643835616, 0.6113849578629352, 0.0];0.631000676132522;0.37916737418816926;[[752, 152, 313, 0, 14], [256, 1334, 701, 0, 31], [163, 537, 1647, 1, 15], [0, 0, 0, 0, 0], [0, 0, 0, 0, 0]];[0.6421861656703672, 0.6594167078596145, 0.6189402480270575, 0.0, 0.0];14.0;[3, 4, 7]
PubMed;own;entropy;0;64;0.5;1;0.005;0;649695571.0;0.9333333333333333;0.8962962962962964;[[2, 1, 0], [0, 4, 0], [0, 0, 8]];[1.0, 0.8, 1.0];0.5697083998259104;0.32618379804631553;[[1464, 222, 1151, 0, 32], [549, 1581, 3232, 1, 50], [386, 301, 4809, 0, 8], [0, 0, 0, 0, 0], [0, 0, 0, 0, 0]];[0.610254272613589, 0.751425855513308, 0.5231723237597912, 0.0, 0.0];0.5743745774171738;0.4116655746771132;[[633, 92, 488, 18], [256, 700, 1344, 22], [158, 133, 2065, 7], [0, 0, 0, 0]];[0.6045845272206304, 0.7567567567567568, 0.5298947908647678, 0.0];15.0;[3, 4, 8]
