dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;corruption;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Labeled class accuracies;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Unlabeled class accuracies;Test accuracy;Test macro-f1;Test confusion;Test class accuracies;Budget used;Class distrubution
PubMed;own;medoids;0.2;64;0.5;1;0.005;0;20795212.0;0.0;0.0;[[]];[];0.04434461270922397;0.033213753447370924;[[285, 18, 286, 491, 170, 1555, 67], [948, 51, 243, 2636, 198, 1020, 321], [394, 52, 276, 1406, 203, 2925, 256], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0]];[0.17516902274124155, 0.4214876033057851, 0.34285714285714286, 0.0, 0.0, 0.0, 0.0];0.04208924949290061;0.03194972767835972;[[129, 6, 129, 203, 70, 652, 42], [398, 14, 104, 1130, 71, 450, 155], [177, 20, 106, 579, 96, 1288, 97], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0]];[0.18323863636363635, 0.35, 0.31268436578171094, 0.0, 0.0, 0.0, 0.0];0.0;[]
PubMed;own;medoids;0.2;64;0.5;1;0.005;0;20795212.0;1.0;1.0;[[3, 0, 0], [0, 2, 0], [0, 0, 2]];[1.0, 1.0, 1.0];0.6386834855734377;0.6250509512398358;[[2333, 98, 448], [628, 4733, 74], [704, 3032, 1744]];[0.63656207366985, 0.6019331044130739, 0.7696381288614298];0.6267748478701826;0.6126828466520114;[[990, 50, 191], [299, 1996, 27], [304, 1337, 722]];[0.6214689265536724, 0.5900088678687555, 0.7680851063829788];7.0;[3, 2, 2]
PubMed;own;medoids;0.2;64;0.5;1;0.005;0;20795212.0;0.7857142857142857;0.7833333333333335;[[4, 0, 1], [1, 4, 0], [0, 1, 3]];[0.8, 0.8, 0.75];0.6828171465873649;0.6757833854557301;[[2125, 242, 521], [349, 4998, 105], [419, 2737, 2291]];[0.7345316280677497, 0.6265513350883791, 0.7853959547480288];0.6754563894523327;0.6694406697005889;[[921, 99, 211], [182, 2100, 40], [185, 1203, 975]];[0.7150621118012422, 0.6172839506172839, 0.7952691680261011];14.0;[5, 5, 4]
PubMed;own;medoids;0.2;64;0.5;1;0.005;0;20795212.0;0.8666666666666667;0.8560606060606061;[[5, 0, 1], [0, 5, 0], [0, 1, 3]];[1.0, 0.8333333333333334, 0.75];0.6817060786304947;0.6722641706053537;[[2166, 232, 502], [479, 4864, 106], [576, 2493, 2368]];[0.6724619683328159, 0.6409276584530241, 0.7956989247311828];0.6707234617985125;0.6614891864751923;[[918, 109, 204], [256, 2029, 37], [260, 1082, 1021]];[0.6401673640167364, 0.6301242236024844, 0.8090332805071315];15.0;[6, 5, 4]


PubMed;own;medoids;0.2;64;0.5;1;0.005;0;649695571.0;0.0;0.0;[[]];[];0.25251793348308094;0.12826647385255877;[[724, 707, 546, 260, 236, 281, 118], [499, 2403, 298, 68, 771, 292, 1086], [717, 1275, 358, 1003, 321, 1130, 708], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0]];[0.3731958762886598, 0.5480045610034208, 0.2978369384359401, 0.0, 0.0, 0.0, 0.0];0.24645030425963488;0.12543716979606717;[[290, 304, 260, 127, 72, 119, 59], [218, 1017, 138, 30, 328, 120, 471], [289, 522, 151, 452, 151, 502, 296], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0]];[0.36386449184441655, 0.5518176885512751, 0.2750455373406193, 0.0, 0.0, 0.0, 0.0];0.0;[]
PubMed;own;medoids;0.2;64;0.5;1;0.005;0;649695571.0;1.0;1.0;[[1, 0, 0], [0, 3, 0], [0, 0, 3]];[1.0, 1.0, 1.0];0.5253733507322024;0.2670055246557415;[[318, 508, 2025, 7, 1], [1, 3877, 1501, 0, 0], [18, 2486, 3052, 0, 0], [0, 0, 0, 0, 0], [0, 0, 0, 0, 0]];[0.9436201780415431, 0.5642555668752729, 0.46397081179689875, 0.0, 0.0];0.5072684246112238;0.3196270768682911;[[122, 252, 856, 1], [3, 1605, 714, 0], [7, 1082, 1274, 0], [0, 0, 0, 0]];[0.9242424242424242, 0.5461041170466145, 0.4479606188466948, 0.0];7.0;[1, 3, 3]
PubMed;own;medoids;0.2;64;0.5;1;0.005;0;649695571.0;1.0;1.0;[[3, 0, 0], [0, 6, 0], [0, 0, 5]];[1.0, 1.0, 1.0];0.6269674330891419;0.478150271710448;[[1702, 417, 713, 1], [105, 4137, 1172, 0], [211, 2521, 2805, 3], [0, 0, 0, 0]];[0.8434093161546086, 0.5847349823321555, 0.5980810234541578, 0.0];0.610209601081812;0.62182637767427;[[738, 201, 292], [78, 1709, 535], [87, 1113, 1163]];[0.8172757475083057, 0.5653324512074098, 0.5844221105527638];14.0;[3, 6, 5]
PubMed;own;medoids;0.2;64;0.5;1;0.005;0;649695571.0;1.0;1.0;[[3, 0, 0], [0, 6, 0], [0, 0, 6]];[1.0, 1.0, 1.0];0.6183809661975918;0.46558916215292523;[[1464, 649, 720, 0], [66, 4203, 1144, 1], [154, 2527, 2858, 0], [0, 0, 0, 0]];[0.8693586698337292, 0.5695893752540995, 0.6052520118593816, 0.0];0.6053076402974983;0.45678649362812507;[[636, 308, 287, 0], [51, 1750, 520, 1], [67, 1099, 1195, 2], [0, 0, 0, 0]];[0.843501326259947, 0.5543237250554324, 0.596903096903097, 0.0];15.0;[3, 6, 6]
