dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;corruption;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Labeled class accuracies;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Unlabeled class accuracies;Test accuracy;Test macro-f1;Test confusion;Test class accuracies;Budget used;Class distrubution
PubMed;own;pagerank;0;64;0.5;1;0.005;0;20795212.0;0.0;0.0;[[]];[];0.12694732265777842;0.05505813016241452;[[2, 569, 311, 1374, 379, 193, 44], [36, 325, 2291, 357, 2164, 204, 40], [20, 1312, 1425, 304, 1399, 958, 94], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0]];[0.034482758620689655, 0.14732547597461468, 0.3538614353116464, 0.0, 0.0, 0.0, 0.0];0.13826910074374577;0.05901166804288822;[[0, 236, 147, 607, 152, 76, 13], [9, 155, 992, 142, 921, 85, 18], [3, 560, 663, 121, 566, 402, 48], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0]];[0.0, 0.16298633017875921, 0.36792452830188677, 0.0, 0.0, 0.0, 0.0];0.0;[]
PubMed;own;pagerank;0;64;0.5;1;0.005;0;20795212.0;0.8571428571428571;0.8857142857142857;[[1, 0, 0], [0, 2, 1], [0, 0, 3]];[1.0, 1.0, 0.75];0.44780339277946934;0.23629797792432905;[[456, 989, 1368, 48, 10], [71, 1790, 3552, 0, 1], [22, 1553, 3931, 1, 2], [0, 0, 0, 0, 0], [0, 0, 0, 0, 0]];[0.8306010928961749, 0.4132040627885503, 0.4441306067111061, 0.0, 0.0];0.4479377958079784;0.23748981327551205;[[202, 409, 599, 16, 5], [36, 773, 1513, 0, 0], [12, 675, 1675, 1, 0], [0, 0, 0, 0, 0], [0, 0, 0, 0, 0]];[0.808, 0.41626278944534195, 0.4423026142064959, 0.0, 0.0];7.0;[1, 3, 3]
PubMed;own;pagerank;0;64;0.5;1;0.005;0;20795212.0;0.9285714285714286;0.9440559440559441;[[2, 0, 0], [0, 6, 1], [0, 0, 5]];[1.0, 1.0, 0.8333333333333334];0.5534924203960252;0.22490677146224738;[[183, 1233, 1186, 244, 22, 2], [19, 3794, 1590, 7, 0, 0], [6, 1835, 3654, 11, 1, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]];[0.8798076923076923, 0.5529000291460215, 0.5682737169517885, 0.0, 0.0, 0.0];0.5644016227180527;0.27521630426798627;[[79, 529, 496, 121, 6], [10, 1666, 641, 4, 1], [3, 765, 1594, 1, 0], [0, 0, 0, 0, 0], [0, 0, 0, 0, 0]];[0.8586956521739131, 0.5628378378378378, 0.5836689857195166, 0.0, 0.0];14.0;[2, 7, 5]
PubMed;own;pagerank;0;64;0.5;1;0.005;0;20795212.0;0.9333333333333333;0.9153439153439153;[[3, 0, 0], [0, 7, 0], [1, 0, 4]];[0.75, 1.0, 1.0];0.5960394603220659;0.34026306276374196;[[2456, 321, 61, 18, 13], [447, 4567, 383, 4, 9], [1803, 2412, 1194, 50, 48], [0, 0, 0, 0, 0], [0, 0, 0, 0, 0]];[0.5218869528261794, 0.6256164383561644, 0.7289377289377289, 0.0, 0.0];0.5968559837728195;0.340927730645931;[[1055, 131, 28, 5, 12], [176, 1967, 173, 4, 2], [757, 1060, 509, 19, 18], [0, 0, 0, 0, 0], [0, 0, 0, 0, 0]];[0.5306841046277666, 0.6228625712476251, 0.7169014084507043, 0.0, 0.0];15.0;[3, 7, 5]


PubMed;own;pagerank;0;64;0.5;1;0.005;0;649695571.0;0.0;0.0;[[]];[];0.21020215926382146;0.07576627543188455;[[9, 444, 715, 159, 335, 375, 835], [596, 560, 3733, 171, 86, 153, 118], [771, 1214, 2332, 677, 157, 199, 162], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0]];[0.006540697674418605, 0.25247971145175835, 0.343952802359882, 0.0, 0.0, 0.0, 0.0];0.20436105476673427;0.07469747989605917;[[8, 160, 333, 77, 122, 149, 382], [284, 233, 1552, 89, 37, 66, 61], [301, 545, 968, 321, 73, 80, 75], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0]];[0.013490725126475547, 0.2484008528784648, 0.339291973361374, 0.0, 0.0, 0.0, 0.0];0.0;[]
PubMed;own;pagerank;0;64;0.5;1;0.005;0;649695571.0;1.0;1.0;[[1, 0], [0, 6]];[1.0, 1.0];0.4894156879802813;0.34529265557360866;[[0, 22, 2850], [0, 1681, 3735], [0, 436, 5070]];[nan, 0.7858812529219261, 0.435006435006435];0.48309668695064234;0.33847521126372365;[[0, 6, 1225], [0, 686, 1636], [0, 191, 2172]];[nan, 0.7768969422423556, 0.43155175839459564];7.0;[0, 1, 6]
PubMed;own;pagerank;0;64;0.5;1;0.005;0;649695571.0;0.8571428571428571;0.7962962962962963;[[1, 0, 1], [0, 3, 0], [1, 0, 8]];[0.5, 1.0, 0.8888888888888888];0.5962863567128455;0.3549352560092761;[[90, 490, 2239, 51], [439, 3472, 1411, 92], [180, 618, 4659, 46], [0, 0, 0, 0]];[0.12693935119887165, 0.7580786026200873, 0.5607172944999398, 0.0];0.5892494929006086;0.35013624926474385;[[32, 214, 951, 34], [198, 1476, 594, 54], [83, 285, 1978, 17], [0, 0, 0, 0]];[0.10223642172523961, 0.7473417721518988, 0.5614533068407607, 0.0];14.0;[2, 3, 9]
PubMed;own;pagerank;0;64;0.5;1;0.005;0;649695571.0;1.0;1.0;[[2, 0, 0], [0, 3, 0], [0, 0, 10]];[1.0, 1.0, 1.0];0.49231104018569566;0.2543303795515585;[[1471, 138, 1259, 1, 1], [3004, 621, 1788, 1, 0], [761, 46, 4695, 0, 0], [0, 0, 0, 0, 0], [0, 0, 0, 0, 0]];[0.2809396485867074, 0.7714285714285715, 0.60643244639628, 0.0, 0.0];0.4898580121703854;0.25390496624406733;[[628, 56, 545, 1, 1], [1265, 275, 782, 0, 0], [342, 26, 1995, 0, 0], [0, 0, 0, 0, 0], [0, 0, 0, 0, 0]];[0.2809843400447427, 0.7703081232492998, 0.6005418422636966, 0.0, 0.0];15.0;[2, 3, 10]


PubMed;own;pagerank;0;64;0.5;1;0.005;0;831763849.0;0.0;0.0;[[]];[];0.14129410912252735;0.09422263986521535;[[507, 356, 185, 1213, 204, 219, 188], [262, 464, 183, 718, 1040, 703, 2047], [323, 1608, 979, 573, 525, 272, 1232], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0]];[0.4642857142857143, 0.19110378912685339, 0.726800296956199, 0.0, 0.0, 0.0, 0.0];0.13979039891818795;0.09425994139023275;[[230, 160, 71, 510, 83, 84, 93], [114, 207, 65, 324, 446, 323, 843], [141, 711, 390, 276, 252, 122, 471], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0]];[0.4742268041237113, 0.19202226345083487, 0.7414448669201521, 0.0, 0.0, 0.0, 0.0];0.0;[]
PubMed;own;pagerank;0;64;0.5;1;0.005;0;831763849.0;1.0;1.0;[[1, 0, 0], [0, 2, 0], [0, 0, 4]];[1.0, 1.0, 1.0];0.5077569957952733;0.4655645173187804;[[1125, 614, 1132], [87, 846, 4482], [76, 399, 5033]];[0.8734472049689441, 0.45508337816030126, 0.472715318869165];0.5114942528735632;0.46659684157989295;[[483, 266, 482], [56, 373, 1893], [48, 145, 2170]];[0.8228279386712095, 0.475765306122449, 0.47744774477447743];7.0;[1, 2, 4]
PubMed;own;pagerank;0;64;0.5;1;0.005;0;831763849.0;0.8571428571428571;0.841025641025641;[[4, 0, 0], [1, 2, 0], [1, 0, 6]];[0.6666666666666666, 1.0, 1.0];0.5789511858997607;0.2800164713817717;[[2415, 15, 432, 3, 2, 1], [587, 927, 3873, 16, 3, 8], [480, 331, 4640, 44, 2, 8], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]];[0.6935669155657668, 0.7282010997643362, 0.5187255449972051, 0.0, 0.0, 0.0];0.580290736984449;0.2782931879862013;[[1041, 5, 181, 2, 1, 1], [313, 394, 1612, 2, 1, 0], [214, 128, 1998, 18, 2, 3], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]];[0.6639030612244898, 0.7476280834914611, 0.5270377209179636, 0.0, 0.0, 0.0];14.0;[4, 3, 7]
PubMed;own;pagerank;0;64;0.5;1;0.005;0;831763849.0;0.9333333333333333;0.9153439153439153;[[4, 0, 0], [1, 3, 0], [0, 0, 7]];[0.8, 1.0, 1.0];0.5357609168721892;0.3009790309433596;[[1622, 34, 1057, 58, 97], [116, 563, 4614, 63, 57], [118, 142, 5201, 14, 30], [0, 0, 0, 0, 0], [0, 0, 0, 0, 0]];[0.8739224137931034, 0.7618403247631935, 0.47838484179543783, 0.0, 0.0];0.5278904665314401;0.2941337718230529;[[685, 14, 455, 20, 57], [72, 222, 1965, 33, 30], [62, 67, 2216, 7, 11], [0, 0, 0, 0, 0], [0, 0, 0, 0, 0]];[0.8363858363858364, 0.7326732673267327, 0.47799827437446074, 0.0, 0.0];15.0;[4, 4, 7]


PubMed;own;pagerank;0;64;0.5;1;0.005;0;615395017.0;0.0;0.0;[[]];[];0.18360988334178682;0.09539180017603832;[[55, 373, 785, 840, 533, 102, 184], [76, 768, 88, 3184, 791, 73, 437], [122, 761, 1711, 2188, 543, 43, 144], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0]];[0.21739130434782608, 0.4037854889589905, 0.6621517027863777, 0.0, 0.0, 0.0, 0.0];0.1839080459770115;0.09530405334417037;[[22, 160, 343, 357, 221, 34, 94], [34, 328, 37, 1354, 335, 34, 200], [44, 313, 738, 957, 229, 29, 53], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0]];[0.22, 0.4094881398252185, 0.6601073345259392, 0.0, 0.0, 0.0, 0.0];0.0;[]
PubMed;own;pagerank;0;64;0.5;1;0.005;0;615395017.0;1.0;1.0;[[3, 0, 0], [0, 1, 0], [0, 0, 3]];[1.0, 1.0, 1.0];0.37994780339277945;0.3586587626547855;[[2641, 4, 224], [4232, 581, 603], [3343, 147, 2019]];[0.25851605324980426, 0.7937158469945356, 0.7094167252283907];0.37829614604462475;0.3559756779705549;[[1144, 2, 85], [1861, 233, 228], [1428, 74, 861]];[0.25806451612903225, 0.7540453074433657, 0.7333901192504259];7.0;[3, 1, 3]
PubMed;own;pagerank;0;64;0.5;1;0.005;0;615395017.0;0.8571428571428571;0.8493265993265994;[[3, 1, 0], [0, 4, 0], [1, 0, 5]];[0.75, 0.8, 1.0];0.6076738956988468;0.6049068388533773;[[2222, 182, 464], [1347, 3280, 786], [1271, 1359, 2876]];[0.4590909090909091, 0.6803567724538477, 0.6970431410567135];0.6080121703853956;0.6051876033292217;[[951, 94, 186], [571, 1423, 328], [532, 608, 1223]];[0.46299902629016554, 0.6696470588235294, 0.7040875071963155];14.0;[4, 4, 6]
PubMed;own;pagerank;0;64;0.5;1;0.005;0;615395017.0;1.0;1.0;[[4, 0, 0], [0, 5, 0], [0, 0, 6]];[1.0, 1.0, 1.0];0.650732627303061;0.6471272272332347;[[2038, 185, 645], [779, 3702, 931], [829, 1446, 3231]];[0.5589687328579265, 0.6941683855240952, 0.6721447888495944];0.655341446923597;0.6520195752739893;[[879, 88, 264], [319, 1610, 393], [344, 631, 1388]];[0.5700389105058365, 0.691283812795191, 0.6787286063569682];15.0;[4, 5, 6]


PubMed;own;pagerank;0;64;0.5;1;0.005;0;2140929057.0;0.0;0.0;[[]];[];0.23708426925585102;0.13684744764442355;[[1827, 30, 311, 245, 257, 177, 25], [377, 93, 3846, 74, 226, 527, 274], [278, 639, 1352, 786, 774, 690, 993], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0]];[0.7360999194198228, 0.1220472440944882, 0.24541659103285532, 0.0, 0.0, 0.0, 0.0];0.23799864773495605;0.13784338937301296;[[781, 12, 135, 86, 128, 81, 8], [139, 37, 1643, 32, 91, 245, 135], [122, 245, 590, 356, 373, 275, 402], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0]];[0.7495201535508638, 0.12585034013605442, 0.2491554054054054, 0.0, 0.0, 0.0, 0.0];0.0;[]
PubMed;own;pagerank;0;64;0.5;1;0.005;0;2140929057.0;0.8571428571428571;0.7878787878787878;[[5, 0], [1, 1]];[0.8333333333333334, 1.0];0.48260113092648976;0.333690408278389;[[0, 2788, 84], [0, 5166, 246], [0, 4019, 1491]];[nan, 0.4314708093209722, 0.8187808896210873];0.4846179851250845;0.3357896537940798;[[0, 1196, 35], [0, 2218, 104], [0, 1714, 649]];[nan, 0.4325273010920437, 0.8236040609137056];7.0;[0, 5, 2]
PubMed;own;pagerank;0;64;0.5;1;0.005;0;2140929057.0;0.9285714285714286;0.9251336898395721;[[8, 1], [0, 5]];[1.0, 0.8333333333333334];0.5243345180242257;0.3892554218523789;[[0, 2698, 174], [0, 4581, 827], [0, 2859, 2648]];[nan, 0.45186427303215626, 0.7256782680186352];0.5229885057471264;0.3878624537142923;[[0, 1155, 76], [0, 1969, 353], [0, 1238, 1125]];[nan, 0.45139844108207244, 0.7239382239382239];14.0;[0, 9, 5]
PubMed;own;pagerank;0;64;0.5;1;0.005;0;2140929057.0;1.0;1.0;[[9, 0], [0, 6]];[1.0, 1.0];0.5449006238212679;0.4089780153369018;[[0, 2635, 237], [0, 4228, 1180], [0, 2222, 3284]];[nan, 0.4653824986241057, 0.6985747713252499];0.5410750507099391;0.4060111392833666;[[0, 1135, 96], [0, 1809, 513], [0, 971, 1392]];[nan, 0.46206896551724136, 0.6956521739130435];15.0;[0, 9, 6]


PubMed;own;pagerank;0;64;0.5;1;0.005;0;1240197975.0;0.0;0.0;[[]];[];0.131657126295196;0.06755297344137558;[[0, 292, 51, 574, 150, 459, 1346], [299, 1011, 1326, 320, 1982, 272, 207], [147, 957, 806, 789, 2133, 376, 304], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0]];[0.0, 0.44734513274336285, 0.3692166743014201, 0.0, 0.0, 0.0, 0.0];0.1387762001352265;0.07118461729693126;[[0, 131, 20, 242, 60, 201, 577], [139, 467, 530, 121, 844, 134, 87], [78, 397, 354, 334, 917, 172, 111], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0]];[0.0, 0.46934673366834173, 0.3915929203539823, 0.0, 0.0, 0.0, 0.0];0.0;[]
PubMed;own;pagerank;0;64;0.5;1;0.005;0;1240197975.0;1.0;1.0;[[1, 0, 0], [0, 1, 0], [0, 0, 5]];[1.0, 1.0, 1.0];0.4865158764680296;0.17047561647393095;[[47, 439, 2329, 4, 2, 50], [0, 1415, 4001, 0, 0, 0], [1, 252, 5249, 3, 0, 2], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]];[0.9791666666666666, 0.6718898385565052, 0.45332066672424215, 0.0, 0.0, 0.0];0.4846179851250845;0.2025759203933502;[[17, 189, 1009, 1, 15], [0, 602, 1720, 0, 0], [0, 114, 2248, 0, 1], [0, 0, 0, 0, 0], [0, 0, 0, 0, 0]];[1.0, 0.6651933701657459, 0.4516777175005023, 0.0, 0.0];7.0;[1, 1, 5]
