dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;corruption;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Labeled class accuracies;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Unlabeled class accuracies;Test accuracy;Test macro-f1;Test confusion;Test class accuracies;Budget used;Class distrubution
PubMed;own;random;0;64;0.5;1;0.005;0;20795212.0;0.0;0.0;[[]];[];0.19027606695167018;0.10733967674728061;[[100, 133, 273, 540, 893, 130, 803], [369, 1454, 113, 303, 551, 1573, 1054], [409, 444, 1072, 225, 271, 1066, 2025], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0]];[0.11389521640091116, 0.7159034958148696, 0.7352537722908093, 0.0, 0.0, 0.0, 0.0];0.1975997295469912;0.11177393551897409;[[50, 34, 122, 217, 404, 44, 360], [162, 659, 46, 134, 251, 637, 433], [203, 168, 460, 100, 108, 451, 873], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0]];[0.12048192771084337, 0.7653890824622532, 0.732484076433121, 0.0, 0.0, 0.0, 0.0];0.0;[]
PubMed;own;random;0;64;0.5;1;0.005;0;20795212.0;0.8571428571428571;0.7878787878787878;[[1, 1], [0, 5]];[1.0, 0.8333333333333334];0.3405103668261563;0.21824470216627775;[[371, 0, 2499], [53, 0, 5364], [1181, 0, 4326]];[0.23115264797507787, nan, 0.3549101649027812];0.34279918864097364;0.2216279833577559;[[168, 0, 1063], [27, 0, 2295], [503, 0, 1860]];[0.24068767908309455, nan, 0.3564584131851284];7.0;[2, 0, 5]
PubMed;own;random;0;64;0.5;1;0.005;0;20795212.0;0.8571428571428571;0.8968253968253967;[[5, 0, 0], [0, 1, 0], [2, 0, 6]];[0.7142857142857143, 1.0, 1.0];0.43823892072241966;0.4213446719785277;[[2562, 0, 305], [1186, 861, 3369], [2527, 358, 2619]];[0.4082868525896414, 0.7063166529942576, 0.4161767042745908];0.4421906693711968;0.42309242262202673;[[1104, 0, 127], [498, 350, 1474], [1062, 139, 1162]];[0.4144144144144144, 0.7157464212678937, 0.42055736518277237];14.0;[5, 1, 8]
PubMed;own;random;0;64;0.5;1;0.005;0;20795212.0;0.8666666666666667;0.8111111111111112;[[5, 0, 0], [1, 1, 0], [1, 0, 7]];[0.7142857142857143, 1.0, 1.0];0.48425939358769765;0.28181460294588295;[[2775, 0, 92, 0, 0], [1641, 1162, 2602, 9, 1], [2381, 383, 2739, 1, 0], [0, 0, 0, 0, 0], [0, 0, 0, 0, 0]];[0.40826835368544945, 0.7521035598705501, 0.5041413583655439, 0.0, 0.0];0.4893509127789047;0.28405036337987577;[[1195, 0, 36, 0, 0], [706, 486, 1119, 10, 1], [1003, 145, 1214, 1, 0], [0, 0, 0, 0, 0], [0, 0, 0, 0, 0]];[0.4115013774104683, 0.7702060221870047, 0.5124525116082735, 0.0, 0.0];15.0;[5, 2, 8]


PubMed;own;random;0;64;0.5;1;0.005;0;649695571.0;0.0;0.0;[[]];[];0.284399681182523;0.11721505403648409;[[138, 1677, 275, 59, 60, 215, 448], [355, 2766, 160, 373, 524, 100, 1139], [228, 2416, 1021, 246, 503, 631, 467], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0]];[0.1914008321775312, 0.40326578218399184, 0.7012362637362637, 0.0, 0.0, 0.0, 0.0];0.2841446923597025;0.11724293440129292;[[51, 731, 113, 19, 27, 113, 177], [149, 1173, 63, 159, 235, 46, 497], [90, 1004, 457, 102, 201, 293, 216], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0]];[0.17586206896551723, 0.4033700137551582, 0.721958925750395, 0.0, 0.0, 0.0, 0.0];0.0;[]
PubMed;own;random;0;64;0.5;1;0.005;0;649695571.0;0.7142857142857143;0.6746031746031745;[[1, 0, 0], [1, 1, 0], [1, 0, 3]];[0.3333333333333333, 1.0, 1.0];0.5036247643903147;0.1991400664718588;[[1416, 16, 1437, 1, 1, 0, 0], [1765, 1224, 2408, 8, 7, 0, 3], [598, 598, 4307, 1, 3, 1, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0]];[0.37470230219634826, 0.6659412404787813, 0.5283366045142296, 0.0, 0.0, 0.0, 0.0];0.5081135902636917;0.23529378813020166;[[609, 6, 616, 0, 0, 0], [737, 551, 1025, 3, 5, 1], [262, 255, 1846, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]];[0.3787313432835821, 0.6785714285714286, 0.5293948953254947, 0.0, 0.0, 0.0];7.0;[1, 2, 4]
PubMed;own;random;0;64;0.5;1;0.005;0;649695571.0;0.8571428571428571;0.8076923076923076;[[1, 1, 0], [0, 5, 0], [0, 1, 6]];[1.0, 0.7142857142857143, 1.0];0.6107927758032929;0.19938554880190842;[[45, 2126, 687, 2, 5, 0, 5], [6, 4594, 811, 0, 1, 0, 0], [4, 1714, 3782, 0, 0, 1, 4], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0]];[0.8181818181818182, 0.5447000237135404, 0.7162878787878788, 0.0, 0.0, 0.0, 0.0];0.617816091954023;0.23617310735312805;[[23, 913, 286, 2, 3, 4], [5, 1989, 328, 0, 0, 0], [0, 720, 1643, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]];[0.8214285714285714, 0.549144119271121, 0.7279574656623837, 0.0, 0.0, 0.0];14.0;[2, 5, 7]
PubMed;own;random;0;64;0.5;1;0.005;0;649695571.0;0.9333333333333333;0.8585858585858586;[[1, 1, 0], [0, 5, 0], [0, 0, 8]];[1.0, 0.8333333333333334, 1.0];0.48926447120266936;0.19912113806962708;[[450, 658, 1419, 223, 17, 103], [107, 1095, 4151, 25, 0, 34], [73, 171, 5200, 29, 5, 26], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]];[0.7142857142857143, 0.5691268191268192, 0.4828226555246054, 0.0, 0.0, 0.0];0.4925625422582826;0.2001935842224621;[[188, 275, 620, 105, 6, 37], [61, 491, 1743, 8, 1, 18], [31, 78, 2235, 7, 0, 12], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]];[0.6714285714285714, 0.5817535545023697, 0.4860809047411918, 0.0, 0.0, 0.0];15.0;[2, 5, 8]


PubMed;own;random;0;64;0.5;1;0.005;0;831763849.0;0.0;0.0;[[]];[];0.14607637127744366;0.08778915150698229;[[256, 160, 916, 651, 480, 361, 48], [195, 1410, 497, 518, 2313, 219, 265], [324, 475, 350, 2235, 1731, 270, 127], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0]];[0.3303225806451613, 0.6894865525672371, 0.19852524106636416, 0.0, 0.0, 0.0, 0.0];0.14114266396213657;0.08688338033588637;[[125, 67, 405, 284, 182, 151, 17], [84, 575, 233, 214, 981, 100, 135], [117, 217, 135, 989, 722, 125, 58], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0]];[0.3834355828220859, 0.6693830034924331, 0.17464424320827943, 0.0, 0.0, 0.0, 0.0];0.0;[]
PubMed;own;random;0;64;0.5;1;0.005;0;831763849.0;0.7142857142857143;0.7111111111111111;[[1, 0, 1], [0, 2, 0], [0, 1, 2]];[1.0, 0.6666666666666666, 0.6666666666666666];0.556256343337683;0.5725218578854924;[[2307, 362, 201], [348, 3754, 1313], [529, 3368, 1612]];[0.7245603015075377, 0.5016034206306788, 0.5156749840051184];0.5476673427991886;0.5613927523889913;[[1003, 162, 66], [215, 1566, 541], [238, 1454, 671]];[0.6888736263736264, 0.49214330609679446, 0.525039123630673];7.0;[2, 2, 3]
PubMed;own;random;0;64;0.5;1;0.005;0;831763849.0;0.8571428571428571;0.810966810966811;[[1, 0, 1], [0, 5, 1], [0, 0, 6]];[1.0, 1.0, 0.75];0.6345107710161747;0.5651688495679608;[[601, 1203, 1066], [14, 4373, 1024], [20, 1712, 3774]];[0.9464566929133859, 0.6000274423710209, 0.6435879945429741];0.6338742393509128;0.5690298366775628;[[274, 490, 467], [6, 1875, 441], [9, 753, 1601]];[0.9480968858131488, 0.6013470173187941, 0.6381028298126744];14.0;[2, 6, 6]
