dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;corruption;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Labeled class accuracies;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Unlabeled class accuracies;Test accuracy;Test macro-f1;Test confusion;Test class accuracies;Budget used;Class distrubution
PubMed;own;entropy;0.2;64;0.5;1;0.005;0;20795212.0;0.0;0.0;[[]];[];0.3351206434316354;0.32890669814132917;[[981, 956, 935], [1813, 1849, 1755], [1868, 1849, 1795]];[0.21042471042471042, 0.3972926514825956, 0.40022296544035674];0.3307978363759297;0.3244646470214736;[[411, 388, 432], [760, 774, 788], [808, 783, 772]];[0.20768064679130874, 0.39794344473007714, 0.38755020080321284];0.0;[]
PubMed;own;entropy;0.2;64;0.5;1;0.005;0;20795212.0;1.0;1.0;[[3, 0, 0], [0, 3, 0], [0, 0, 1]];[1.0, 1.0, 1.0];0.36443381180223283;0.33857207151512053;[[2203, 587, 300], [2695, 2359, 309], [3504, 1372, 465]];[0.26219947631516305, 0.546317739694303, 0.4329608938547486];0.34060175794455716;0.31659862413787127;[[827, 244, 160], [1162, 1021, 139], [1609, 587, 167]];[0.22984991662034462, 0.5512958963282938, 0.3583690987124464];7.0;[3, 3, 1]
PubMed;own;entropy;0.2;64;0.5;1;0.005;0;20795212.0;1.0;1.0;[[7, 0, 0], [0, 5, 0], [0, 0, 2]];[1.0, 1.0, 1.0];0.43765866395880176;0.40996596757023324;[[2176, 700, 198], [1979, 3132, 273], [3214, 1389, 726]];[0.29529108427195006, 0.5998850794866883, 0.606516290726817];0.4264705882352941;0.402170631591597;[[864, 279, 88], [857, 1335, 130], [1470, 569, 324]];[0.2707615167659041, 0.6115437471369675, 0.5977859778597786];14.0;[7, 5, 2]
PubMed;own;entropy;0.2;64;0.5;1;0.005;0;20795212.0;1.0;1.0;[[7, 0, 0], [0, 6, 0], [0, 0, 2]];[1.0, 1.0, 1.0];0.4359495139997098;0.40877093760977296;[[2134, 756, 184], [1978, 3134, 272], [3199, 1387, 742]];[0.291888934482287, 0.5938980481334092, 0.6193656093489148];0.4222447599729547;0.3974725475859737;[[824, 319, 88], [831, 1349, 142], [1456, 582, 325]];[0.2648666023786564, 0.5995555555555555, 0.5855855855855856];15.0;[7, 6, 2]


PubMed;own;entropy;0.2;64;0.5;1;0.005;0;649695571.0;0.0;0.0;[[]];[];0.32888921092674445;0.32256326582453393;[[953, 961, 958], [1804, 1791, 1822], [1865, 1852, 1795]];[0.20618779749026395, 0.38900955690703737, 0.3923497267759563];0.33468559837728196;0.32870869222416454;[[425, 408, 398], [766, 761, 795], [785, 784, 794]];[0.21508097165991902, 0.38965693804403484, 0.3995973829894313];0.0;[]
PubMed;own;entropy;0.2;64;0.5;1;0.005;0;649695571.0;1.0;1.0;[[3, 0, 0], [0, 3, 0], [0, 0, 1]];[1.0, 1.0, 1.0];0.46230245034072787;0.45695274008858444;[[2160, 316, 456], [3166, 1392, 824], [2122, 533, 2825]];[0.2900107411385607, 0.6211512717536813, 0.6881851400730816];0.454868154158215;0.45063044595848717;[[903, 148, 180], [1401, 593, 328], [947, 221, 1195]];[0.27776068901876344, 0.6164241164241164, 0.7017028772753964];7.0;[3, 3, 1]
PubMed;own;entropy;0.2;64;0.5;1;0.005;0;649695571.0;1.0;1.0;[[4, 0, 0], [0, 3, 0], [0, 0, 7]];[1.0, 1.0, 1.0];0.4718938130122579;0.4538858119028934;[[1699, 265, 954], [2940, 1332, 1094], [1576, 452, 3475]];[0.27337087691069994, 0.6500732064421669, 0.6291870360311425];0.4643340094658553;0.44595528226145625;[[699, 109, 423], [1308, 559, 455], [696, 178, 1489]];[0.2586015538290788, 0.6607565011820331, 0.6290663286861006];14.0;[4, 3, 7]
PubMed;own;entropy;0.2;64;0.5;1;0.005;0;649695571.0;1.0;1.0;[[4, 0, 0], [0, 3, 0], [0, 0, 8]];[1.0, 1.0, 1.0];0.47323371536341213;0.4540706304629561;[[1657, 289, 971], [2934, 1335, 1094], [1531, 443, 3532]];[0.27066318196667755, 0.6458635703918723, 0.6310523494729319];0.46247464503042596;0.4431215879526904;[[696, 112, 423], [1307, 545, 470], [691, 177, 1495]];[0.2583518930957684, 0.6534772182254197, 0.6260469011725294];15.0;[4, 3, 8]


PubMed;own;entropy;0.2;64;0.5;1;0.005;0;831763849.0;0.0;0.0;[[]];[];0.32961379610173175;0.32199721396619535;[[904, 950, 1018], [1808, 1792, 1817], [1818, 1841, 1853]];[0.19955849889624724, 0.3910102552912939, 0.39526450511945393];0.3323191345503719;0.3255721642577901;[[407, 407, 417], [762, 799, 761], [794, 809, 760]];[0.20733571064696893, 0.3965260545905707, 0.39215686274509803];0.0;[]
PubMed;own;entropy;0.2;64;0.5;1;0.005;0;831763849.0;1.0;1.0;[[1, 0, 0], [0, 2, 0], [0, 0, 4]];[1.0, 1.0, 1.0];0.5869943453675511;0.49530207952288263;[[356, 710, 1771], [260, 3227, 1930], [265, 761, 4514]];[0.40408626560726446, 0.6868880374627501, 0.5494826536822885];0.5819810682893847;0.4898466885295525;[[147, 303, 781], [121, 1367, 834], [117, 317, 1929]];[0.38181818181818183, 0.6879718168092602, 0.5443002257336343];7.0;[1, 2, 4]
PubMed;own;entropy;0.2;64;0.5;1;0.005;0;831763849.0;1.0;1.0;[[2, 0, 0], [0, 5, 0], [0, 0, 7]];[1.0, 1.0, 1.0];0.5747443243635308;0.47902714673919644;[[329, 585, 1904], [271, 2780, 2355], [245, 503, 4815]];[0.3893491124260355, 0.718717683557394, 0.5306369847917126];0.5623732251521298;0.4712395358782468;[[149, 274, 808], [132, 1157, 1033], [110, 232, 2021]];[0.38107416879795397, 0.6957306073361396, 0.5233039875712067];14.0;[2, 5, 7]
PubMed;own;entropy;0.2;64;0.5;1;0.005;0;831763849.0;1.0;1.0;[[3, 0, 0], [0, 5, 0], [0, 0, 7]];[1.0, 1.0, 1.0];0.5751487015813144;0.48208752368519336;[[350, 587, 1880], [279, 2786, 2341], [254, 516, 4793]];[0.39637599093997733, 0.716379532013371, 0.5317284224539605];0.5660919540229885;0.47857133522717826;[[165, 272, 794], [136, 1160, 1026], [114, 225, 2024]];[0.39759036144578314, 0.700060350030175, 0.5265348595213319];15.0;[3, 5, 7]


