dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;corruption;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Labeled class accuracies;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Unlabeled class accuracies;Test accuracy;Test macro-f1;Test confusion;Test class accuracies;Budget used;Class distrubution
PubMed;own;medoids;0;64;0.5;1;0.005;0;20795212.0;0.0;0.0;[[]];[];0.3351206434316354;0.32890669814132917;[[981, 956, 935], [1813, 1849, 1755], [1868, 1849, 1795]];[0.21042471042471042, 0.3972926514825956, 0.40022296544035674];0.3307978363759297;0.3244646470214736;[[411, 388, 432], [760, 774, 788], [808, 783, 772]];[0.20768064679130874, 0.39794344473007714, 0.38755020080321284];0.0;[]
PubMed;own;medoids;0;64;0.5;1;0.005;0;20795212.0;1.0;1.0;[[2, 0, 0], [0, 2, 0], [0, 0, 3]];[1.0, 1.0, 1.0];0.6035232709873858;0.5467262001382144;[[763, 1111, 996], [655, 4293, 467], [554, 1686, 3269]];[0.3869168356997972, 0.6055007052186178, 0.6908284023668639];0.603448275862069;0.5472291574938998;[[332, 467, 432], [297, 1846, 179], [249, 722, 1392]];[0.37813211845102507, 0.6082372322899505, 0.6949575636545182];7.0;[2, 2, 3]
PubMed;own;medoids;0;64;0.5;1;0.005;0;20795212.0;1.0;1.0;[[3, 0, 0], [0, 6, 0], [0, 0, 5]];[1.0, 1.0, 1.0];0.5838108362950606;0.5193119970492032;[[641, 1373, 855], [548, 4493, 370], [484, 2108, 2915]];[0.3831440526001195, 0.5634562327564585, 0.7041062801932367];0.5877281947261663;0.5296603981564783;[[313, 554, 364], [234, 1923, 165], [207, 915, 1241]];[0.4151193633952255, 0.5669221698113207, 0.7011299435028249];14.0;[3, 6, 5]
PubMed;own;medoids;0;64;0.5;1;0.005;0;20795212.0;1.0;1.0;[[3, 0, 0], [0, 6, 0], [0, 0, 6]];[1.0, 1.0, 1.0];0.5890758740751487;0.5265118754621584;[[668, 1350, 851], [550, 4472, 389], [446, 2079, 2981]];[0.4014423076923077, 0.5660043032527529, 0.7062307510068704];0.5865449628127113;0.5257208166513738;[[295, 559, 377], [224, 1914, 184], [199, 903, 1261]];[0.41086350974930363, 0.5669431279620853, 0.6920965971459934];15.0;[3, 6, 6]


PubMed;own;medoids;0;64;0.5;1;0.005;0;649695571.0;0.0;0.0;[[]];[];0.32888921092674445;0.32256326582453393;[[953, 961, 958], [1804, 1791, 1822], [1865, 1852, 1795]];[0.20618779749026395, 0.38900955690703737, 0.3923497267759563];0.33468559837728196;0.32870869222416454;[[425, 408, 398], [766, 761, 795], [785, 784, 794]];[0.21508097165991902, 0.38965693804403484, 0.3995973829894313];0.0;[]
PubMed;own;medoids;0;64;0.5;1;0.005;0;649695571.0;1.0;1.0;[[1, 0, 0], [0, 5, 0], [0, 0, 1]];[1.0, 1.0, 1.0];0.577062490938089;0.5074868845775334;[[576, 1507, 788], [348, 4571, 493], [457, 2241, 2813]];[0.4170890658942795, 0.5494650799374925, 0.6871030776746458];0.579107505070994;0.5115787060102327;[[259, 628, 344], [155, 1962, 205], [197, 961, 1205]];[0.4238952536824877, 0.5525204167840045, 0.6870011402508552];7.0;[1, 5, 1]
PubMed;own;medoids;0;64;0.5;1;0.005;0;649695571.0;1.0;1.0;[[4, 0, 0], [0, 7, 0], [0, 0, 3]];[1.0, 1.0, 1.0];0.5643722347138609;0.5098754914655811;[[920, 1278, 670], [282, 4754, 374], [1476, 1926, 2107]];[0.3435399551904406, 0.5973862779592862, 0.6686766105998095];0.5640635564570656;0.510415288997259;[[405, 551, 275], [130, 2043, 149], [623, 851, 889]];[0.34974093264248707, 0.593033381712627, 0.6770753998476771];14.0;[4, 7, 3]
PubMed;own;medoids;0;64;0.5;1;0.005;0;649695571.0;1.0;1.0;[[4, 0, 0], [0, 7, 0], [0, 0, 4]];[1.0, 1.0, 1.0];0.55839257217467;0.5027106766848173;[[821, 1074, 973], [250, 4607, 553], [1418, 1820, 2270]];[0.32985134592205706, 0.6141847753632849, 0.5979978925184405];0.5522312373225152;0.4977463403890534;[[361, 442, 428], [130, 1971, 221], [617, 811, 935]];[0.32581227436823107, 0.6113523573200993, 0.5902777777777778];15.0;[4, 7, 4]


PubMed;own;medoids;0;64;0.5;1;0.005;0;831763849.0;0.0;0.0;[[]];[];0.32961379610173175;0.32199721396619535;[[904, 950, 1018], [1808, 1792, 1817], [1818, 1841, 1853]];[0.19955849889624724, 0.3910102552912939, 0.39526450511945393];0.3323191345503719;0.3255721642577901;[[407, 407, 417], [762, 799, 761], [794, 809, 760]];[0.20733571064696893, 0.3965260545905707, 0.39215686274509803];0.0;[]
PubMed;own;medoids;0;64;0.5;1;0.005;0;831763849.0;1.0;1.0;[[5, 0], [0, 2]];[1.0, 1.0];0.634043787153835;0.5485691199743591;[[502, 1177, 1193], [214, 4582, 616], [299, 1549, 3662]];[0.4945812807881773, 0.626984126984127, 0.6693474684701152];0.6333671399594321;0.5447570087987853;[[203, 485, 543], [98, 1965, 259], [129, 655, 1579]];[0.4720930232558139, 0.6328502415458938, 0.6631667366652667];7.0;[0, 5, 2]
PubMed;own;medoids;0;64;0.5;1;0.005;0;831763849.0;1.0;1.0;[[5, 0, 0], [0, 6, 0], [0, 0, 3]];[1.0, 1.0, 1.0];0.6403133386523536;0.6044629934679032;[[1200, 762, 905], [474, 4370, 567], [847, 1404, 3258]];[0.4760015866719556, 0.6686046511627907, 0.6887949260042283];0.6369168356997972;0.601658205876536;[[520, 333, 378], [203, 1875, 244], [386, 604, 1373]];[0.4688908926961226, 0.6667852062588905, 0.6882205513784461];14.0;[5, 6, 3]
PubMed;own;medoids;0;64;0.5;1;0.005;0;831763849.0;1.0;1.0;[[5, 0, 0], [0, 6, 0], [0, 0, 4]];[1.0, 1.0, 1.0];0.6402147105759466;0.6039648979756572;[[1180, 741, 946], [466, 4328, 617], [813, 1377, 3318]];[0.47986986579910534, 0.6714241390009308, 0.6797787338660111];0.6408045977011494;0.6040094016572168;[[509, 324, 398], [201, 1875, 246], [376, 580, 1407]];[0.4686924493554328, 0.6747031306225261, 0.6860068259385665];15.0;[5, 6, 4]


PubMed;own;medoids;0;64;0.5;1;0.005;0;615395017.0;0.0;0.0;[[]];[];0.333599014564162;0.32722950873872814;[[972, 933, 967], [1817, 1754, 1846], [1823, 1811, 1878]];[0.21075455333911536, 0.38995108937305467, 0.4003410786612663];0.34026369168356996;0.3344161881822134;[[436, 414, 381], [770, 776, 776], [769, 793, 801]];[0.22075949367088607, 0.3913262733232476, 0.4090909090909091];0.0;[]
PubMed;own;medoids;0;64;0.5;1;0.005;0;615395017.0;1.0;1.0;[[1, 0, 0], [0, 1, 0], [0, 0, 5]];[1.0, 1.0, 1.0];0.49391039582427143;0.4276966463235419;[[498, 600, 1773], [544, 2020, 2852], [560, 652, 4295]];[0.31086142322097376, 0.617359413202934, 0.48150224215246634];0.49628127112914133;0.42595729104271607;[[196, 286, 749], [250, 888, 1184], [204, 307, 1852]];[0.30153846153846153, 0.599594868332208, 0.4892998678996037];7.0;[1, 1, 5]
PubMed;own;medoids;0;64;0.5;1;0.005;0;615395017.0;1.0;1.0;[[2, 0, 0], [0, 4, 0], [0, 0, 8]];[1.0, 1.0, 1.0];0.5572640893595416;0.482956380749984;[[460, 719, 1691], [668, 2930, 1815], [454, 757, 4293]];[0.29077117572692796, 0.6650022696323196, 0.5504551865623798];0.5672751859364435;0.48945612186109244;[[188, 328, 715], [263, 1332, 727], [183, 344, 1836]];[0.29652996845425866, 0.6646706586826348, 0.5600976205003051];14.0;[2, 4, 8]
PubMed;own;medoids;0;64;0.5;1;0.005;0;615395017.0;1.0;1.0;[[2, 0, 0], [0, 4, 0], [0, 0, 9]];[1.0, 1.0, 1.0];0.5449006238212679;0.47011924854855214;[[440, 709, 1721], [694, 2772, 1947], [429, 774, 4300]];[0.28150991682661547, 0.6514688601645123, 0.5396586345381527];0.5586544962812712;0.47893186358811507;[[175, 317, 739], [263, 1276, 783], [182, 327, 1854]];[0.28225806451612906, 0.6645833333333333, 0.5491706161137441];15.0;[2, 4, 9]


PubMed;own;medoids;0;64;0.5;1;0.005;0;2140929057.0;0.0;0.0;[[]];[];0.3310629664517064;0.324357534647585;[[946, 952, 974], [1829, 1774, 1814], [1833, 1830, 1849]];[0.2052951388888889, 0.38937664618086043, 0.39874919128747033];0.33384043272481406;0.32681598969782094;[[401, 397, 433], [778, 787, 757], [836, 740, 787]];[0.1990074441687345, 0.409043659043659, 0.39807789580171976];0.0;[]
PubMed;own;medoids;0;64;0.5;1;0.005;0;2140929057.0;1.0;1.0;[[2, 0, 0], [0, 4, 0], [0, 0, 1]];[1.0, 1.0, 1.0];0.5722778019428737;0.5413046528570827;[[1343, 923, 604], [883, 4333, 197], [1345, 1948, 2218]];[0.3760851302156259, 0.601471404775125, 0.7346803577343491];0.5769100743745774;0.5455291759323778;[[577, 381, 273], [367, 1871, 84], [581, 817, 965]];[0.37836065573770494, 0.6096448354512871, 0.7299546142208775];7.0;[2, 4, 1]
PubMed;own;medoids;0;64;0.5;1;0.005;0;2140929057.0;1.0;1.0;[[6, 0, 0], [0, 4, 0], [0, 0, 4]];[1.0, 1.0, 1.0];0.5841009646768696;0.563252791896843;[[1409, 683, 774], [1014, 3796, 603], [1056, 1604, 2848]];[0.40500143719459614, 0.6240341936544468, 0.6740828402366864];0.5867139959432048;0.5652720143720734;[[606, 309, 316], [430, 1644, 248], [484, 658, 1221]];[0.3986842105263158, 0.6296438146304099, 0.6840336134453782];14.0;[6, 4, 4]
PubMed;own;medoids;0;64;0.5;1;0.005;0;2140929057.0;1.0;1.0;[[6, 0, 0], [0, 4, 0], [0, 0, 5]];[1.0, 1.0, 1.0];0.5842884085303931;0.5630010262074763;[[1400, 730, 736], [1010, 3807, 596], [1076, 1583, 2848]];[0.40160642570281124, 0.6220588235294118, 0.6813397129186602];0.5838404327248141;0.5619033267795239;[[598, 301, 332], [431, 1636, 255], [512, 631, 1220]];[0.3880597014925373, 0.6370716510903427, 0.6751521859435529];15.0;[6, 4, 5]


PubMed;own;medoids;0;64;0.5;1;0.005;0;1240197975.0;0.0;0.0;[[]];[];0.33301934642417214;0.32702618595749383;[[984, 946, 942], [1772, 1775, 1870], [1864, 1811, 1837]];[0.21298701298701297, 0.39165931156222417, 0.39513873951387396];0.34178498985801214;0.335017924199785;[[423, 418, 390], [811, 752, 759], [780, 736, 847]];[0.21002979145978154, 0.3945435466946485, 0.4243486973947896];0.0;[]
PubMed;own;medoids;0;64;0.5;1;0.005;0;1240197975.0;1.0;1.0;[[1, 0, 0], [0, 2, 0], [0, 0, 4]];[1.0, 1.0, 1.0];0.5985935914165579;0.58123536447482;[[1470, 516, 885], [878, 3091, 1446], [894, 918, 3696]];[0.45342381246144353, 0.6830939226519337, 0.6132404181184669];0.5973630831643002;0.5797023445299643;[[624, 231, 376], [378, 1345, 599], [384, 414, 1565]];[0.45021645021645024, 0.6758793969849246, 0.6161417322834646];7.0;[1, 2, 4]
PubMed;own;medoids;0;64;0.5;1;0.005;0;1240197975.0;1.0;1.0;[[2, 0, 0], [0, 4, 0], [0, 0, 8]];[1.0, 1.0, 1.0];0.5786610575179517;0.5590284633658621;[[1449, 478, 943], [1077, 2632, 1704], [941, 666, 3897]];[0.417940582636285, 0.6970338983050848, 0.5955073349633252];0.5806288032454361;0.5603616731640263;[[613, 215, 403], [470, 1157, 695], [397, 301, 1665]];[0.4141891891891892, 0.6915720263000598, 0.6026058631921825];14.0;[2, 4, 8]
PubMed;own;medoids;0;64;0.5;1;0.005;0;1240197975.0;1.0;1.0;[[2, 0, 0], [0, 4, 0], [0, 0, 9]];[1.0, 1.0, 1.0];0.5744233280139271;0.5534506498888657;[[1403, 452, 1015], [1033, 2571, 1809], [914, 644, 3945]];[0.41880597014925375, 0.7011180801745296, 0.5828039592258827];0.5731913455037188;0.5520020669174738;[[592, 204, 435], [440, 1121, 761], [384, 301, 1678]];[0.4180790960451977, 0.6894218942189422, 0.5838552540013918];15.0;[2, 4, 9]


PubMed;own;medoids;0;64;0.5;1;0.005;0;784866329.0;0.0;0.0;[[]];[];0.33983044706905297;0.3326724340146128;[[962, 965, 945], [1806, 1806, 1805], [1772, 1818, 1922]];[0.2118942731277533, 0.39354979298322074, 0.4113869863013699];0.3286004056795132;0.322015766353635;[[404, 400, 427], [773, 761, 788], [775, 809, 779]];[0.2069672131147541, 0.38629441624365485, 0.39067201604814444];0.0;[]
