dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;corruption;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Labeled class accuracies;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Unlabeled class accuracies;Test accuracy;Test macro-f1;Test confusion;Test class accuracies;Budget used;Class distrubution
PubMed;own;own;0.2;64;0.5;1;0.005;0;20795212.0;0.0;0.0;[[]];[];0.3351206434316354;0.32890669814132917;[[981, 956, 935], [1813, 1849, 1755], [1868, 1849, 1795]];[0.21042471042471042, 0.3972926514825956, 0.40022296544035674];0.3307978363759297;0.3244646470214736;[[411, 388, 432], [760, 774, 788], [808, 783, 772]];[0.20768064679130874, 0.39794344473007714, 0.38755020080321284];0.0;[]
PubMed;own;own;0.2;64;0.5;1;0.005;0;20795212.0;1.0;1.0;[[2, 0, 0], [0, 1, 0], [0, 0, 4]];[1.0, 1.0, 1.0];0.5641583297085689;0.544415473169168;[[1417, 285, 1102], [1019, 2394, 1973], [928, 705, 3971]];[0.42122473246135556, 0.7074468085106383, 0.5635821742832813];0.5579783637592968;0.5381883602226001;[[607, 117, 507], [463, 1005, 854], [381, 293, 1689]];[0.4183321847002068, 0.7102473498233216, 0.5537704918032786];7.0;[2, 1, 4]
PubMed;own;own;0.2;64;0.5;1;0.005;0;20795212.0;1.0;1.0;[[2, 0, 0], [0, 4, 0], [0, 0, 8]];[1.0, 1.0, 1.0];0.6166678755349242;0.5925812112016849;[[1327, 288, 1176], [660, 2766, 1965], [521, 675, 4409]];[0.5291068580542265, 0.7417538213998391, 0.5839735099337748];0.6115618661257607;0.5899731827639484;[[582, 129, 520], [276, 1184, 862], [207, 304, 1852]];[0.5464788732394367, 0.7322201607915894, 0.5726654298082869];14.0;[2, 4, 8]
PubMed;own;own;0.2;64;0.5;1;0.005;0;20795212.0;1.0;1.0;[[2, 0, 0], [0, 5, 0], [0, 0, 8]];[1.0, 1.0, 1.0];0.6138111127230523;0.5899439653769222;[[1289, 383, 1118], [641, 2900, 1871], [482, 829, 4273]];[0.5344112769485904, 0.7052529182879378, 0.588405397961994];0.6020960108181204;0.5804647562720849;[[558, 156, 517], [271, 1216, 835], [199, 376, 1788]];[0.5428015564202334, 0.6956521739130435, 0.5694267515923567];15.0;[2, 5, 8]


PubMed;own;own;0.2;64;0.5;1;0.005;0;649695571.0;0.0;0.0;[[]];[];0.32888921092674445;0.32256326582453393;[[953, 961, 958], [1804, 1791, 1822], [1865, 1852, 1795]];[0.20618779749026395, 0.38900955690703737, 0.3923497267759563];0.33468559837728196;0.32870869222416454;[[425, 408, 398], [766, 761, 795], [785, 784, 794]];[0.21508097165991902, 0.38965693804403484, 0.3995973829894313];0.0;[]
PubMed;own;own;0.2;64;0.5;1;0.005;0;649695571.0;1.0;1.0;[[2, 0, 0], [0, 3, 0], [0, 0, 2]];[1.0, 1.0, 1.0];0.6732637378570393;0.634013524669644;[[1202, 1049, 535], [341, 5248, 210], [361, 2011, 2837]];[0.6313025210084033, 0.6316803081367357, 0.7920156337241765];0.652974983096687;0.621116437753674;[[536, 475, 220], [148, 2108, 66], [156, 988, 1219]];[0.638095238095238, 0.5903108373004761, 0.8099667774086379];7.0;[2, 3, 2]
PubMed;own;own;0.2;64;0.5;1;0.005;0;649695571.0;1.0;1.0;[[5, 0, 0], [0, 5, 0], [0, 0, 4]];[1.0, 1.0, 1.0];0.6810763762965112;0.649549685582358;[[1359, 892, 527], [372, 5189, 234], [385, 1987, 2842]];[0.6422495274102079, 0.6431581556767476, 0.7887871218429087];0.6583840432724815;0.634020717827638;[[601, 402, 228], [173, 2067, 82], [154, 982, 1227]];[0.6476293103448276, 0.5989568241089539, 0.7983083929733247];14.0;[5, 5, 4]
PubMed;own;own;0.2;64;0.5;1;0.005;0;649695571.0;1.0;1.0;[[5, 0, 0], [0, 5, 0], [0, 0, 5]];[1.0, 1.0, 1.0];0.6778615987233425;0.641749755233986;[[1261, 857, 656], [377, 5171, 247], [350, 1954, 2913]];[0.6343058350100603, 0.647832623402656, 0.7633647798742138];0.6512846517917512;0.6226185610012204;[[564, 392, 275], [183, 2051, 88], [162, 963, 1238]];[0.6204620462046204, 0.6021726365237816, 0.7732667083073079];15.0;[5, 5, 5]


PubMed;own;own;0.2;64;0.5;1;0.005;0;831763849.0;0.0;0.0;[[]];[];0.32961379610173175;0.32199721396619535;[[904, 950, 1018], [1808, 1792, 1817], [1818, 1841, 1853]];[0.19955849889624724, 0.3910102552912939, 0.39526450511945393];0.3323191345503719;0.3255721642577901;[[407, 407, 417], [762, 799, 761], [794, 809, 760]];[0.20733571064696893, 0.3965260545905707, 0.39215686274509803];0.0;[]
