dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;corruption;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Labeled class accuracies;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Unlabeled class accuracies;Test accuracy;Test macro-f1;Test confusion;Test class accuracies;Budget used;Class distrubution
PubMed;own;own;0;64;0.5;1;0.005;0;20795212.0;0.0;0.0;[[]];[];0.3351206434316354;0.32890669814132917;[[981, 956, 935], [1813, 1849, 1755], [1868, 1849, 1795]];[0.21042471042471042, 0.3972926514825956, 0.40022296544035674];0.3307978363759297;0.3244646470214736;[[411, 388, 432], [760, 774, 788], [808, 783, 772]];[0.20768064679130874, 0.39794344473007714, 0.38755020080321284];0.0;[]
PubMed;own;own;0;64;0.5;1;0.005;0;20795212.0;1.0;1.0;[[2, 0, 0], [0, 1, 0], [0, 0, 4]];[1.0, 1.0, 1.0];0.5556763810352328;0.5369005935927457;[[1406, 286, 1178], [1025, 2391, 2000], [933, 707, 3868]];[0.4179548156956005, 0.7065602836879432, 0.5489639511779734];0.5579783637592968;0.5381883602226001;[[607, 117, 507], [463, 1005, 854], [381, 293, 1689]];[0.4183321847002068, 0.7102473498233216, 0.5537704918032786];7.0;[2, 1, 4]
PubMed;own;own;0;64;0.5;1;0.005;0;20795212.0;1.0;1.0;[[2, 0, 0], [0, 4, 0], [0, 0, 8]];[1.0, 1.0, 1.0];0.605933125407993;0.5826611830179177;[[1316, 289, 1265], [666, 2750, 1997], [526, 690, 4288]];[0.5247208931419458, 0.7374631268436578, 0.5679470198675497];0.6115618661257607;0.5899731827639484;[[582, 129, 520], [276, 1184, 862], [207, 304, 1852]];[0.5464788732394367, 0.7322201607915894, 0.5726654298082869];14.0;[2, 4, 8]
PubMed;own;own;0;64;0.5;1;0.005;0;20795212.0;1.0;1.0;[[2, 0, 0], [0, 5, 0], [0, 0, 8]];[1.0, 1.0, 1.0];0.6014797620774699;0.5784644741114888;[[1278, 385, 1207], [647, 2862, 1903], [487, 865, 4152]];[0.5298507462686567, 0.6960116731517509, 0.5717433213990636];0.6020960108181204;0.5804647562720849;[[558, 156, 517], [271, 1216, 835], [199, 376, 1788]];[0.5428015564202334, 0.6956521739130435, 0.5694267515923567];15.0;[2, 5, 8]


PubMed;own;own;0;64;0.5;1;0.005;0;649695571.0;0.0;0.0;[[]];[];0.32888921092674445;0.32256326582453393;[[953, 961, 958], [1804, 1791, 1822], [1865, 1852, 1795]];[0.20618779749026395, 0.38900955690703737, 0.3923497267759563];0.33468559837728196;0.32870869222416454;[[425, 408, 398], [766, 761, 795], [785, 784, 794]];[0.21508097165991902, 0.38965693804403484, 0.3995973829894313];0.0;[]
PubMed;own;own;0;64;0.5;1;0.005;0;649695571.0;1.0;1.0;[[2, 0, 0], [0, 3, 0], [0, 0, 2]];[1.0, 1.0, 1.0];0.6468029578077426;0.613003102378573;[[1203, 1119, 548], [319, 4890, 205], [382, 2299, 2829]];[0.631827731092437, 0.5885893115069812, 0.7897822445561139];0.652974983096687;0.621116437753674;[[536, 475, 220], [148, 2108, 66], [156, 988, 1219]];[0.638095238095238, 0.5903108373004761, 0.8099667774086379];7.0;[2, 3, 2]
PubMed;own;own;0;64;0.5;1;0.005;0;649695571.0;1.0;1.0;[[5, 0, 0], [0, 5, 0], [0, 0, 4]];[1.0, 1.0, 1.0];0.6536592442155654;0.6271934634665629;[[1358, 962, 547], [350, 4830, 232], [408, 2276, 2824]];[0.6417769376181475, 0.5986613782845811, 0.7837912850402442];0.6583840432724815;0.634020717827638;[[601, 402, 228], [173, 2067, 82], [154, 982, 1227]];[0.6476293103448276, 0.5989568241089539, 0.7983083929733247];14.0;[5, 5, 4]
PubMed;own;own;0;64;0.5;1;0.005;0;649695571.0;1.0;1.0;[[5, 0, 0], [0, 5, 0], [0, 0, 5]];[1.0, 1.0, 1.0];0.6501523284491513;0.6192566145855875;[[1260, 927, 680], [355, 4812, 245], [373, 2243, 2891]];[0.6338028169014085, 0.6028564269606614, 0.7575995807127882];0.6512846517917512;0.6226185610012204;[[564, 392, 275], [183, 2051, 88], [162, 963, 1238]];[0.6204620462046204, 0.6021726365237816, 0.7732667083073079];15.0;[5, 5, 5]
